Variable,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Regular-Recuento,B1-E-Regular del N de fila,B1-E-Regular-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
AGUASCALIENTES,58,0.32,0.04,109,0.6,0.05,14,0.08,0.03,1,0.01,0.03,133,0.73,0.04,48,0.26,0.04,1,0.01,0.02,0,0,0,84,0.46,0.04,87,0.48,0.05,9,0.05,0.03,2,0.01,0.29,131,0.72,0.05,48,0.26,0.04,3,0.02,0.03,0,0,0,118,0.65,0.04,60,0.33,0.05,4,0.02,0.03,0,0,0,124,0.68,0.04,55,0.3,0.04,2,0.01,0.02,1,0.01,0.14,151,0.83,0.05,28,0.15,0.03,3,0.02,0.06,0,0,0,126,0.69,0.04,52,0.29,0.04,4,0.02,0.04,0,0,0,130,0.71,0.04,43,0.24,0.04,8,0.04,0.09,1,0.01,0.2
BAJA CALIFORNIA,12,0.27,0.01,27,0.61,0.01,5,0.11,0.01,0,0,0,28,0.64,0.01,15,0.34,0.01,1,0.02,0.02,0,0,0,19,0.43,0.01,21,0.48,0.01,4,0.09,0.01,0,0,0,30,0.68,0.01,14,0.32,0.01,0,0,0,0,0,0,32,0.73,0.01,11,0.25,0.01,1,0.02,0.01,0,0,0,31,0.71,0.01,12,0.27,0.01,1,0.02,0.01,0,0,0,34,0.77,0.01,10,0.23,0.01,0,0,0,0,0,0,30,0.68,0.01,14,0.32,0.01,0,0,0,0,0,0,32,0.73,0.01,12,0.27,0.01,0,0,0,0,0,0
BAJA CALIFORNIA SUR,67,0.36,0.05,99,0.54,0.04,18,0.1,0.04,0,0,0,148,0.8,0.05,35,0.19,0.03,1,0.01,0.02,0,0,0,105,0.57,0.05,60,0.33,0.03,19,0.1,0.06,0,0,0,134,0.73,0.05,48,0.26,0.04,2,0.01,0.02,0,0,0,128,0.7,0.04,52,0.28,0.04,4,0.02,0.03,0,0,0,123,0.67,0.04,56,0.3,0.05,5,0.03,0.05,0,0,0,148,0.8,0.04,34,0.19,0.04,2,0.01,0.04,0,0,0,132,0.72,0.05,50,0.27,0.04,2,0.01,0.02,0,0,0,150,0.82,0.05,34,0.19,0.03,0,0,0,0,0,0
CAMPECHE,43,0.37,0.03,58,0.5,0.03,14,0.12,0.03,1,0.01,0.03,80,0.69,0.03,36,0.31,0.03,0,0,0,0,0,0,57,0.49,0.03,52,0.45,0.03,7,0.06,0.02,0,0,0,80,0.69,0.03,35,0.3,0.03,1,0.01,0.01,0,0,0,80,0.69,0.03,33,0.28,0.03,2,0.02,0.02,1,0.01,0.08,83,0.72,0.03,31,0.27,0.03,2,0.02,0.02,0,0,0,94,0.81,0.03,20,0.17,0.02,2,0.02,0.04,0,0,0,85,0.73,0.03,27,0.23,0.02,4,0.03,0.04,0,0,0,89,0.77,0.03,24,0.21,0.02,3,0.03,0.03,0,0,0
CHIAPAS,31,0.4,0.02,42,0.54,0.02,5,0.06,0.01,0,0,0,45,0.58,0.02,32,0.41,0.03,1,0.01,0.02,0,0,0,29,0.37,0.01,39,0.5,0.02,10,0.13,0.03,0,0,0,44,0.56,0.02,32,0.41,0.03,2,0.03,0.02,0,0,0,43,0.55,0.02,32,0.41,0.03,3,0.04,0.02,0,0,0,50,0.64,0.02,27,0.35,0.02,1,0.01,0.01,0,0,0,59,0.76,0.02,19,0.24,0.02,0,0,0,0,0,0,44,0.56,0.02,32,0.41,0.03,2,0.03,0.02,0,0,0,51,0.65,0.02,27,0.35,0.03,0,0,0,0,0,0
CHIHUAHUA,54,0.3,0.04,94,0.52,0.04,31,0.17,0.07,1,0.01,0.03,115,0.64,0.04,62,0.34,0.05,3,0.02,0.05,0,0,0,74,0.41,0.04,94,0.52,0.05,12,0.07,0.04,0,0,0,118,0.66,0.04,59,0.33,0.05,3,0.02,0.03,0,0,0,105,0.58,0.04,66,0.37,0.06,8,0.04,0.07,1,0.01,0.08,100,0.56,0.04,78,0.43,0.06,2,0.01,0.02,0,0,0,132,0.73,0.04,44,0.24,0.05,4,0.02,0.07,0,0,0,114,0.63,0.04,59,0.33,0.05,7,0.04,0.07,0,0,0,126,0.7,0.04,51,0.28,0.05,3,0.02,0.03,0,0,0
CIUDAD DE MÉXICO,63,0.37,0.04,96,0.57,0.04,11,0.07,0.03,0,0,0,121,0.71,0.04,47,0.28,0.04,2,0.01,0.03,0,0,0,88,0.52,0.04,70,0.41,0.04,12,0.07,0.04,0,0,0,124,0.73,0.04,42,0.25,0.03,4,0.02,0.04,0,0,0,113,0.67,0.04,49,0.29,0.04,8,0.05,0.07,0,0,0,114,0.67,0.04,52,0.31,0.04,4,0.02,0.04,0,0,0,136,0.8,0.04,33,0.19,0.04,1,0.01,0.02,0,0,0,115,0.68,0.04,52,0.31,0.04,3,0.02,0.03,0,0,0,124,0.73,0.04,44,0.26,0.04,2,0.01,0.02,0,0,0
COAHUILA,24,0.28,0.02,54,0.63,0.02,6,0.07,0.01,2,0.02,0.06,67,0.78,0.02,16,0.19,0.01,3,0.04,0.05,0,0,0,50,0.58,0.02,31,0.36,0.02,5,0.06,0.02,0,0,0,65,0.76,0.02,20,0.23,0.02,1,0.01,0.01,0,0,0,63,0.73,0.02,21,0.24,0.02,2,0.02,0.02,0,0,0,66,0.77,0.02,19,0.22,0.02,1,0.01,0.01,0,0,0,71,0.83,0.02,13,0.15,0.02,2,0.02,0.04,0,0,0,60,0.7,0.02,25,0.29,0.02,1,0.01,0.01,0,0,0,67,0.78,0.02,16,0.19,0.02,3,0.04,0.03,0,0,0
COLIMA,64,0.4,0.04,78,0.49,0.03,17,0.11,0.04,0,0,0,121,0.76,0.04,38,0.24,0.03,0,0,0,0,0,0,99,0.62,0.05,54,0.34,0.03,6,0.04,0.02,0,0,0,119,0.75,0.04,38,0.24,0.03,2,0.01,0.02,0,0,0,123,0.77,0.04,35,0.22,0.03,1,0.01,0.01,0,0,0,120,0.76,0.04,35,0.22,0.03,4,0.03,0.04,0,0,0,129,0.81,0.04,29,0.18,0.04,1,0.01,0.02,0,0,0,119,0.75,0.04,37,0.23,0.03,3,0.02,0.03,0,0,0,119,0.75,0.04,39,0.25,0.04,1,0.01,0.01,0,0,0
DURANGO,59,0.36,0.04,82,0.51,0.04,19,0.12,0.04,2,0.01,0.06,113,0.7,0.04,46,0.28,0.04,3,0.02,0.05,0,0,0,78,0.48,0.04,69,0.43,0.04,15,0.09,0.05,0,0,0,112,0.69,0.04,47,0.29,0.04,3,0.02,0.03,0,0,0,102,0.63,0.04,51,0.32,0.04,8,0.05,0.07,1,0.01,0.08,106,0.65,0.04,49,0.3,0.04,7,0.04,0.06,0,0,0,124,0.77,0.04,37,0.23,0.04,1,0.01,0.02,0,0,0,105,0.65,0.04,54,0.33,0.04,3,0.02,0.03,0,0,0,117,0.72,0.04,40,0.25,0.04,5,0.03,0.06,0,0,0
