Variable,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
AGUASCALIENTES,155,0.85,0.05,27,0.15,0.03,0,0,0,0,0,0,154,0.85,0.05,28,0.15,0.03,0,0,0,0,0,0,146,0.8,0.05,36,0.2,0.03,0,0,0,0,0,0,123,0.68,0.04,59,0.32,0.04,0,0,0,0,0,0,114,0.63,0.04,65,0.36,0.05,3,0.02,0.03,0,0,0,113,0.62,0.04,65,0.36,0.05,4,0.02,0.03,0,0,0
BAJA CALIFORNIA,34,0.77,0.01,9,0.21,0.01,1,0.02,0.03,0,0,0,34,0.77,0.01,10,0.23,0.01,0,0,0,0,0,0,31,0.71,0.01,12,0.27,0.01,1,0.02,0.02,0,0,0,28,0.64,0.01,15,0.34,0.01,1,0.02,0.01,0,0,0,27,0.61,0.01,17,0.39,0.01,0,0,0,0,0,0,26,0.59,0.01,17,0.39,0.01,1,0.02,0.01,0,0,0
BAJA CALIFORNIA SUR,141,0.77,0.04,42,0.23,0.05,1,0.01,0.03,0,0,0,147,0.8,0.04,35,0.19,0.04,2,0.01,0.05,0,0,0,136,0.74,0.04,46,0.25,0.04,2,0.01,0.04,0,0,0,128,0.7,0.05,55,0.3,0.04,1,0.01,0.01,0,0,0,119,0.65,0.04,60,0.33,0.04,5,0.03,0.05,0,0,0,120,0.65,0.05,56,0.3,0.04,6,0.03,0.05,2,0.01,0.29
CAMPECHE,90,0.78,0.03,24,0.21,0.03,2,0.02,0.07,0,0,0,95,0.82,0.03,19,0.16,0.02,0,0,0,2,0.02,0.22,93,0.8,0.03,21,0.18,0.02,2,0.02,0.04,0,0,0,80,0.69,0.03,34,0.29,0.03,2,0.02,0.02,0,0,0,73,0.63,0.03,42,0.36,0.03,1,0.01,0.01,0,0,0,75,0.65,0.03,37,0.32,0.03,4,0.03,0.03,0,0,0
CHIAPAS,50,0.64,0.02,27,0.35,0.03,1,0.01,0.03,0,0,0,46,0.59,0.01,31,0.4,0.04,1,0.01,0.02,0,0,0,46,0.59,0.02,31,0.4,0.03,1,0.01,0.02,0,0,0,43,0.55,0.02,31,0.4,0.02,4,0.05,0.05,0,0,0,47,0.6,0.02,29,0.37,0.02,2,0.03,0.02,0,0,0,36,0.46,0.01,37,0.47,0.03,5,0.06,0.04,0,0,0
CHIHUAHUA,133,0.74,0.04,43,0.24,0.05,4,0.02,0.13,0,0,0,135,0.75,0.04,40,0.22,0.05,5,0.03,0.12,0,0,0,122,0.68,0.04,54,0.3,0.05,4,0.02,0.08,0,0,0,100,0.56,0.04,73,0.41,0.05,6,0.03,0.07,1,0.01,0.2,105,0.58,0.04,70,0.39,0.05,5,0.03,0.05,0,0,0,89,0.49,0.03,81,0.45,0.06,10,0.06,0.08,0,0,0
CIUDAD DE MÉXICO,141,0.83,0.04,26,0.15,0.03,2,0.01,0.07,1,0.01,0.17,139,0.82,0.04,29,0.17,0.03,1,0.01,0.02,1,0.01,0.11,137,0.81,0.04,31,0.18,0.03,1,0.01,0.02,1,0.01,0.25,112,0.66,0.04,55,0.32,0.04,3,0.02,0.04,0,0,0,115,0.68,0.04,50,0.29,0.04,4,0.02,0.04,1,0.01,0.25,116,0.68,0.04,50,0.29,0.04,4,0.02,0.03,0,0,0
COAHUILA,74,0.86,0.02,12,0.14,0.01,0,0,0,0,0,0,72,0.84,0.02,14,0.16,0.02,0,0,0,0,0,0,69,0.8,0.02,17,0.2,0.02,0,0,0,0,0,0,66,0.77,0.02,18,0.21,0.01,2,0.02,0.02,0,0,0,62,0.72,0.02,24,0.28,0.02,0,0,0,0,0,0,64,0.74,0.02,22,0.26,0.02,0,0,0,0,0,0
COLIMA,132,0.83,0.04,27,0.17,0.03,0,0,0,0,0,0,137,0.86,0.04,22,0.14,0.03,0,0,0,0,0,0,125,0.79,0.04,33,0.21,0.03,1,0.01,0.02,0,0,0,112,0.7,0.04,45,0.28,0.03,2,0.01,0.02,0,0,0,121,0.76,0.04,36,0.23,0.03,2,0.01,0.02,0,0,0,112,0.7,0.04,46,0.29,0.03,1,0.01,0.01,0,0,0
DURANGO,116,0.72,0.03,46,0.28,0.05,0,0,0,0,0,0,116,0.72,0.04,41,0.25,0.05,4,0.03,0.1,1,0.01,0.11,108,0.67,0.03,51,0.32,0.05,3,0.02,0.06,0,0,0,89,0.55,0.03,67,0.41,0.05,6,0.04,0.07,0,0,0,92,0.57,0.03,64,0.4,0.05,6,0.04,0.06,0,0,0,89,0.55,0.03,62,0.38,0.04,11,0.07,0.08,0,0,0
