Variable,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
AGUASCALIENTES,117,0.64,0.05,63,0.35,0.04,1,0.01,0.01,1,0.01,0.11,124,0.68,0.05,54,0.3,0.03,3,0.02,0.08,1,0.01,0.17,118,0.65,0.05,63,0.35,0.04,1,0.01,0.03,0,0,0,111,0.61,0.05,66,0.36,0.04,5,0.03,0.06,0,0,0,102,0.56,0.05,77,0.42,0.04,3,0.02,0.02,0,0,0
BAJA CALIFORNIA,22,0.5,0.01,22,0.5,0.01,0,0,0,0,0,0,21,0.48,0.01,23,0.52,0.01,0,0,0,0,0,0,21,0.48,0.01,23,0.52,0.01,0,0,0,0,0,0,20,0.46,0.01,23,0.52,0.01,1,0.02,0.01,0,0,0,17,0.39,0.01,24,0.55,0.01,3,0.07,0.02,0,0,0
BAJA CALIFORNIA SUR,106,0.58,0.05,67,0.36,0.04,10,0.05,0.13,1,0.01,0.11,125,0.68,0.05,57,0.31,0.04,2,0.01,0.06,0,0,0,129,0.7,0.05,54,0.29,0.03,1,0.01,0.03,0,0,0,114,0.62,0.05,67,0.36,0.04,3,0.02,0.04,0,0,0,106,0.58,0.05,71,0.39,0.04,6,0.03,0.03,1,0.01,0.04
CAMPECHE,59,0.51,0.03,55,0.47,0.03,2,0.02,0.03,0,0,0,68,0.59,0.03,47,0.41,0.03,1,0.01,0.03,0,0,0,69,0.6,0.03,47,0.41,0.03,0,0,0,0,0,0,61,0.53,0.03,52,0.45,0.03,2,0.02,0.03,1,0.01,0.2,61,0.53,0.03,44,0.38,0.02,10,0.09,0.05,1,0.01,0.04
CHIAPAS,29,0.37,0.01,46,0.59,0.03,3,0.04,0.04,0,0,0,37,0.47,0.01,41,0.53,0.03,0,0,0,0,0,0,38,0.49,0.02,37,0.47,0.02,3,0.04,0.08,0,0,0,32,0.41,0.01,45,0.58,0.03,1,0.01,0.01,0,0,0,27,0.35,0.01,44,0.56,0.02,6,0.08,0.03,1,0.01,0.04
CHIHUAHUA,101,0.56,0.04,74,0.41,0.04,4,0.02,0.05,1,0.01,0.11,103,0.57,0.04,73,0.41,0.05,3,0.02,0.08,1,0.01,0.17,101,0.56,0.04,76,0.42,0.05,3,0.02,0.08,0,0,0,92,0.51,0.04,84,0.47,0.05,4,0.02,0.05,0,0,0,90,0.5,0.04,83,0.46,0.04,7,0.04,0.04,0,0,0
CIUDAD DE MÉXICO,103,0.61,0.04,63,0.37,0.04,4,0.02,0.05,0,0,0,120,0.71,0.05,47,0.28,0.03,2,0.01,0.06,1,0.01,0.17,116,0.68,0.04,51,0.3,0.03,2,0.01,0.05,1,0.01,0.2,102,0.6,0.04,64,0.38,0.04,4,0.02,0.05,0,0,0,84,0.49,0.04,78,0.46,0.04,5,0.03,0.03,3,0.02,0.11
COAHUILA,52,0.61,0.02,33,0.38,0.02,1,0.01,0.01,0,0,0,64,0.74,0.02,22,0.26,0.01,0,0,0,0,0,0,65,0.76,0.03,21,0.24,0.01,0,0,0,0,0,0,59,0.69,0.03,27,0.31,0.02,0,0,0,0,0,0,60,0.7,0.03,22,0.26,0.01,3,0.04,0.02,1,0.01,0.04
COLIMA,95,0.6,0.04,59,0.37,0.03,5,0.03,0.06,0,0,0,104,0.65,0.04,55,0.35,0.04,0,0,0,0,0,0,96,0.6,0.04,59,0.37,0.04,4,0.03,0.11,0,0,0,92,0.58,0.04,63,0.4,0.04,4,0.03,0.05,0,0,0,93,0.59,0.04,60,0.38,0.03,6,0.04,0.03,0,0,0
DURANGO,90,0.56,0.04,70,0.43,0.04,2,0.01,0.03,0,0,0,96,0.59,0.04,65,0.4,0.04,1,0.01,0.03,0,0,0,101,0.62,0.04,60,0.37,0.04,1,0.01,0.03,0,0,0,80,0.49,0.03,79,0.49,0.04,3,0.02,0.04,0,0,0,81,0.5,0.04,71,0.44,0.04,9,0.06,0.05,1,0.01,0.04
ESTADO DE MÉXICO,87,0.54,0.04,71,0.44,0.04,3,0.02,0.04,0,0,0,102,0.63,0.04,57,0.35,0.04,2,0.01,0.06,0,0,0,106,0.66,0.04,52,0.32,0.03,2,0.01,0.05,1,0.01,0.2,91,0.57,0.04,68,0.42,0.04,2,0.01,0.03,0,0,0,77,0.48,0.04,75,0.47,0.04,7,0.04,0.04,2,0.01,0.07
GUANAJUATO,108,0.64,0.05,58,0.35,0.03,2,0.01,0.03,0,0,0,113,0.67,0.04,54,0.32,0.03,1,0.01,0.03,0,0,0,107,0.64,0.04,60,0.36,0.04,1,0.01,0.03,0,0,0,95,0.57,0.04,69,0.41,0.04,4,0.02,0.05,0,0,0,79,0.47,0.04,77,0.46,0.04,12,0.07,0.06,0,0,0
GUERRERO,22,0.52,0.01,20,0.48,0.01,0,0,0,0,0,0,24,0.57,0.01,18,0.43,0.01,0,0,0,0,0,0,26,0.62,0.01,16,0.38,0.01,0,0,0,0,0,0,19,0.45,0.01,22,0.52,0.01,1,0.02,0.01,0,0,0,23,0.55,0.01,17,0.41,0.01,2,0.05,0.01,0,0,0
HIDALGO,95,0.61,0.04,59,0.38,0.03,1,0.01,0.01,0,0,0,102,0.66,0.04,53,0.34,0.03,0,0,0,0,0,0,99,0.64,0.04,56,0.36,0.04,0,0,0,0,0,0,93,0.6,0.04,61,0.39,0.03,1,0.01,0.01,0,0,0,87,0.56,0.04,61,0.39,0.03,7,0.05,0.04,0,0,0
JALISCO,77,0.57,0.03,56,0.42,0.03,2,0.02,0.03,0,0,0,80,0.59,0.03,54,0.4,0.03,1,0.01,0.03,0,0,0,86,0.64,0.03,47,0.35,0.03,2,0.02,0.05,0,0,0,79,0.59,0.03,51,0.38,0.03,5,0.04,0.06,0,0,0,81,0.6,0.04,45,0.33,0.02,9,0.07,0.05,0,0,0
MICHOACÁN,11,0.33,0.01,21,0.64,0.01,1,0.03,0.01,0,0,0,20,0.61,0.01,12,0.36,0.01,1,0.03,0.03,0,0,0,18,0.55,0.01,15,0.46,0.01,0,0,0,0,0,0,16,0.49,0.01,17,0.52,0.01,0,0,0,0,0,0,11,0.33,0.01,20,0.61,0.01,2,0.06,0.01,0,0,0
