Variable,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
AGUASCALIENTES,120,0.66,0.05,61,0.34,0.04,1,0.01,0.02,0,0,0,110,0.6,0.05,71,0.39,0.04,1,0.01,0.01,0,0,0,101,0.56,0.05,76,0.42,0.04,3,0.02,0.02,2,0.01,0.13,91,0.5,0.05,84,0.46,0.04,6,0.03,0.03,1,0.01,0.08,81,0.45,0.05,83,0.46,0.04,17,0.09,0.05,1,0.01,0.04,81,0.45,0.05,91,0.5,0.04,9,0.05,0.03,1,0.01,0.04,89,0.49,0.05,78,0.43,0.04,14,0.08,0.04,1,0.01,0.03
BAJA CALIFORNIA,21,0.48,0.01,23,0.52,0.01,0,0,0,0,0,0,18,0.41,0.01,25,0.57,0.01,1,0.02,0.01,0,0,0,21,0.48,0.01,22,0.5,0.01,1,0.02,0.01,0,0,0,18,0.41,0.01,25,0.57,0.01,1,0.02,0.01,0,0,0,14,0.32,0.01,25,0.57,0.01,4,0.09,0.01,1,0.02,0.04,15,0.34,0.01,27,0.61,0.01,1,0.02,0,1,0.02,0.04,14,0.32,0.01,28,0.64,0.01,1,0.02,0,1,0.02,0.03
BAJA CALIFORNIA SUR,125,0.68,0.05,58,0.32,0.04,1,0.01,0.02,0,0,0,119,0.65,0.05,60,0.33,0.03,5,0.03,0.06,0,0,0,111,0.6,0.05,65,0.35,0.03,8,0.04,0.05,0,0,0,93,0.51,0.05,87,0.47,0.04,4,0.02,0.02,0,0,0,80,0.44,0.05,90,0.49,0.04,14,0.08,0.04,0,0,0,85,0.46,0.05,86,0.47,0.04,13,0.07,0.05,0,0,0,85,0.46,0.05,89,0.48,0.04,10,0.05,0.03,0,0,0
CAMPECHE,68,0.59,0.03,47,0.41,0.03,1,0.01,0.02,0,0,0,62,0.53,0.03,51,0.44,0.03,3,0.03,0.03,0,0,0,60,0.52,0.03,47,0.41,0.02,7,0.06,0.04,2,0.02,0.13,53,0.46,0.03,52,0.45,0.02,9,0.08,0.05,2,0.02,0.15,45,0.39,0.03,61,0.53,0.03,7,0.06,0.02,3,0.03,0.12,51,0.44,0.03,58,0.5,0.03,5,0.04,0.02,2,0.02,0.07,47,0.41,0.03,60,0.52,0.03,8,0.07,0.02,1,0.01,0.03
CHIAPAS,37,0.47,0.02,41,0.53,0.03,0,0,0,0,0,0,32,0.41,0.01,44,0.56,0.03,2,0.03,0.02,0,0,0,27,0.35,0.01,43,0.55,0.02,7,0.09,0.04,1,0.01,0.06,18,0.23,0.01,54,0.69,0.02,6,0.08,0.03,0,0,0,18,0.23,0.01,54,0.69,0.02,6,0.08,0.02,0,0,0,17,0.22,0.01,53,0.68,0.02,8,0.1,0.03,0,0,0,21,0.27,0.01,52,0.67,0.02,5,0.06,0.02,0,0,0
CHIHUAHUA,100,0.56,0.04,78,0.43,0.05,2,0.01,0.03,0,0,0,88,0.49,0.04,89,0.49,0.05,3,0.02,0.03,0,0,0,81,0.45,0.04,92,0.51,0.05,6,0.03,0.04,1,0.01,0.06,65,0.36,0.04,107,0.59,0.05,8,0.04,0.05,0,0,0,63,0.35,0.04,102,0.57,0.04,13,0.07,0.04,2,0.01,0.08,68,0.38,0.04,101,0.56,0.05,9,0.05,0.03,2,0.01,0.07,66,0.37,0.04,93,0.52,0.04,17,0.09,0.05,4,0.02,0.13
CIUDAD DE MÉXICO,101,0.59,0.04,66,0.39,0.04,3,0.02,0.05,0,0,0,96,0.57,0.04,70,0.41,0.04,4,0.02,0.04,0,0,0,91,0.54,0.04,72,0.42,0.04,6,0.04,0.04,1,0.01,0.06,75,0.44,0.04,88,0.52,0.04,7,0.04,0.04,0,0,0,61,0.36,0.04,96,0.57,0.04,11,0.07,0.03,2,0.01,0.08,57,0.34,0.03,96,0.57,0.04,16,0.09,0.06,1,0.01,0.04,71,0.42,0.04,85,0.5,0.04,13,0.08,0.04,1,0.01,0.03
COAHUILA,57,0.66,0.02,26,0.3,0.02,3,0.04,0.05,0,0,0,53,0.62,0.02,31,0.36,0.02,0,0,0,2,0.02,0.25,53,0.62,0.03,31,0.36,0.02,2,0.02,0.01,0,0,0,47,0.55,0.03,36,0.42,0.02,2,0.02,0.01,1,0.01,0.08,36,0.42,0.02,45,0.52,0.02,4,0.05,0.01,1,0.01,0.04,44,0.51,0.03,37,0.43,0.02,4,0.05,0.02,1,0.01,0.04,42,0.49,0.03,36,0.42,0.02,6,0.07,0.02,2,0.02,0.06
COLIMA,100,0.63,0.04,56,0.35,0.03,2,0.01,0.03,1,0.01,0.2,94,0.59,0.04,61,0.38,0.04,4,0.03,0.04,0,0,0,90,0.57,0.04,63,0.4,0.03,6,0.04,0.04,0,0,0,79,0.5,0.04,71,0.45,0.03,9,0.06,0.05,0,0,0,64,0.4,0.04,75,0.47,0.03,20,0.13,0.06,0,0,0,72,0.45,0.04,75,0.47,0.03,12,0.08,0.04,0,0,0,63,0.4,0.04,79,0.5,0.04,17,0.11,0.05,0,0,0
DURANGO,106,0.65,0.04,53,0.33,0.03,3,0.02,0.05,0,0,0,94,0.58,0.04,66,0.41,0.04,2,0.01,0.02,0,0,0,80,0.49,0.04,69,0.43,0.04,13,0.08,0.08,0,0,0,68,0.42,0.04,86,0.53,0.04,7,0.04,0.04,1,0.01,0.08,60,0.37,0.04,84,0.52,0.04,17,0.11,0.05,1,0.01,0.04,58,0.36,0.03,93,0.57,0.04,9,0.06,0.03,2,0.01,0.07,60,0.37,0.04,83,0.51,0.04,17,0.11,0.05,2,0.01,0.06
