Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas
AGUASCALIENTES,118,0.65,0.05,63,0.35,0.04,1,0.01,0.01,0,0,0,129,0.71,0.05,50,0.28,0.03,3,0.02,0.04,0,0,0,149,0.82,0.05,33,0.18,0.03,0,0,0,0,0,0,119,0.65,0.05,63,0.35,0.04,0,0,0,0,0,0,124,0.68,0.05,56,0.31,0.04,1,0.01,0.01,1,0.01,0.13
BAJA CALIFORNIA,25,0.57,0.01,18,0.41,0.01,1,0.02,0.01,0,0,0,20,0.46,0.01,23,0.52,0.01,1,0.02,0.01,0,0,0,30,0.68,0.01,14,0.32,0.01,0,0,0,0,0,0,29,0.66,0.01,14,0.32,0.01,1,0.02,0.01,0,0,0,22,0.5,0.01,20,0.46,0.01,2,0.05,0.01,0,0,0
BAJA CALIFORNIA SUR,118,0.64,0.05,60,0.33,0.04,5,0.03,0.04,1,0.01,0.17,111,0.6,0.04,69,0.38,0.04,3,0.02,0.04,1,0.01,0.25,149,0.81,0.05,33,0.18,0.03,2,0.01,0.04,0,0,0,131,0.71,0.05,52,0.28,0.03,1,0.01,0.01,0,0,0,127,0.69,0.05,51,0.28,0.03,6,0.03,0.04,0,0,0
CAMPECHE,71,0.61,0.03,40,0.35,0.02,5,0.04,0.04,0,0,0,71,0.61,0.03,43,0.37,0.03,2,0.02,0.02,0,0,0,85,0.73,0.03,31,0.27,0.03,0,0,0,0,0,0,68,0.59,0.03,43,0.37,0.03,4,0.03,0.05,1,0.01,0.25,79,0.68,0.03,33,0.28,0.02,4,0.03,0.03,0,0,0
CHIAPAS,38,0.49,0.02,35,0.45,0.02,5,0.06,0.04,0,0,0,39,0.5,0.02,39,0.5,0.02,0,0,0,0,0,0,45,0.58,0.01,31,0.4,0.03,2,0.03,0.04,0,0,0,35,0.45,0.01,43,0.55,0.03,0,0,0,0,0,0,35,0.45,0.01,41,0.53,0.03,2,0.03,0.01,0,0,0
CHIHUAHUA,98,0.54,0.04,80,0.44,0.05,2,0.01,0.02,0,0,0,99,0.55,0.04,75,0.42,0.05,6,0.03,0.07,0,0,0,128,0.71,0.04,47,0.26,0.04,5,0.03,0.1,0,0,0,104,0.58,0.04,71,0.39,0.05,5,0.03,0.06,0,0,0,98,0.54,0.04,70,0.39,0.05,12,0.07,0.09,0,0,0
CIUDAD DE MÉXICO,87,0.51,0.04,77,0.45,0.05,6,0.04,0.04,0,0,0,102,0.6,0.04,65,0.38,0.04,3,0.02,0.04,0,0,0,132,0.78,0.04,33,0.19,0.03,4,0.02,0.08,1,0.01,0.25,103,0.61,0.04,65,0.38,0.04,2,0.01,0.02,0,0,0,99,0.58,0.04,58,0.34,0.04,13,0.08,0.09,0,0,0
COAHUILA,55,0.64,0.02,30,0.35,0.02,1,0.01,0.01,0,0,0,61,0.71,0.02,24,0.28,0.01,1,0.01,0.01,0,0,0,69,0.8,0.02,17,0.2,0.02,0,0,0,0,0,0,65,0.76,0.03,21,0.24,0.01,0,0,0,0,0,0,59,0.69,0.02,26,0.3,0.02,1,0.01,0.01,0,0,0
COLIMA,95,0.6,0.04,60,0.38,0.04,4,0.03,0.03,0,0,0,102,0.64,0.04,53,0.33,0.03,4,0.03,0.05,0,0,0,122,0.77,0.04,34,0.21,0.03,3,0.02,0.06,0,0,0,107,0.67,0.04,50,0.31,0.03,2,0.01,0.02,0,0,0,111,0.7,0.04,44,0.28,0.03,4,0.03,0.03,0,0,0
DURANGO,94,0.58,0.04,59,0.36,0.03,9,0.06,0.07,0,0,0,100,0.62,0.04,59,0.36,0.04,3,0.02,0.04,0,0,0,122,0.75,0.04,37,0.23,0.04,3,0.02,0.06,0,0,0,105,0.65,0.04,51,0.32,0.03,6,0.04,0.07,0,0,0,106,0.65,0.04,50,0.31,0.03,6,0.04,0.04,0,0,0
