Variable,B6-A-Totalmente de acuerdo-Recuento,B6-A-Totalmente de acuerdo-% del N de fila,B6-A-Totalmente de acuerdo-% de N columnas,B6-A-De acuerdo-Recuento,B6-A-De acuerdo-% del N de fila,B6-A-De acuerdo-% de N columnas,B6-A-En desacuerdo-Recuento,B6-A-En desacuerdo-% del N de fila,B6-A-En desacuerdo-% de N columnas,B6-A-Totalmente en desacuerdo-Recuento,B6-A-Totalmente en desacuerdo-% del N de fila,B6-A-Totalmente en desacuerdo-% de N columnas,B6-A-No sé o no estoy seguro-Recuento,B6-A-No sé o no estoy seguro-% del N de fila,B6-A-No sé o no estoy seguro-% de N columnas,B6-B-Totalmente de acuerdo-Recuento,B6-B-Totalmente de acuerdo-% del N de fila,B6-B-Totalmente de acuerdo-% de N columnas,B6-B-De acuerdo-Recuento,B6-B-De acuerdo-% del N de fila,B6-B-De acuerdo-% de N columnas,B6-B-En desacuerdo-Recuento,B6-B-En desacuerdo-% del N de fila,B6-B-En desacuerdo-% de N columnas,B6-B-Totalmente en desacuerdo-Recuento,B6-B-Totalmente en desacuerdo-% del N de fila,B6-B-Totalmente en desacuerdo-% de N columnas,B6-B-No sé o no estoy seguro-Recuento,B6-B-No sé o no estoy seguro-% del N de fila,B6-B-No sé o no estoy seguro-% de N columnas,B6-C-Totalmente de acuerdo-Recuento,B6-C-Totalmente de acuerdo-% del N de fila,B6-C-Totalmente de acuerdo-% de N columnas,B6-C-De acuerdo-Recuento,B6-C-De acuerdo-% del N de fila,B6-C-De acuerdo-% de N columnas,B6-C-En desacuerdo-Recuento,B6-C-En desacuerdo-% del N de fila,B6-C-En desacuerdo-% de N columnas,B6-C-Totalmente en desacuerdo-Recuento,B6-C-Totalmente en desacuerdo-% del N de fila,B6-C-Totalmente en desacuerdo-% de N columnas,B6-C-No sé o no estoy seguro-Recuento,B6-C-No sé o no estoy seguro-% del N de fila,B6-C-No sé o no estoy seguro-% de N columnas,B6-D-Totalmente de acuerdo-Recuento,B6-D-Totalmente de acuerdo-% del N de fila,B6-D-Totalmente de acuerdo-% de N columnas,B6-D-De acuerdo-Recuento,B6-D-De acuerdo-% del N de fila,B6-D-De acuerdo-% de N columnas,B6-D-En desacuerdo-Recuento,B6-D-En desacuerdo-% del N de fila,B6-D-En desacuerdo-% de N columnas,B6-D-Totalmente en desacuerdo-Recuento,B6-D-Totalmente en desacuerdo-% del N de fila,B6-D-Totalmente en desacuerdo-% de N columnas,B6-D-No sé o no estoy seguro-Recuento,B6-D-No sé o no estoy seguro-% del N de fila,B6-D-No sé o no estoy seguro-% de N columnas,B6-E-Totalmente de acuerdo-Recuento,B6-E-Totalmente de acuerdo-% del N de fila,B6-E-Totalmente de acuerdo-% de N columnas,B6-E-De acuerdo-Recuento,B6-E-De acuerdo-% del N de fila,B6-E-De acuerdo-% de N columnas,B6-E-En desacuerdo-Recuento,B6-E-En desacuerdo-% del N de fila,B6-E-En desacuerdo-% de N columnas,B6-E-Totalmente en desacuerdo-Recuento,B6-E-Totalmente en desacuerdo-% del N de fila,B6-E-Totalmente en desacuerdo-% de N columnas,B6-E-No sé o no estoy seguro-Recuento,B6-E-No sé o no estoy seguro-% del N de fila,B6-E-No sé o no estoy seguro-% de N columnas,B6-F-Totalmente de acuerdo-Recuento,B6-F-Totalmente de acuerdo-% del N de fila,B6-F-Totalmente de acuerdo-% de N columnas,B6-F-De acuerdo-Recuento,B6-F-De acuerdo-% del N de fila,B6-F-De acuerdo-% de N columnas,B6-F-En desacuerdo-Recuento,B6-F-En desacuerdo-% del N de fila,B6-F-En desacuerdo-% de N columnas,B6-F-Totalmente en desacuerdo-Recuento,B6-F-Totalmente en desacuerdo-% del N de fila,B6-F-Totalmente en desacuerdo-% de N columnas,B6-F-No sé o no estoy seguro-Recuento,B6-F-No sé o no estoy seguro-% del N de fila,B6-F-No sé o no estoy seguro-% de N columnas,B6-G-Totalmente de acuerdo-Recuento,B6-G-Totalmente de acuerdo-% del N de fila,B6-G-Totalmente de acuerdo-% de N columnas,B6-G-De acuerdo-Recuento,B6-G-De acuerdo-% del N de fila,B6-G-De acuerdo-% de N columnas,B6-G-En desacuerdo-Recuento,B6-G-En desacuerdo-% del N de fila,B6-G-En desacuerdo-% de N columnas,B6-G-Totalmente en desacuerdo-Recuento,B6-G-Totalmente en desacuerdo-% del N de fila,B6-G-Totalmente en desacuerdo-% de N columnas,B6-G-No sé o no estoy seguro-Recuento,B6-G-No sé o no estoy seguro-% del N de fila,B6-G-No sé o no estoy seguro-% de N columnas,B6-H-Totalmente de acuerdo-Recuento,B6-H-Totalmente de acuerdo-% del N de fila,B6-H-Totalmente de acuerdo-% de N columnas,B6-H-De acuerdo-Recuento,B6-H-De acuerdo-% del N de fila,B6-H-De acuerdo-% de N columnas,B6-H-En desacuerdo-Recuento,B6-H-En desacuerdo-% del N de fila,B6-H-En desacuerdo-% de N columnas,B6-H-Totalmente en desacuerdo-Recuento,B6-H-Totalmente en desacuerdo-% del N de fila,B6-H-Totalmente en desacuerdo-% de N columnas,B6-H-No sé o no estoy seguro-Recuento,B6-H-No sé o no estoy seguro-% del N de fila,B6-H-No sé o no estoy seguro-% de N columnas,B6-I-Totalmente de acuerdo-Recuento,B6-I-Totalmente de acuerdo-% del N de fila,B6-I-Totalmente de acuerdo-% de N columnas,B6-I-De acuerdo-Recuento,B6-I-De acuerdo-% del N de fila,B6-I-De acuerdo-% de N columnas,B6-I-En desacuerdo-Recuento,B6-I-En desacuerdo-% del N de fila,B6-I-En desacuerdo-% de N columnas,B6-I-Totalmente en desacuerdo-Recuento,B6-I-Totalmente en desacuerdo-% del N de fila,B6-I-Totalmente en desacuerdo-% de N columnas,B6-I-No sé o no estoy seguro-Recuento,B6-I-No sé o no estoy seguro-% del N de fila,B6-I-No sé o no estoy seguro-% de N columnas
AGUASCALIENTES,61,0.335,0.051,108,0.593,0.042,10,0.055,0.034,0,0,0,3,0.016,0.016,89,0.489,0.049,86,0.473,0.038,3,0.016,0.022,0,0,0,4,0.022,0.089,107,0.588,0.05,68,0.374,0.035,3,0.016,0.028,1,0.005,0.067,3,0.016,0.13,117,0.643,0.05,61,0.335,0.034,0,0,0,1,0.005,0.091,3,0.016,0.158,86,0.473,0.05,88,0.484,0.038,3,0.016,0.03,0,0,0,5,0.027,0.04,87,0.478,0.056,83,0.456,0.038,8,0.044,0.023,1,0.005,0.017,3,0.016,0.03,110,0.604,0.052,65,0.357,0.033,4,0.022,0.031,1,0.005,0.037,2,0.011,0.067,103,0.566,0.051,73,0.401,0.036,3,0.016,0.024,2,0.011,0.182,1,0.005,0.016,84,0.462,0.052,87,0.478,0.038,7,0.038,0.031,2,0.011,0.083,2,0.011,0.015
BAJA CALIFORNIA,8,0.182,0.007,27,0.614,0.011,4,0.091,0.014,0,0,0,5,0.114,0.026,14,0.318,0.008,28,0.636,0.013,1,0.023,0.007,0,0,0,1,0.023,0.022,16,0.364,0.007,27,0.614,0.014,0,0,0,0,0,0,1,0.023,0.043,22,0.5,0.009,21,0.477,0.012,0,0,0,0,0,0,1,0.023,0.053,15,0.341,0.009,27,0.614,0.012,0,0,0,0,0,0,2,0.045,0.016,18,0.409,0.012,20,0.455,0.009,2,0.045,0.006,1,0.023,0.017,3,0.068,0.03,22,0.5,0.01,20,0.455,0.01,0,0,0,1,0.023,0.037,1,0.023,0.033,20,0.455,0.01,21,0.477,0.01,1,0.023,0.008,0,0,0,2,0.045,0.033,14,0.318,0.009,25,0.568,0.011,2,0.045,0.009,0,0,0,3,0.068,0.022
BAJA CALIFORNIA SUR,57,0.31,0.048,102,0.554,0.04,12,0.065,0.041,2,0.011,0.087,11,0.06,0.058,98,0.533,0.054,78,0.424,0.035,5,0.027,0.037,1,0.005,0.063,2,0.011,0.044,102,0.554,0.048,75,0.408,0.038,6,0.033,0.057,1,0.005,0.067,0,0,0,111,0.603,0.047,69,0.375,0.038,2,0.011,0.036,1,0.005,0.091,1,0.005,0.053,83,0.451,0.048,89,0.484,0.039,3,0.016,0.03,1,0.005,0.091,8,0.043,0.065,84,0.457,0.054,74,0.402,0.034,15,0.082,0.043,3,0.016,0.052,8,0.043,0.08,98,0.533,0.047,80,0.435,0.041,3,0.016,0.024,2,0.011,0.074,1,0.005,0.033,111,0.603,0.055,67,0.364,0.033,3,0.016,0.024,0,0,0,3,0.016,0.049,80,0.435,0.05,87,0.473,0.038,10,0.054,0.045,0,0,0,7,0.038,0.052
CAMPECHE,37,0.319,0.031,67,0.578,0.026,8,0.069,0.027,1,0.009,0.043,3,0.026,0.016,41,0.353,0.023,68,0.586,0.03,5,0.043,0.037,0,0,0,2,0.017,0.044,52,0.448,0.024,61,0.526,0.031,3,0.026,0.028,0,0,0,0,0,0,58,0.5,0.025,57,0.491,0.031,1,0.009,0.018,0,0,0,0,0,0,44,0.379,0.026,63,0.543,0.027,4,0.034,0.04,1,0.009,0.091,4,0.034,0.032,44,0.379,0.028,56,0.483,0.026,12,0.103,0.034,2,0.017,0.034,2,0.017,0.02,51,0.44,0.024,61,0.526,0.031,3,0.026,0.024,1,0.009,0.037,0,0,0,54,0.466,0.027,56,0.483,0.028,3,0.026,0.024,1,0.009,0.091,2,0.017,0.033,42,0.362,0.026,66,0.569,0.029,5,0.043,0.022,1,0.009,0.042,2,0.017,0.015
CHIAPAS,13,0.167,0.011,58,0.744,0.023,6,0.077,0.02,0,0,0,1,0.013,0.005,23,0.295,0.013,52,0.667,0.023,1,0.013,0.007,1,0.013,0.063,1,0.013,0.022,31,0.397,0.014,45,0.577,0.023,0,0,0,1,0.013,0.067,1,0.013,0.043,32,0.41,0.014,43,0.551,0.024,2,0.026,0.036,1,0.013,0.091,0,0,0,20,0.256,0.012,52,0.667,0.023,2,0.026,0.02,0,0,0,4,0.051,0.032,21,0.269,0.014,53,0.679,0.024,1,0.013,0.003,1,0.013,0.017,2,0.026,0.02,28,0.359,0.013,46,0.59,0.023,1,0.013,0.008,1,0.013,0.037,2,0.026,0.067,31,0.397,0.015,40,0.513,0.02,2,0.026,0.016,1,0.013,0.091,4,0.051,0.066,18,0.231,0.011,54,0.692,0.024,1,0.013,0.004,3,0.038,0.125,2,0.026,0.015
CHIHUAHUA,36,0.2,0.03,117,0.65,0.046,12,0.067,0.041,2,0.011,0.087,13,0.072,0.069,58,0.322,0.032,111,0.617,0.05,8,0.044,0.06,1,0.006,0.063,2,0.011,0.044,79,0.439,0.037,90,0.5,0.046,8,0.044,0.075,1,0.006,0.067,2,0.011,0.087,89,0.494,0.038,86,0.478,0.047,3,0.017,0.054,0,0,0,2,0.011,0.105,52,0.289,0.03,115,0.639,0.05,5,0.028,0.05,0,0,0,8,0.044,0.065,64,0.356,0.041,92,0.511,0.042,15,0.083,0.043,2,0.011,0.034,7,0.039,0.07,86,0.478,0.041,82,0.456,0.042,9,0.05,0.071,0,0,0,3,0.017,0.1,80,0.444,0.04,93,0.517,0.046,4,0.022,0.031,0,0,0,3,0.017,0.049,56,0.311,0.035,106,0.589,0.047,9,0.05,0.04,1,0.006,0.042,8,0.044,0.06
CIUDAD DE MÉXICO,46,0.271,0.039,100,0.588,0.039,14,0.082,0.047,0,0,0,10,0.059,0.053,76,0.447,0.042,86,0.506,0.038,5,0.029,0.037,0,0,0,3,0.018,0.067,91,0.535,0.043,76,0.447,0.039,3,0.018,0.028,0,0,0,0,0,0,102,0.6,0.043,65,0.382,0.036,3,0.018,0.054,0,0,0,0,0,0,69,0.406,0.04,90,0.529,0.039,3,0.018,0.03,0,0,0,8,0.047,0.065,56,0.329,0.036,83,0.488,0.038,21,0.124,0.06,7,0.041,0.121,3,0.018,0.03,84,0.494,0.04,75,0.441,0.038,6,0.035,0.047,2,0.012,0.074,3,0.018,0.1,77,0.453,0.038,79,0.465,0.039,10,0.059,0.079,0,0,0,4,0.024,0.066,67,0.394,0.042,84,0.494,0.037,9,0.053,0.04,0,0,0,10,0.059,0.075
COAHUILA,33,0.384,0.028,41,0.477,0.016,6,0.07,0.02,2,0.023,0.087,4,0.047,0.021,40,0.465,0.022,40,0.465,0.018,3,0.035,0.022,2,0.023,0.125,1,0.012,0.022,45,0.523,0.021,34,0.395,0.017,4,0.047,0.038,2,0.023,0.133,1,0.012,0.043,50,0.581,0.021,35,0.407,0.019,0,0,0,1,0.012,0.091,0,0,0,40,0.465,0.023,42,0.488,0.018,3,0.035,0.03,0,0,0,1,0.012,0.008,32,0.372,0.021,39,0.453,0.018,11,0.128,0.032,3,0.035,0.052,1,0.012,0.01,44,0.512,0.021,38,0.442,0.019,3,0.035,0.024,0,0,0,1,0.012,0.033,46,0.535,0.023,36,0.419,0.018,3,0.035,0.024,0,0,0,1,0.012,0.016,40,0.465,0.025,36,0.419,0.016,5,0.058,0.022,1,0.012,0.042,4,0.047,0.03
COLIMA,51,0.321,0.043,84,0.528,0.033,11,0.069,0.037,1,0.006,0.043,12,0.075,0.063,78,0.491,0.043,75,0.472,0.034,4,0.025,0.03,0,0,0,2,0.013,0.044,92,0.579,0.043,66,0.415,0.034,1,0.006,0.009,0,0,0,0,0,0,104,0.654,0.044,53,0.333,0.029,2,0.013,0.036,0,0,0,0,0,0,82,0.516,0.048,70,0.44,0.031,4,0.025,0.04,0,0,0,3,0.019,0.024,64,0.403,0.041,71,0.447,0.032,17,0.107,0.049,2,0.013,0.034,5,0.031,0.05,90,0.566,0.043,59,0.371,0.03,7,0.044,0.055,2,0.013,0.074,1,0.006,0.033,87,0.547,0.043,68,0.428,0.033,1,0.006,0.008,0,0,0,3,0.019,0.049,66,0.415,0.041,75,0.472,0.033,9,0.057,0.04,0,0,0,9,0.057,0.067
DURANGO,46,0.284,0.039,91,0.562,0.036,19,0.117,0.064,0,0,0,6,0.037,0.032,66,0.407,0.036,89,0.549,0.04,2,0.012,0.015,2,0.012,0.125,3,0.019,0.067,78,0.481,0.036,75,0.463,0.038,6,0.037,0.057,2,0.012,0.133,1,0.006,0.043,99,0.611,0.042,59,0.364,0.033,2,0.012,0.036,1,0.006,0.091,1,0.006,0.053,69,0.426,0.04,81,0.5,0.035,4,0.025,0.04,2,0.012,0.182,6,0.037,0.048,67,0.414,0.043,85,0.525,0.039,8,0.049,0.023,1,0.006,0.017,1,0.006,0.01,90,0.556,0.043,67,0.414,0.034,5,0.031,0.039,0,0,0,0,0,0,80,0.494,0.04,75,0.463,0.037,4,0.025,0.031,0,0,0,3,0.019,0.049,64,0.395,0.04,77,0.475,0.034,13,0.08,0.058,0,0,0,8,0.049,0.06
