Variable,B2-A-Totalmente de acuerdo-Recuento,B2-A-Totalmente de acuerdo-% del N de fila,B2-A-Totalmente de acuerdo-% de N columnas,B2-A-De acuerdo-Recuento,B2-A-De acuerdo-% del N de fila,B2-A-De acuerdo-% de N columnas,B2-A-En desacuerdo-Recuento,B2-A-En desacuerdo-% del N de fila,B2-A-En desacuerdo-% de N columnas,B2-A-Totalmente en desacuerdo-Recuento,B2-A-Totalmente en desacuerdo-% del N de fila,B2-A-Totalmente en desacuerdo-% de N columnas,B2-B-Totalmente de acuerdo-Recuento,B2-B-Totalmente de acuerdo-% del N de fila,B2-B-Totalmente de acuerdo-% de N columnas,B2-B-De acuerdo-Recuento,B2-B-De acuerdo-% del N de fila,B2-B-De acuerdo-% de N columnas,B2-B-En desacuerdo-Recuento,B2-B-En desacuerdo-% del N de fila,B2-B-En desacuerdo-% de N columnas,B2-B-Totalmente en desacuerdo-Recuento,B2-B-Totalmente en desacuerdo-% del N de fila,B2-B-Totalmente en desacuerdo-% de N columnas,B2-C-Totalmente de acuerdo-Recuento,B2-C-Totalmente de acuerdo-% del N de fila,B2-C-Totalmente de acuerdo-% de N columnas,B2-C-De acuerdo-Recuento,B2-C-De acuerdo-% del N de fila,B2-C-De acuerdo-% de N columnas,B2-C-En desacuerdo-Recuento,B2-C-En desacuerdo-% del N de fila,B2-C-En desacuerdo-% de N columnas,B2-C-Totalmente en desacuerdo-Recuento,B2-C-Totalmente en desacuerdo-% del N de fila,B2-C-Totalmente en desacuerdo-% de N columnas,B2-D-Totalmente de acuerdo-Recuento,B2-D-Totalmente de acuerdo-% del N de fila,B2-D-Totalmente de acuerdo-% de N columnas,B2-D-De acuerdo-Recuento,B2-D-De acuerdo-% del N de fila,B2-D-De acuerdo-% de N columnas,B2-D-En desacuerdo-Recuento,B2-D-En desacuerdo-% del N de fila,B2-D-En desacuerdo-% de N columnas,B2-D-Totalmente en desacuerdo-Recuento,B2-D-Totalmente en desacuerdo-% del N de fila,B2-D-Totalmente en desacuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-En desacuerdo-Recuento,B2-E-En desacuerdo-% del N de fila,B2-E-En desacuerdo-% de N columnas,B2-E-Totalmente en desacuerdo-Recuento,B2-E-Totalmente en desacuerdo-% del N de fila,B2-E-Totalmente en desacuerdo-% de N columnas,B2-F-Totalmente de acuerdo-Recuento,B2-F-Totalmente de acuerdo-% del N de fila,B2-F-Totalmente de acuerdo-% de N columnas,B2-F-De acuerdo-Recuento,B2-F-De acuerdo-% del N de fila,B2-F-De acuerdo-% de N columnas,B2-F-En desacuerdo-Recuento,B2-F-En desacuerdo-% del N de fila,B2-F-En desacuerdo-% de N columnas,B2-F-Totalmente en desacuerdo-Recuento,B2-F-Totalmente en desacuerdo-% del N de fila,B2-F-Totalmente en desacuerdo-% de N columnas,B2-G-Totalmente de acuerdo-Recuento,B2-G-Totalmente de acuerdo-% del N de fila,B2-G-Totalmente de acuerdo-% de N columnas,B2-G-De acuerdo-Recuento,B2-G-De acuerdo-% del N de fila,B2-G-De acuerdo-% de N columnas,B2-G-En desacuerdo-Recuento,B2-G-En desacuerdo-% del N de fila,B2-G-En desacuerdo-% de N columnas,B2-G-Totalmente en desacuerdo-Recuento,B2-G-Totalmente en desacuerdo-% del N de fila,B2-G-Totalmente en desacuerdo-% de N columnas,B2-H-Totalmente de acuerdo-Recuento,B2-H-Totalmente de acuerdo-% del N de fila,B2-H-Totalmente de acuerdo-% de N columnas,B2-H-De acuerdo-Recuento,B2-H-De acuerdo-% del N de fila,B2-H-De acuerdo-% de N columnas,B2-H-En desacuerdo-Recuento,B2-H-En desacuerdo-% del N de fila,B2-H-En desacuerdo-% de N columnas,B2-H-Totalmente en desacuerdo-Recuento,B2-H-Totalmente en desacuerdo-% del N de fila,B2-H-Totalmente en desacuerdo-% de N columnas,B2-I-Totalmente de acuerdo-Recuento,B2-I-Totalmente de acuerdo-% del N de fila,B2-I-Totalmente de acuerdo-% de N columnas,B2-I-De acuerdo-Recuento,B2-I-De acuerdo-% del N de fila,B2-I-De acuerdo-% de N columnas,B2-I-En desacuerdo-Recuento,B2-I-En desacuerdo-% del N de fila,B2-I-En desacuerdo-% de N columnas,B2-I-Totalmente en desacuerdo-Recuento,B2-I-Totalmente en desacuerdo-% del N de fila,B2-I-Totalmente en desacuerdo-% de N columnas
AGUASCALIENTES,115,0.63,0.05,61,0.34,0.04,5,0.03,0.04,1,0.01,0.06,108,0.59,0.04,65,0.36,0.04,8,0.04,0.05,1,0.01,0.04,113,0.62,0.04,67,0.37,0.04,1,0.01,0.01,1,0.01,0.08,101,0.56,0.04,77,0.42,0.04,4,0.02,0.03,0,0,0,103,0.57,0.04,64,0.35,0.04,12,0.07,0.05,3,0.02,0.09,101,0.56,0.05,75,0.41,0.04,5,0.03,0.05,1,0.01,0.11,116,0.64,0.05,61,0.34,0.04,4,0.02,0.04,1,0.01,0.09,100,0.55,0.04,77,0.42,0.05,4,0.02,0.03,1,0.01,0.06,113,0.62,0.04,65,0.36,0.04,4,0.02,0.04,0,0,0
BAJA CALIFORNIA,28,0.64,0.01,16,0.36,0.01,0,0,0,0,0,0,28,0.64,0.01,16,0.36,0.01,0,0,0,0,0,0,31,0.71,0.01,12,0.27,0.01,1,0.02,0.01,0,0,0,26,0.59,0.01,17,0.39,0.01,1,0.02,0.01,0,0,0,29,0.66,0.01,14,0.32,0.01,1,0.02,0,0,0,0,27,0.61,0.01,16,0.36,0.01,1,0.02,0.01,0,0,0,30,0.68,0.01,13,0.3,0.01,1,0.02,0.01,0,0,0,28,0.64,0.01,15,0.34,0.01,1,0.02,0.01,0,0,0,31,0.71,0.01,13,0.3,0.01,0,0,0,0,0,0
BAJA CALIFORNIA SUR,119,0.65,0.05,57,0.31,0.04,6,0.03,0.05,2,0.01,0.13,112,0.61,0.05,64,0.35,0.04,7,0.04,0.04,1,0.01,0.04,120,0.65,0.05,60,0.33,0.04,3,0.02,0.04,1,0.01,0.08,107,0.58,0.05,72,0.39,0.04,5,0.03,0.04,0,0,0,103,0.56,0.04,67,0.36,0.04,13,0.07,0.05,1,0.01,0.03,104,0.57,0.05,73,0.4,0.04,6,0.03,0.06,1,0.01,0.11,119,0.65,0.05,59,0.32,0.04,6,0.03,0.06,0,0,0,111,0.6,0.05,63,0.34,0.04,9,0.05,0.07,1,0.01,0.06,111,0.6,0.04,66,0.36,0.04,5,0.03,0.05,2,0.01,0.13
CAMPECHE,64,0.55,0.03,47,0.41,0.03,3,0.03,0.03,2,0.02,0.13,61,0.53,0.02,43,0.37,0.03,10,0.09,0.06,2,0.02,0.08,63,0.54,0.02,49,0.42,0.03,3,0.03,0.04,1,0.01,0.08,62,0.53,0.03,50,0.43,0.03,3,0.03,0.02,1,0.01,0.14,58,0.5,0.03,48,0.41,0.03,7,0.06,0.03,3,0.03,0.09,55,0.47,0.03,59,0.51,0.03,1,0.01,0.01,1,0.01,0.11,54,0.47,0.02,61,0.53,0.04,1,0.01,0.01,0,0,0,63,0.54,0.03,46,0.4,0.03,6,0.05,0.04,1,0.01,0.06,65,0.56,0.03,46,0.4,0.03,4,0.03,0.04,1,0.01,0.06
CHIAPAS,40,0.51,0.02,35,0.45,0.02,3,0.04,0.03,0,0,0,40,0.51,0.02,34,0.44,0.02,3,0.04,0.02,1,0.01,0.04,38,0.49,0.01,39,0.5,0.03,1,0.01,0.01,0,0,0,34,0.44,0.01,43,0.55,0.03,1,0.01,0.01,0,0,0,39,0.5,0.02,34,0.44,0.02,4,0.05,0.02,1,0.01,0.03,38,0.49,0.02,40,0.51,0.02,0,0,0,0,0,0,39,0.5,0.02,38,0.49,0.02,1,0.01,0.01,0,0,0,40,0.51,0.02,37,0.47,0.02,1,0.01,0.01,0,0,0,39,0.5,0.02,38,0.49,0.02,1,0.01,0.01,0,0,0
CHIHUAHUA,116,0.64,0.05,58,0.32,0.04,4,0.02,0.04,2,0.01,0.13,113,0.63,0.05,58,0.32,0.04,8,0.04,0.05,1,0.01,0.04,116,0.64,0.04,55,0.31,0.04,8,0.04,0.11,1,0.01,0.08,101,0.56,0.04,71,0.39,0.04,7,0.04,0.05,1,0.01,0.14,107,0.59,0.05,63,0.35,0.04,8,0.04,0.03,2,0.01,0.06,90,0.5,0.04,82,0.46,0.04,6,0.03,0.06,2,0.01,0.22,103,0.57,0.04,75,0.42,0.05,1,0.01,0.01,1,0.01,0.09,100,0.56,0.04,74,0.41,0.04,6,0.03,0.04,0,0,0,106,0.59,0.04,72,0.4,0.05,1,0.01,0.01,1,0.01,0.06
CIUDAD DE MÉXICO,94,0.55,0.04,70,0.41,0.05,6,0.04,0.05,0,0,0,85,0.5,0.03,75,0.44,0.05,10,0.06,0.06,0,0,0,102,0.6,0.04,63,0.37,0.04,4,0.02,0.06,1,0.01,0.08,91,0.54,0.04,71,0.42,0.04,8,0.05,0.06,0,0,0,88,0.52,0.04,68,0.4,0.04,14,0.08,0.06,0,0,0,83,0.49,0.04,80,0.47,0.04,7,0.04,0.07,0,0,0,98,0.58,0.04,65,0.38,0.04,7,0.04,0.07,0,0,0,95,0.56,0.04,69,0.41,0.04,6,0.04,0.04,0,0,0,94,0.55,0.04,70,0.41,0.04,6,0.04,0.05,0,0,0
COAHUILA,53,0.62,0.02,26,0.3,0.02,7,0.08,0.06,0,0,0,51,0.59,0.02,28,0.33,0.02,5,0.06,0.03,2,0.02,0.08,55,0.64,0.02,26,0.3,0.02,3,0.04,0.04,2,0.02,0.15,53,0.62,0.02,27,0.31,0.02,6,0.07,0.05,0,0,0,55,0.64,0.02,22,0.26,0.01,8,0.09,0.03,1,0.01,0.03,53,0.62,0.02,29,0.34,0.02,4,0.05,0.04,0,0,0,57,0.66,0.02,24,0.28,0.01,5,0.06,0.05,0,0,0,55,0.64,0.02,25,0.29,0.02,5,0.06,0.04,1,0.01,0.06,55,0.64,0.02,28,0.33,0.02,2,0.02,0.02,1,0.01,0.06
COLIMA,103,0.65,0.04,49,0.31,0.03,6,0.04,0.05,1,0.01,0.06,91,0.57,0.04,58,0.37,0.04,10,0.06,0.06,0,0,0,104,0.65,0.04,51,0.32,0.03,4,0.03,0.06,0,0,0,93,0.59,0.04,61,0.38,0.04,5,0.03,0.04,0,0,0,89,0.56,0.04,55,0.35,0.03,14,0.09,0.06,1,0.01,0.03,96,0.6,0.04,54,0.34,0.03,8,0.05,0.08,1,0.01,0.11,99,0.62,0.04,56,0.35,0.03,3,0.02,0.03,1,0.01,0.09,94,0.59,0.04,54,0.34,0.03,10,0.06,0.07,1,0.01,0.06,100,0.63,0.04,49,0.31,0.03,9,0.06,0.08,1,0.01,0.06
DURANGO,106,0.65,0.04,53,0.33,0.03,3,0.02,0.03,0,0,0,99,0.61,0.04,58,0.36,0.04,5,0.03,0.03,0,0,0,107,0.66,0.04,54,0.33,0.04,1,0.01,0.01,0,0,0,105,0.65,0.04,55,0.34,0.03,2,0.01,0.02,0,0,0,96,0.59,0.04,59,0.36,0.04,7,0.04,0.03,0,0,0,85,0.53,0.04,73,0.45,0.04,4,0.03,0.04,0,0,0,97,0.6,0.04,64,0.4,0.04,0,0,0,1,0.01,0.09,99,0.61,0.04,61,0.38,0.04,2,0.01,0.02,0,0,0,100,0.62,0.04,61,0.38,0.04,1,0.01,0.01,0,0,0
