Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
AGUASCALIENTES,109,0.599,0.046,70,0.385,0.039,3,0.016,0.038,0,0,0,109,0.599,0.049,68,0.374,0.036,4,0.022,0.044,1,0.005,0.25,100,0.549,0.045,70,0.385,0.041,9,0.049,0.032,3,0.016,0.056,113,0.621,0.046,65,0.357,0.039,4,0.022,0.037,0,0,0,100,0.549,0.043,74,0.407,0.043,7,0.038,0.043,1,0.005,0.077,136,0.747,0.048,45,0.247,0.033,1,0.005,0.019,0,0,0,115,0.632,0.046,66,0.363,0.04,1,0.005,0.009,0,0,0,92,0.505,0.043,82,0.451,0.044,7,0.038,0.028,1,0.005,0.032
BAJA CALIFORNIA,18,0.409,0.008,24,0.545,0.013,2,0.045,0.025,0,0,0,21,0.477,0.009,22,0.5,0.012,1,0.023,0.011,0,0,0,20,0.455,0.009,17,0.386,0.01,7,0.159,0.025,0,0,0,26,0.591,0.011,16,0.364,0.01,1,0.023,0.009,1,0.023,0.083,20,0.455,0.009,19,0.432,0.011,5,0.114,0.031,0,0,0,28,0.636,0.01,14,0.318,0.01,2,0.045,0.038,0,0,0,23,0.523,0.009,18,0.409,0.011,3,0.068,0.028,0,0,0,18,0.409,0.008,23,0.523,0.012,3,0.068,0.012,0,0,0
BAJA CALIFORNIA SUR,113,0.614,0.048,69,0.375,0.038,2,0.011,0.025,0,0,0,117,0.636,0.052,65,0.353,0.034,2,0.011,0.022,0,0,0,104,0.565,0.047,64,0.348,0.038,13,0.071,0.046,3,0.016,0.056,120,0.652,0.049,61,0.332,0.037,3,0.016,0.028,0,0,0,107,0.582,0.046,69,0.375,0.04,7,0.038,0.043,1,0.005,0.077,128,0.696,0.046,52,0.283,0.038,4,0.022,0.075,0,0,0,113,0.614,0.046,65,0.353,0.039,6,0.033,0.056,0,0,0,107,0.582,0.051,66,0.359,0.036,10,0.054,0.04,1,0.005,0.032
CAMPECHE,63,0.543,0.027,50,0.431,0.028,3,0.026,0.038,0,0,0,55,0.474,0.024,59,0.509,0.031,2,0.017,0.022,0,0,0,64,0.552,0.029,40,0.345,0.024,12,0.103,0.042,0,0,0,67,0.578,0.027,45,0.388,0.027,3,0.026,0.028,1,0.009,0.083,56,0.483,0.024,56,0.483,0.032,4,0.034,0.025,0,0,0,73,0.629,0.026,43,0.371,0.031,0,0,0,0,0,0,64,0.552,0.026,50,0.431,0.03,2,0.017,0.019,0,0,0,61,0.526,0.029,48,0.414,0.026,7,0.06,0.028,0,0,0
CHIAPAS,34,0.436,0.014,41,0.526,0.023,3,0.038,0.038,0,0,0,37,0.474,0.016,38,0.487,0.02,3,0.038,0.033,0,0,0,32,0.41,0.014,40,0.513,0.024,6,0.077,0.021,0,0,0,33,0.423,0.013,42,0.538,0.025,3,0.038,0.028,0,0,0,28,0.359,0.012,45,0.577,0.026,5,0.064,0.031,0,0,0,41,0.526,0.015,37,0.474,0.027,0,0,0,0,0,0,34,0.436,0.014,40,0.513,0.024,4,0.051,0.037,0,0,0,28,0.359,0.013,43,0.551,0.023,7,0.09,0.028,0,0,0
CHIHUAHUA,93,0.517,0.039,84,0.467,0.046,3,0.017,0.038,0,0,0,97,0.539,0.043,79,0.439,0.041,4,0.022,0.044,0,0,0,99,0.55,0.045,72,0.4,0.042,8,0.044,0.028,1,0.006,0.019,110,0.611,0.044,62,0.344,0.037,8,0.044,0.075,0,0,0,99,0.55,0.042,72,0.4,0.042,9,0.05,0.056,0,0,0,120,0.667,0.043,57,0.317,0.041,2,0.011,0.038,1,0.006,0.1,103,0.572,0.041,69,0.383,0.042,8,0.044,0.075,0,0,0,89,0.494,0.042,74,0.411,0.04,17,0.094,0.069,0,0,0
CIUDAD DE MÉXICO,91,0.535,0.039,76,0.447,0.042,3,0.018,0.038,0,0,0,84,0.494,0.037,80,0.471,0.042,6,0.035,0.067,0,0,0,87,0.512,0.039,62,0.365,0.037,16,0.094,0.057,5,0.029,0.093,92,0.541,0.037,72,0.424,0.043,6,0.035,0.056,0,0,0,94,0.553,0.04,65,0.382,0.037,11,0.065,0.068,0,0,0,111,0.653,0.04,55,0.324,0.04,4,0.024,0.075,0,0,0,96,0.565,0.039,69,0.406,0.042,5,0.029,0.047,0,0,0,82,0.482,0.039,76,0.447,0.041,11,0.065,0.045,1,0.006,0.032
COAHUILA,49,0.57,0.021,37,0.43,0.02,0,0,0,0,0,0,48,0.558,0.021,38,0.442,0.02,0,0,0,0,0,0,49,0.57,0.022,33,0.384,0.019,4,0.047,0.014,0,0,0,56,0.651,0.023,30,0.349,0.018,0,0,0,0,0,0,54,0.628,0.023,31,0.36,0.018,1,0.012,0.006,0,0,0,62,0.721,0.022,24,0.279,0.017,0,0,0,0,0,0,57,0.663,0.023,28,0.326,0.017,1,0.012,0.009,0,0,0,51,0.593,0.024,32,0.372,0.017,2,0.023,0.008,1,0.012,0.032
COLIMA,105,0.66,0.045,53,0.333,0.029,1,0.006,0.013,0,0,0,97,0.61,0.043,60,0.377,0.031,2,0.013,0.022,0,0,0,98,0.616,0.044,54,0.34,0.032,6,0.038,0.021,1,0.006,0.019,111,0.698,0.045,44,0.277,0.026,4,0.025,0.037,0,0,0,101,0.635,0.043,53,0.333,0.031,5,0.031,0.031,0,0,0,121,0.761,0.043,36,0.226,0.026,1,0.006,0.019,1,0.006,0.1,111,0.698,0.045,45,0.283,0.027,3,0.019,0.028,0,0,0,99,0.623,0.047,52,0.327,0.028,8,0.05,0.032,0,0,0
DURANGO,96,0.593,0.041,64,0.395,0.035,2,0.012,0.025,0,0,0,93,0.574,0.041,65,0.401,0.034,4,0.025,0.044,0,0,0,86,0.531,0.039,68,0.42,0.04,8,0.049,0.028,0,0,0,92,0.568,0.037,63,0.389,0.038,6,0.037,0.056,1,0.006,0.083,94,0.58,0.04,61,0.377,0.035,7,0.043,0.043,0,0,0,112,0.691,0.04,48,0.296,0.035,2,0.012,0.038,0,0,0,101,0.623,0.041,57,0.352,0.034,4,0.025,0.037,0,0,0,87,0.537,0.041,65,0.401,0.035,9,0.056,0.036,1,0.006,0.032
ESTADO DE MÉXICO,93,0.578,0.039,66,0.41,0.036,2,0.012,0.025,0,0,0,85,0.528,0.038,73,0.453,0.038,3,0.019,0.033,0,0,0,89,0.553,0.04,61,0.379,0.036,9,0.056,0.032,2,0.012,0.037,97,0.602,0.039,60,0.373,0.036,4,0.025,0.037,0,0,0,88,0.547,0.038,69,0.429,0.04,4,0.025,0.025,0,0,0,107,0.665,0.038,52,0.323,0.038,1,0.006,0.019,1,0.006,0.1,99,0.615,0.04,57,0.354,0.034,5,0.031,0.047,0,0,0,80,0.497,0.038,68,0.422,0.037,13,0.081,0.053,0,0,0
GUANAJUATO,107,0.637,0.045,57,0.339,0.031,4,0.024,0.05,0,0,0,96,0.571,0.043,68,0.405,0.036,4,0.024,0.044,0,0,0,94,0.56,0.042,61,0.363,0.036,9,0.054,0.032,4,0.024,0.074,101,0.601,0.041,61,0.363,0.037,6,0.036,0.056,0,0,0,97,0.577,0.041,65,0.387,0.037,6,0.036,0.037,0,0,0,112,0.667,0.04,51,0.304,0.037,3,0.018,0.057,2,0.012,0.2,101,0.601,0.041,61,0.363,0.037,6,0.036,0.056,0,0,0,85,0.506,0.04,70,0.417,0.038,9,0.054,0.036,4,0.024,0.129
GUERRERO,24,0.571,0.01,17,0.405,0.009,1,0.024,0.013,0,0,0,22,0.524,0.01,19,0.452,0.01,1,0.024,0.011,0,0,0,20,0.476,0.009,17,0.405,0.01,5,0.119,0.018,0,0,0,23,0.548,0.009,18,0.429,0.011,1,0.024,0.009,0,0,0,18,0.429,0.008,23,0.548,0.013,1,0.024,0.006,0,0,0,30,0.714,0.011,12,0.286,0.009,0,0,0,0,0,0,21,0.5,0.008,20,0.476,0.012,1,0.024,0.009,0,0,0,24,0.571,0.011,13,0.31,0.007,5,0.119,0.02,0,0,0
HIDALGO,95,0.613,0.04,58,0.374,0.032,2,0.013,0.025,0,0,0,86,0.555,0.038,67,0.432,0.035,2,0.013,0.022,0,0,0,87,0.561,0.039,60,0.387,0.035,8,0.052,0.028,0,0,0,100,0.645,0.04,54,0.348,0.033,1,0.006,0.009,0,0,0,92,0.594,0.039,58,0.374,0.033,5,0.032,0.031,0,0,0,112,0.723,0.04,42,0.271,0.03,1,0.006,0.019,0,0,0,95,0.613,0.038,58,0.374,0.035,2,0.013,0.019,0,0,0,76,0.49,0.036,67,0.432,0.036,10,0.065,0.04,2,0.013,0.065
JALISCO,74,0.548,0.031,58,0.43,0.032,3,0.022,0.038,0,0,0,67,0.496,0.03,67,0.496,0.035,1,0.007,0.011,0,0,0,68,0.504,0.031,52,0.385,0.031,14,0.104,0.049,1,0.007,0.019,73,0.541,0.03,59,0.437,0.036,3,0.022,0.028,0,0,0,79,0.585,0.034,50,0.37,0.029,5,0.037,0.031,1,0.007,0.077,82,0.607,0.029,51,0.378,0.037,2,0.015,0.038,0,0,0,76,0.563,0.031,56,0.415,0.034,3,0.022,0.028,0,0,0,64,0.474,0.03,65,0.481,0.035,6,0.044,0.024,0,0,0
MICHOACÁN,15,0.455,0.006,17,0.515,0.009,1,0.03,0.013,0,0,0,10,0.303,0.004,21,0.636,0.011,2,0.061,0.022,0,0,0,11,0.333,0.005,14,0.424,0.008,4,0.121,0.014,4,0.121,0.074,12,0.364,0.005,19,0.576,0.011,2,0.061,0.019,0,0,0,14,0.424,0.006,15,0.455,0.009,4,0.121,0.025,0,0,0,16,0.485,0.006,16,0.485,0.012,1,0.03,0.019,0,0,0,11,0.333,0.004,20,0.606,0.012,2,0.061,0.019,0,0,0,13,0.394,0.006,16,0.485,0.009,3,0.091,0.012,1,0.03,0.032
MORELOS,100,0.565,0.042,74,0.418,0.041,2,0.011,0.025,1,0.006,0.25,98,0.554,0.044,76,0.429,0.04,2,0.011,0.022,1,0.006,0.25,95,0.537,0.043,70,0.395,0.041,9,0.051,0.032,3,0.017,0.056,104,0.588,0.042,68,0.384,0.041,3,0.017,0.028,2,0.011,0.167,105,0.593,0.045,67,0.379,0.039,3,0.017,0.019,2,0.011,0.154,114,0.644,0.041,59,0.333,0.043,3,0.017,0.057,1,0.006,0.1,96,0.542,0.039,77,0.435,0.046,3,0.017,0.028,1,0.006,0.333,87,0.492,0.041,74,0.418,0.04,13,0.073,0.053,3,0.017,0.097
