Variable,B3-A-Formar parte de alguna red de docentes/directores-Recuento,B3-A-Formar parte de alguna red de docentes/directores-% del N de fila,B3-A-Formar parte de alguna red de docentes/directores-% de N columnas,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-B-Formar parte de alguna red de docentes/directores-Recuento,B3-B-Formar parte de alguna red de docentes/directores-% del N de fila,B3-B-Formar parte de alguna red de docentes/directores-% de N columnas,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-C-Formar parte de alguna red de docentes/directores-Recuento,B3-C-Formar parte de alguna red de docentes/directores-% del N de fila,B3-C-Formar parte de alguna red de docentes/directores-% de N columnas,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-D-Formar parte de alguna red de docentes/directores-Recuento,B3-D-Formar parte de alguna red de docentes/directores-% del N de fila,B3-D-Formar parte de alguna red de docentes/directores-% de N columnas,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-E-Formar parte de alguna red de docentes/directores-Recuento,B3-E-Formar parte de alguna red de docentes/directores-% del N de fila,B3-E-Formar parte de alguna red de docentes/directores-% de N columnas,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-F-Formar parte de alguna red de docentes/directores-Recuento,B3-F-Formar parte de alguna red de docentes/directores-% del N de fila,B3-F-Formar parte de alguna red de docentes/directores-% de N columnas,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas
AGUASCALIENTES,21,0.12,0.04,63,0.35,0.05,22,0.12,0.04,13,0.07,0.04,38,0.21,0.04,25,0.14,0.06,8,0.04,0.02,31,0.17,0.04,42,0.23,0.05,24,0.13,0.04,43,0.24,0.05,34,0.19,0.05,13,0.07,0.03,20,0.11,0.04,47,0.26,0.06,30,0.17,0.04,40,0.22,0.05,32,0.18,0.03,26,0.14,0.05,25,0.14,0.05,39,0.21,0.05,35,0.19,0.04,19,0.1,0.03,38,0.21,0.04,37,0.2,0.05,24,0.13,0.04,23,0.13,0.03,43,0.24,0.04,25,0.14,0.05,30,0.17,0.04,77,0.42,0.05,19,0.1,0.04,9,0.05,0.02,37,0.2,0.05,17,0.09,0.04,23,0.13,0.04
BAJA CALIFORNIA,9,0.21,0.02,7,0.16,0.01,3,0.07,0.01,4,0.09,0.01,14,0.32,0.01,7,0.16,0.02,4,0.09,0.01,5,0.11,0.01,6,0.14,0.01,8,0.18,0.01,13,0.3,0.01,8,0.18,0.01,3,0.07,0.01,6,0.14,0.01,9,0.21,0.01,8,0.18,0.01,8,0.18,0.01,10,0.23,0.01,4,0.09,0.01,8,0.18,0.02,17,0.39,0.02,3,0.07,0,7,0.16,0.01,5,0.11,0.01,11,0.25,0.02,7,0.16,0.01,5,0.11,0.01,14,0.32,0.01,1,0.02,0,6,0.14,0.01,13,0.3,0.01,11,0.25,0.02,4,0.09,0.01,7,0.16,0.01,1,0.02,0,8,0.18,0.01
BAJA CALIFORNIA SUR,29,0.16,0.05,53,0.29,0.04,28,0.15,0.05,10,0.05,0.03,37,0.2,0.04,27,0.15,0.07,6,0.03,0.02,34,0.19,0.04,39,0.21,0.05,30,0.16,0.05,39,0.21,0.04,36,0.2,0.05,15,0.08,0.04,28,0.15,0.05,39,0.21,0.05,24,0.13,0.03,36,0.2,0.05,42,0.23,0.05,25,0.14,0.04,25,0.14,0.05,30,0.16,0.04,35,0.19,0.04,31,0.17,0.05,38,0.21,0.04,44,0.24,0.06,26,0.14,0.04,29,0.16,0.04,42,0.23,0.04,23,0.13,0.05,20,0.11,0.03,65,0.35,0.04,18,0.1,0.04,19,0.1,0.04,43,0.23,0.06,18,0.1,0.05,21,0.11,0.04
CAMPECHE,14,0.12,0.02,40,0.35,0.03,13,0.11,0.02,9,0.08,0.03,34,0.29,0.03,6,0.05,0.02,11,0.1,0.03,24,0.21,0.03,23,0.2,0.03,13,0.11,0.02,27,0.23,0.03,18,0.16,0.02,11,0.1,0.03,15,0.13,0.03,22,0.19,0.03,20,0.17,0.03,18,0.16,0.02,30,0.26,0.03,13,0.11,0.02,16,0.14,0.03,25,0.22,0.03,23,0.2,0.03,17,0.15,0.03,22,0.19,0.03,26,0.22,0.03,14,0.12,0.02,20,0.17,0.03,21,0.18,0.02,13,0.11,0.03,22,0.19,0.03,41,0.35,0.03,7,0.06,0.02,13,0.11,0.03,30,0.26,0.04,7,0.06,0.02,18,0.16,0.03
CHIAPAS,11,0.14,0.02,31,0.4,0.02,11,0.14,0.02,7,0.09,0.02,15,0.19,0.01,3,0.04,0.01,7,0.09,0.02,16,0.21,0.02,13,0.17,0.02,14,0.18,0.02,19,0.24,0.02,9,0.12,0.01,6,0.08,0.01,6,0.08,0.01,14,0.18,0.02,13,0.17,0.02,19,0.24,0.03,20,0.26,0.02,9,0.12,0.02,10,0.13,0.02,15,0.19,0.02,11,0.14,0.01,14,0.18,0.02,19,0.24,0.02,13,0.17,0.02,9,0.12,0.02,19,0.24,0.03,15,0.19,0.02,7,0.09,0.01,15,0.19,0.02,32,0.41,0.02,6,0.08,0.01,6,0.08,0.01,18,0.23,0.02,4,0.05,0.01,12,0.15,0.02
CHIHUAHUA,21,0.12,0.04,53,0.29,0.04,34,0.19,0.06,16,0.09,0.05,41,0.23,0.04,15,0.08,0.04,19,0.11,0.05,35,0.19,0.05,24,0.13,0.03,19,0.11,0.03,45,0.25,0.05,38,0.21,0.05,23,0.13,0.05,26,0.14,0.05,40,0.22,0.05,31,0.17,0.04,25,0.14,0.03,35,0.19,0.04,31,0.17,0.06,24,0.13,0.05,35,0.19,0.04,40,0.22,0.05,19,0.11,0.03,31,0.17,0.04,30,0.17,0.04,26,0.14,0.04,26,0.14,0.04,42,0.23,0.04,25,0.14,0.05,31,0.17,0.05,56,0.31,0.04,16,0.09,0.03,21,0.12,0.05,32,0.18,0.04,25,0.14,0.06,30,0.17,0.05
CIUDAD DE MÉXICO,25,0.15,0.04,49,0.29,0.04,21,0.12,0.04,16,0.09,0.05,51,0.3,0.05,8,0.05,0.02,16,0.09,0.05,37,0.22,0.05,28,0.17,0.04,29,0.17,0.05,37,0.22,0.04,23,0.14,0.03,23,0.14,0.05,29,0.17,0.05,37,0.22,0.04,25,0.15,0.03,25,0.15,0.03,31,0.18,0.03,15,0.09,0.03,17,0.1,0.03,26,0.15,0.03,40,0.24,0.05,26,0.15,0.04,46,0.27,0.05,26,0.15,0.03,18,0.11,0.03,33,0.19,0.05,41,0.24,0.04,18,0.11,0.04,34,0.2,0.05,65,0.38,0.04,20,0.12,0.04,25,0.15,0.06,19,0.11,0.02,13,0.08,0.03,28,0.17,0.05
COAHUILA,11,0.13,0.02,25,0.29,0.02,14,0.16,0.02,4,0.05,0.01,22,0.26,0.02,10,0.12,0.02,10,0.12,0.03,13,0.15,0.02,15,0.17,0.02,8,0.09,0.01,19,0.22,0.02,21,0.24,0.03,7,0.08,0.02,10,0.12,0.02,18,0.21,0.02,22,0.26,0.03,14,0.16,0.02,15,0.17,0.02,9,0.11,0.02,14,0.16,0.03,17,0.2,0.02,15,0.17,0.02,11,0.13,0.02,20,0.23,0.02,13,0.15,0.02,18,0.21,0.03,14,0.16,0.02,19,0.22,0.02,10,0.12,0.02,12,0.14,0.02,36,0.42,0.02,6,0.07,0.01,8,0.09,0.02,18,0.21,0.02,10,0.12,0.03,8,0.09,0.01
COLIMA,17,0.11,0.03,53,0.33,0.04,17,0.11,0.03,12,0.08,0.04,39,0.25,0.04,21,0.13,0.05,9,0.06,0.03,18,0.11,0.02,32,0.2,0.04,25,0.16,0.04,38,0.24,0.04,37,0.23,0.05,20,0.13,0.05,23,0.15,0.04,29,0.18,0.04,27,0.17,0.04,28,0.18,0.04,32,0.2,0.03,29,0.18,0.05,22,0.14,0.04,35,0.22,0.04,25,0.16,0.03,20,0.13,0.03,28,0.18,0.03,32,0.2,0.04,17,0.11,0.03,25,0.16,0.03,41,0.26,0.04,19,0.12,0.04,25,0.16,0.04,52,0.33,0.03,26,0.16,0.06,21,0.13,0.05,29,0.18,0.04,15,0.09,0.04,16,0.1,0.03
DURANGO,21,0.13,0.04,44,0.27,0.03,24,0.15,0.04,15,0.09,0.05,44,0.27,0.04,14,0.09,0.03,13,0.08,0.04,26,0.16,0.03,37,0.23,0.05,22,0.14,0.04,32,0.2,0.04,32,0.2,0.04,19,0.12,0.05,27,0.17,0.05,30,0.19,0.04,30,0.19,0.04,31,0.19,0.04,25,0.15,0.03,31,0.19,0.06,20,0.12,0.04,29,0.18,0.04,25,0.15,0.03,21,0.13,0.03,36,0.22,0.04,22,0.14,0.03,32,0.2,0.06,24,0.15,0.03,35,0.22,0.04,19,0.12,0.04,30,0.19,0.04,56,0.35,0.04,13,0.08,0.03,18,0.11,0.04,35,0.22,0.04,15,0.09,0.04,25,0.15,0.04
ESTADO DE MÉXICO,16,0.1,0.03,41,0.26,0.03,29,0.18,0.05,9,0.06,0.03,49,0.3,0.05,17,0.11,0.04,15,0.09,0.04,29,0.18,0.04,35,0.22,0.04,29,0.18,0.05,33,0.21,0.04,20,0.12,0.03,15,0.09,0.04,18,0.11,0.03,23,0.14,0.03,32,0.2,0.04,38,0.24,0.05,35,0.22,0.04,14,0.09,0.03,21,0.13,0.04,38,0.24,0.05,24,0.15,0.03,20,0.12,0.03,44,0.27,0.05,35,0.22,0.05,25,0.16,0.04,29,0.18,0.04,40,0.25,0.04,12,0.08,0.02,20,0.12,0.03,66,0.41,0.04,27,0.17,0.06,7,0.04,0.02,27,0.17,0.03,9,0.06,0.02,25,0.16,0.04
GUANAJUATO,7,0.04,0.01,50,0.3,0.04,26,0.16,0.04,20,0.12,0.07,37,0.22,0.04,28,0.17,0.07,14,0.08,0.04,26,0.16,0.03,36,0.21,0.04,23,0.14,0.04,40,0.24,0.04,29,0.17,0.04,11,0.07,0.03,16,0.1,0.03,30,0.18,0.04,38,0.23,0.05,34,0.2,0.05,39,0.23,0.04,24,0.14,0.04,23,0.14,0.04,41,0.24,0.05,30,0.18,0.04,25,0.15,0.04,25,0.15,0.03,31,0.19,0.04,28,0.17,0.05,25,0.15,0.03,35,0.21,0.04,18,0.11,0.04,31,0.19,0.05,81,0.48,0.05,25,0.15,0.05,10,0.06,0.02,22,0.13,0.03,14,0.08,0.04,16,0.1,0.03
