Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas
AGUASCALIENTES,104,0.57,0.04,78,0.43,0.04,113,0.62,0.04,69,0.38,0.04,136,0.75,0.04,46,0.25,0.04,141,0.78,0.04,41,0.23,0.05,142,0.78,0.04,40,0.22,0.04,131,0.72,0.04,51,0.28,0.05,133,0.73,0.04,49,0.27,0.05
BAJA CALIFORNIA,30,0.68,0.01,14,0.32,0.01,28,0.64,0.01,16,0.36,0.01,35,0.8,0.01,9,0.21,0.01,34,0.77,0.01,10,0.23,0.01,37,0.84,0.01,7,0.16,0.01,34,0.77,0.01,10,0.23,0.01,30,0.68,0.01,14,0.32,0.01
BAJA CALIFORNIA SUR,95,0.52,0.04,89,0.48,0.05,105,0.57,0.04,79,0.43,0.05,122,0.66,0.04,62,0.34,0.05,147,0.8,0.04,37,0.2,0.05,149,0.81,0.05,35,0.19,0.04,128,0.7,0.04,56,0.3,0.05,126,0.69,0.04,58,0.32,0.06
CAMPECHE,68,0.59,0.03,48,0.41,0.03,70,0.6,0.03,46,0.4,0.03,83,0.72,0.03,33,0.28,0.03,96,0.83,0.03,20,0.17,0.03,96,0.83,0.03,20,0.17,0.02,83,0.72,0.03,33,0.28,0.03,92,0.79,0.03,24,0.21,0.03
CHIAPAS,49,0.63,0.02,29,0.37,0.02,54,0.69,0.02,24,0.31,0.02,53,0.68,0.02,25,0.32,0.02,63,0.81,0.02,15,0.19,0.02,58,0.74,0.02,20,0.26,0.02,54,0.69,0.02,24,0.31,0.02,66,0.85,0.02,12,0.15,0.01
CHIHUAHUA,101,0.56,0.04,79,0.44,0.05,112,0.62,0.04,68,0.38,0.04,132,0.73,0.04,48,0.27,0.04,151,0.84,0.04,29,0.16,0.04,140,0.78,0.04,40,0.22,0.04,139,0.77,0.05,41,0.23,0.04,137,0.76,0.04,43,0.24,0.04
CIUDAD DE MÉXICO,90,0.53,0.04,80,0.47,0.05,98,0.58,0.04,72,0.42,0.05,125,0.74,0.04,45,0.27,0.04,137,0.81,0.04,33,0.19,0.04,138,0.81,0.04,32,0.19,0.03,125,0.74,0.04,45,0.27,0.04,138,0.81,0.04,32,0.19,0.03
COAHUILA,53,0.62,0.02,33,0.38,0.02,53,0.62,0.02,33,0.38,0.02,66,0.77,0.02,20,0.23,0.02,70,0.81,0.02,16,0.19,0.02,64,0.74,0.02,22,0.26,0.02,53,0.62,0.02,33,0.38,0.03,68,0.79,0.02,18,0.21,0.02
COLIMA,86,0.54,0.04,73,0.46,0.04,91,0.57,0.03,68,0.43,0.04,117,0.74,0.04,42,0.26,0.04,123,0.77,0.04,36,0.23,0.04,115,0.72,0.04,44,0.28,0.05,108,0.68,0.04,51,0.32,0.05,113,0.71,0.04,46,0.29,0.05
DURANGO,88,0.54,0.04,74,0.46,0.04,88,0.54,0.03,74,0.46,0.05,111,0.69,0.04,51,0.32,0.04,136,0.84,0.04,26,0.16,0.03,120,0.74,0.04,42,0.26,0.04,103,0.64,0.03,59,0.36,0.05,123,0.76,0.04,39,0.24,0.04
