Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-J-Sí-Recuento,B4-J-Sí-% del N de fila,B4-J-Sí-% de N columnas,B4-J-No-Recuento,B4-J-No-% del N de fila,B4-J-No-% de N columnas
AGUASCALIENTES,175,0.96,0.04,7,0.04,0.02,165,0.91,0.04,17,0.09,0.05,164,0.9,0.04,18,0.1,0.04,141,0.78,0.05,41,0.23,0.04,178,0.98,0.04,4,0.02,0.04,178,0.98,0.04,4,0.02,0.03,171,0.94,0.04,11,0.06,0.03,158,0.87,0.04,24,0.13,0.05,169,0.93,0.05,13,0.07,0.02,132,0.73,0.04,50,0.28,0.04
BAJA CALIFORNIA,40,0.91,0.01,4,0.09,0.01,42,0.96,0.01,2,0.05,0.01,41,0.93,0.01,3,0.07,0.01,32,0.73,0.01,12,0.27,0.01,44,1,0.01,0,0,0,41,0.93,0.01,3,0.07,0.02,40,0.91,0.01,4,0.09,0.01,42,0.96,0.01,2,0.05,0,37,0.84,0.01,7,0.16,0.01,31,0.71,0.01,13,0.3,0.01
BAJA CALIFORNIA SUR,173,0.94,0.04,11,0.06,0.04,168,0.91,0.04,16,0.09,0.05,164,0.89,0.04,20,0.11,0.04,136,0.74,0.04,48,0.26,0.04,177,0.96,0.04,7,0.04,0.06,179,0.97,0.04,5,0.03,0.04,169,0.92,0.04,15,0.08,0.04,169,0.92,0.05,15,0.08,0.03,159,0.86,0.04,25,0.14,0.05,126,0.69,0.04,58,0.32,0.05
CAMPECHE,108,0.93,0.03,8,0.07,0.03,112,0.97,0.03,4,0.03,0.01,106,0.91,0.03,10,0.09,0.02,85,0.73,0.03,31,0.27,0.03,115,0.99,0.03,1,0.01,0.01,116,1,0.03,0,0,0,104,0.9,0.03,12,0.1,0.03,108,0.93,0.03,8,0.07,0.02,100,0.86,0.03,16,0.14,0.03,85,0.73,0.03,31,0.27,0.03
CHIAPAS,62,0.8,0.02,16,0.21,0.06,64,0.82,0.02,14,0.18,0.04,61,0.78,0.02,17,0.22,0.04,50,0.64,0.02,28,0.36,0.02,70,0.9,0.02,8,0.1,0.07,75,0.96,0.02,3,0.04,0.02,68,0.87,0.02,10,0.13,0.02,62,0.8,0.02,16,0.21,0.03,55,0.71,0.02,23,0.3,0.04,50,0.64,0.02,28,0.36,0.02
CHIHUAHUA,170,0.94,0.04,10,0.06,0.04,158,0.88,0.04,22,0.12,0.06,158,0.88,0.04,22,0.12,0.05,131,0.73,0.04,49,0.27,0.04,177,0.98,0.04,3,0.02,0.03,177,0.98,0.04,3,0.02,0.02,164,0.91,0.04,16,0.09,0.04,158,0.88,0.04,22,0.12,0.05,158,0.88,0.04,22,0.12,0.04,131,0.73,0.04,49,0.27,0.04
CIUDAD DE MÉXICO,160,0.94,0.04,10,0.06,0.04,161,0.95,0.04,9,0.05,0.03,161,0.95,0.04,9,0.05,0.02,120,0.71,0.04,50,0.29,0.04,165,0.97,0.04,5,0.03,0.04,165,0.97,0.04,5,0.03,0.04,159,0.94,0.04,11,0.07,0.03,153,0.9,0.04,17,0.1,0.04,154,0.91,0.04,16,0.09,0.03,125,0.74,0.04,45,0.27,0.04
COAHUILA,79,0.92,0.02,7,0.08,0.02,82,0.95,0.02,4,0.05,0.01,78,0.91,0.02,8,0.09,0.02,70,0.81,0.02,16,0.19,0.01,83,0.97,0.02,3,0.04,0.03,83,0.97,0.02,3,0.04,0.02,81,0.94,0.02,5,0.06,0.01,78,0.91,0.02,8,0.09,0.02,77,0.9,0.02,9,0.11,0.02,65,0.76,0.02,21,0.24,0.02
COLIMA,148,0.93,0.04,11,0.07,0.04,149,0.94,0.04,10,0.06,0.03,146,0.92,0.04,13,0.08,0.03,113,0.71,0.04,46,0.29,0.04,154,0.97,0.04,5,0.03,0.04,153,0.96,0.04,6,0.04,0.05,149,0.94,0.04,10,0.06,0.02,145,0.91,0.04,14,0.09,0.03,142,0.89,0.04,17,0.11,0.03,117,0.74,0.04,42,0.26,0.04
DURANGO,146,0.9,0.04,16,0.1,0.06,141,0.87,0.04,21,0.13,0.06,131,0.81,0.04,31,0.19,0.07,108,0.67,0.04,54,0.33,0.05,158,0.98,0.04,4,0.03,0.04,154,0.95,0.04,8,0.05,0.06,147,0.91,0.04,15,0.09,0.04,145,0.9,0.04,17,0.11,0.04,143,0.88,0.04,19,0.12,0.04,122,0.75,0.04,40,0.25,0.03
