Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas
AGUASCALIENTES,176,0.97,0.04,6,0.03,0.05,155,0.85,0.04,27,0.15,0.04,93,0.51,0.04,89,0.49,0.05,177,0.97,0.05,5,0.03,0.01,154,0.85,0.06,28,0.15,0.02,119,0.65,0.06,63,0.35,0.03
BAJA CALIFORNIA,41,0.93,0.01,3,0.07,0.02,40,0.91,0.01,4,0.09,0.01,21,0.48,0.01,23,0.52,0.01,39,0.89,0.01,5,0.11,0.01,37,0.84,0.01,7,0.16,0,20,0.46,0.01,24,0.55,0.01
BAJA CALIFORNIA SUR,183,1,0.04,1,0.01,0.01,161,0.88,0.05,23,0.13,0.03,76,0.41,0.03,108,0.59,0.06,168,0.91,0.04,16,0.09,0.04,138,0.75,0.05,46,0.25,0.03,98,0.53,0.05,86,0.47,0.04
CAMPECHE,113,0.97,0.03,3,0.03,0.02,102,0.88,0.03,14,0.12,0.02,64,0.55,0.03,52,0.45,0.03,106,0.91,0.03,10,0.09,0.02,48,0.41,0.02,68,0.59,0.04,27,0.23,0.01,89,0.77,0.04
CHIAPAS,72,0.92,0.02,6,0.08,0.05,49,0.63,0.01,29,0.37,0.04,57,0.73,0.02,21,0.27,0.01,69,0.89,0.02,9,0.12,0.02,22,0.28,0.01,56,0.72,0.03,17,0.22,0.01,61,0.78,0.03
CHIHUAHUA,175,0.97,0.04,5,0.03,0.04,162,0.9,0.05,18,0.1,0.03,119,0.66,0.05,61,0.34,0.03,164,0.91,0.04,16,0.09,0.04,107,0.59,0.04,73,0.41,0.04,78,0.43,0.04,102,0.57,0.04
CIUDAD DE MÉXICO,168,0.99,0.04,2,0.01,0.02,133,0.78,0.04,37,0.22,0.05,72,0.42,0.03,98,0.58,0.05,151,0.89,0.04,19,0.11,0.05,129,0.76,0.05,41,0.24,0.03,99,0.58,0.05,71,0.42,0.03
COAHUILA,83,0.97,0.02,3,0.04,0.02,77,0.9,0.02,9,0.11,0.01,41,0.48,0.02,45,0.52,0.02,77,0.9,0.02,9,0.11,0.02,58,0.67,0.02,28,0.33,0.02,44,0.51,0.02,42,0.49,0.02
COLIMA,157,0.99,0.04,2,0.01,0.02,142,0.89,0.04,17,0.11,0.03,78,0.49,0.03,81,0.51,0.04,150,0.94,0.04,9,0.06,0.02,81,0.51,0.03,78,0.49,0.05,70,0.44,0.04,89,0.56,0.04
DURANGO,154,0.95,0.04,8,0.05,0.06,141,0.87,0.04,21,0.13,0.03,102,0.63,0.04,60,0.37,0.03,149,0.92,0.04,13,0.08,0.03,87,0.54,0.03,75,0.46,0.05,73,0.45,0.04,89,0.55,0.04
ESTADO DE MÉXICO,158,0.98,0.04,3,0.02,0.02,130,0.81,0.04,31,0.19,0.05,82,0.51,0.04,79,0.49,0.04,142,0.88,0.04,19,0.12,0.05,90,0.56,0.04,71,0.44,0.04,87,0.54,0.05,74,0.46,0.03
GUANAJUATO,164,0.98,0.04,4,0.02,0.03,142,0.85,0.04,26,0.16,0.04,76,0.45,0.03,92,0.55,0.05,152,0.91,0.04,16,0.1,0.04,108,0.64,0.04,60,0.36,0.04,73,0.44,0.04,95,0.57,0.04
GUERRERO,42,1,0.01,0,0,0,33,0.79,0.01,9,0.21,0.01,31,0.74,0.01,11,0.26,0.01,35,0.83,0.01,7,0.17,0.02,11,0.26,0,31,0.74,0.02,8,0.19,0,34,0.81,0.01
HIDALGO,153,0.99,0.04,2,0.01,0.02,133,0.86,0.04,22,0.14,0.03,110,0.71,0.05,45,0.29,0.02,144,0.93,0.04,11,0.07,0.03,78,0.5,0.03,77,0.5,0.05,80,0.52,0.04,75,0.48,0.03
JALISCO,129,0.96,0.03,6,0.04,0.05,105,0.78,0.03,30,0.22,0.04,73,0.54,0.03,62,0.46,0.03,118,0.87,0.03,17,0.13,0.04,114,0.84,0.04,21,0.16,0.01,75,0.56,0.04,60,0.44,0.03
MICHOACÁN,33,1,0.01,0,0,0,25,0.76,0.01,8,0.24,0.01,23,0.7,0.01,10,0.3,0.01,29,0.88,0.01,4,0.12,0.01,17,0.52,0.01,16,0.49,0.01,10,0.3,0.01,23,0.7,0.01
MORELOS,174,0.98,0.04,3,0.02,0.02,144,0.81,0.04,33,0.19,0.05,87,0.49,0.04,90,0.51,0.05,157,0.89,0.04,20,0.11,0.05,118,0.67,0.05,59,0.33,0.04,84,0.48,0.04,93,0.53,0.04
NAYARIT,142,0.94,0.03,9,0.06,0.07,127,0.84,0.04,24,0.16,0.04,93,0.62,0.04,58,0.38,0.03,134,0.89,0.04,17,0.11,0.04,100,0.66,0.04,51,0.34,0.03,58,0.38,0.03,93,0.62,0.04
NUEVO LEÓN,30,0.97,0.01,1,0.03,0.01,28,0.9,0.01,3,0.1,0,20,0.65,0.01,11,0.36,0.01,29,0.94,0.01,2,0.07,0.01,18,0.58,0.01,13,0.42,0.01,9,0.29,0.01,22,0.71,0.01
PUEBLA,127,0.96,0.03,6,0.05,0.05,109,0.82,0.03,24,0.18,0.04,82,0.62,0.04,51,0.38,0.03,121,0.91,0.03,12,0.09,0.03,60,0.45,0.02,73,0.55,0.04,52,0.39,0.03,81,0.61,0.03
QUERÉTARO,177,0.93,0.04,14,0.07,0.11,150,0.79,0.04,41,0.22,0.06,71,0.37,0.03,120,0.63,0.06,167,0.87,0.04,24,0.13,0.06,154,0.81,0.06,37,0.19,0.02,70,0.37,0.04,121,0.63,0.05
QUINTANA ROO,164,0.97,0.04,6,0.04,0.05,150,0.88,0.04,20,0.12,0.03,93,0.55,0.04,77,0.45,0.04,158,0.93,0.04,12,0.07,0.03,90,0.53,0.04,80,0.47,0.05,64,0.38,0.03,106,0.62,0.05
SAN LUIS POTOSÍ,161,0.95,0.04,8,0.05,0.06,141,0.83,0.04,28,0.17,0.04,105,0.62,0.05,64,0.38,0.03,154,0.91,0.04,15,0.09,0.04,78,0.46,0.03,91,0.54,0.06,79,0.47,0.04,90,0.53,0.04
SINALOA,187,0.98,0.05,4,0.02,0.03,171,0.9,0.05,20,0.11,0.03,124,0.65,0.05,67,0.35,0.04,172,0.9,0.05,19,0.1,0.05,121,0.63,0.05,70,0.37,0.04,88,0.46,0.05,103,0.54,0.04
SONORA,139,0.95,0.03,8,0.05,0.06,132,0.9,0.04,15,0.1,0.02,78,0.53,0.03,69,0.47,0.04,136,0.93,0.04,11,0.08,0.03,98,0.67,0.04,49,0.33,0.03,62,0.42,0.03,85,0.58,0.04
TABASCO,125,0.96,0.03,5,0.04,0.04,106,0.82,0.03,24,0.19,0.04,88,0.68,0.04,42,0.32,0.02,114,0.88,0.03,16,0.12,0.04,43,0.33,0.02,87,0.67,0.05,32,0.25,0.02,98,0.75,0.04
TAMAULIPAS,146,0.97,0.04,4,0.03,0.03,128,0.85,0.04,22,0.15,0.03,92,0.61,0.04,58,0.39,0.03,140,0.93,0.04,10,0.07,0.02,103,0.69,0.04,47,0.31,0.03,76,0.51,0.04,74,0.49,0.03
TLAXCALA,157,1,0.04,0,0,0,133,0.85,0.04,24,0.15,0.04,82,0.52,0.04,75,0.48,0.04,141,0.9,0.04,16,0.1,0.04,94,0.6,0.04,63,0.4,0.04,90,0.57,0.05,67,0.43,0.03
VERACRUZ,110,0.98,0.03,2,0.02,0.02,93,0.83,0.03,19,0.17,0.03,69,0.62,0.03,43,0.38,0.02,94,0.84,0.02,18,0.16,0.04,52,0.46,0.02,60,0.54,0.04,34,0.3,0.02,78,0.7,0.03
YUCATÁN,100,0.99,0.02,1,0.01,0.01,85,0.84,0.02,16,0.16,0.02,55,0.55,0.02,46,0.46,0.02,88,0.87,0.02,13,0.13,0.03,63,0.62,0.02,38,0.38,0.02,42,0.42,0.02,59,0.58,0.03
