Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
AGUASCALIENTES,181,0.995,0.043,1,0.005,0.067,0,0,0,179,0.984,0.043,1,0.005,0.037,2,0.011,0.083,178,0.978,0.043,1,0.005,0.011,3,0.016,0.107,138,0.758,0.045,4,0.022,0.022,40,0.22,0.041,163,0.896,0.044,7,0.038,0.058,12,0.066,0.029,156,0.857,0.042,19,0.104,0.047,7,0.038,0.044,167,0.918,0.046,12,0.066,0.029,3,0.016,0.015,162,0.89,0.047,12,0.066,0.023,8,0.044,0.031,132,0.725,0.044,17,0.093,0.027,33,0.181,0.056
BAJA CALIFORNIA,44,1,0.01,0,0,0,0,0,0,44,1,0.01,0,0,0,0,0,0,41,0.932,0.01,3,0.068,0.034,0,0,0,27,0.614,0.009,1,0.023,0.005,16,0.364,0.016,40,0.909,0.011,2,0.045,0.017,2,0.045,0.005,38,0.864,0.01,4,0.091,0.01,2,0.045,0.013,40,0.909,0.011,4,0.091,0.01,0,0,0,41,0.932,0.012,3,0.068,0.006,0,0,0,29,0.659,0.01,5,0.114,0.008,10,0.227,0.017
BAJA CALIFORNIA SUR,184,1,0.043,0,0,0,0,0,0,184,1,0.044,0,0,0,0,0,0,182,0.989,0.044,2,0.011,0.023,0,0,0,162,0.88,0.052,1,0.005,0.005,21,0.114,0.021,171,0.929,0.046,3,0.016,0.025,10,0.054,0.024,170,0.924,0.046,10,0.054,0.025,4,0.022,0.025,162,0.88,0.045,14,0.076,0.034,8,0.043,0.04,162,0.88,0.047,13,0.071,0.025,9,0.049,0.035,143,0.777,0.047,16,0.087,0.025,25,0.136,0.042
CAMPECHE,116,1,0.027,0,0,0,0,0,0,112,0.966,0.027,1,0.009,0.037,3,0.026,0.125,109,0.94,0.026,3,0.026,0.034,4,0.034,0.143,81,0.698,0.026,6,0.052,0.032,29,0.25,0.03,93,0.802,0.025,3,0.026,0.025,20,0.172,0.049,108,0.931,0.029,5,0.043,0.012,3,0.026,0.019,102,0.879,0.028,7,0.06,0.017,7,0.06,0.035,95,0.819,0.027,14,0.121,0.027,7,0.06,0.027,84,0.724,0.028,16,0.138,0.025,16,0.138,0.027
CHIAPAS,78,1,0.018,0,0,0,0,0,0,77,0.987,0.018,1,0.013,0.037,0,0,0,73,0.936,0.018,4,0.051,0.046,1,0.013,0.036,59,0.756,0.019,4,0.051,0.022,15,0.192,0.015,68,0.872,0.018,3,0.038,0.025,7,0.09,0.017,63,0.808,0.017,11,0.141,0.027,4,0.051,0.025,60,0.769,0.017,14,0.179,0.034,4,0.051,0.02,55,0.705,0.016,17,0.218,0.033,6,0.077,0.023,46,0.59,0.015,21,0.269,0.033,11,0.141,0.019
CHIHUAHUA,177,0.983,0.042,2,0.011,0.133,1,0.006,0.167,176,0.978,0.042,1,0.006,0.037,3,0.017,0.125,177,0.983,0.043,3,0.017,0.034,0,0,0,141,0.783,0.046,6,0.033,0.032,33,0.183,0.034,173,0.961,0.047,1,0.006,0.008,6,0.033,0.015,162,0.9,0.044,14,0.078,0.034,4,0.022,0.025,152,0.844,0.042,23,0.128,0.055,5,0.028,0.025,142,0.789,0.041,29,0.161,0.056,9,0.05,0.035,132,0.733,0.044,28,0.156,0.045,20,0.111,0.034
CIUDAD DE MÉXICO,170,1,0.04,0,0,0,0,0,0,170,1,0.04,0,0,0,0,0,0,168,0.988,0.041,1,0.006,0.011,1,0.006,0.036,158,0.929,0.051,1,0.006,0.005,11,0.065,0.011,139,0.818,0.037,7,0.041,0.058,24,0.141,0.058,135,0.794,0.037,25,0.147,0.062,10,0.059,0.063,131,0.771,0.036,18,0.106,0.043,21,0.124,0.105,138,0.812,0.04,18,0.106,0.035,14,0.082,0.055,119,0.7,0.039,20,0.118,0.032,31,0.182,0.052
COAHUILA,86,1,0.02,0,0,0,0,0,0,86,1,0.02,0,0,0,0,0,0,84,0.977,0.02,2,0.023,0.023,0,0,0,64,0.744,0.021,5,0.058,0.027,17,0.198,0.017,79,0.919,0.021,2,0.023,0.017,5,0.058,0.012,75,0.872,0.02,9,0.105,0.022,2,0.023,0.013,69,0.802,0.019,11,0.128,0.026,6,0.07,0.03,66,0.767,0.019,13,0.151,0.025,7,0.081,0.027,57,0.663,0.019,16,0.186,0.025,13,0.151,0.022
COLIMA,159,1,0.038,0,0,0,0,0,0,157,0.987,0.037,2,0.013,0.074,0,0,0,158,0.994,0.038,1,0.006,0.011,0,0,0,112,0.704,0.036,5,0.031,0.027,42,0.264,0.043,155,0.975,0.042,0,0,0,4,0.025,0.01,143,0.899,0.039,12,0.075,0.03,4,0.025,0.025,146,0.918,0.04,8,0.05,0.019,5,0.031,0.025,138,0.868,0.04,13,0.082,0.025,8,0.05,0.031,118,0.742,0.039,19,0.119,0.03,22,0.138,0.037
DURANGO,160,0.988,0.038,2,0.012,0.133,0,0,0,159,0.981,0.038,3,0.019,0.111,0,0,0,158,0.975,0.038,2,0.012,0.023,2,0.012,0.071,129,0.796,0.042,13,0.08,0.07,20,0.123,0.02,148,0.914,0.04,7,0.043,0.058,7,0.043,0.017,142,0.877,0.039,16,0.099,0.039,4,0.025,0.025,140,0.864,0.039,19,0.117,0.046,3,0.019,0.015,133,0.821,0.038,23,0.142,0.044,6,0.037,0.023,111,0.685,0.037,29,0.179,0.046,22,0.136,0.037
