Variable,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
AGUASCALIENTES,61,0.21,0.04,172,0.59,0.06,55,0.19,0.06,5,0.02,0.05,164,0.56,0.05,114,0.39,0.06,15,0.05,0.08,0,0,0,103,0.35,0.05,147,0.5,0.06,41,0.14,0.06,2,0.01,0.03,174,0.59,0.05,98,0.33,0.05,21,0.07,0.09,0,0,0,160,0.55,0.05,111,0.38,0.06,22,0.08,0.07,0,0,0,134,0.46,0.05,136,0.46,0.06,23,0.08,0.06,0,0,0,206,0.7,0.05,73,0.25,0.05,14,0.05,0.1,0,0,0,156,0.53,0.05,114,0.39,0.06,21,0.07,0.07,2,0.01,0.09,183,0.63,0.05,91,0.31,0.06,19,0.07,0.1,0,0,0
BAJA CALIFORNIA,12,0.29,0.01,22,0.52,0.01,7,0.17,0.01,1,0.02,0.01,30,0.71,0.01,12,0.29,0.01,0,0,0,0,0,0,15,0.36,0.01,20,0.48,0.01,6,0.14,0.01,1,0.02,0.01,25,0.6,0.01,17,0.41,0.01,0,0,0,0,0,0,21,0.5,0.01,19,0.45,0.01,1,0.02,0,1,0.02,0.06,21,0.5,0.01,19,0.45,0.01,2,0.05,0.01,0,0,0,31,0.74,0.01,10,0.24,0.01,1,0.02,0.01,0,0,0,20,0.48,0.01,22,0.52,0.01,0,0,0,0,0,0,27,0.64,0.01,14,0.33,0.01,1,0.02,0.01,0,0,0
BAJA CALIFORNIA SUR,44,0.21,0.03,118,0.56,0.04,48,0.23,0.06,2,0.01,0.02,135,0.64,0.04,71,0.34,0.04,6,0.03,0.03,0,0,0,83,0.39,0.04,116,0.55,0.05,13,0.06,0.02,0,0,0,133,0.63,0.04,71,0.34,0.04,7,0.03,0.03,1,0.01,0.1,127,0.6,0.04,78,0.37,0.04,7,0.03,0.02,0,0,0,97,0.46,0.04,97,0.46,0.05,17,0.08,0.05,1,0.01,0.05,150,0.71,0.04,58,0.27,0.04,3,0.01,0.02,1,0.01,0.14,121,0.57,0.04,86,0.41,0.04,5,0.02,0.02,0,0,0,154,0.73,0.04,55,0.26,0.04,3,0.01,0.02,0,0,0
CAMPECHE,55,0.29,0.04,99,0.53,0.03,31,0.17,0.04,2,0.01,0.02,118,0.63,0.04,58,0.31,0.03,11,0.06,0.06,0,0,0,66,0.35,0.03,92,0.49,0.04,28,0.15,0.04,1,0.01,0.01,111,0.59,0.03,69,0.37,0.04,7,0.04,0.03,0,0,0,111,0.59,0.04,65,0.35,0.04,10,0.05,0.03,1,0.01,0.06,107,0.57,0.04,65,0.35,0.03,14,0.08,0.04,1,0.01,0.05,132,0.71,0.03,48,0.26,0.04,7,0.04,0.05,0,0,0,107,0.57,0.04,66,0.35,0.03,14,0.08,0.05,0,0,0,122,0.65,0.03,57,0.31,0.04,8,0.04,0.04,0,0,0
CHIAPAS,17,0.28,0.01,28,0.47,0.01,14,0.23,0.02,1,0.02,0.01,28,0.47,0.01,28,0.47,0.02,4,0.07,0.02,0,0,0,12,0.2,0.01,32,0.53,0.01,12,0.2,0.02,4,0.07,0.06,27,0.45,0.01,25,0.42,0.01,7,0.12,0.03,1,0.02,0.1,28,0.47,0.01,28,0.47,0.02,4,0.07,0.01,0,0,0,24,0.4,0.01,32,0.53,0.02,4,0.07,0.01,0,0,0,35,0.58,0.01,23,0.38,0.02,2,0.03,0.01,0,0,0,30,0.5,0.01,26,0.43,0.01,3,0.05,0.01,1,0.02,0.04,37,0.62,0.01,22,0.37,0.02,0,0,0,1,0.02,0.11
CHIHUAHUA,57,0.22,0.04,144,0.56,0.05,52,0.2,0.06,3,0.01,0.03,168,0.66,0.05,79,0.31,0.04,9,0.04,0.05,0,0,0,106,0.41,0.05,122,0.48,0.05,25,0.1,0.04,3,0.01,0.04,176,0.69,0.05,71,0.28,0.04,9,0.04,0.04,0,0,0,153,0.6,0.05,92,0.36,0.05,11,0.04,0.04,0,0,0,142,0.56,0.05,99,0.39,0.05,14,0.06,0.04,1,0,0.05,194,0.76,0.05,56,0.22,0.04,6,0.02,0.04,0,0,0,148,0.58,0.05,91,0.36,0.05,16,0.06,0.06,1,0,0.04,181,0.71,0.05,69,0.27,0.05,6,0.02,0.03,0,0,0
CIUDAD DE MÉXICO,66,0.27,0.05,130,0.54,0.04,40,0.17,0.05,5,0.02,0.05,152,0.63,0.05,79,0.33,0.04,9,0.04,0.05,1,0,0.17,98,0.41,0.05,99,0.41,0.04,38,0.16,0.06,6,0.03,0.09,142,0.59,0.04,82,0.34,0.05,17,0.07,0.07,0,0,0,146,0.61,0.05,73,0.3,0.04,22,0.09,0.07,0,0,0,103,0.43,0.04,107,0.44,0.05,30,0.12,0.08,1,0,0.05,171,0.71,0.05,59,0.25,0.04,11,0.05,0.08,0,0,0,140,0.58,0.05,78,0.32,0.04,21,0.09,0.07,2,0.01,0.09,158,0.66,0.04,65,0.27,0.04,17,0.07,0.09,1,0,0.11
COAHUILA,19,0.23,0.01,47,0.57,0.02,16,0.19,0.02,1,0.01,0.01,50,0.6,0.02,29,0.35,0.02,4,0.05,0.02,0,0,0,32,0.39,0.02,39,0.47,0.02,10,0.12,0.02,2,0.02,0.03,48,0.58,0.02,28,0.34,0.02,7,0.08,0.03,0,0,0,50,0.6,0.02,27,0.33,0.02,6,0.07,0.02,0,0,0,43,0.52,0.02,35,0.42,0.02,5,0.06,0.01,0,0,0,64,0.77,0.02,16,0.19,0.01,3,0.04,0.02,0,0,0,55,0.66,0.02,22,0.27,0.01,6,0.07,0.02,0,0,0,55,0.66,0.02,24,0.29,0.02,4,0.05,0.02,0,0,0
COLIMA,64,0.32,0.05,108,0.54,0.04,20,0.1,0.02,7,0.04,0.07,134,0.67,0.04,60,0.3,0.03,4,0.02,0.02,1,0.01,0.17,90,0.45,0.04,83,0.42,0.03,21,0.11,0.03,5,0.03,0.07,135,0.68,0.04,55,0.28,0.03,8,0.04,0.03,1,0.01,0.1,144,0.72,0.05,47,0.24,0.03,7,0.04,0.02,1,0.01,0.06,122,0.61,0.04,68,0.34,0.03,8,0.04,0.02,1,0.01,0.05,155,0.78,0.04,42,0.21,0.03,1,0.01,0.01,1,0.01,0.14,118,0.59,0.04,71,0.36,0.04,9,0.05,0.03,1,0.01,0.04,153,0.77,0.04,41,0.21,0.03,4,0.02,0.02,1,0.01,0.11
DURANGO,62,0.23,0.05,162,0.61,0.06,32,0.12,0.04,11,0.04,0.1,161,0.6,0.05,95,0.36,0.05,11,0.04,0.06,0,0,0,96,0.36,0.05,127,0.48,0.05,40,0.15,0.06,4,0.02,0.06,155,0.58,0.05,105,0.39,0.06,7,0.03,0.03,0,0,0,144,0.54,0.05,108,0.4,0.06,14,0.05,0.05,1,0,0.06,131,0.49,0.05,115,0.43,0.05,20,0.08,0.05,1,0,0.05,183,0.69,0.05,77,0.29,0.06,7,0.03,0.05,0,0,0,135,0.51,0.04,121,0.45,0.06,11,0.04,0.04,0,0,0,178,0.67,0.05,83,0.31,0.06,6,0.02,0.03,0,0,0
