Variable,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
AGUASCALIENTES,163,0.56,0.05,117,0.4,0.06,12,0.04,0.06,1,0,0.04,146,0.5,0.05,123,0.42,0.06,20,0.07,0.07,4,0.01,0.2,147,0.5,0.05,126,0.43,0.06,20,0.07,0.07,0,0,0,118,0.4,0.05,151,0.52,0.06,23,0.08,0.06,1,0,0.06,129,0.44,0.05,144,0.49,0.06,20,0.07,0.05,0,0,0,107,0.37,0.05,152,0.52,0.06,33,0.11,0.06,1,0,0.04
BAJA CALIFORNIA,21,0.51,0.01,17,0.42,0.01,2,0.05,0.01,1,0.02,0.04,23,0.56,0.01,14,0.34,0.01,4,0.1,0.01,0,0,0,20,0.49,0.01,21,0.51,0.01,0,0,0,0,0,0,19,0.46,0.01,18,0.44,0.01,3,0.07,0.01,1,0.02,0.06,19,0.46,0.01,20,0.49,0.01,2,0.05,0.01,0,0,0,20,0.49,0.01,17,0.42,0.01,4,0.1,0.01,0,0,0
BAJA CALIFORNIA SUR,115,0.54,0.04,86,0.41,0.04,9,0.04,0.05,2,0.01,0.07,99,0.47,0.03,101,0.48,0.05,12,0.06,0.04,0,0,0,83,0.39,0.03,116,0.55,0.05,13,0.06,0.04,0,0,0,76,0.36,0.03,120,0.57,0.05,16,0.08,0.04,0,0,0,95,0.45,0.04,99,0.47,0.04,18,0.09,0.05,0,0,0,85,0.4,0.04,101,0.48,0.04,25,0.12,0.05,1,0.01,0.04
CAMPECHE,102,0.55,0.03,78,0.42,0.04,7,0.04,0.04,0,0,0,97,0.52,0.03,77,0.41,0.04,10,0.05,0.04,3,0.02,0.15,93,0.5,0.03,81,0.43,0.04,13,0.07,0.04,0,0,0,97,0.52,0.04,77,0.41,0.03,13,0.07,0.03,0,0,0,88,0.47,0.03,85,0.46,0.04,13,0.07,0.04,1,0.01,0.08,84,0.45,0.04,89,0.48,0.04,14,0.08,0.03,0,0,0
CHIAPAS,22,0.37,0.01,32,0.53,0.02,5,0.08,0.03,1,0.02,0.04,23,0.38,0.01,30,0.5,0.01,7,0.12,0.03,0,0,0,25,0.42,0.01,33,0.55,0.02,2,0.03,0.01,0,0,0,26,0.43,0.01,29,0.48,0.01,5,0.08,0.01,0,0,0,29,0.48,0.01,27,0.45,0.01,4,0.07,0.01,0,0,0,18,0.3,0.01,39,0.65,0.02,3,0.05,0.01,0,0,0
CHIHUAHUA,163,0.64,0.05,80,0.31,0.04,11,0.04,0.06,2,0.01,0.07,158,0.62,0.05,87,0.34,0.04,9,0.04,0.03,2,0.01,0.1,154,0.6,0.05,89,0.35,0.04,13,0.05,0.04,0,0,0,121,0.47,0.05,117,0.46,0.05,18,0.07,0.05,0,0,0,139,0.54,0.05,100,0.39,0.04,16,0.06,0.04,1,0,0.08,123,0.48,0.05,110,0.43,0.05,22,0.09,0.04,1,0,0.04
CIUDAD DE MÉXICO,150,0.62,0.05,82,0.34,0.04,7,0.03,0.04,2,0.01,0.07,140,0.58,0.05,84,0.35,0.04,15,0.06,0.05,2,0.01,0.1,133,0.55,0.05,94,0.39,0.04,14,0.06,0.05,0,0,0,124,0.52,0.05,90,0.37,0.04,25,0.1,0.06,2,0.01,0.12,121,0.5,0.05,97,0.4,0.04,22,0.09,0.06,1,0,0.08,118,0.49,0.05,95,0.39,0.04,28,0.12,0.05,0,0,0
COAHUILA,51,0.61,0.02,30,0.36,0.02,2,0.02,0.01,0,0,0,47,0.57,0.02,32,0.39,0.02,4,0.05,0.01,0,0,0,48,0.58,0.02,30,0.36,0.01,5,0.06,0.02,0,0,0,40,0.48,0.02,37,0.45,0.02,6,0.07,0.02,0,0,0,39,0.47,0.02,36,0.43,0.02,7,0.08,0.02,1,0.01,0.08,36,0.43,0.02,40,0.48,0.02,6,0.07,0.01,1,0.01,0.04
COLIMA,125,0.63,0.04,70,0.35,0.04,4,0.02,0.02,0,0,0,111,0.56,0.04,80,0.4,0.04,6,0.03,0.02,2,0.01,0.1,99,0.5,0.04,90,0.45,0.04,10,0.05,0.03,0,0,0,104,0.52,0.04,85,0.43,0.04,9,0.05,0.02,1,0.01,0.06,112,0.56,0.04,76,0.38,0.03,11,0.06,0.03,0,0,0,89,0.45,0.04,88,0.44,0.04,21,0.11,0.04,1,0.01,0.04
DURANGO,153,0.57,0.05,106,0.4,0.05,7,0.03,0.04,1,0,0.04,139,0.52,0.05,118,0.44,0.06,9,0.03,0.03,1,0,0.05,140,0.52,0.05,113,0.42,0.05,14,0.05,0.05,0,0,0,125,0.47,0.05,122,0.46,0.05,20,0.08,0.05,0,0,0,128,0.48,0.05,125,0.47,0.06,14,0.05,0.04,0,0,0,120,0.45,0.05,117,0.44,0.05,27,0.1,0.05,3,0.01,0.12
