Variable,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
AGUASCALIENTES,130,0.44,0.06,155,0.53,0.05,7,0.02,0.04,1,0,0.08,122,0.42,0.05,163,0.56,0.06,6,0.02,0.04,2,0.01,0.18,134,0.46,0.05,153,0.52,0.06,5,0.02,0.04,1,0,0.17,114,0.39,0.05,174,0.59,0.06,4,0.01,0.03,1,0,0.11,104,0.36,0.06,169,0.58,0.06,17,0.06,0.04,3,0.01,0.06
BAJA CALIFORNIA,19,0.46,0.01,19,0.46,0.01,3,0.07,0.02,0,0,0,21,0.51,0.01,19,0.46,0.01,1,0.02,0.01,0,0,0,22,0.54,0.01,17,0.42,0.01,2,0.05,0.02,0,0,0,18,0.44,0.01,21,0.51,0.01,2,0.05,0.01,0,0,0,14,0.34,0.01,24,0.59,0.01,2,0.05,0.01,1,0.02,0.02
BAJA CALIFORNIA SUR,85,0.4,0.04,122,0.58,0.04,5,0.02,0.03,0,0,0,95,0.45,0.04,109,0.51,0.04,7,0.03,0.04,1,0.01,0.09,108,0.51,0.04,102,0.48,0.04,2,0.01,0.02,0,0,0,91,0.43,0.04,116,0.55,0.04,5,0.02,0.04,0,0,0,68,0.32,0.04,124,0.59,0.04,19,0.09,0.05,1,0.01,0.02
CAMPECHE,55,0.29,0.03,127,0.68,0.04,5,0.03,0.03,0,0,0,61,0.33,0.03,115,0.62,0.04,10,0.05,0.06,1,0.01,0.09,75,0.4,0.03,108,0.58,0.04,4,0.02,0.04,0,0,0,60,0.32,0.03,123,0.66,0.04,4,0.02,0.03,0,0,0,52,0.28,0.03,123,0.66,0.04,11,0.06,0.03,1,0.01,0.02
CHIAPAS,13,0.22,0.01,43,0.72,0.01,2,0.03,0.01,2,0.03,0.15,15,0.25,0.01,40,0.67,0.01,4,0.07,0.03,1,0.02,0.09,22,0.37,0.01,37,0.62,0.01,1,0.02,0.01,0,0,0,16,0.27,0.01,40,0.67,0.01,4,0.07,0.03,0,0,0,17,0.28,0.01,36,0.6,0.01,7,0.12,0.02,0,0,0
CHIHUAHUA,128,0.5,0.06,124,0.48,0.04,4,0.02,0.02,0,0,0,130,0.51,0.06,120,0.47,0.04,6,0.02,0.04,0,0,0,139,0.54,0.06,114,0.45,0.04,3,0.01,0.03,0,0,0,106,0.41,0.05,143,0.56,0.05,6,0.02,0.04,1,0,0.11,101,0.4,0.05,127,0.5,0.04,22,0.09,0.06,6,0.02,0.12
CIUDAD DE MÉXICO,90,0.37,0.04,142,0.59,0.05,8,0.03,0.05,1,0,0.08,101,0.42,0.05,131,0.54,0.05,9,0.04,0.06,0,0,0,100,0.42,0.04,132,0.55,0.05,9,0.04,0.08,0,0,0,89,0.37,0.04,145,0.6,0.05,7,0.03,0.05,0,0,0,80,0.33,0.04,138,0.57,0.05,23,0.1,0.06,0,0,0
COAHUILA,38,0.46,0.02,44,0.53,0.02,1,0.01,0.01,0,0,0,35,0.42,0.02,46,0.55,0.02,2,0.02,0.01,0,0,0,40,0.48,0.02,41,0.49,0.02,2,0.02,0.02,0,0,0,33,0.4,0.02,48,0.58,0.02,2,0.02,0.01,0,0,0,23,0.28,0.01,51,0.61,0.02,7,0.08,0.02,2,0.02,0.04
COLIMA,95,0.48,0.04,103,0.52,0.03,1,0.01,0.01,0,0,0,85,0.43,0.04,108,0.54,0.04,6,0.03,0.04,0,0,0,97,0.49,0.04,97,0.49,0.04,4,0.02,0.04,1,0.01,0.17,85,0.43,0.04,110,0.55,0.04,4,0.02,0.03,0,0,0,79,0.4,0.04,106,0.53,0.04,13,0.07,0.03,1,0.01,0.02
DURANGO,106,0.4,0.05,154,0.58,0.05,7,0.03,0.04,0,0,0,118,0.44,0.05,146,0.55,0.05,3,0.01,0.02,0,0,0,130,0.49,0.05,132,0.49,0.05,5,0.02,0.04,0,0,0,110,0.41,0.05,152,0.57,0.05,5,0.02,0.04,0,0,0,99,0.37,0.05,151,0.57,0.05,17,0.06,0.04,0,0,0
ESTADO DE MÉXICO,81,0.44,0.04,95,0.52,0.03,8,0.04,0.05,0,0,0,75,0.41,0.03,103,0.56,0.04,6,0.03,0.04,0,0,0,87,0.47,0.03,91,0.5,0.03,6,0.03,0.05,0,0,0,77,0.42,0.04,100,0.54,0.03,7,0.04,0.05,0,0,0,68,0.37,0.04,99,0.54,0.03,16,0.09,0.04,1,0.01,0.02
GUANAJUATO,122,0.48,0.06,122,0.48,0.04,9,0.04,0.06,1,0,0.08,122,0.48,0.05,127,0.5,0.04,5,0.02,0.03,0,0,0,137,0.54,0.05,114,0.45,0.04,3,0.01,0.03,0,0,0,119,0.47,0.06,127,0.5,0.04,8,0.03,0.06,0,0,0,96,0.38,0.05,144,0.57,0.05,11,0.04,0.03,3,0.01,0.06
