Variable,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
AGUASCALIENTES,115,0.39,0.05,160,0.55,0.06,16,0.06,0.05,2,0.01,0.08,99,0.34,0.05,176,0.6,0.06,18,0.06,0.05,0,0,0,92,0.31,0.05,181,0.62,0.06,20,0.07,0.05,0,0,0,64,0.22,0.05,207,0.71,0.06,20,0.07,0.04,2,0.01,0.06,53,0.18,0.05,189,0.65,0.06,46,0.16,0.07,5,0.02,0.11,49,0.17,0.04,206,0.7,0.06,33,0.11,0.05,5,0.02,0.13,51,0.17,0.05,198,0.68,0.06,37,0.13,0.05,7,0.02,0.12
BAJA CALIFORNIA,15,0.37,0.01,22,0.54,0.01,3,0.07,0.01,1,0.02,0.04,13,0.32,0.01,26,0.63,0.01,2,0.05,0.01,0,0,0,13,0.32,0.01,24,0.59,0.01,4,0.1,0.01,0,0,0,7,0.17,0.01,32,0.78,0.01,2,0.05,0,0,0,0,6,0.15,0.01,29,0.71,0.01,6,0.15,0.01,0,0,0,8,0.2,0.01,26,0.63,0.01,7,0.17,0.01,0,0,0,7,0.17,0.01,31,0.76,0.01,3,0.07,0,0,0,0
BAJA CALIFORNIA SUR,87,0.41,0.04,105,0.5,0.04,18,0.09,0.06,2,0.01,0.08,78,0.37,0.04,117,0.55,0.04,16,0.08,0.05,1,0.01,0.06,70,0.33,0.04,123,0.58,0.04,19,0.09,0.05,0,0,0,43,0.2,0.03,147,0.69,0.04,20,0.09,0.04,2,0.01,0.06,30,0.14,0.03,147,0.69,0.04,33,0.16,0.05,2,0.01,0.04,34,0.16,0.03,147,0.69,0.04,29,0.14,0.05,2,0.01,0.05,29,0.14,0.03,155,0.73,0.05,26,0.12,0.04,2,0.01,0.03
CAMPECHE,55,0.29,0.03,119,0.64,0.04,11,0.06,0.04,2,0.01,0.08,50,0.27,0.03,119,0.64,0.04,16,0.09,0.05,2,0.01,0.13,52,0.28,0.03,118,0.63,0.04,15,0.08,0.04,2,0.01,0.07,43,0.23,0.03,127,0.68,0.04,15,0.08,0.03,2,0.01,0.06,36,0.19,0.03,127,0.68,0.04,22,0.12,0.03,2,0.01,0.04,40,0.21,0.03,128,0.68,0.04,17,0.09,0.03,2,0.01,0.05,37,0.2,0.03,126,0.67,0.04,22,0.12,0.03,2,0.01,0.03
CHIAPAS,18,0.3,0.01,33,0.55,0.01,9,0.15,0.03,0,0,0,16,0.27,0.01,37,0.62,0.01,7,0.12,0.02,0,0,0,13,0.22,0.01,36,0.6,0.01,9,0.15,0.02,2,0.03,0.07,13,0.22,0.01,38,0.63,0.01,9,0.15,0.02,0,0,0,8,0.13,0.01,37,0.62,0.01,15,0.25,0.02,0,0,0,9,0.15,0.01,38,0.63,0.01,13,0.22,0.02,0,0,0,9,0.15,0.01,38,0.63,0.01,12,0.2,0.02,1,0.02,0.02
CHIHUAHUA,128,0.5,0.06,113,0.44,0.04,13,0.05,0.04,2,0.01,0.08,105,0.41,0.06,128,0.5,0.04,22,0.09,0.06,1,0,0.06,97,0.38,0.05,133,0.52,0.04,24,0.09,0.06,2,0.01,0.07,70,0.27,0.05,159,0.62,0.05,26,0.1,0.06,1,0,0.03,59,0.23,0.05,156,0.61,0.05,40,0.16,0.06,1,0,0.02,72,0.28,0.06,151,0.59,0.04,32,0.13,0.05,1,0,0.03,62,0.24,0.06,158,0.62,0.05,36,0.14,0.05,0,0,0
CIUDAD DE MÉXICO,88,0.37,0.04,142,0.59,0.05,11,0.05,0.04,0,0,0,79,0.33,0.04,150,0.62,0.05,12,0.05,0.04,0,0,0,67,0.28,0.04,153,0.64,0.05,21,0.09,0.05,0,0,0,39,0.16,0.03,169,0.7,0.05,32,0.13,0.07,1,0,0.03,35,0.15,0.03,163,0.68,0.05,41,0.17,0.06,2,0.01,0.04,36,0.15,0.03,161,0.67,0.05,44,0.18,0.07,0,0,0,41,0.17,0.04,155,0.64,0.05,42,0.17,0.06,3,0.01,0.05
COAHUILA,32,0.39,0.02,45,0.54,0.02,6,0.07,0.02,0,0,0,32,0.39,0.02,47,0.57,0.02,4,0.05,0.01,0,0,0,26,0.31,0.01,46,0.55,0.02,10,0.12,0.02,1,0.01,0.04,24,0.29,0.02,53,0.64,0.02,6,0.07,0.01,0,0,0,24,0.29,0.02,43,0.52,0.01,16,0.19,0.02,0,0,0,24,0.29,0.02,48,0.58,0.01,11,0.13,0.02,0,0,0,25,0.3,0.02,47,0.57,0.01,11,0.13,0.02,0,0,0
COLIMA,83,0.42,0.04,106,0.53,0.04,10,0.05,0.03,0,0,0,77,0.39,0.04,112,0.56,0.04,10,0.05,0.03,0,0,0,73,0.37,0.04,115,0.58,0.04,11,0.06,0.03,0,0,0,47,0.24,0.04,137,0.69,0.04,15,0.08,0.03,0,0,0,53,0.27,0.05,119,0.6,0.04,26,0.13,0.04,1,0.01,0.02,51,0.26,0.04,129,0.65,0.04,19,0.1,0.03,0,0,0,51,0.26,0.05,124,0.62,0.04,23,0.12,0.03,1,0.01,0.02
DURANGO,116,0.43,0.06,138,0.52,0.05,13,0.05,0.04,0,0,0,114,0.43,0.06,142,0.53,0.05,11,0.04,0.03,0,0,0,95,0.36,0.05,162,0.61,0.05,10,0.04,0.02,0,0,0,62,0.23,0.05,185,0.69,0.05,19,0.07,0.04,1,0,0.03,59,0.22,0.05,181,0.68,0.05,24,0.09,0.03,3,0.01,0.07,61,0.23,0.05,183,0.69,0.05,22,0.08,0.04,1,0,0.03,55,0.21,0.05,176,0.66,0.05,32,0.12,0.05,4,0.02,0.07
