Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas
AGUASCALIENTES,86,0.29,0.05,191,0.65,0.06,15,0.05,0.04,1,0,0.06,96,0.33,0.05,188,0.64,0.06,9,0.03,0.03,0,0,0,138,0.47,0.05,143,0.49,0.06,12,0.04,0.07,0,0,0,110,0.38,0.05,170,0.58,0.06,13,0.04,0.06,0,0,0,131,0.45,0.05,156,0.53,0.06,4,0.01,0.02,2,0.01,0.12
BAJA CALIFORNIA,15,0.37,0.01,23,0.56,0.01,3,0.07,0.01,0,0,0,12,0.29,0.01,29,0.71,0.01,0,0,0,0,0,0,19,0.46,0.01,21,0.51,0.01,0,0,0,1,0.02,0.06,19,0.46,0.01,21,0.51,0.01,1,0.02,0,0,0,0,19,0.46,0.01,22,0.54,0.01,0,0,0,0,0,0
BAJA CALIFORNIA SUR,82,0.39,0.05,124,0.59,0.04,6,0.03,0.02,0,0,0,73,0.34,0.04,125,0.59,0.04,14,0.07,0.05,0,0,0,119,0.56,0.04,89,0.42,0.04,4,0.02,0.02,0,0,0,100,0.47,0.05,106,0.5,0.04,6,0.03,0.03,0,0,0,113,0.53,0.04,95,0.45,0.04,4,0.02,0.02,0,0,0
CAMPECHE,63,0.34,0.04,111,0.59,0.04,12,0.06,0.03,1,0.01,0.06,65,0.35,0.03,106,0.57,0.03,15,0.08,0.06,1,0.01,0.07,81,0.43,0.03,95,0.51,0.04,10,0.05,0.06,1,0.01,0.06,73,0.39,0.03,103,0.55,0.04,10,0.05,0.04,1,0.01,0.09,84,0.45,0.03,95,0.51,0.04,7,0.04,0.04,1,0.01,0.06
CHIAPAS,15,0.25,0.01,34,0.57,0.01,11,0.18,0.03,0,0,0,16,0.27,0.01,39,0.65,0.01,5,0.08,0.02,0,0,0,26,0.43,0.01,30,0.5,0.01,4,0.07,0.02,0,0,0,18,0.3,0.01,35,0.58,0.01,7,0.12,0.03,0,0,0,23,0.38,0.01,32,0.53,0.01,5,0.08,0.03,0,0,0
CHIHUAHUA,108,0.42,0.06,138,0.54,0.04,9,0.04,0.03,1,0,0.06,96,0.38,0.05,150,0.59,0.05,10,0.04,0.04,0,0,0,161,0.63,0.06,85,0.33,0.04,10,0.04,0.06,0,0,0,127,0.5,0.06,123,0.48,0.04,6,0.02,0.03,0,0,0,137,0.54,0.05,111,0.43,0.04,8,0.03,0.05,0,0,0
CIUDAD DE MÉXICO,60,0.25,0.03,159,0.66,0.05,21,0.09,0.06,1,0,0.06,79,0.33,0.04,154,0.64,0.05,8,0.03,0.03,0,0,0,120,0.5,0.04,113,0.47,0.05,7,0.03,0.04,1,0,0.06,93,0.39,0.04,138,0.57,0.05,9,0.04,0.04,1,0,0.09,110,0.46,0.04,120,0.5,0.05,11,0.05,0.07,0,0,0
COAHUILA,31,0.37,0.02,44,0.53,0.01,7,0.08,0.02,1,0.01,0.06,29,0.35,0.02,50,0.6,0.02,4,0.05,0.02,0,0,0,43,0.52,0.02,37,0.45,0.02,3,0.04,0.02,0,0,0,36,0.43,0.02,45,0.54,0.02,2,0.02,0.01,0,0,0,39,0.47,0.02,39,0.47,0.02,4,0.05,0.02,1,0.01,0.06
COLIMA,69,0.35,0.04,115,0.58,0.04,14,0.07,0.04,1,0.01,0.06,74,0.37,0.04,112,0.56,0.04,12,0.06,0.05,1,0.01,0.07,107,0.54,0.04,84,0.42,0.04,8,0.04,0.05,0,0,0,90,0.45,0.04,98,0.49,0.03,11,0.06,0.05,0,0,0,103,0.52,0.04,88,0.44,0.03,7,0.04,0.04,1,0.01,0.06
DURANGO,91,0.34,0.05,156,0.58,0.05,19,0.07,0.05,1,0,0.06,97,0.36,0.05,158,0.59,0.05,11,0.04,0.04,1,0,0.07,147,0.55,0.05,116,0.43,0.05,3,0.01,0.02,1,0,0.06,121,0.45,0.05,138,0.52,0.05,7,0.03,0.03,1,0,0.09,134,0.5,0.05,127,0.48,0.05,5,0.02,0.03,1,0,0.06
