Variable,B2-A-Totalmente de acuerdo-Recuento,B2-A-Totalmente de acuerdo-% del N de fila,B2-A-Totalmente de acuerdo-% de N columnas,B2-A-De acuerdo-Recuento,B2-A-De acuerdo-% del N de fila,B2-A-De acuerdo-% de N columnas,B2-A-En desacuerdo-Recuento,B2-A-En desacuerdo-% del N de fila,B2-A-En desacuerdo-% de N columnas,B2-A-Totalmente en desacuerdo-Recuento,B2-A-Totalmente en desacuerdo-% del N de fila,B2-A-Totalmente en desacuerdo-% de N columnas,B2-B-Totalmente de acuerdo-Recuento,B2-B-Totalmente de acuerdo-% del N de fila,B2-B-Totalmente de acuerdo-% de N columnas,B2-B-De acuerdo-Recuento,B2-B-De acuerdo-% del N de fila,B2-B-De acuerdo-% de N columnas,B2-B-En desacuerdo-Recuento,B2-B-En desacuerdo-% del N de fila,B2-B-En desacuerdo-% de N columnas,B2-B-Totalmente en desacuerdo-Recuento,B2-B-Totalmente en desacuerdo-% del N de fila,B2-B-Totalmente en desacuerdo-% de N columnas,B2-C-Totalmente de acuerdo-Recuento,B2-C-Totalmente de acuerdo-% del N de fila,B2-C-Totalmente de acuerdo-% de N columnas,B2-C-De acuerdo-Recuento,B2-C-De acuerdo-% del N de fila,B2-C-De acuerdo-% de N columnas,B2-C-En desacuerdo-Recuento,B2-C-En desacuerdo-% del N de fila,B2-C-En desacuerdo-% de N columnas,B2-C-Totalmente en desacuerdo-Recuento,B2-C-Totalmente en desacuerdo-% del N de fila,B2-C-Totalmente en desacuerdo-% de N columnas,B2-D-Totalmente de acuerdo-Recuento,B2-D-Totalmente de acuerdo-% del N de fila,B2-D-Totalmente de acuerdo-% de N columnas,B2-D-De acuerdo-Recuento,B2-D-De acuerdo-% del N de fila,B2-D-De acuerdo-% de N columnas,B2-D-En desacuerdo-Recuento,B2-D-En desacuerdo-% del N de fila,B2-D-En desacuerdo-% de N columnas,B2-D-Totalmente en desacuerdo-Recuento,B2-D-Totalmente en desacuerdo-% del N de fila,B2-D-Totalmente en desacuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-En desacuerdo-Recuento,B2-E-En desacuerdo-% del N de fila,B2-E-En desacuerdo-% de N columnas,B2-E-Totalmente en desacuerdo-Recuento,B2-E-Totalmente en desacuerdo-% del N de fila,B2-E-Totalmente en desacuerdo-% de N columnas,B2-F-Totalmente de acuerdo-Recuento,B2-F-Totalmente de acuerdo-% del N de fila,B2-F-Totalmente de acuerdo-% de N columnas,B2-F-De acuerdo-Recuento,B2-F-De acuerdo-% del N de fila,B2-F-De acuerdo-% de N columnas,B2-F-En desacuerdo-Recuento,B2-F-En desacuerdo-% del N de fila,B2-F-En desacuerdo-% de N columnas,B2-F-Totalmente en desacuerdo-Recuento,B2-F-Totalmente en desacuerdo-% del N de fila,B2-F-Totalmente en desacuerdo-% de N columnas,B2-G-Totalmente de acuerdo-Recuento,B2-G-Totalmente de acuerdo-% del N de fila,B2-G-Totalmente de acuerdo-% de N columnas,B2-G-De acuerdo-Recuento,B2-G-De acuerdo-% del N de fila,B2-G-De acuerdo-% de N columnas,B2-G-En desacuerdo-Recuento,B2-G-En desacuerdo-% del N de fila,B2-G-En desacuerdo-% de N columnas,B2-G-Totalmente en desacuerdo-Recuento,B2-G-Totalmente en desacuerdo-% del N de fila,B2-G-Totalmente en desacuerdo-% de N columnas,B2-H-Totalmente de acuerdo-Recuento,B2-H-Totalmente de acuerdo-% del N de fila,B2-H-Totalmente de acuerdo-% de N columnas,B2-H-De acuerdo-Recuento,B2-H-De acuerdo-% del N de fila,B2-H-De acuerdo-% de N columnas,B2-H-En desacuerdo-Recuento,B2-H-En desacuerdo-% del N de fila,B2-H-En desacuerdo-% de N columnas,B2-H-Totalmente en desacuerdo-Recuento,B2-H-Totalmente en desacuerdo-% del N de fila,B2-H-Totalmente en desacuerdo-% de N columnas,B2-I-Totalmente de acuerdo-Recuento,B2-I-Totalmente de acuerdo-% del N de fila,B2-I-Totalmente de acuerdo-% de N columnas,B2-I-De acuerdo-Recuento,B2-I-De acuerdo-% del N de fila,B2-I-De acuerdo-% de N columnas,B2-I-En desacuerdo-Recuento,B2-I-En desacuerdo-% del N de fila,B2-I-En desacuerdo-% de N columnas,B2-I-Totalmente en desacuerdo-Recuento,B2-I-Totalmente en desacuerdo-% del N de fila,B2-I-Totalmente en desacuerdo-% de N columnas
AGUASCALIENTES,320,0.561,0.05,241,0.423,0.049,7,0.012,0.045,2,0.004,0.1,296,0.519,0.049,264,0.463,0.051,8,0.014,0.045,2,0.004,0.125,304,0.533,0.052,262,0.46,0.048,3,0.005,0.03,1,0.002,0.125,274,0.481,0.051,281,0.493,0.048,12,0.021,0.043,3,0.005,0.176,312,0.547,0.051,246,0.432,0.048,9,0.016,0.049,3,0.005,0.15,253,0.444,0.053,305,0.535,0.048,9,0.016,0.032,3,0.005,0.188,271,0.475,0.053,284,0.498,0.047,13,0.023,0.041,2,0.004,0.061,272,0.477,0.053,289,0.507,0.048,6,0.011,0.026,3,0.005,0.167,288,0.505,0.052,268,0.47,0.047,11,0.019,0.051,3,0.005,0.2
BAJA CALIFORNIA,48,0.5,0.008,46,0.479,0.009,2,0.021,0.013,0,0,0,48,0.5,0.008,45,0.469,0.009,3,0.031,0.017,0,0,0,45,0.469,0.008,50,0.521,0.009,1,0.01,0.01,0,0,0,42,0.438,0.008,50,0.521,0.009,4,0.042,0.014,0,0,0,51,0.531,0.008,43,0.448,0.008,2,0.021,0.011,0,0,0,43,0.448,0.009,50,0.521,0.008,3,0.031,0.011,0,0,0,45,0.469,0.009,48,0.5,0.008,3,0.031,0.009,0,0,0,46,0.479,0.009,48,0.5,0.008,2,0.021,0.009,0,0,0,47,0.49,0.008,48,0.5,0.008,1,0.01,0.005,0,0,0
BAJA CALIFORNIA SUR,408,0.59,0.064,277,0.401,0.056,6,0.009,0.039,0,0,0,403,0.583,0.067,284,0.411,0.055,4,0.006,0.022,0,0,0,385,0.557,0.065,302,0.437,0.056,4,0.006,0.04,0,0,0,349,0.505,0.065,330,0.478,0.057,11,0.016,0.04,1,0.001,0.059,384,0.556,0.063,303,0.438,0.059,4,0.006,0.022,0,0,0,310,0.449,0.065,364,0.527,0.057,17,0.025,0.061,0,0,0,325,0.47,0.064,359,0.52,0.06,7,0.01,0.022,0,0,0,333,0.482,0.065,349,0.505,0.058,8,0.012,0.034,1,0.001,0.056,361,0.522,0.065,323,0.467,0.057,7,0.01,0.033,0,0,0
CAMPECHE,141,0.453,0.022,166,0.534,0.034,4,0.013,0.026,0,0,0,131,0.421,0.022,175,0.563,0.034,5,0.016,0.028,0,0,0,130,0.418,0.022,177,0.569,0.033,4,0.013,0.04,0,0,0,112,0.36,0.021,195,0.627,0.034,4,0.013,0.014,0,0,0,130,0.418,0.021,175,0.563,0.034,6,0.019,0.033,0,0,0,103,0.331,0.022,201,0.646,0.032,7,0.023,0.025,0,0,0,103,0.331,0.02,199,0.64,0.033,9,0.029,0.028,0,0,0,106,0.341,0.021,200,0.643,0.033,5,0.016,0.021,0,0,0,121,0.389,0.022,185,0.595,0.033,5,0.016,0.023,0,0,0
CHIAPAS,49,0.49,0.008,49,0.49,0.01,2,0.02,0.013,0,0,0,44,0.44,0.007,55,0.55,0.011,0,0,0,1,0.01,0.063,39,0.39,0.007,61,0.61,0.011,0,0,0,0,0,0,37,0.37,0.007,60,0.6,0.01,3,0.03,0.011,0,0,0,52,0.52,0.009,47,0.47,0.009,1,0.01,0.005,0,0,0,36,0.36,0.008,62,0.62,0.01,2,0.02,0.007,0,0,0,37,0.37,0.007,63,0.63,0.01,0,0,0,0,0,0,33,0.33,0.006,66,0.66,0.011,1,0.01,0.004,0,0,0,45,0.45,0.008,55,0.55,0.01,0,0,0,0,0,0
CHIHUAHUA,275,0.523,0.043,238,0.452,0.048,12,0.023,0.077,1,0.002,0.05,251,0.477,0.041,267,0.508,0.052,7,0.013,0.039,1,0.002,0.063,251,0.477,0.043,268,0.51,0.049,7,0.013,0.069,0,0,0,230,0.437,0.043,278,0.529,0.048,18,0.034,0.065,0,0,0,268,0.51,0.044,252,0.479,0.049,6,0.011,0.033,0,0,0,212,0.403,0.045,303,0.576,0.047,10,0.019,0.036,1,0.002,0.063,217,0.413,0.043,302,0.574,0.05,6,0.011,0.019,1,0.002,0.03,208,0.395,0.041,307,0.584,0.051,10,0.019,0.043,1,0.002,0.056,218,0.414,0.039,301,0.572,0.053,6,0.011,0.028,1,0.002,0.067
CIUDAD DE MÉXICO,475,0.556,0.075,364,0.426,0.074,13,0.015,0.084,3,0.004,0.15,406,0.475,0.067,417,0.488,0.081,30,0.035,0.168,2,0.002,0.125,422,0.494,0.072,422,0.494,0.078,10,0.012,0.099,1,0.001,0.125,363,0.425,0.068,458,0.536,0.079,32,0.037,0.116,2,0.002,0.118,421,0.492,0.069,413,0.483,0.08,19,0.022,0.104,2,0.002,0.1,340,0.398,0.072,486,0.568,0.076,27,0.032,0.097,2,0.002,0.125,348,0.407,0.069,468,0.547,0.078,34,0.04,0.107,5,0.006,0.152,352,0.412,0.069,470,0.55,0.078,31,0.036,0.132,2,0.002,0.111,370,0.433,0.067,456,0.533,0.081,26,0.03,0.121,3,0.004,0.2
COAHUILA,124,0.629,0.02,69,0.35,0.014,4,0.02,0.026,0,0,0,131,0.665,0.022,63,0.32,0.012,3,0.015,0.017,0,0,0,120,0.609,0.02,75,0.381,0.014,2,0.01,0.02,0,0,0,114,0.579,0.021,81,0.411,0.014,2,0.01,0.007,0,0,0,126,0.64,0.021,66,0.335,0.013,4,0.02,0.022,1,0.005,0.05,99,0.503,0.021,93,0.472,0.015,5,0.025,0.018,0,0,0,101,0.513,0.02,87,0.442,0.014,8,0.041,0.025,1,0.005,0.03,101,0.513,0.02,90,0.457,0.015,6,0.03,0.026,0,0,0,110,0.558,0.02,83,0.421,0.015,4,0.02,0.019,0,0,0
COLIMA,316,0.632,0.05,180,0.36,0.037,4,0.008,0.026,0,0,0,284,0.568,0.047,208,0.416,0.04,7,0.014,0.039,1,0.002,0.063,278,0.556,0.047,216,0.432,0.04,6,0.012,0.059,0,0,0,237,0.474,0.044,253,0.506,0.044,10,0.02,0.036,0,0,0,291,0.582,0.048,199,0.398,0.039,10,0.02,0.055,0,0,0,231,0.462,0.049,259,0.518,0.041,10,0.02,0.036,0,0,0,243,0.486,0.048,239,0.478,0.04,18,0.036,0.057,0,0,0,235,0.47,0.046,249,0.498,0.041,16,0.032,0.068,0,0,0,262,0.524,0.047,220,0.44,0.039,18,0.036,0.084,0,0,0
DURANGO,204,0.55,0.032,161,0.434,0.033,6,0.016,0.039,0,0,0,199,0.536,0.033,162,0.437,0.031,9,0.024,0.05,1,0.003,0.063,194,0.523,0.033,174,0.469,0.032,3,0.008,0.03,0,0,0,180,0.485,0.034,186,0.501,0.032,3,0.008,0.011,2,0.005,0.118,195,0.526,0.032,166,0.447,0.032,9,0.024,0.049,1,0.003,0.05,151,0.407,0.032,212,0.571,0.033,8,0.022,0.029,0,0,0,166,0.447,0.033,194,0.523,0.032,10,0.027,0.032,1,0.003,0.03,168,0.453,0.033,198,0.534,0.033,5,0.013,0.021,0,0,0,179,0.482,0.032,183,0.493,0.032,9,0.024,0.042,0,0,0
