Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
AGUASCALIENTES,122,0.42,0.06,155,0.53,0.05,12,0.04,0.04,3,0.01,0.19,114,0.39,0.06,163,0.56,0.05,14,0.05,0.05,1,0,0.06,123,0.42,0.06,148,0.51,0.06,19,0.07,0.03,2,0.01,0.02,120,0.41,0.05,163,0.56,0.06,8,0.03,0.03,1,0,0.03,113,0.39,0.05,155,0.53,0.06,23,0.08,0.06,1,0,0.02,133,0.46,0.05,147,0.5,0.06,10,0.03,0.04,2,0.01,0.05,118,0.4,0.05,161,0.55,0.06,12,0.04,0.04,1,0,0.04,90,0.31,0.05,162,0.56,0.06,36,0.12,0.06,4,0.01,0.05
BAJA CALIFORNIA,17,0.39,0.01,25,0.57,0.01,2,0.05,0.01,0,0,0,19,0.43,0.01,21,0.48,0.01,4,0.09,0.01,0,0,0,18,0.41,0.01,21,0.48,0.01,5,0.11,0.01,0,0,0,22,0.5,0.01,22,0.5,0.01,0,0,0,0,0,0,21,0.48,0.01,20,0.46,0.01,3,0.07,0.01,0,0,0,24,0.55,0.01,16,0.36,0.01,4,0.09,0.02,0,0,0,20,0.46,0.01,23,0.52,0.01,1,0.02,0,0,0,0,19,0.43,0.01,21,0.48,0.01,4,0.09,0.01,0,0,0
BAJA CALIFORNIA SUR,83,0.39,0.04,117,0.55,0.04,13,0.06,0.04,0,0,0,89,0.42,0.04,118,0.55,0.04,6,0.03,0.02,0,0,0,95,0.45,0.05,88,0.41,0.03,24,0.11,0.04,6,0.03,0.06,95,0.45,0.04,105,0.49,0.04,12,0.06,0.05,1,0.01,0.03,98,0.46,0.04,99,0.47,0.04,14,0.07,0.04,2,0.01,0.04,104,0.49,0.04,98,0.46,0.04,11,0.05,0.05,0,0,0,97,0.46,0.05,104,0.49,0.04,11,0.05,0.03,1,0.01,0.04,75,0.35,0.04,112,0.53,0.04,22,0.1,0.04,4,0.02,0.05
CAMPECHE,68,0.37,0.03,104,0.56,0.04,13,0.07,0.04,1,0.01,0.06,61,0.33,0.03,113,0.61,0.04,12,0.07,0.04,0,0,0,62,0.33,0.03,103,0.55,0.04,16,0.09,0.03,5,0.03,0.05,69,0.37,0.03,108,0.58,0.04,7,0.04,0.03,2,0.01,0.06,67,0.36,0.03,109,0.59,0.04,6,0.03,0.02,4,0.02,0.07,86,0.46,0.03,91,0.49,0.04,8,0.04,0.03,1,0.01,0.03,70,0.38,0.03,105,0.57,0.04,10,0.05,0.03,1,0.01,0.04,58,0.31,0.03,103,0.55,0.04,22,0.12,0.04,3,0.02,0.04
CHIAPAS,15,0.25,0.01,36,0.6,0.01,9,0.15,0.03,0,0,0,14,0.23,0.01,41,0.68,0.01,5,0.08,0.02,0,0,0,18,0.3,0.01,30,0.5,0.01,7,0.12,0.01,5,0.08,0.05,21,0.35,0.01,33,0.55,0.01,6,0.1,0.02,0,0,0,15,0.25,0.01,32,0.53,0.01,13,0.22,0.04,0,0,0,18,0.3,0.01,34,0.57,0.01,8,0.13,0.03,0,0,0,17,0.28,0.01,34,0.57,0.01,7,0.12,0.02,2,0.03,0.07,12,0.2,0.01,37,0.62,0.01,11,0.18,0.02,0,0,0
CHIHUAHUA,129,0.5,0.06,112,0.44,0.04,15,0.06,0.04,0,0,0,121,0.47,0.06,126,0.49,0.04,9,0.04,0.03,0,0,0,107,0.42,0.05,115,0.45,0.04,31,0.12,0.06,3,0.01,0.03,127,0.5,0.06,120,0.47,0.04,8,0.03,0.03,1,0,0.03,115,0.45,0.05,120,0.47,0.04,19,0.07,0.05,2,0.01,0.04,137,0.54,0.05,112,0.44,0.04,7,0.03,0.03,0,0,0,109,0.43,0.05,132,0.52,0.05,14,0.06,0.04,1,0,0.04,97,0.38,0.06,130,0.51,0.04,27,0.11,0.05,2,0.01,0.03
CIUDAD DE MÉXICO,72,0.3,0.04,149,0.62,0.05,20,0.08,0.06,0,0,0,70,0.29,0.04,150,0.62,0.05,18,0.08,0.06,3,0.01,0.18,95,0.39,0.05,109,0.45,0.04,33,0.14,0.06,4,0.02,0.04,91,0.38,0.04,130,0.54,0.05,19,0.08,0.07,1,0,0.03,99,0.41,0.05,118,0.49,0.04,24,0.1,0.07,0,0,0,103,0.43,0.04,115,0.48,0.05,21,0.09,0.09,2,0.01,0.05,88,0.37,0.04,130,0.54,0.05,22,0.09,0.07,1,0,0.04,68,0.28,0.04,138,0.57,0.05,30,0.12,0.05,5,0.02,0.06
COAHUILA,31,0.37,0.02,48,0.58,0.02,3,0.04,0.01,1,0.01,0.06,33,0.4,0.02,45,0.54,0.02,5,0.06,0.02,0,0,0,22,0.27,0.01,53,0.64,0.02,7,0.08,0.01,1,0.01,0.01,31,0.37,0.01,50,0.6,0.02,1,0.01,0,1,0.01,0.03,34,0.41,0.02,45,0.54,0.02,3,0.04,0.01,1,0.01,0.02,36,0.43,0.01,44,0.53,0.02,3,0.04,0.01,0,0,0,36,0.43,0.02,45,0.54,0.02,1,0.01,0,1,0.01,0.04,29,0.35,0.02,48,0.58,0.02,6,0.07,0.01,0,0,0
COLIMA,86,0.43,0.04,98,0.49,0.03,14,0.07,0.04,2,0.01,0.13,94,0.47,0.05,94,0.47,0.03,11,0.06,0.04,1,0.01,0.06,89,0.45,0.04,88,0.44,0.03,16,0.08,0.03,7,0.04,0.07,91,0.46,0.04,96,0.48,0.04,11,0.06,0.04,2,0.01,0.06,92,0.46,0.04,92,0.46,0.03,11,0.06,0.03,5,0.03,0.09,111,0.56,0.04,80,0.4,0.03,5,0.03,0.02,4,0.02,0.1,97,0.49,0.05,90,0.45,0.03,11,0.06,0.03,2,0.01,0.07,78,0.39,0.05,95,0.48,0.03,22,0.11,0.04,5,0.03,0.06
DURANGO,104,0.39,0.05,151,0.56,0.05,13,0.05,0.04,0,0,0,109,0.41,0.05,147,0.55,0.05,12,0.05,0.04,0,0,0,106,0.4,0.05,129,0.48,0.05,27,0.1,0.05,6,0.02,0.06,126,0.47,0.06,124,0.46,0.05,18,0.07,0.07,0,0,0,120,0.45,0.05,127,0.47,0.05,20,0.08,0.06,1,0,0.02,129,0.48,0.05,127,0.47,0.05,11,0.04,0.05,1,0,0.03,111,0.41,0.05,141,0.53,0.05,15,0.06,0.05,1,0,0.04,94,0.35,0.06,146,0.55,0.05,23,0.09,0.04,5,0.02,0.06
ESTADO DE MÉXICO,88,0.48,0.04,86,0.47,0.03,9,0.05,0.03,1,0.01,0.06,81,0.44,0.04,90,0.49,0.03,12,0.07,0.04,1,0.01,0.06,66,0.36,0.03,98,0.53,0.04,18,0.1,0.03,2,0.01,0.02,84,0.46,0.04,96,0.52,0.04,3,0.02,0.01,1,0.01,0.03,79,0.43,0.04,98,0.53,0.04,7,0.04,0.02,0,0,0,87,0.47,0.04,88,0.48,0.04,9,0.05,0.04,0,0,0,82,0.45,0.04,91,0.5,0.03,11,0.06,0.03,0,0,0,62,0.34,0.04,101,0.55,0.03,18,0.1,0.03,3,0.02,0.04
GUANAJUATO,118,0.47,0.06,122,0.48,0.04,14,0.06,0.04,0,0,0,112,0.44,0.06,135,0.53,0.05,7,0.03,0.02,0,0,0,116,0.46,0.06,114,0.45,0.04,21,0.08,0.04,3,0.01,0.03,128,0.5,0.06,118,0.47,0.04,8,0.03,0.03,0,0,0,122,0.48,0.06,121,0.48,0.05,9,0.04,0.03,2,0.01,0.04,138,0.54,0.06,111,0.44,0.04,4,0.02,0.02,1,0,0.03,117,0.46,0.05,124,0.49,0.04,13,0.05,0.04,0,0,0,96,0.38,0.06,132,0.52,0.05,25,0.1,0.04,1,0,0.01
GUERRERO,7,0.39,0,11,0.61,0,0,0,0,0,0,0,6,0.33,0,8,0.44,0,4,0.22,0.01,0,0,0,4,0.22,0,13,0.72,0.01,1,0.06,0,0,0,0,5,0.28,0,13,0.72,0.01,0,0,0,0,0,0,5,0.28,0,11,0.61,0,2,0.11,0.01,0,0,0,5,0.28,0,12,0.67,0.01,1,0.06,0,0,0,0,5,0.28,0,12,0.67,0,1,0.06,0,0,0,0,4,0.22,0,11,0.61,0,3,0.17,0.01,0,0,0
HIDALGO,76,0.44,0.04,88,0.51,0.03,9,0.05,0.03,0,0,0,65,0.38,0.03,100,0.58,0.03,8,0.05,0.03,0,0,0,68,0.39,0.03,85,0.49,0.03,18,0.1,0.03,2,0.01,0.02,66,0.38,0.03,100,0.58,0.04,7,0.04,0.03,0,0,0,67,0.39,0.03,95,0.55,0.04,9,0.05,0.03,2,0.01,0.04,77,0.45,0.03,90,0.52,0.04,5,0.03,0.02,1,0.01,0.03,72,0.42,0.03,90,0.52,0.03,11,0.06,0.03,0,0,0,66,0.38,0.04,94,0.54,0.03,12,0.07,0.02,1,0.01,0.01
JALISCO,64,0.35,0.03,105,0.57,0.04,16,0.09,0.05,0,0,0,63,0.34,0.03,106,0.57,0.04,15,0.08,0.05,1,0.01,0.06,70,0.38,0.03,91,0.49,0.04,20,0.11,0.04,4,0.02,0.04,79,0.43,0.04,96,0.52,0.04,8,0.04,0.03,2,0.01,0.06,78,0.42,0.04,95,0.51,0.04,10,0.05,0.03,2,0.01,0.04,85,0.46,0.03,93,0.5,0.04,6,0.03,0.03,1,0.01,0.03,77,0.42,0.04,98,0.53,0.04,10,0.05,0.03,0,0,0,54,0.29,0.03,105,0.57,0.04,24,0.13,0.04,2,0.01,0.03
MICHOACÁN,16,0.35,0.01,25,0.54,0.01,5,0.11,0.02,0,0,0,18,0.39,0.01,24,0.52,0.01,4,0.09,0.01,0,0,0,17,0.37,0.01,22,0.48,0.01,7,0.15,0.01,0,0,0,22,0.48,0.01,20,0.44,0.01,4,0.09,0.02,0,0,0,21,0.46,0.01,20,0.44,0.01,4,0.09,0.01,1,0.02,0.02,22,0.48,0.01,23,0.5,0.01,1,0.02,0,0,0,0,21,0.46,0.01,24,0.52,0.01,1,0.02,0,0,0,0,13,0.28,0.01,29,0.63,0.01,4,0.09,0.01,0,0,0
MORELOS,83,0.5,0.04,76,0.46,0.03,7,0.04,0.02,0,0,0,69,0.42,0.03,93,0.56,0.03,4,0.02,0.01,0,0,0,76,0.46,0.04,69,0.42,0.03,16,0.1,0.03,5,0.03,0.05,83,0.5,0.04,78,0.47,0.03,5,0.03,0.02,0,0,0,83,0.5,0.04,73,0.44,0.03,9,0.05,0.03,1,0.01,0.02,92,0.55,0.04,67,0.4,0.03,6,0.04,0.03,1,0.01,0.03,85,0.51,0.04,73,0.44,0.03,8,0.05,0.02,0,0,0,60,0.36,0.04,89,0.54,0.03,13,0.08,0.02,4,0.02,0.05
