Variable,B3-A-Formar parte de alguna red de docentes/directores-Recuento,B3-A-Formar parte de alguna red de docentes/directores-% del N de fila,B3-A-Formar parte de alguna red de docentes/directores-% de N columnas,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-B-Formar parte de alguna red de docentes/directores-Recuento,B3-B-Formar parte de alguna red de docentes/directores-% del N de fila,B3-B-Formar parte de alguna red de docentes/directores-% de N columnas,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-C-Formar parte de alguna red de docentes/directores-Recuento,B3-C-Formar parte de alguna red de docentes/directores-% del N de fila,B3-C-Formar parte de alguna red de docentes/directores-% de N columnas,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-D-Formar parte de alguna red de docentes/directores-Recuento,B3-D-Formar parte de alguna red de docentes/directores-% del N de fila,B3-D-Formar parte de alguna red de docentes/directores-% de N columnas,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-E-Formar parte de alguna red de docentes/directores-Recuento,B3-E-Formar parte de alguna red de docentes/directores-% del N de fila,B3-E-Formar parte de alguna red de docentes/directores-% de N columnas,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-F-Formar parte de alguna red de docentes/directores-Recuento,B3-F-Formar parte de alguna red de docentes/directores-% del N de fila,B3-F-Formar parte de alguna red de docentes/directores-% de N columnas,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas
AGUASCALIENTES,37,0.13,0.06,78,0.27,0.06,56,0.19,0.06,42,0.14,0.05,18,0.06,0.06,61,0.21,0.05,26,0.09,0.05,63,0.22,0.06,69,0.24,0.06,56,0.19,0.06,37,0.13,0.05,41,0.14,0.05,46,0.16,0.07,44,0.15,0.06,47,0.16,0.06,58,0.2,0.06,44,0.15,0.05,53,0.18,0.05,46,0.16,0.05,44,0.15,0.06,35,0.12,0.05,50,0.17,0.05,75,0.26,0.07,42,0.14,0.05,55,0.19,0.06,37,0.13,0.05,38,0.13,0.05,56,0.19,0.06,51,0.18,0.04,55,0.19,0.08,82,0.28,0.05,26,0.09,0.04,47,0.16,0.06,30,0.1,0.05,67,0.23,0.06,40,0.14,0.07
BAJA CALIFORNIA,3,0.07,0.01,4,0.09,0,8,0.18,0.01,10,0.23,0.01,1,0.02,0,18,0.41,0.01,3,0.07,0.01,6,0.14,0.01,6,0.14,0.01,9,0.21,0.01,11,0.25,0.02,9,0.21,0.01,6,0.14,0.01,8,0.18,0.01,7,0.16,0.01,7,0.16,0.01,10,0.23,0.01,6,0.14,0.01,13,0.3,0.01,10,0.23,0.01,5,0.11,0.01,6,0.14,0.01,6,0.14,0.01,4,0.09,0.01,3,0.07,0,6,0.14,0.01,12,0.27,0.01,11,0.25,0.01,8,0.18,0.01,4,0.09,0.01,16,0.36,0.01,10,0.23,0.02,6,0.14,0.01,1,0.02,0,8,0.18,0.01,3,0.07,0.01
BAJA CALIFORNIA SUR,21,0.1,0.03,56,0.26,0.04,23,0.11,0.03,41,0.19,0.05,11,0.05,0.04,61,0.29,0.05,19,0.09,0.04,41,0.19,0.04,52,0.24,0.05,36,0.17,0.04,26,0.12,0.04,39,0.18,0.04,39,0.18,0.06,28,0.13,0.04,34,0.16,0.04,45,0.21,0.04,36,0.17,0.04,31,0.15,0.03,35,0.17,0.04,26,0.12,0.04,21,0.1,0.03,39,0.18,0.04,54,0.26,0.05,37,0.18,0.04,36,0.17,0.04,43,0.2,0.06,37,0.18,0.04,25,0.12,0.03,44,0.21,0.04,27,0.13,0.04,62,0.29,0.04,18,0.09,0.03,46,0.22,0.05,27,0.13,0.05,41,0.19,0.04,18,0.09,0.03
CAMPECHE,20,0.11,0.03,46,0.25,0.03,27,0.15,0.03,26,0.14,0.03,13,0.07,0.04,54,0.29,0.04,18,0.1,0.04,42,0.23,0.04,34,0.18,0.03,38,0.2,0.04,27,0.15,0.04,27,0.15,0.03,18,0.1,0.03,28,0.15,0.04,24,0.13,0.03,40,0.22,0.04,42,0.23,0.05,34,0.18,0.03,28,0.15,0.03,20,0.11,0.03,27,0.15,0.04,36,0.19,0.04,40,0.22,0.04,35,0.19,0.04,36,0.19,0.04,29,0.16,0.04,41,0.22,0.05,30,0.16,0.03,31,0.17,0.03,19,0.1,0.03,66,0.36,0.04,21,0.11,0.04,33,0.18,0.04,16,0.09,0.03,33,0.18,0.03,17,0.09,0.03
CHIAPAS,8,0.13,0.01,22,0.37,0.02,13,0.22,0.01,7,0.12,0.01,2,0.03,0.01,8,0.13,0.01,7,0.12,0.01,12,0.2,0.01,8,0.13,0.01,9,0.15,0.01,9,0.15,0.01,15,0.25,0.02,4,0.07,0.01,4,0.07,0.01,19,0.32,0.02,10,0.17,0.01,11,0.18,0.01,12,0.2,0.01,8,0.13,0.01,8,0.13,0.01,10,0.17,0.01,12,0.2,0.01,12,0.2,0.01,10,0.17,0.01,14,0.23,0.02,8,0.13,0.01,6,0.1,0.01,12,0.2,0.01,13,0.22,0.01,7,0.12,0.01,19,0.32,0.01,6,0.1,0.01,4,0.07,0.01,10,0.17,0.02,13,0.22,0.01,8,0.13,0.01
CHIHUAHUA,30,0.12,0.05,51,0.2,0.04,27,0.11,0.03,59,0.23,0.07,17,0.07,0.06,72,0.28,0.06,34,0.13,0.07,45,0.18,0.04,52,0.2,0.05,54,0.21,0.05,31,0.12,0.04,40,0.16,0.05,39,0.15,0.06,44,0.17,0.06,31,0.12,0.04,40,0.16,0.04,45,0.18,0.05,57,0.22,0.05,51,0.2,0.06,35,0.14,0.05,43,0.17,0.06,44,0.17,0.04,50,0.2,0.04,33,0.13,0.04,46,0.18,0.05,48,0.19,0.06,51,0.2,0.06,35,0.14,0.04,47,0.18,0.04,29,0.11,0.04,56,0.22,0.03,33,0.13,0.06,52,0.2,0.06,24,0.09,0.04,66,0.26,0.06,25,0.1,0.05
CIUDAD DE MÉXICO,28,0.12,0.04,64,0.27,0.05,50,0.21,0.06,25,0.1,0.03,12,0.05,0.04,62,0.26,0.05,19,0.08,0.04,57,0.24,0.05,43,0.18,0.04,50,0.21,0.05,36,0.15,0.05,36,0.15,0.04,25,0.1,0.04,42,0.17,0.05,38,0.16,0.05,53,0.22,0.05,35,0.15,0.04,48,0.2,0.05,51,0.21,0.06,23,0.1,0.03,40,0.17,0.06,34,0.14,0.03,57,0.24,0.05,36,0.15,0.04,38,0.16,0.04,34,0.14,0.04,32,0.13,0.04,43,0.18,0.05,58,0.24,0.05,36,0.15,0.05,80,0.33,0.05,21,0.09,0.04,38,0.16,0.04,36,0.15,0.06,43,0.18,0.04,23,0.1,0.04
COAHUILA,14,0.17,0.02,17,0.21,0.01,5,0.06,0.01,13,0.16,0.02,8,0.1,0.03,26,0.31,0.02,5,0.06,0.01,9,0.11,0.01,18,0.22,0.02,23,0.28,0.02,11,0.13,0.02,17,0.21,0.02,16,0.19,0.02,14,0.17,0.02,9,0.11,0.01,12,0.15,0.01,23,0.28,0.03,9,0.11,0.01,18,0.22,0.02,12,0.15,0.02,11,0.13,0.02,15,0.18,0.02,15,0.18,0.01,12,0.15,0.01,12,0.15,0.01,15,0.18,0.02,15,0.18,0.02,13,0.16,0.01,15,0.18,0.01,13,0.16,0.02,18,0.22,0.01,16,0.19,0.03,25,0.3,0.03,7,0.08,0.01,11,0.13,0.01,6,0.07,0.01
COLIMA,24,0.12,0.04,52,0.26,0.04,38,0.19,0.04,35,0.18,0.04,6,0.03,0.02,45,0.23,0.04,16,0.08,0.03,44,0.22,0.04,55,0.28,0.05,31,0.16,0.03,24,0.12,0.03,30,0.15,0.03,23,0.12,0.03,27,0.14,0.04,28,0.14,0.03,50,0.25,0.05,33,0.17,0.04,39,0.2,0.04,33,0.17,0.04,37,0.19,0.05,29,0.15,0.04,27,0.14,0.03,39,0.2,0.03,35,0.18,0.04,40,0.2,0.04,20,0.1,0.03,25,0.13,0.03,43,0.22,0.05,43,0.22,0.04,29,0.15,0.04,64,0.32,0.04,20,0.1,0.03,25,0.13,0.03,14,0.07,0.02,55,0.28,0.05,22,0.11,0.04
DURANGO,44,0.16,0.07,61,0.23,0.04,44,0.16,0.05,41,0.15,0.05,17,0.06,0.06,61,0.23,0.05,33,0.12,0.07,52,0.19,0.05,49,0.18,0.04,64,0.24,0.06,29,0.11,0.04,41,0.15,0.05,35,0.13,0.05,44,0.16,0.06,43,0.16,0.05,51,0.19,0.05,46,0.17,0.05,49,0.18,0.05,45,0.17,0.05,41,0.15,0.06,33,0.12,0.05,43,0.16,0.04,58,0.22,0.05,48,0.18,0.06,33,0.12,0.04,38,0.14,0.05,50,0.19,0.06,51,0.19,0.06,60,0.22,0.05,36,0.13,0.05,78,0.29,0.05,32,0.12,0.05,49,0.18,0.06,18,0.07,0.03,58,0.22,0.05,33,0.12,0.06
ESTADO DE MÉXICO,28,0.15,0.04,32,0.17,0.02,31,0.17,0.03,40,0.22,0.05,9,0.05,0.03,44,0.24,0.03,20,0.11,0.04,37,0.2,0.03,40,0.22,0.04,37,0.2,0.04,18,0.1,0.03,32,0.17,0.04,32,0.17,0.05,27,0.15,0.04,21,0.11,0.03,32,0.17,0.03,39,0.21,0.04,33,0.18,0.03,27,0.15,0.03,27,0.15,0.04,22,0.12,0.03,37,0.2,0.04,45,0.25,0.04,26,0.14,0.03,33,0.18,0.04,33,0.18,0.04,30,0.16,0.04,23,0.13,0.03,38,0.21,0.03,27,0.15,0.04,44,0.24,0.03,28,0.15,0.05,40,0.22,0.05,15,0.08,0.03,35,0.19,0.03,22,0.12,0.04
GUANAJUATO,26,0.1,0.04,74,0.29,0.05,49,0.19,0.05,33,0.13,0.04,13,0.05,0.04,59,0.23,0.05,21,0.08,0.04,62,0.24,0.06,47,0.19,0.04,46,0.18,0.05,33,0.13,0.05,45,0.18,0.05,28,0.11,0.04,42,0.17,0.05,43,0.17,0.05,48,0.19,0.05,48,0.19,0.05,45,0.18,0.04,47,0.19,0.05,25,0.1,0.04,31,0.12,0.04,47,0.19,0.05,57,0.22,0.05,47,0.19,0.06,40,0.16,0.04,19,0.08,0.03,57,0.22,0.07,48,0.19,0.05,59,0.23,0.05,31,0.12,0.05,92,0.36,0.06,32,0.13,0.05,27,0.11,0.03,32,0.13,0.06,44,0.17,0.04,27,0.11,0.05
