Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-J-Sí-Recuento,B4-J-Sí-% del N de fila,B4-J-Sí-% de N columnas,B4-J-No-Recuento,B4-J-No-% del N de fila,B4-J-No-% de N columnas
AGUASCALIENTES,265,0.91,0.06,27,0.09,0.05,240,0.82,0.05,52,0.18,0.06,238,0.82,0.06,54,0.19,0.05,210,0.72,0.06,82,0.28,0.05,281,0.96,0.06,11,0.04,0.04,279,0.96,0.06,13,0.05,0.05,248,0.85,0.06,44,0.15,0.04,220,0.75,0.06,72,0.25,0.04,260,0.89,0.06,32,0.11,0.05,,,,,,
BAJA CALIFORNIA,41,0.95,0.01,2,0.05,0,35,0.81,0.01,8,0.19,0.01,30,0.7,0.01,13,0.3,0.01,30,0.7,0.01,13,0.3,0.01,43,1,0.01,0,0,0,40,0.93,0.01,3,0.07,0.01,28,0.65,0.01,15,0.35,0.01,28,0.65,0.01,15,0.35,0.01,37,0.86,0.01,6,0.14,0.01,,,,,,
BAJA CALIFORNIA SUR,181,0.86,0.04,29,0.14,0.05,176,0.84,0.04,34,0.16,0.04,174,0.83,0.04,36,0.17,0.04,136,0.65,0.04,74,0.35,0.05,200,0.95,0.04,10,0.05,0.03,196,0.93,0.04,14,0.07,0.05,180,0.86,0.04,30,0.14,0.03,130,0.62,0.04,80,0.38,0.05,183,0.87,0.04,27,0.13,0.04,,,,,,
CAMPECHE,166,0.88,0.04,23,0.12,0.04,159,0.84,0.04,30,0.16,0.03,154,0.82,0.04,35,0.19,0.03,137,0.73,0.04,52,0.28,0.03,175,0.93,0.04,14,0.07,0.05,181,0.96,0.04,8,0.04,0.03,139,0.74,0.03,50,0.27,0.04,123,0.65,0.03,66,0.35,0.04,165,0.87,0.04,24,0.13,0.04,,,,,,
CHIAPAS,44,0.73,0.01,16,0.27,0.03,39,0.65,0.01,21,0.35,0.02,44,0.73,0.01,16,0.27,0.02,36,0.6,0.01,24,0.4,0.02,49,0.82,0.01,11,0.18,0.04,55,0.92,0.01,5,0.08,0.02,38,0.63,0.01,22,0.37,0.02,39,0.65,0.01,21,0.35,0.01,43,0.72,0.01,17,0.28,0.03,,,,,,
CHIHUAHUA,228,0.89,0.05,28,0.11,0.05,202,0.79,0.05,54,0.21,0.06,196,0.77,0.05,60,0.23,0.06,190,0.74,0.05,66,0.26,0.04,245,0.96,0.05,11,0.04,0.04,249,0.97,0.05,7,0.03,0.02,208,0.81,0.05,48,0.19,0.04,180,0.7,0.05,76,0.3,0.04,230,0.9,0.05,26,0.1,0.04,,,,,,
CIUDAD DE MÉXICO,221,0.92,0.05,20,0.08,0.03,202,0.84,0.05,39,0.16,0.04,197,0.82,0.05,44,0.18,0.04,154,0.64,0.04,87,0.36,0.05,222,0.92,0.04,19,0.08,0.06,230,0.95,0.05,11,0.05,0.04,178,0.74,0.04,63,0.26,0.06,151,0.63,0.04,90,0.37,0.05,204,0.85,0.04,37,0.15,0.06,,,,,,
COAHUILA,73,0.88,0.02,10,0.12,0.02,73,0.88,0.02,10,0.12,0.01,71,0.86,0.02,12,0.15,0.01,65,0.78,0.02,18,0.22,0.01,77,0.93,0.02,6,0.07,0.02,78,0.94,0.02,5,0.06,0.02,69,0.83,0.02,14,0.17,0.01,63,0.76,0.02,20,0.24,0.01,69,0.83,0.02,14,0.17,0.02,,,,,,
COLIMA,169,0.85,0.04,29,0.15,0.05,157,0.79,0.04,41,0.21,0.05,151,0.76,0.04,47,0.24,0.05,140,0.71,0.04,58,0.29,0.04,190,0.96,0.04,8,0.04,0.03,187,0.94,0.04,11,0.06,0.04,160,0.81,0.04,38,0.19,0.03,147,0.74,0.04,51,0.26,0.03,177,0.89,0.04,21,0.11,0.03,,,,,,
DURANGO,222,0.83,0.05,46,0.17,0.08,211,0.79,0.05,57,0.21,0.06,200,0.75,0.05,68,0.25,0.07,183,0.68,0.05,85,0.32,0.05,252,0.94,0.05,16,0.06,0.05,248,0.93,0.05,20,0.08,0.07,204,0.76,0.05,64,0.24,0.06,172,0.64,0.05,96,0.36,0.06,245,0.91,0.05,23,0.09,0.04,,,,,,
ESTADO DE MÉXICO,165,0.9,0.04,19,0.1,0.03,170,0.92,0.04,14,0.08,0.02,162,0.88,0.04,22,0.12,0.02,147,0.8,0.04,37,0.2,0.02,179,0.97,0.04,5,0.03,0.02,180,0.98,0.04,4,0.02,0.01,149,0.81,0.04,35,0.19,0.03,127,0.69,0.04,57,0.31,0.03,164,0.89,0.04,20,0.11,0.03,,,,,,
GUANAJUATO,223,0.88,0.05,32,0.13,0.05,217,0.85,0.05,38,0.15,0.04,215,0.84,0.05,40,0.16,0.04,173,0.68,0.05,82,0.32,0.05,244,0.96,0.05,11,0.04,0.04,244,0.96,0.05,11,0.04,0.04,194,0.76,0.05,61,0.24,0.05,171,0.67,0.05,84,0.33,0.05,225,0.88,0.05,30,0.12,0.05,,,,,,
GUERRERO,18,1,0,0,0,0,17,0.94,0,1,0.06,0,15,0.83,0,3,0.17,0,16,0.89,0,2,0.11,0,17,0.94,0,1,0.06,0,17,0.94,0,1,0.06,0,15,0.83,0,3,0.17,0,16,0.89,0,2,0.11,0,17,0.94,0,1,0.06,0,,,,,,
HIDALGO,157,0.9,0.03,18,0.1,0.03,154,0.88,0.04,21,0.12,0.02,148,0.85,0.03,27,0.15,0.03,127,0.73,0.03,48,0.27,0.03,163,0.93,0.03,12,0.07,0.04,161,0.92,0.03,14,0.08,0.05,134,0.77,0.03,41,0.23,0.04,119,0.68,0.03,56,0.32,0.03,152,0.87,0.03,23,0.13,0.04,,,,,,
JALISCO,169,0.93,0.04,13,0.07,0.02,150,0.82,0.03,32,0.18,0.04,144,0.79,0.03,38,0.21,0.04,117,0.64,0.03,65,0.36,0.04,171,0.94,0.03,11,0.06,0.04,173,0.95,0.03,9,0.05,0.03,146,0.8,0.04,36,0.2,0.03,116,0.64,0.03,66,0.36,0.04,172,0.95,0.04,10,0.06,0.02,,,,,,
MICHOACÁN,43,0.94,0.01,3,0.07,0.01,40,0.87,0.01,6,0.13,0.01,40,0.87,0.01,6,0.13,0.01,31,0.67,0.01,15,0.33,0.01,44,0.96,0.01,2,0.04,0.01,45,0.98,0.01,1,0.02,0,36,0.78,0.01,10,0.22,0.01,31,0.67,0.01,15,0.33,0.01,37,0.8,0.01,9,0.2,0.01,,,,,,
MORELOS,151,0.91,0.03,15,0.09,0.03,147,0.89,0.03,19,0.11,0.02,140,0.84,0.03,26,0.16,0.03,134,0.81,0.04,32,0.19,0.02,160,0.96,0.03,6,0.04,0.02,159,0.96,0.03,7,0.04,0.02,135,0.81,0.03,31,0.19,0.03,120,0.72,0.03,46,0.28,0.03,151,0.91,0.03,15,0.09,0.02,,,,,,
NAYARIT,163,0.86,0.03,26,0.14,0.04,157,0.83,0.04,32,0.17,0.04,153,0.81,0.04,36,0.19,0.04,120,0.64,0.03,69,0.37,0.04,179,0.95,0.04,10,0.05,0.03,184,0.97,0.04,5,0.03,0.02,140,0.74,0.03,49,0.26,0.04,121,0.64,0.03,68,0.36,0.04,170,0.9,0.04,19,0.1,0.03,,,,,,
NUEVO LEÓN,31,0.94,0.01,2,0.06,0,25,0.76,0.01,8,0.24,0.01,26,0.79,0.01,7,0.21,0.01,27,0.82,0.01,6,0.18,0,32,0.97,0.01,1,0.03,0,31,0.94,0.01,2,0.06,0.01,30,0.91,0.01,3,0.09,0,22,0.67,0.01,11,0.33,0.01,30,0.91,0.01,3,0.09,0.01,,,,,,
PUEBLA,181,0.95,0.04,10,0.05,0.02,180,0.94,0.04,11,0.06,0.01,170,0.89,0.04,21,0.11,0.02,152,0.8,0.04,39,0.2,0.02,181,0.95,0.04,10,0.05,0.03,184,0.96,0.04,7,0.04,0.02,148,0.78,0.04,43,0.23,0.04,116,0.61,0.03,75,0.39,0.04,171,0.9,0.04,20,0.11,0.03,,,,,,
QUERÉTARO,203,0.84,0.04,38,0.16,0.06,186,0.77,0.04,55,0.23,0.06,175,0.73,0.04,66,0.27,0.06,132,0.55,0.04,109,0.45,0.07,225,0.93,0.05,16,0.07,0.05,223,0.93,0.04,18,0.08,0.06,182,0.76,0.04,59,0.25,0.05,149,0.62,0.04,92,0.38,0.05,210,0.87,0.05,31,0.13,0.05,,,,,,
QUINTANA ROO,188,0.92,0.04,17,0.08,0.03,163,0.8,0.04,42,0.21,0.05,160,0.78,0.04,45,0.22,0.04,146,0.71,0.04,59,0.29,0.04,192,0.94,0.04,13,0.06,0.04,189,0.92,0.04,16,0.08,0.06,181,0.88,0.04,24,0.12,0.02,146,0.71,0.04,59,0.29,0.03,181,0.88,0.04,24,0.12,0.04,,,,,,
SAN LUIS POTOSÍ,218,0.89,0.05,26,0.11,0.04,204,0.84,0.05,40,0.16,0.04,198,0.81,0.05,46,0.19,0.04,170,0.7,0.05,74,0.3,0.05,235,0.96,0.05,9,0.04,0.03,230,0.94,0.05,14,0.06,0.05,203,0.83,0.05,41,0.17,0.04,163,0.67,0.05,81,0.33,0.05,211,0.87,0.05,33,0.14,0.05,,,,,,
SINALOA,340,0.89,0.07,41,0.11,0.07,303,0.8,0.07,78,0.21,0.09,301,0.79,0.07,80,0.21,0.08,262,0.69,0.07,119,0.31,0.07,361,0.95,0.07,20,0.05,0.07,359,0.94,0.07,22,0.06,0.08,298,0.78,0.07,83,0.22,0.07,269,0.71,0.08,112,0.29,0.07,330,0.87,0.07,51,0.13,0.08,,,,,,
SONORA,147,0.88,0.03,21,0.13,0.04,143,0.85,0.03,25,0.15,0.03,143,0.85,0.03,25,0.15,0.02,129,0.77,0.03,39,0.23,0.02,156,0.93,0.03,12,0.07,0.04,158,0.94,0.03,10,0.06,0.04,128,0.76,0.03,40,0.24,0.04,116,0.69,0.03,52,0.31,0.03,155,0.92,0.03,13,0.08,0.02,,,,,,
TABASCO,59,0.95,0.01,3,0.05,0.01,51,0.82,0.01,11,0.18,0.01,50,0.81,0.01,12,0.19,0.01,52,0.84,0.01,10,0.16,0.01,62,1,0.01,0,0,0,58,0.94,0.01,4,0.07,0.01,50,0.81,0.01,12,0.19,0.01,42,0.68,0.01,20,0.32,0.01,54,0.87,0.01,8,0.13,0.01,,,,,,
