Variable,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
AGUASCALIENTES,179,0.61,0.05,85,0.29,0.06,29,0.1,0.08,0,0,0,176,0.6,0.05,93,0.32,0.06,23,0.08,0.1,1,0,0.09,25,0.09,0.06,37,0.13,0.08,105,0.36,0.05,126,0.43,0.05,158,0.54,0.05,97,0.33,0.06,37,0.13,0.07,1,0,0.03,163,0.56,0.05,96,0.33,0.05,32,0.11,0.07,2,0.01,0.06,28,0.1,0.06,44,0.15,0.07,118,0.4,0.06,103,0.35,0.04,132,0.45,0.05,111,0.38,0.06,44,0.15,0.07,6,0.02,0.08,136,0.46,0.05,122,0.42,0.06,32,0.11,0.06,3,0.01,0.07,159,0.54,0.05,109,0.37,0.06,24,0.08,0.06,1,0,0.03,170,0.58,0.05,92,0.31,0.06,30,0.1,0.09,1,0,0.03,156,0.53,0.05,100,0.34,0.06,34,0.12,0.08,3,0.01,0.08
BAJA CALIFORNIA,32,0.74,0.01,9,0.21,0.01,2,0.05,0.01,0,0,0,31,0.72,0.01,10,0.23,0.01,2,0.05,0.01,0,0,0,2,0.05,0.01,8,0.19,0.02,8,0.19,0,25,0.58,0.01,32,0.74,0.01,8,0.19,0.01,3,0.07,0.01,0,0,0,30,0.7,0.01,12,0.28,0.01,1,0.02,0,0,0,0,2,0.05,0,5,0.12,0.01,9,0.21,0.01,27,0.63,0.01,29,0.67,0.01,10,0.23,0.01,3,0.07,0.01,1,0.02,0.01,26,0.61,0.01,15,0.35,0.01,2,0.05,0,0,0,0,26,0.61,0.01,17,0.4,0.01,0,0,0,0,0,0,29,0.67,0.01,13,0.3,0.01,1,0.02,0,0,0,0,29,0.67,0.01,11,0.26,0.01,2,0.05,0.01,1,0.02,0.03
BAJA CALIFORNIA SUR,140,0.66,0.04,60,0.28,0.04,13,0.06,0.04,0,0,0,153,0.72,0.04,54,0.25,0.04,6,0.03,0.03,0,0,0,12,0.06,0.03,15,0.07,0.03,76,0.36,0.04,110,0.52,0.04,124,0.58,0.04,70,0.33,0.04,17,0.08,0.03,2,0.01,0.06,113,0.53,0.04,81,0.38,0.05,17,0.08,0.04,2,0.01,0.06,11,0.05,0.02,31,0.15,0.05,82,0.39,0.04,89,0.42,0.04,122,0.57,0.04,71,0.33,0.04,18,0.09,0.03,2,0.01,0.03,98,0.46,0.04,96,0.45,0.05,18,0.09,0.03,1,0.01,0.02,116,0.55,0.04,80,0.38,0.04,16,0.08,0.04,1,0.01,0.03,137,0.64,0.04,64,0.3,0.04,11,0.05,0.03,1,0.01,0.03,128,0.6,0.04,69,0.32,0.04,15,0.07,0.03,1,0.01,0.03
CAMPECHE,119,0.63,0.03,56,0.3,0.04,12,0.06,0.03,1,0.01,0.05,132,0.7,0.04,50,0.27,0.03,5,0.03,0.02,1,0.01,0.09,17,0.09,0.04,23,0.12,0.05,66,0.35,0.03,82,0.44,0.03,119,0.63,0.04,53,0.28,0.03,15,0.08,0.03,1,0.01,0.03,109,0.58,0.04,62,0.33,0.03,14,0.07,0.03,3,0.02,0.09,20,0.11,0.04,21,0.11,0.03,68,0.36,0.04,79,0.42,0.03,100,0.53,0.04,61,0.32,0.03,26,0.14,0.04,1,0.01,0.01,95,0.51,0.04,68,0.36,0.03,23,0.12,0.04,2,0.01,0.05,109,0.58,0.04,63,0.34,0.03,16,0.09,0.04,0,0,0,115,0.61,0.04,57,0.3,0.03,13,0.07,0.04,3,0.02,0.1,106,0.56,0.03,73,0.39,0.04,8,0.04,0.02,1,0.01,0.03
CHIAPAS,34,0.56,0.01,17,0.28,0.01,9,0.15,0.02,1,0.02,0.05,38,0.62,0.01,18,0.3,0.01,5,0.08,0.02,0,0,0,6,0.1,0.02,6,0.1,0.01,28,0.46,0.02,21,0.34,0.01,36,0.59,0.01,16,0.26,0.01,8,0.13,0.02,1,0.02,0.03,30,0.49,0.01,21,0.34,0.01,8,0.13,0.02,2,0.03,0.06,7,0.12,0.02,6,0.1,0.01,25,0.41,0.01,23,0.38,0.01,29,0.48,0.01,23,0.38,0.01,8,0.13,0.01,1,0.02,0.01,24,0.39,0.01,22,0.36,0.01,14,0.23,0.03,1,0.02,0.02,32,0.53,0.01,20,0.33,0.01,8,0.13,0.02,1,0.02,0.03,31,0.51,0.01,18,0.3,0.01,11,0.18,0.03,1,0.02,0.03,31,0.51,0.01,20,0.33,0.01,9,0.15,0.02,1,0.02,0.03
CHIHUAHUA,195,0.76,0.06,50,0.2,0.04,11,0.04,0.03,0,0,0,191,0.75,0.05,58,0.23,0.04,7,0.03,0.03,0,0,0,14,0.06,0.03,13,0.05,0.03,73,0.29,0.04,156,0.61,0.06,179,0.7,0.06,67,0.26,0.04,10,0.04,0.02,0,0,0,165,0.65,0.05,78,0.31,0.04,13,0.05,0.03,0,0,0,18,0.07,0.04,23,0.09,0.04,84,0.33,0.05,131,0.51,0.06,151,0.59,0.05,87,0.34,0.05,14,0.06,0.02,4,0.02,0.05,135,0.53,0.05,106,0.41,0.05,14,0.06,0.03,1,0,0.02,138,0.54,0.05,102,0.4,0.05,16,0.06,0.04,0,0,0,181,0.71,0.06,72,0.28,0.04,2,0.01,0.01,1,0,0.03,176,0.69,0.06,69,0.27,0.04,9,0.04,0.02,2,0.01,0.05
CIUDAD DE MÉXICO,129,0.54,0.04,72,0.3,0.05,35,0.15,0.09,5,0.02,0.26,126,0.52,0.04,90,0.37,0.06,24,0.1,0.1,1,0,0.09,25,0.1,0.06,31,0.13,0.07,100,0.42,0.05,85,0.35,0.03,102,0.42,0.03,80,0.33,0.05,56,0.23,0.1,3,0.01,0.09,102,0.42,0.03,99,0.41,0.06,37,0.15,0.08,3,0.01,0.09,17,0.07,0.04,46,0.19,0.07,96,0.4,0.05,82,0.34,0.04,91,0.38,0.03,93,0.39,0.05,49,0.2,0.08,8,0.03,0.11,87,0.36,0.03,91,0.38,0.04,60,0.25,0.11,3,0.01,0.07,93,0.39,0.03,102,0.42,0.05,40,0.17,0.1,6,0.03,0.16,106,0.44,0.03,93,0.39,0.06,36,0.15,0.1,6,0.03,0.19,92,0.38,0.03,95,0.39,0.06,48,0.2,0.11,6,0.03,0.16
COAHUILA,56,0.68,0.02,24,0.29,0.02,2,0.02,0.01,1,0.01,0.05,63,0.76,0.02,17,0.21,0.01,3,0.04,0.01,0,0,0,7,0.08,0.02,5,0.06,0.01,20,0.24,0.01,51,0.61,0.02,58,0.7,0.02,18,0.22,0.01,7,0.08,0.01,0,0,0,50,0.6,0.02,24,0.29,0.01,9,0.11,0.02,0,0,0,7,0.08,0.02,12,0.15,0.02,22,0.27,0.01,42,0.51,0.02,51,0.61,0.02,25,0.3,0.01,6,0.07,0.01,1,0.01,0.01,45,0.54,0.02,32,0.39,0.02,6,0.07,0.01,0,0,0,47,0.57,0.02,33,0.4,0.02,2,0.02,0.01,1,0.01,0.03,57,0.69,0.02,24,0.29,0.01,2,0.02,0.01,0,0,0,54,0.65,0.02,25,0.3,0.01,4,0.05,0.01,0,0,0
COLIMA,150,0.75,0.04,41,0.21,0.03,8,0.04,0.02,0,0,0,156,0.78,0.04,39,0.2,0.03,4,0.02,0.02,0,0,0,20,0.1,0.05,14,0.07,0.03,51,0.26,0.03,114,0.57,0.05,133,0.67,0.04,55,0.28,0.03,11,0.06,0.02,0,0,0,131,0.66,0.04,56,0.28,0.03,12,0.06,0.03,0,0,0,22,0.11,0.05,14,0.07,0.02,56,0.28,0.03,107,0.54,0.05,132,0.66,0.05,48,0.24,0.03,16,0.08,0.03,3,0.02,0.04,114,0.57,0.04,71,0.36,0.04,13,0.07,0.02,1,0.01,0.02,127,0.64,0.04,62,0.31,0.03,9,0.05,0.02,1,0.01,0.03,141,0.71,0.04,53,0.27,0.03,5,0.03,0.01,0,0,0,137,0.69,0.04,51,0.26,0.03,11,0.06,0.03,0,0,0
DURANGO,191,0.71,0.05,65,0.24,0.05,12,0.05,0.03,0,0,0,188,0.7,0.05,73,0.27,0.05,6,0.02,0.03,1,0,0.09,15,0.06,0.04,13,0.05,0.03,99,0.37,0.05,141,0.53,0.06,158,0.59,0.05,84,0.31,0.05,25,0.09,0.05,1,0,0.03,148,0.55,0.05,92,0.34,0.05,26,0.1,0.06,2,0.01,0.06,19,0.07,0.04,35,0.13,0.06,95,0.35,0.05,119,0.44,0.05,145,0.54,0.05,88,0.33,0.05,34,0.13,0.06,1,0,0.01,128,0.48,0.05,114,0.43,0.06,25,0.09,0.05,1,0,0.02,148,0.55,0.05,104,0.39,0.05,15,0.06,0.04,1,0,0.03,159,0.59,0.05,98,0.37,0.06,10,0.04,0.03,1,0,0.03,166,0.62,0.05,87,0.33,0.05,14,0.05,0.03,1,0,0.03
