Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
AGUASCALIENTES,287,0.98,0.054,6,0.02,0.118,0,0,0,282,0.962,0.054,9,0.031,0.125,2,0.007,0.05,280,0.956,0.057,11,0.038,0.035,2,0.007,0.024,200,0.683,0.059,26,0.089,0.047,67,0.229,0.049,260,0.887,0.057,17,0.058,0.052,16,0.055,0.033,244,0.833,0.056,39,0.133,0.054,10,0.034,0.034,208,0.71,0.055,53,0.181,0.052,32,0.109,0.056,207,0.706,0.056,50,0.171,0.047,36,0.123,0.063,193,0.659,0.055,55,0.188,0.052,45,0.154,0.059
BAJA CALIFORNIA,41,0.976,0.008,0,0,0,1,0.024,0.083,41,0.976,0.008,0,0,0,1,0.024,0.025,40,0.952,0.008,0,0,0,2,0.048,0.024,25,0.595,0.007,2,0.048,0.004,15,0.357,0.011,39,0.929,0.009,1,0.024,0.003,2,0.048,0.004,34,0.81,0.008,4,0.095,0.006,4,0.095,0.013,30,0.714,0.008,6,0.143,0.006,6,0.143,0.011,29,0.69,0.008,7,0.167,0.007,6,0.143,0.011,24,0.571,0.007,9,0.214,0.008,9,0.214,0.012
BAJA CALIFORNIA SUR,214,1,0.04,0,0,0,0,0,0,212,0.991,0.04,1,0.005,0.014,1,0.005,0.025,202,0.944,0.041,10,0.047,0.032,2,0.009,0.024,157,0.734,0.046,12,0.056,0.022,45,0.21,0.033,181,0.846,0.04,8,0.037,0.024,25,0.117,0.052,185,0.864,0.043,21,0.098,0.029,8,0.037,0.027,161,0.752,0.043,40,0.187,0.039,13,0.061,0.023,164,0.766,0.044,35,0.164,0.033,15,0.07,0.026,155,0.724,0.044,38,0.178,0.036,21,0.098,0.028
CAMPECHE,186,0.995,0.035,0,0,0,1,0.005,0.083,183,0.979,0.035,1,0.005,0.014,3,0.016,0.075,174,0.93,0.035,9,0.048,0.028,4,0.021,0.048,123,0.658,0.036,25,0.134,0.045,39,0.209,0.028,138,0.738,0.03,25,0.134,0.076,24,0.128,0.05,158,0.845,0.036,22,0.118,0.031,7,0.037,0.024,122,0.652,0.032,41,0.219,0.04,24,0.128,0.042,117,0.626,0.031,43,0.23,0.04,27,0.144,0.047,113,0.604,0.032,43,0.23,0.04,31,0.166,0.041
CHIAPAS,61,0.984,0.012,1,0.016,0.02,0,0,0,57,0.919,0.011,5,0.081,0.069,0,0,0,53,0.855,0.011,8,0.129,0.025,1,0.016,0.012,32,0.525,0.009,11,0.18,0.02,18,0.295,0.013,47,0.758,0.01,8,0.129,0.024,7,0.113,0.014,47,0.758,0.011,9,0.145,0.013,6,0.097,0.02,48,0.787,0.013,8,0.131,0.008,5,0.082,0.009,36,0.59,0.01,17,0.279,0.016,8,0.131,0.014,37,0.607,0.01,19,0.311,0.018,5,0.082,0.007
CHIHUAHUA,254,0.992,0.048,1,0.004,0.02,1,0.004,0.083,248,0.969,0.047,1,0.004,0.014,7,0.027,0.175,240,0.938,0.048,11,0.043,0.035,5,0.02,0.06,161,0.629,0.047,14,0.055,0.025,81,0.316,0.059,229,0.895,0.05,14,0.055,0.043,13,0.051,0.027,218,0.852,0.05,25,0.098,0.035,13,0.051,0.044,190,0.742,0.051,44,0.172,0.043,22,0.086,0.039,189,0.738,0.051,43,0.168,0.04,24,0.094,0.042,178,0.695,0.05,44,0.172,0.041,34,0.133,0.045
CIUDAD DE MÉXICO,236,0.992,0.045,1,0.004,0.02,1,0.004,0.083,238,1,0.045,0,0,0,0,0,0,227,0.954,0.046,8,0.034,0.025,3,0.013,0.036,218,0.916,0.064,6,0.025,0.011,14,0.059,0.01,201,0.845,0.044,5,0.021,0.015,32,0.134,0.066,196,0.824,0.045,33,0.139,0.046,9,0.038,0.03,157,0.66,0.042,34,0.143,0.033,47,0.197,0.082,173,0.727,0.047,34,0.143,0.032,31,0.13,0.054,157,0.66,0.044,33,0.139,0.031,48,0.202,0.063
COAHUILA,83,1,0.016,0,0,0,0,0,0,80,0.964,0.015,2,0.024,0.028,1,0.012,0.025,71,0.855,0.014,10,0.12,0.032,2,0.024,0.024,58,0.699,0.017,5,0.06,0.009,20,0.241,0.014,75,0.904,0.017,5,0.06,0.015,3,0.036,0.006,67,0.807,0.015,12,0.145,0.017,4,0.048,0.013,54,0.651,0.014,23,0.277,0.022,6,0.072,0.011,53,0.639,0.014,20,0.241,0.019,10,0.12,0.018,49,0.59,0.014,21,0.253,0.02,13,0.157,0.017
COLIMA,197,0.995,0.037,1,0.005,0.02,0,0,0,197,0.995,0.038,1,0.005,0.014,0,0,0,190,0.96,0.038,7,0.035,0.022,1,0.005,0.012,153,0.773,0.045,15,0.076,0.027,30,0.152,0.022,187,0.944,0.041,8,0.04,0.024,3,0.015,0.006,164,0.828,0.038,22,0.111,0.031,12,0.061,0.04,150,0.758,0.04,31,0.157,0.03,17,0.086,0.03,152,0.768,0.041,27,0.136,0.025,19,0.096,0.033,139,0.702,0.039,32,0.162,0.03,27,0.136,0.036
DURANGO,265,0.989,0.05,3,0.011,0.059,0,0,0,266,0.993,0.051,2,0.007,0.028,0,0,0,242,0.903,0.049,25,0.093,0.079,1,0.004,0.012,197,0.735,0.058,29,0.108,0.052,42,0.157,0.03,223,0.832,0.049,24,0.09,0.073,21,0.078,0.043,230,0.858,0.053,28,0.104,0.039,10,0.037,0.034,190,0.709,0.051,51,0.19,0.05,27,0.101,0.047,181,0.675,0.049,56,0.209,0.053,31,0.116,0.054,175,0.653,0.05,56,0.209,0.053,37,0.138,0.049
