Variable,B4-A-Muy difícil-Recuento,B4-A-Muy difícil-% del N de fila,B4-A-Muy difícil-% de N columnas,B4-A-Difícil-Recuento,B4-A-Difícil-% del N de fila,B4-A-Difícil-% de N columnas,B4-A-Poco difícil-Recuento,B4-A-Poco difícil-% del N de fila,B4-A-Poco difícil-% de N columnas,B4-A-Nada difícil-Recuento,B4-A-Nada difícil-% del N de fila,B4-A-Nada difícil-% de N columnas,B4-B-Muy difícil-Recuento,B4-B-Muy difícil-% del N de fila,B4-B-Muy difícil-% de N columnas,B4-B-Difícil-Recuento,B4-B-Difícil-% del N de fila,B4-B-Difícil-% de N columnas,B4-B-Poco difícil-Recuento,B4-B-Poco difícil-% del N de fila,B4-B-Poco difícil-% de N columnas,B4-B-Nada difícil-Recuento,B4-B-Nada difícil-% del N de fila,B4-B-Nada difícil-% de N columnas,B4-C-Muy difícil-Recuento,B4-C-Muy difícil-% del N de fila,B4-C-Muy difícil-% de N columnas,B4-C-Difícil-Recuento,B4-C-Difícil-% del N de fila,B4-C-Difícil-% de N columnas,B4-C-Poco difícil-Recuento,B4-C-Poco difícil-% del N de fila,B4-C-Poco difícil-% de N columnas,B4-C-Nada difícil-Recuento,B4-C-Nada difícil-% del N de fila,B4-C-Nada difícil-% de N columnas,B4-D-Muy difícil-Recuento,B4-D-Muy difícil-% del N de fila,B4-D-Muy difícil-% de N columnas,B4-D-Difícil-Recuento,B4-D-Difícil-% del N de fila,B4-D-Difícil-% de N columnas,B4-D-Poco difícil-Recuento,B4-D-Poco difícil-% del N de fila,B4-D-Poco difícil-% de N columnas,B4-D-Nada difícil-Recuento,B4-D-Nada difícil-% del N de fila,B4-D-Nada difícil-% de N columnas,B4-E-Muy difícil-Recuento,B4-E-Muy difícil-% del N de fila,B4-E-Muy difícil-% de N columnas,B4-E-Difícil-Recuento,B4-E-Difícil-% del N de fila,B4-E-Difícil-% de N columnas,B4-E-Poco difícil-Recuento,B4-E-Poco difícil-% del N de fila,B4-E-Poco difícil-% de N columnas,B4-E-Nada difícil-Recuento,B4-E-Nada difícil-% del N de fila,B4-E-Nada difícil-% de N columnas,B4-F-Muy difícil-Recuento,B4-F-Muy difícil-% del N de fila,B4-F-Muy difícil-% de N columnas,B4-F-Difícil-Recuento,B4-F-Difícil-% del N de fila,B4-F-Difícil-% de N columnas,B4-F-Poco difícil-Recuento,B4-F-Poco difícil-% del N de fila,B4-F-Poco difícil-% de N columnas,B4-F-Nada difícil-Recuento,B4-F-Nada difícil-% del N de fila,B4-F-Nada difícil-% de N columnas,B4-G-Muy difícil-Recuento,B4-G-Muy difícil-% del N de fila,B4-G-Muy difícil-% de N columnas,B4-G-Difícil-Recuento,B4-G-Difícil-% del N de fila,B4-G-Difícil-% de N columnas,B4-G-Poco difícil-Recuento,B4-G-Poco difícil-% del N de fila,B4-G-Poco difícil-% de N columnas,B4-G-Nada difícil-Recuento,B4-G-Nada difícil-% del N de fila,B4-G-Nada difícil-% de N columnas,B4-H-Muy difícil-Recuento,B4-H-Muy difícil-% del N de fila,B4-H-Muy difícil-% de N columnas,B4-H-Difícil-Recuento,B4-H-Difícil-% del N de fila,B4-H-Difícil-% de N columnas,B4-H-Poco difícil-Recuento,B4-H-Poco difícil-% del N de fila,B4-H-Poco difícil-% de N columnas,B4-H-Nada difícil-Recuento,B4-H-Nada difícil-% del N de fila,B4-H-Nada difícil-% de N columnas,B4-I-Muy difícil-Recuento,B4-I-Muy difícil-% del N de fila,B4-I-Muy difícil-% de N columnas,B4-I-Difícil-Recuento,B4-I-Difícil-% del N de fila,B4-I-Difícil-% de N columnas,B4-I-Poco difícil-Recuento,B4-I-Poco difícil-% del N de fila,B4-I-Poco difícil-% de N columnas,B4-I-Nada difícil-Recuento,B4-I-Nada difícil-% del N de fila,B4-I-Nada difícil-% de N columnas,B4-J-Muy difícil-Recuento,B4-J-Muy difícil-% del N de fila,B4-J-Muy difícil-% de N columnas,B4-J-Difícil-Recuento,B4-J-Difícil-% del N de fila,B4-J-Difícil-% de N columnas,B4-J-Poco difícil-Recuento,B4-J-Poco difícil-% del N de fila,B4-J-Poco difícil-% de N columnas,B4-J-Nada difícil-Recuento,B4-J-Nada difícil-% del N de fila,B4-J-Nada difícil-% de N columnas,B4-K-Muy difícil-Recuento,B4-K-Muy difícil-% del N de fila,B4-K-Muy difícil-% de N columnas,B4-K-Difícil-Recuento,B4-K-Difícil-% del N de fila,B4-K-Difícil-% de N columnas,B4-K-Poco difícil-Recuento,B4-K-Poco difícil-% del N de fila,B4-K-Poco difícil-% de N columnas,B4-K-Nada difícil-Recuento,B4-K-Nada difícil-% del N de fila,B4-K-Nada difícil-% de N columnas
AGUASCALIENTES,14,0.048,0.048,128,0.437,0.071,127,0.433,0.047,24,0.082,0.041,25,0.085,0.087,75,0.256,0.061,152,0.519,0.055,41,0.14,0.039,39,0.133,0.055,126,0.43,0.062,110,0.375,0.05,18,0.061,0.041,6,0.02,0.059,52,0.177,0.071,167,0.57,0.055,68,0.232,0.046,29,0.099,0.041,111,0.379,0.057,126,0.43,0.055,27,0.092,0.065,13,0.044,0.061,70,0.239,0.058,164,0.56,0.055,46,0.157,0.049,9,0.031,0.043,118,0.403,0.069,147,0.502,0.049,19,0.065,0.045,17,0.058,0.053,76,0.259,0.055,161,0.549,0.057,39,0.133,0.046,11,0.038,0.047,96,0.328,0.073,143,0.488,0.05,43,0.147,0.046,24,0.082,0.072,107,0.365,0.065,145,0.495,0.051,17,0.058,0.033,22,0.075,0.065,119,0.406,0.068,137,0.468,0.049,15,0.051,0.031
BAJA CALIFORNIA,3,0.071,0.01,16,0.381,0.009,22,0.524,0.008,1,0.024,0.002,1,0.024,0.003,6,0.143,0.005,26,0.619,0.009,9,0.214,0.009,5,0.119,0.007,15,0.357,0.007,18,0.429,0.008,4,0.095,0.009,0,0,0,3,0.071,0.004,26,0.619,0.009,13,0.31,0.009,1,0.024,0.001,21,0.5,0.011,18,0.429,0.008,2,0.048,0.005,0,0,0,11,0.262,0.009,22,0.524,0.007,9,0.214,0.01,1,0.024,0.005,17,0.405,0.01,22,0.524,0.007,2,0.048,0.005,3,0.071,0.009,8,0.19,0.006,24,0.571,0.009,7,0.167,0.008,1,0.024,0.004,9,0.214,0.007,25,0.595,0.009,7,0.167,0.007,2,0.048,0.006,12,0.286,0.007,25,0.595,0.009,3,0.071,0.006,3,0.071,0.009,13,0.31,0.007,25,0.595,0.009,1,0.024,0.002
BAJA CALIFORNIA SUR,6,0.028,0.021,51,0.238,0.028,113,0.528,0.042,44,0.206,0.074,12,0.056,0.042,43,0.201,0.035,105,0.491,0.038,54,0.252,0.051,17,0.079,0.024,91,0.425,0.045,90,0.421,0.041,16,0.075,0.037,2,0.009,0.02,26,0.121,0.036,117,0.547,0.038,69,0.322,0.047,33,0.154,0.046,68,0.318,0.035,100,0.467,0.044,13,0.061,0.031,10,0.047,0.047,47,0.22,0.039,114,0.533,0.038,43,0.201,0.046,7,0.033,0.034,53,0.248,0.031,135,0.631,0.045,19,0.089,0.045,10,0.047,0.031,55,0.257,0.04,112,0.523,0.04,37,0.173,0.044,3,0.014,0.013,39,0.182,0.03,121,0.565,0.042,51,0.238,0.054,11,0.051,0.033,69,0.322,0.042,119,0.556,0.041,15,0.07,0.029,15,0.07,0.045,67,0.313,0.038,117,0.547,0.042,15,0.07,0.031
CAMPECHE,8,0.043,0.028,59,0.316,0.033,101,0.54,0.038,19,0.102,0.032,13,0.07,0.045,37,0.198,0.03,102,0.545,0.037,35,0.187,0.033,27,0.144,0.038,83,0.444,0.041,66,0.353,0.03,11,0.059,0.025,9,0.048,0.089,22,0.118,0.03,112,0.599,0.037,44,0.235,0.03,23,0.123,0.032,76,0.406,0.039,74,0.396,0.032,14,0.075,0.034,7,0.037,0.033,35,0.187,0.029,105,0.561,0.035,40,0.214,0.042,8,0.043,0.038,51,0.273,0.03,118,0.631,0.039,10,0.053,0.024,11,0.059,0.034,47,0.251,0.034,95,0.508,0.034,34,0.182,0.04,9,0.048,0.039,39,0.209,0.03,105,0.561,0.037,34,0.182,0.036,11,0.059,0.033,45,0.241,0.027,116,0.62,0.04,15,0.08,0.029,10,0.053,0.03,55,0.294,0.032,107,0.572,0.038,15,0.08,0.031
CHIAPAS,2,0.033,0.007,24,0.393,0.013,30,0.492,0.011,5,0.082,0.008,7,0.115,0.024,24,0.393,0.019,27,0.443,0.01,3,0.049,0.003,10,0.164,0.014,28,0.459,0.014,18,0.295,0.008,5,0.082,0.011,1,0.016,0.01,12,0.197,0.016,34,0.557,0.011,14,0.23,0.009,12,0.197,0.017,24,0.393,0.012,19,0.311,0.008,6,0.098,0.015,2,0.033,0.009,14,0.23,0.012,34,0.557,0.011,11,0.18,0.012,3,0.049,0.014,21,0.344,0.012,33,0.541,0.011,4,0.066,0.01,4,0.066,0.013,18,0.295,0.013,36,0.59,0.013,3,0.049,0.004,4,0.066,0.017,14,0.23,0.011,34,0.557,0.012,9,0.148,0.01,8,0.131,0.024,22,0.361,0.013,28,0.459,0.01,3,0.049,0.006,7,0.115,0.021,25,0.41,0.014,26,0.426,0.009,3,0.049,0.006
CHIHUAHUA,29,0.113,0.1,71,0.277,0.04,128,0.5,0.048,28,0.109,0.047,20,0.078,0.07,50,0.195,0.04,114,0.445,0.041,72,0.281,0.069,45,0.176,0.064,96,0.375,0.048,102,0.398,0.047,13,0.051,0.03,7,0.027,0.069,29,0.113,0.04,122,0.477,0.04,98,0.383,0.066,39,0.152,0.055,84,0.328,0.043,121,0.473,0.053,12,0.047,0.029,18,0.07,0.085,58,0.227,0.048,127,0.496,0.043,53,0.207,0.056,16,0.063,0.077,75,0.293,0.044,147,0.574,0.049,18,0.07,0.043,14,0.055,0.044,57,0.223,0.041,144,0.563,0.051,41,0.16,0.048,18,0.07,0.078,58,0.227,0.044,130,0.508,0.045,50,0.195,0.053,24,0.094,0.072,72,0.281,0.044,137,0.535,0.048,23,0.09,0.045,21,0.082,0.063,78,0.305,0.045,133,0.52,0.048,24,0.094,0.05
CIUDAD DE MÉXICO,13,0.055,0.045,77,0.324,0.043,118,0.496,0.044,30,0.126,0.051,23,0.097,0.08,59,0.248,0.048,122,0.513,0.044,34,0.143,0.032,52,0.218,0.074,84,0.353,0.042,90,0.378,0.041,12,0.05,0.027,5,0.021,0.05,41,0.172,0.056,133,0.559,0.044,59,0.248,0.04,38,0.16,0.053,87,0.366,0.045,101,0.424,0.044,12,0.05,0.029,15,0.063,0.071,81,0.34,0.067,117,0.492,0.039,25,0.105,0.026,15,0.063,0.072,84,0.353,0.049,126,0.529,0.042,13,0.055,0.031,19,0.08,0.06,74,0.311,0.054,117,0.492,0.042,28,0.118,0.033,11,0.046,0.047,64,0.269,0.048,132,0.555,0.046,31,0.13,0.033,13,0.055,0.039,86,0.361,0.053,117,0.492,0.041,22,0.092,0.043,18,0.076,0.054,92,0.387,0.053,108,0.454,0.039,20,0.084,0.042
COAHUILA,3,0.036,0.01,28,0.337,0.016,43,0.518,0.016,9,0.108,0.015,4,0.048,0.014,15,0.181,0.012,46,0.554,0.017,18,0.217,0.017,7,0.084,0.01,35,0.422,0.017,32,0.386,0.015,9,0.108,0.021,0,0,0,12,0.145,0.016,49,0.59,0.016,22,0.265,0.015,8,0.096,0.011,27,0.325,0.014,40,0.482,0.017,8,0.096,0.019,0,0,0,20,0.241,0.017,48,0.578,0.016,15,0.181,0.016,0,0,0,30,0.361,0.018,47,0.566,0.016,6,0.072,0.014,1,0.012,0.003,25,0.301,0.018,45,0.542,0.016,12,0.145,0.014,2,0.024,0.009,19,0.229,0.014,47,0.566,0.016,15,0.181,0.016,2,0.024,0.006,32,0.386,0.02,37,0.446,0.013,12,0.145,0.024,3,0.036,0.009,30,0.361,0.017,44,0.53,0.016,6,0.072,0.013
COLIMA,14,0.071,0.048,67,0.338,0.037,96,0.485,0.036,21,0.106,0.036,9,0.045,0.031,32,0.162,0.026,96,0.485,0.035,61,0.308,0.058,26,0.131,0.037,70,0.354,0.035,83,0.419,0.038,19,0.096,0.043,3,0.015,0.03,19,0.096,0.026,108,0.545,0.036,68,0.343,0.046,39,0.197,0.055,84,0.424,0.043,68,0.343,0.03,7,0.035,0.017,10,0.051,0.047,47,0.237,0.039,110,0.556,0.037,31,0.157,0.033,13,0.066,0.063,59,0.298,0.035,116,0.586,0.038,10,0.051,0.024,18,0.091,0.056,61,0.308,0.044,86,0.434,0.031,33,0.167,0.039,8,0.04,0.034,49,0.247,0.037,103,0.52,0.036,38,0.192,0.041,17,0.086,0.051,47,0.237,0.029,109,0.551,0.038,25,0.126,0.049,15,0.076,0.045,50,0.253,0.029,108,0.545,0.039,25,0.126,0.052
DURANGO,20,0.075,0.069,98,0.366,0.055,126,0.47,0.047,24,0.09,0.041,12,0.045,0.042,73,0.272,0.059,141,0.526,0.051,42,0.157,0.04,41,0.153,0.058,115,0.429,0.057,101,0.377,0.046,11,0.041,0.025,9,0.034,0.089,36,0.134,0.049,160,0.597,0.053,63,0.235,0.043,52,0.194,0.073,89,0.332,0.046,112,0.418,0.049,15,0.056,0.036,18,0.067,0.085,65,0.243,0.054,147,0.549,0.049,38,0.142,0.04,10,0.037,0.048,93,0.347,0.055,148,0.552,0.049,17,0.063,0.04,16,0.06,0.05,82,0.306,0.059,134,0.5,0.048,36,0.134,0.043,10,0.037,0.043,72,0.269,0.055,148,0.552,0.052,38,0.142,0.041,14,0.052,0.042,86,0.321,0.053,144,0.537,0.05,24,0.09,0.047,16,0.06,0.048,89,0.332,0.051,144,0.537,0.052,19,0.071,0.04
