Variable,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
AGUASCALIENTES,114,0.2,0.04,358,0.63,0.05,84,0.15,0.06,14,0.03,0.11,315,0.55,0.05,223,0.39,0.05,27,0.05,0.08,6,0.01,0.22,192,0.34,0.05,310,0.54,0.05,63,0.11,0.05,6,0.01,0.07,298,0.52,0.05,239,0.42,0.05,32,0.06,0.08,2,0,0.07,292,0.51,0.05,241,0.42,0.05,34,0.06,0.06,4,0.01,0.12,254,0.45,0.05,275,0.48,0.05,39,0.07,0.07,3,0.01,0.06,338,0.59,0.05,205,0.36,0.06,26,0.05,0.08,2,0,0.12,282,0.5,0.05,253,0.44,0.05,32,0.06,0.06,3,0.01,0.07,290,0.51,0.04,253,0.44,0.06,25,0.04,0.06,2,0,0.07
BAJA CALIFORNIA,22,0.22,0.01,63,0.64,0.01,13,0.13,0.01,0,0,0,56,0.57,0.01,40,0.41,0.01,2,0.02,0.01,0,0,0,33,0.34,0.01,54,0.55,0.01,10,0.1,0.01,1,0.01,0.01,51,0.52,0.01,44,0.45,0.01,3,0.03,0.01,0,0,0,50,0.51,0.01,42,0.43,0.01,6,0.06,0.01,0,0,0,46,0.47,0.01,46,0.47,0.01,5,0.05,0.01,1,0.01,0.02,64,0.65,0.01,31,0.32,0.01,3,0.03,0.01,0,0,0,57,0.58,0.01,34,0.35,0.01,7,0.07,0.01,0,0,0,60,0.61,0.01,35,0.36,0.01,3,0.03,0.01,0,0,0
BAJA CALIFORNIA SUR,141,0.2,0.05,417,0.6,0.06,126,0.18,0.08,7,0.01,0.05,375,0.54,0.06,297,0.43,0.07,19,0.03,0.05,0,0,0,223,0.32,0.05,380,0.55,0.06,87,0.13,0.07,1,0,0.01,367,0.53,0.06,301,0.44,0.07,23,0.03,0.06,0,0,0,383,0.55,0.06,269,0.39,0.06,38,0.06,0.06,1,0,0.03,328,0.48,0.06,330,0.48,0.07,33,0.05,0.06,0,0,0,445,0.64,0.06,231,0.33,0.07,15,0.02,0.05,0,0,0,378,0.55,0.06,284,0.41,0.06,28,0.04,0.06,1,0,0.02,404,0.59,0.06,266,0.39,0.06,20,0.03,0.05,1,0,0.03
CAMPECHE,67,0.21,0.02,205,0.66,0.03,33,0.11,0.02,8,0.03,0.06,170,0.54,0.03,137,0.44,0.03,6,0.02,0.02,0,0,0,102,0.33,0.03,173,0.55,0.03,33,0.11,0.03,5,0.02,0.06,168,0.54,0.03,139,0.44,0.03,6,0.02,0.01,0,0,0,157,0.5,0.03,143,0.46,0.03,13,0.04,0.02,0,0,0,146,0.47,0.03,157,0.5,0.03,10,0.03,0.02,0,0,0,197,0.63,0.03,108,0.35,0.03,8,0.03,0.03,0,0,0,176,0.56,0.03,124,0.4,0.03,12,0.04,0.02,1,0,0.02,176,0.56,0.03,124,0.4,0.03,12,0.04,0.03,1,0,0.03
CHIAPAS,24,0.24,0.01,52,0.52,0.01,25,0.25,0.02,0,0,0,42,0.42,0.01,54,0.54,0.01,5,0.05,0.01,0,0,0,19,0.19,0.01,70,0.69,0.01,12,0.12,0.01,0,0,0,51,0.51,0.01,43,0.43,0.01,7,0.07,0.02,0,0,0,46,0.46,0.01,43,0.43,0.01,12,0.12,0.02,0,0,0,41,0.41,0.01,47,0.47,0.01,13,0.13,0.02,0,0,0,65,0.64,0.01,31,0.31,0.01,5,0.05,0.02,0,0,0,50,0.5,0.01,40,0.4,0.01,10,0.1,0.02,1,0.01,0.02,61,0.6,0.01,33,0.33,0.01,7,0.07,0.02,0,0,0
CHIHUAHUA,121,0.23,0.04,314,0.6,0.05,85,0.16,0.06,4,0.01,0.03,267,0.51,0.04,232,0.44,0.05,23,0.04,0.06,2,0,0.07,159,0.3,0.04,300,0.57,0.05,60,0.12,0.05,5,0.01,0.06,260,0.5,0.04,233,0.45,0.05,30,0.06,0.07,1,0,0.04,237,0.45,0.04,247,0.47,0.06,38,0.07,0.06,2,0,0.06,216,0.41,0.04,272,0.52,0.05,33,0.06,0.06,3,0.01,0.06,306,0.58,0.04,199,0.38,0.06,17,0.03,0.06,2,0,0.12,241,0.46,0.04,252,0.48,0.05,28,0.05,0.06,3,0.01,0.07,279,0.53,0.04,214,0.41,0.05,29,0.06,0.07,2,0,0.07
CIUDAD DE MÉXICO,212,0.25,0.07,532,0.63,0.08,96,0.11,0.06,10,0.01,0.08,497,0.59,0.08,336,0.4,0.08,17,0.02,0.05,0,0,0,300,0.35,0.07,465,0.55,0.08,82,0.1,0.07,3,0,0.03,461,0.54,0.07,364,0.43,0.08,25,0.03,0.06,0,0,0,471,0.55,0.07,325,0.38,0.07,52,0.06,0.08,2,0,0.06,384,0.45,0.07,415,0.49,0.08,47,0.06,0.08,4,0.01,0.08,574,0.68,0.08,254,0.3,0.07,22,0.03,0.07,0,0,0,451,0.53,0.07,367,0.43,0.08,29,0.03,0.06,3,0,0.07,486,0.57,0.07,328,0.39,0.08,35,0.04,0.08,1,0,0.03
COAHUILA,53,0.27,0.02,111,0.56,0.02,35,0.18,0.02,0,0,0,126,0.63,0.02,64,0.32,0.01,9,0.05,0.03,0,0,0,76,0.38,0.02,108,0.54,0.02,14,0.07,0.01,1,0.01,0.01,114,0.57,0.02,79,0.4,0.02,6,0.03,0.01,0,0,0,119,0.6,0.02,73,0.37,0.02,7,0.04,0.01,0,0,0,108,0.54,0.02,80,0.4,0.02,11,0.06,0.02,0,0,0,138,0.69,0.02,57,0.29,0.02,4,0.02,0.01,0,0,0,116,0.58,0.02,74,0.37,0.02,7,0.04,0.01,2,0.01,0.05,114,0.57,0.02,77,0.39,0.02,8,0.04,0.02,0,0,0
COLIMA,132,0.26,0.04,301,0.6,0.04,63,0.13,0.04,6,0.01,0.05,318,0.63,0.05,174,0.35,0.04,10,0.02,0.03,0,0,0,203,0.4,0.05,254,0.51,0.04,42,0.08,0.04,3,0.01,0.03,291,0.58,0.05,197,0.39,0.04,13,0.03,0.03,1,0,0.04,289,0.58,0.05,190,0.38,0.04,21,0.04,0.03,2,0,0.06,267,0.53,0.05,215,0.43,0.04,17,0.03,0.03,3,0.01,0.06,336,0.67,0.04,156,0.31,0.04,10,0.02,0.03,0,0,0,281,0.56,0.05,201,0.4,0.04,17,0.03,0.03,3,0.01,0.07,305,0.61,0.05,184,0.37,0.04,13,0.03,0.03,0,0,0
DURANGO,104,0.28,0.04,216,0.58,0.03,50,0.14,0.03,1,0,0.01,195,0.53,0.03,159,0.43,0.04,17,0.05,0.05,0,0,0,135,0.36,0.03,197,0.53,0.03,35,0.09,0.03,4,0.01,0.05,198,0.53,0.03,157,0.42,0.04,15,0.04,0.04,1,0,0.04,186,0.5,0.03,153,0.41,0.04,31,0.08,0.05,1,0,0.03,181,0.49,0.03,167,0.45,0.03,21,0.06,0.04,2,0.01,0.04,236,0.64,0.03,124,0.33,0.04,11,0.03,0.04,0,0,0,194,0.52,0.03,157,0.42,0.03,18,0.05,0.04,2,0.01,0.05,227,0.61,0.03,131,0.35,0.03,12,0.03,0.03,1,0,0.03
