Variable,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
AGUASCALIENTES,296,0.52,0.05,245,0.43,0.05,29,0.05,0.08,1,0,0.03,304,0.53,0.05,247,0.43,0.05,20,0.04,0.05,0,0,0,272,0.48,0.05,271,0.48,0.05,28,0.05,0.06,0,0,0,234,0.41,0.04,294,0.52,0.05,41,0.07,0.07,2,0,0.05,236,0.41,0.04,293,0.51,0.05,42,0.07,0.07,0,0,0,197,0.35,0.04,315,0.55,0.05,56,0.1,0.07,2,0,0.06
BAJA CALIFORNIA,49,0.5,0.01,44,0.45,0.01,3,0.03,0.01,2,0.02,0.06,51,0.52,0.01,43,0.44,0.01,4,0.04,0.01,0,0,0,50,0.51,0.01,44,0.45,0.01,4,0.04,0.01,0,0,0,42,0.43,0.01,51,0.52,0.01,4,0.04,0.01,1,0.01,0.03,41,0.42,0.01,52,0.53,0.01,5,0.05,0.01,0,0,0,45,0.46,0.01,46,0.47,0.01,7,0.07,0.01,0,0,0
BAJA CALIFORNIA SUR,335,0.49,0.05,330,0.48,0.07,25,0.04,0.07,1,0,0.03,356,0.52,0.06,310,0.45,0.07,23,0.03,0.06,2,0,0.05,296,0.43,0.05,354,0.51,0.07,40,0.06,0.09,1,0,0.05,316,0.46,0.06,339,0.49,0.06,35,0.05,0.06,1,0,0.03,323,0.47,0.06,328,0.48,0.06,37,0.05,0.06,2,0,0.1,276,0.4,0.06,361,0.52,0.06,52,0.08,0.07,2,0,0.06
CAMPECHE,141,0.45,0.02,166,0.53,0.03,5,0.02,0.01,1,0,0.03,154,0.49,0.02,152,0.49,0.03,6,0.02,0.02,1,0,0.03,144,0.46,0.03,158,0.51,0.03,11,0.04,0.02,0,0,0,127,0.41,0.02,173,0.55,0.03,13,0.04,0.02,0,0,0,133,0.43,0.03,166,0.53,0.03,14,0.05,0.02,0,0,0,117,0.37,0.02,170,0.54,0.03,25,0.08,0.03,1,0,0.03
CHIAPAS,41,0.41,0.01,52,0.52,0.01,8,0.08,0.02,0,0,0,46,0.46,0.01,49,0.49,0.01,6,0.06,0.02,0,0,0,41,0.41,0.01,54,0.54,0.01,6,0.06,0.01,0,0,0,33,0.33,0.01,59,0.58,0.01,8,0.08,0.01,1,0.01,0.03,34,0.34,0.01,61,0.6,0.01,6,0.06,0.01,0,0,0,39,0.39,0.01,48,0.48,0.01,13,0.13,0.02,1,0.01,0.03
CHIHUAHUA,250,0.48,0.04,240,0.46,0.05,32,0.06,0.09,2,0,0.06,255,0.49,0.04,238,0.45,0.05,30,0.06,0.08,1,0,0.03,229,0.44,0.04,269,0.51,0.05,25,0.05,0.06,1,0,0.05,211,0.4,0.04,275,0.53,0.05,36,0.07,0.07,2,0,0.05,204,0.39,0.04,282,0.54,0.05,36,0.07,0.06,2,0,0.1,183,0.35,0.04,297,0.57,0.05,42,0.08,0.05,2,0,0.06
CIUDAD DE MÉXICO,457,0.54,0.07,368,0.43,0.08,25,0.03,0.07,0,0,0,461,0.54,0.07,358,0.42,0.08,27,0.03,0.07,4,0.01,0.11,433,0.51,0.07,386,0.45,0.08,29,0.03,0.06,2,0,0.1,375,0.44,0.07,441,0.52,0.08,33,0.04,0.06,1,0,0.03,391,0.46,0.07,417,0.49,0.08,42,0.05,0.07,0,0,0,351,0.41,0.07,444,0.52,0.08,54,0.06,0.07,1,0,0.03
COAHUILA,112,0.56,0.02,82,0.41,0.02,4,0.02,0.01,1,0.01,0.03,113,0.57,0.02,79,0.4,0.02,5,0.03,0.01,2,0.01,0.05,103,0.52,0.02,88,0.44,0.02,8,0.04,0.02,0,0,0,104,0.52,0.02,88,0.44,0.02,7,0.04,0.01,0,0,0,103,0.52,0.02,92,0.46,0.02,4,0.02,0.01,0,0,0,96,0.48,0.02,94,0.47,0.02,9,0.05,0.01,0,0,0
COLIMA,314,0.63,0.05,175,0.35,0.04,11,0.02,0.03,2,0,0.06,307,0.61,0.05,182,0.36,0.04,12,0.02,0.03,1,0,0.03,281,0.56,0.05,205,0.41,0.04,15,0.03,0.03,1,0,0.05,250,0.5,0.05,232,0.46,0.04,18,0.04,0.03,2,0,0.05,254,0.51,0.05,227,0.45,0.04,19,0.04,0.03,2,0,0.1,225,0.45,0.05,247,0.49,0.04,27,0.05,0.03,3,0.01,0.08
DURANGO,199,0.54,0.03,157,0.42,0.03,15,0.04,0.04,0,0,0,203,0.55,0.03,152,0.41,0.03,15,0.04,0.04,1,0,0.03,205,0.55,0.04,148,0.4,0.03,16,0.04,0.04,2,0.01,0.1,175,0.47,0.03,175,0.47,0.03,20,0.05,0.04,1,0,0.03,170,0.46,0.03,177,0.48,0.03,22,0.06,0.04,2,0.01,0.1,158,0.43,0.03,182,0.49,0.03,30,0.08,0.04,1,0,0.03
