Variable,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
AGUASCALIENTES,203,0.36,0.05,353,0.62,0.05,14,0.03,0.05,0,0,0,208,0.37,0.05,345,0.61,0.05,17,0.03,0.06,0,0,0,227,0.4,0.05,324,0.57,0.05,19,0.03,0.07,0,0,0,194,0.34,0.05,357,0.63,0.05,19,0.03,0.06,0,0,0,180,0.32,0.05,351,0.62,0.05,38,0.07,0.05,1,0,0.01
BAJA CALIFORNIA,36,0.37,0.01,61,0.62,0.01,1,0.01,0,0,0,0,43,0.44,0.01,53,0.54,0.01,1,0.01,0,1,0.01,0.06,44,0.45,0.01,53,0.54,0.01,1,0.01,0,0,0,0,41,0.42,0.01,57,0.58,0.01,0,0,0,0,0,0,33,0.34,0.01,60,0.61,0.01,5,0.05,0.01,0,0,0
BAJA CALIFORNIA SUR,243,0.35,0.06,431,0.62,0.06,16,0.02,0.06,1,0,0.05,272,0.39,0.06,409,0.59,0.06,10,0.01,0.04,0,0,0,276,0.4,0.06,397,0.58,0.06,16,0.02,0.06,2,0,0.11,264,0.38,0.06,410,0.59,0.06,17,0.03,0.06,0,0,0,217,0.31,0.06,422,0.61,0.06,47,0.07,0.06,5,0.01,0.07
CAMPECHE,84,0.27,0.02,222,0.71,0.03,7,0.02,0.03,0,0,0,89,0.29,0.02,218,0.7,0.03,5,0.02,0.02,0,0,0,96,0.31,0.02,210,0.67,0.03,6,0.02,0.02,0,0,0,94,0.3,0.02,213,0.68,0.03,5,0.02,0.02,0,0,0,79,0.25,0.02,215,0.69,0.03,14,0.05,0.02,4,0.01,0.06
CHIAPAS,26,0.26,0.01,72,0.71,0.01,3,0.03,0.01,0,0,0,26,0.26,0.01,69,0.68,0.01,6,0.06,0.02,0,0,0,31,0.31,0.01,65,0.64,0.01,5,0.05,0.02,0,0,0,26,0.26,0.01,72,0.71,0.01,3,0.03,0.01,0,0,0,22,0.22,0.01,70,0.69,0.01,8,0.08,0.01,1,0.01,0.01
CHIHUAHUA,157,0.3,0.04,354,0.68,0.05,12,0.02,0.04,1,0,0.05,160,0.31,0.04,347,0.66,0.05,17,0.03,0.06,0,0,0,168,0.32,0.04,341,0.65,0.05,15,0.03,0.05,0,0,0,150,0.29,0.04,355,0.68,0.05,19,0.04,0.06,0,0,0,122,0.23,0.03,357,0.68,0.05,43,0.08,0.06,2,0,0.03
CIUDAD DE MÉXICO,285,0.34,0.07,543,0.64,0.08,21,0.03,0.08,1,0,0.05,322,0.38,0.08,505,0.59,0.07,22,0.03,0.08,1,0,0.06,331,0.39,0.07,487,0.57,0.08,30,0.04,0.11,2,0,0.11,292,0.34,0.07,526,0.62,0.08,32,0.04,0.11,0,0,0,249,0.29,0.07,522,0.61,0.08,74,0.09,0.1,5,0.01,0.07
COAHUILA,82,0.41,0.02,110,0.55,0.02,7,0.04,0.03,0,0,0,86,0.43,0.02,107,0.54,0.02,6,0.03,0.02,0,0,0,89,0.45,0.02,102,0.51,0.02,8,0.04,0.03,0,0,0,90,0.45,0.02,104,0.52,0.02,4,0.02,0.01,1,0.01,0.07,74,0.37,0.02,114,0.57,0.02,10,0.05,0.01,1,0.01,0.01
COLIMA,207,0.41,0.05,287,0.57,0.04,6,0.01,0.02,2,0,0.11,208,0.41,0.05,280,0.56,0.04,12,0.02,0.05,2,0,0.13,218,0.43,0.05,269,0.54,0.04,13,0.03,0.05,2,0,0.11,209,0.42,0.05,280,0.56,0.04,10,0.02,0.03,3,0.01,0.21,187,0.37,0.05,289,0.58,0.04,22,0.04,0.03,4,0.01,0.06
DURANGO,120,0.32,0.03,245,0.66,0.04,6,0.02,0.02,0,0,0,132,0.36,0.03,236,0.64,0.04,3,0.01,0.01,0,0,0,148,0.4,0.03,213,0.57,0.03,10,0.03,0.04,0,0,0,132,0.36,0.03,231,0.62,0.03,7,0.02,0.02,1,0,0.07,116,0.31,0.03,222,0.6,0.03,29,0.08,0.04,4,0.01,0.06
