Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas
AGUASCALIENTES,187,0.328,0.046,344,0.604,0.052,37,0.065,0.051,2,0.004,0.047,174,0.305,0.048,371,0.651,0.051,23,0.04,0.047,2,0.004,0.059,252,0.442,0.048,299,0.525,0.052,19,0.033,0.046,0,0,0,204,0.358,0.051,336,0.589,0.049,30,0.053,0.058,0,0,0,228,0.4,0.049,312,0.547,0.05,30,0.053,0.064,0,0,0
BAJA CALIFORNIA,39,0.398,0.01,48,0.49,0.007,11,0.112,0.015,0,0,0,37,0.378,0.01,57,0.582,0.008,4,0.041,0.008,0,0,0,44,0.449,0.008,50,0.51,0.009,4,0.041,0.01,0,0,0,38,0.388,0.009,54,0.551,0.008,6,0.061,0.012,0,0,0,44,0.449,0.009,52,0.531,0.008,2,0.02,0.004,0,0,0
BAJA CALIFORNIA SUR,279,0.404,0.069,373,0.54,0.056,38,0.055,0.053,1,0.001,0.023,202,0.292,0.056,462,0.669,0.063,26,0.038,0.053,1,0.001,0.029,331,0.479,0.063,345,0.499,0.06,14,0.02,0.034,1,0.001,0.029,248,0.359,0.062,424,0.614,0.062,18,0.026,0.035,1,0.001,0.034,301,0.436,0.065,361,0.522,0.058,27,0.039,0.057,2,0.003,0.048
CAMPECHE,91,0.292,0.023,202,0.647,0.03,19,0.061,0.026,0,0,0,71,0.228,0.02,228,0.731,0.031,12,0.038,0.025,1,0.003,0.029,106,0.34,0.02,198,0.635,0.034,7,0.022,0.017,1,0.003,0.029,82,0.263,0.02,221,0.708,0.032,9,0.029,0.017,0,0,0,96,0.308,0.021,206,0.66,0.033,9,0.029,0.019,1,0.003,0.024
CHIAPAS,39,0.386,0.01,57,0.564,0.009,4,0.04,0.006,1,0.01,0.023,26,0.257,0.007,68,0.673,0.009,7,0.069,0.014,0,0,0,48,0.475,0.009,51,0.505,0.009,2,0.02,0.005,0,0,0,29,0.287,0.007,64,0.634,0.009,8,0.079,0.015,0,0,0,39,0.386,0.008,58,0.574,0.009,4,0.04,0.008,0,0,0
CHIHUAHUA,158,0.302,0.039,323,0.616,0.049,40,0.076,0.056,3,0.006,0.07,137,0.261,0.038,353,0.674,0.049,30,0.057,0.062,4,0.008,0.118,206,0.393,0.039,287,0.548,0.05,27,0.052,0.066,4,0.008,0.118,156,0.298,0.039,337,0.643,0.049,28,0.053,0.054,3,0.006,0.103,182,0.347,0.039,314,0.599,0.05,26,0.05,0.055,2,0.004,0.048
CIUDAD DE MÉXICO,202,0.238,0.05,551,0.648,0.083,90,0.106,0.125,7,0.008,0.163,223,0.262,0.061,566,0.666,0.078,55,0.065,0.113,6,0.007,0.176,330,0.388,0.063,456,0.536,0.079,60,0.071,0.146,4,0.005,0.118,259,0.305,0.064,540,0.635,0.079,48,0.056,0.092,3,0.004,0.103,298,0.351,0.064,494,0.581,0.079,53,0.062,0.113,5,0.006,0.119
COAHUILA,81,0.407,0.02,105,0.528,0.016,12,0.06,0.017,1,0.005,0.023,75,0.377,0.021,115,0.578,0.016,9,0.045,0.018,0,0,0,97,0.487,0.019,93,0.467,0.016,9,0.045,0.022,0,0,0,83,0.417,0.021,103,0.518,0.015,12,0.06,0.023,1,0.005,0.034,96,0.482,0.021,92,0.462,0.015,11,0.055,0.023,0,0,0
COLIMA,207,0.413,0.051,265,0.529,0.04,27,0.054,0.038,2,0.004,0.047,178,0.355,0.049,306,0.611,0.042,14,0.028,0.029,3,0.006,0.088,255,0.509,0.049,234,0.467,0.041,10,0.02,0.024,2,0.004,0.059,197,0.393,0.049,279,0.557,0.041,23,0.046,0.044,2,0.004,0.069,228,0.455,0.049,255,0.509,0.041,14,0.028,0.03,4,0.008,0.095
DURANGO,127,0.342,0.031,218,0.588,0.033,24,0.065,0.033,2,0.005,0.047,126,0.34,0.035,230,0.62,0.032,15,0.04,0.031,0,0,0,172,0.464,0.033,185,0.499,0.032,13,0.035,0.032,1,0.003,0.029,125,0.337,0.031,221,0.596,0.032,23,0.062,0.044,2,0.005,0.069,152,0.41,0.033,195,0.526,0.031,21,0.057,0.045,3,0.008,0.071
