Variable,B6-A-Totalmente de acuerdo-Recuento,B6-A-Totalmente de acuerdo-% del N de fila,B6-A-Totalmente de acuerdo-% de N columnas,B6-A-De acuerdo-Recuento,B6-A-De acuerdo-% del N de fila,B6-A-De acuerdo-% de N columnas,B6-A-En desacuerdo-Recuento,B6-A-En desacuerdo-% del N de fila,B6-A-En desacuerdo-% de N columnas,B6-A-Totalmente en desacuerdo-Recuento,B6-A-Totalmente en desacuerdo-% del N de fila,B6-A-Totalmente en desacuerdo-% de N columnas,B6-A-No sé o no estoy seguro-Recuento,B6-A-No sé o no estoy seguro-% del N de fila,B6-A-No sé o no estoy seguro-% de N columnas,B6-B-Totalmente de acuerdo-Recuento,B6-B-Totalmente de acuerdo-% del N de fila,B6-B-Totalmente de acuerdo-% de N columnas,B6-B-De acuerdo-Recuento,B6-B-De acuerdo-% del N de fila,B6-B-De acuerdo-% de N columnas,B6-B-En desacuerdo-Recuento,B6-B-En desacuerdo-% del N de fila,B6-B-En desacuerdo-% de N columnas,B6-B-Totalmente en desacuerdo-Recuento,B6-B-Totalmente en desacuerdo-% del N de fila,B6-B-Totalmente en desacuerdo-% de N columnas,B6-B-No sé o no estoy seguro-Recuento,B6-B-No sé o no estoy seguro-% del N de fila,B6-B-No sé o no estoy seguro-% de N columnas,B6-C-Totalmente de acuerdo-Recuento,B6-C-Totalmente de acuerdo-% del N de fila,B6-C-Totalmente de acuerdo-% de N columnas,B6-C-De acuerdo-Recuento,B6-C-De acuerdo-% del N de fila,B6-C-De acuerdo-% de N columnas,B6-C-En desacuerdo-Recuento,B6-C-En desacuerdo-% del N de fila,B6-C-En desacuerdo-% de N columnas,B6-C-Totalmente en desacuerdo-Recuento,B6-C-Totalmente en desacuerdo-% del N de fila,B6-C-Totalmente en desacuerdo-% de N columnas,B6-C-No sé o no estoy seguro-Recuento,B6-C-No sé o no estoy seguro-% del N de fila,B6-C-No sé o no estoy seguro-% de N columnas,B6-D-Totalmente de acuerdo-Recuento,B6-D-Totalmente de acuerdo-% del N de fila,B6-D-Totalmente de acuerdo-% de N columnas,B6-D-De acuerdo-Recuento,B6-D-De acuerdo-% del N de fila,B6-D-De acuerdo-% de N columnas,B6-D-En desacuerdo-Recuento,B6-D-En desacuerdo-% del N de fila,B6-D-En desacuerdo-% de N columnas,B6-D-Totalmente en desacuerdo-Recuento,B6-D-Totalmente en desacuerdo-% del N de fila,B6-D-Totalmente en desacuerdo-% de N columnas,B6-D-No sé o no estoy seguro-Recuento,B6-D-No sé o no estoy seguro-% del N de fila,B6-D-No sé o no estoy seguro-% de N columnas,B6-E-Totalmente de acuerdo-Recuento,B6-E-Totalmente de acuerdo-% del N de fila,B6-E-Totalmente de acuerdo-% de N columnas,B6-E-De acuerdo-Recuento,B6-E-De acuerdo-% del N de fila,B6-E-De acuerdo-% de N columnas,B6-E-En desacuerdo-Recuento,B6-E-En desacuerdo-% del N de fila,B6-E-En desacuerdo-% de N columnas,B6-E-Totalmente en desacuerdo-Recuento,B6-E-Totalmente en desacuerdo-% del N de fila,B6-E-Totalmente en desacuerdo-% de N columnas,B6-E-No sé o no estoy seguro-Recuento,B6-E-No sé o no estoy seguro-% del N de fila,B6-E-No sé o no estoy seguro-% de N columnas,B6-F-Totalmente de acuerdo-Recuento,B6-F-Totalmente de acuerdo-% del N de fila,B6-F-Totalmente de acuerdo-% de N columnas,B6-F-De acuerdo-Recuento,B6-F-De acuerdo-% del N de fila,B6-F-De acuerdo-% de N columnas,B6-F-En desacuerdo-Recuento,B6-F-En desacuerdo-% del N de fila,B6-F-En desacuerdo-% de N columnas,B6-F-Totalmente en desacuerdo-Recuento,B6-F-Totalmente en desacuerdo-% del N de fila,B6-F-Totalmente en desacuerdo-% de N columnas,B6-F-No sé o no estoy seguro-Recuento,B6-F-No sé o no estoy seguro-% del N de fila,B6-F-No sé o no estoy seguro-% de N columnas,B6-G-Totalmente de acuerdo-Recuento,B6-G-Totalmente de acuerdo-% del N de fila,B6-G-Totalmente de acuerdo-% de N columnas,B6-G-De acuerdo-Recuento,B6-G-De acuerdo-% del N de fila,B6-G-De acuerdo-% de N columnas,B6-G-En desacuerdo-Recuento,B6-G-En desacuerdo-% del N de fila,B6-G-En desacuerdo-% de N columnas,B6-G-Totalmente en desacuerdo-Recuento,B6-G-Totalmente en desacuerdo-% del N de fila,B6-G-Totalmente en desacuerdo-% de N columnas,B6-G-No sé o no estoy seguro-Recuento,B6-G-No sé o no estoy seguro-% del N de fila,B6-G-No sé o no estoy seguro-% de N columnas,B6-H-Totalmente de acuerdo-Recuento,B6-H-Totalmente de acuerdo-% del N de fila,B6-H-Totalmente de acuerdo-% de N columnas,B6-H-De acuerdo-Recuento,B6-H-De acuerdo-% del N de fila,B6-H-De acuerdo-% de N columnas,B6-H-En desacuerdo-Recuento,B6-H-En desacuerdo-% del N de fila,B6-H-En desacuerdo-% de N columnas,B6-H-Totalmente en desacuerdo-Recuento,B6-H-Totalmente en desacuerdo-% del N de fila,B6-H-Totalmente en desacuerdo-% de N columnas,B6-H-No sé o no estoy seguro-Recuento,B6-H-No sé o no estoy seguro-% del N de fila,B6-H-No sé o no estoy seguro-% de N columnas,B6-I-Totalmente de acuerdo-Recuento,B6-I-Totalmente de acuerdo-% del N de fila,B6-I-Totalmente de acuerdo-% de N columnas,B6-I-De acuerdo-Recuento,B6-I-De acuerdo-% del N de fila,B6-I-De acuerdo-% de N columnas,B6-I-En desacuerdo-Recuento,B6-I-En desacuerdo-% del N de fila,B6-I-En desacuerdo-% de N columnas,B6-I-Totalmente en desacuerdo-Recuento,B6-I-Totalmente en desacuerdo-% del N de fila,B6-I-Totalmente en desacuerdo-% de N columnas,B6-I-No sé o no estoy seguro-Recuento,B6-I-No sé o no estoy seguro-% del N de fila,B6-I-No sé o no estoy seguro-% de N columnas
AGUASCALIENTES,104,0.182,0.05,390,0.684,0.05,43,0.075,0.044,5,0.009,0.049,28,0.049,0.053,131,0.23,0.049,381,0.668,0.05,39,0.068,0.05,6,0.011,0.076,13,0.023,0.049,156,0.274,0.05,360,0.632,0.049,37,0.065,0.059,5,0.009,0.056,12,0.021,0.06,183,0.321,0.052,348,0.611,0.048,28,0.049,0.058,5,0.009,0.077,6,0.011,0.042,124,0.218,0.049,381,0.668,0.049,30,0.053,0.049,6,0.011,0.103,29,0.051,0.069,181,0.318,0.045,347,0.609,0.052,29,0.051,0.058,8,0.014,0.107,5,0.009,0.036,225,0.395,0.047,328,0.575,0.051,12,0.021,0.059,4,0.007,0.118,1,0.002,0.022,147,0.258,0.044,361,0.633,0.051,39,0.068,0.064,4,0.007,0.063,19,0.033,0.053,118,0.207,0.046,381,0.668,0.051,46,0.081,0.058,3,0.005,0.033,22,0.039,0.045
BAJA CALIFORNIA,16,0.163,0.008,68,0.694,0.009,6,0.061,0.006,2,0.02,0.019,6,0.061,0.011,25,0.255,0.009,69,0.704,0.009,2,0.02,0.003,0,0,0,2,0.02,0.008,28,0.286,0.009,63,0.643,0.009,5,0.051,0.008,0,0,0,2,0.02,0.01,32,0.327,0.009,62,0.633,0.009,0,0,0,1,0.01,0.015,3,0.031,0.021,20,0.204,0.008,70,0.714,0.009,2,0.02,0.003,0,0,0,6,0.061,0.014,31,0.316,0.008,59,0.602,0.009,5,0.051,0.01,1,0.01,0.013,2,0.02,0.014,38,0.388,0.008,58,0.592,0.009,1,0.01,0.005,0,0,0,1,0.01,0.022,23,0.235,0.007,71,0.724,0.01,1,0.01,0.002,1,0.01,0.016,2,0.02,0.006,21,0.214,0.008,64,0.653,0.009,5,0.051,0.006,1,0.01,0.011,7,0.071,0.014
BAJA CALIFORNIA SUR,123,0.178,0.059,469,0.679,0.061,47,0.068,0.048,7,0.01,0.068,45,0.065,0.085,164,0.237,0.061,479,0.693,0.063,30,0.043,0.039,4,0.006,0.051,14,0.02,0.053,202,0.292,0.065,453,0.656,0.061,23,0.033,0.036,5,0.007,0.056,8,0.012,0.04,217,0.314,0.062,450,0.651,0.062,12,0.017,0.025,4,0.006,0.062,8,0.012,0.056,158,0.229,0.062,476,0.689,0.061,27,0.039,0.044,0,0,0,30,0.043,0.071,237,0.343,0.059,412,0.596,0.062,29,0.042,0.058,4,0.006,0.053,9,0.013,0.065,294,0.425,0.062,382,0.553,0.06,12,0.017,0.059,1,0.001,0.029,2,0.003,0.043,239,0.346,0.072,406,0.588,0.057,23,0.033,0.038,2,0.003,0.032,21,0.03,0.059,168,0.243,0.065,442,0.64,0.059,45,0.065,0.057,4,0.006,0.044,32,0.046,0.065
CAMPECHE,36,0.115,0.017,231,0.74,0.03,33,0.106,0.034,2,0.006,0.019,10,0.032,0.019,46,0.147,0.017,244,0.782,0.032,12,0.038,0.015,0,0,0,10,0.032,0.038,50,0.16,0.016,243,0.779,0.033,14,0.045,0.022,0,0,0,5,0.016,0.025,59,0.189,0.017,238,0.763,0.033,9,0.029,0.019,1,0.003,0.015,5,0.016,0.035,40,0.128,0.016,241,0.772,0.031,21,0.067,0.034,1,0.003,0.017,9,0.029,0.021,83,0.266,0.021,216,0.692,0.032,9,0.029,0.018,1,0.003,0.013,3,0.01,0.022,97,0.311,0.02,209,0.67,0.033,4,0.013,0.02,1,0.003,0.029,1,0.003,0.022,71,0.228,0.021,216,0.692,0.031,17,0.054,0.028,0,0,0,8,0.026,0.022,51,0.163,0.02,225,0.721,0.03,24,0.077,0.03,0,0,0,12,0.038,0.024
CHIAPAS,12,0.119,0.006,68,0.673,0.009,13,0.129,0.013,1,0.01,0.01,7,0.069,0.013,18,0.178,0.007,73,0.723,0.01,6,0.059,0.008,1,0.01,0.013,3,0.03,0.011,24,0.238,0.008,71,0.703,0.01,2,0.02,0.003,1,0.01,0.011,3,0.03,0.015,23,0.228,0.007,72,0.713,0.01,4,0.04,0.008,1,0.01,0.015,1,0.01,0.007,14,0.139,0.006,76,0.752,0.01,9,0.089,0.015,0,0,0,2,0.02,0.005,37,0.366,0.009,56,0.554,0.008,4,0.04,0.008,1,0.01,0.013,3,0.03,0.022,42,0.416,0.009,54,0.535,0.008,3,0.03,0.015,1,0.01,0.029,1,0.01,0.022,30,0.297,0.009,65,0.644,0.009,1,0.01,0.002,1,0.01,0.016,4,0.04,0.011,14,0.139,0.005,71,0.703,0.01,9,0.089,0.011,1,0.01,0.011,6,0.059,0.012
CHIHUAHUA,78,0.149,0.037,365,0.697,0.047,47,0.09,0.048,4,0.008,0.039,30,0.057,0.057,109,0.208,0.04,357,0.681,0.047,39,0.074,0.05,1,0.002,0.013,18,0.034,0.068,124,0.237,0.04,344,0.656,0.047,40,0.076,0.063,5,0.01,0.056,11,0.021,0.055,129,0.246,0.037,358,0.683,0.05,24,0.046,0.05,4,0.008,0.062,9,0.017,0.063,92,0.176,0.036,372,0.71,0.048,31,0.059,0.05,3,0.006,0.052,26,0.05,0.062,171,0.326,0.042,303,0.578,0.045,35,0.067,0.07,4,0.008,0.053,11,0.021,0.079,198,0.378,0.041,311,0.594,0.049,9,0.017,0.044,3,0.006,0.088,3,0.006,0.065,137,0.261,0.041,326,0.622,0.046,37,0.071,0.06,1,0.002,0.016,23,0.044,0.065,108,0.206,0.042,334,0.637,0.045,43,0.082,0.054,4,0.008,0.044,35,0.067,0.071
CIUDAD DE MÉXICO,129,0.152,0.062,561,0.66,0.072,101,0.119,0.104,17,0.02,0.165,42,0.049,0.08,167,0.196,0.062,557,0.655,0.073,96,0.113,0.124,7,0.008,0.089,23,0.027,0.087,190,0.224,0.061,560,0.659,0.076,72,0.085,0.114,8,0.009,0.089,20,0.024,0.1,242,0.285,0.069,528,0.621,0.073,63,0.074,0.13,6,0.007,0.092,11,0.013,0.077,169,0.199,0.067,569,0.669,0.073,72,0.085,0.117,6,0.007,0.103,34,0.04,0.081,298,0.351,0.074,495,0.582,0.074,40,0.047,0.08,5,0.006,0.067,12,0.014,0.086,338,0.398,0.071,489,0.575,0.077,18,0.021,0.089,1,0.001,0.029,4,0.005,0.087,201,0.236,0.06,535,0.629,0.076,70,0.082,0.114,9,0.011,0.143,35,0.041,0.098,158,0.186,0.061,537,0.632,0.072,91,0.107,0.114,15,0.018,0.165,49,0.058,0.099
COAHUILA,51,0.256,0.024,130,0.653,0.017,12,0.06,0.012,1,0.005,0.01,5,0.025,0.009,55,0.276,0.02,125,0.628,0.016,14,0.07,0.018,2,0.01,0.025,3,0.015,0.011,63,0.317,0.02,117,0.588,0.016,13,0.065,0.021,1,0.005,0.011,5,0.025,0.025,71,0.357,0.02,111,0.558,0.015,13,0.065,0.027,0,0,0,4,0.02,0.028,56,0.281,0.022,128,0.643,0.016,10,0.05,0.016,0,0,0,5,0.025,0.012,69,0.347,0.017,116,0.583,0.017,10,0.05,0.02,4,0.02,0.053,0,0,0,76,0.382,0.016,116,0.583,0.018,7,0.035,0.034,0,0,0,0,0,0,62,0.312,0.019,120,0.603,0.017,11,0.055,0.018,2,0.01,0.032,4,0.02,0.011,52,0.261,0.02,123,0.618,0.016,14,0.07,0.018,4,0.02,0.044,6,0.03,0.012
COLIMA,108,0.216,0.052,324,0.647,0.042,36,0.072,0.037,8,0.016,0.078,25,0.05,0.047,132,0.263,0.049,327,0.653,0.043,27,0.054,0.035,5,0.01,0.063,10,0.02,0.038,143,0.285,0.046,328,0.655,0.044,19,0.038,0.03,5,0.01,0.056,6,0.012,0.03,177,0.353,0.05,300,0.599,0.042,15,0.03,0.031,3,0.006,0.046,6,0.012,0.042,134,0.267,0.053,321,0.641,0.041,26,0.052,0.042,5,0.01,0.086,15,0.03,0.036,184,0.367,0.046,289,0.577,0.043,17,0.034,0.034,5,0.01,0.067,6,0.012,0.043,227,0.453,0.048,263,0.525,0.041,6,0.012,0.03,3,0.006,0.088,2,0.004,0.043,168,0.335,0.05,290,0.579,0.041,22,0.044,0.036,5,0.01,0.079,16,0.032,0.045,135,0.269,0.052,310,0.619,0.042,26,0.052,0.033,5,0.01,0.055,25,0.05,0.051
DURANGO,75,0.202,0.036,241,0.65,0.031,38,0.102,0.039,4,0.011,0.039,13,0.035,0.025,98,0.264,0.036,251,0.677,0.033,17,0.046,0.022,3,0.008,0.038,2,0.005,0.008,112,0.302,0.036,236,0.636,0.032,15,0.04,0.024,4,0.011,0.044,4,0.011,0.02,126,0.34,0.036,232,0.625,0.032,11,0.03,0.023,0,0,0,2,0.005,0.014,85,0.229,0.033,255,0.687,0.033,20,0.054,0.032,0,0,0,11,0.03,0.026,139,0.375,0.034,209,0.563,0.031,16,0.043,0.032,1,0.003,0.013,6,0.016,0.043,163,0.439,0.034,201,0.542,0.032,6,0.016,0.03,0,0,0,1,0.003,0.022,108,0.291,0.032,237,0.639,0.034,17,0.046,0.028,1,0.003,0.016,8,0.022,0.022,95,0.256,0.037,232,0.625,0.031,29,0.078,0.036,3,0.008,0.033,12,0.032,0.024
