Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
AGUASCALIENTES,207,0.36,0.06,321,0.56,0.05,41,0.07,0.05,1,0,0.02,205,0.36,0.06,322,0.57,0.05,41,0.07,0.06,2,0,0.05,215,0.38,0.05,288,0.51,0.05,58,0.1,0.05,9,0.02,0.04,231,0.41,0.05,306,0.54,0.05,32,0.06,0.05,1,0,0.02,222,0.39,0.05,299,0.53,0.05,43,0.08,0.05,6,0.01,0.06,248,0.44,0.05,291,0.51,0.05,30,0.05,0.05,1,0,0.01,219,0.38,0.05,305,0.54,0.05,44,0.08,0.06,2,0,0.03,188,0.33,0.05,322,0.57,0.05,54,0.1,0.05,6,0.01,0.06
BAJA CALIFORNIA,26,0.27,0.01,64,0.67,0.01,5,0.05,0.01,1,0.01,0.02,33,0.34,0.01,57,0.59,0.01,5,0.05,0.01,1,0.01,0.03,35,0.37,0.01,50,0.52,0.01,8,0.08,0.01,3,0.03,0.01,41,0.43,0.01,49,0.51,0.01,5,0.05,0.01,1,0.01,0.02,37,0.39,0.01,54,0.56,0.01,4,0.04,0.01,1,0.01,0.01,38,0.4,0.01,52,0.54,0.01,5,0.05,0.01,1,0.01,0.01,39,0.41,0.01,54,0.56,0.01,2,0.02,0,1,0.01,0.02,30,0.31,0.01,58,0.6,0.01,7,0.07,0.01,1,0.01,0.01
BAJA CALIFORNIA SUR,253,0.37,0.07,384,0.56,0.06,51,0.07,0.06,3,0,0.07,264,0.38,0.07,390,0.56,0.06,37,0.05,0.05,0,0,0,278,0.4,0.07,333,0.48,0.06,68,0.1,0.05,12,0.02,0.05,293,0.42,0.06,354,0.51,0.06,43,0.06,0.06,1,0,0.02,279,0.4,0.06,361,0.52,0.06,48,0.07,0.06,3,0,0.03,298,0.43,0.06,354,0.51,0.06,38,0.06,0.07,1,0,0.01,281,0.41,0.07,369,0.53,0.06,39,0.06,0.06,2,0,0.03,257,0.37,0.07,380,0.55,0.06,52,0.08,0.05,2,0,0.02
CAMPECHE,80,0.26,0.02,204,0.66,0.03,24,0.08,0.03,3,0.01,0.07,80,0.26,0.02,211,0.68,0.03,20,0.06,0.03,0,0,0,81,0.26,0.02,195,0.63,0.03,33,0.11,0.03,2,0.01,0.01,91,0.29,0.02,205,0.66,0.03,14,0.05,0.02,1,0,0.02,83,0.27,0.02,210,0.68,0.03,16,0.05,0.02,2,0.01,0.02,97,0.31,0.02,199,0.64,0.03,13,0.04,0.02,2,0.01,0.02,82,0.26,0.02,212,0.68,0.03,17,0.06,0.02,0,0,0,67,0.22,0.02,216,0.7,0.03,27,0.09,0.03,1,0,0.01
CHIAPAS,17,0.17,0,67,0.67,0.01,16,0.16,0.02,0,0,0,18,0.18,0.01,70,0.7,0.01,12,0.12,0.02,0,0,0,20,0.2,0.01,49,0.49,0.01,23,0.23,0.02,8,0.08,0.03,25,0.25,0.01,64,0.64,0.01,9,0.09,0.01,2,0.02,0.03,23,0.23,0.01,60,0.6,0.01,14,0.14,0.02,3,0.03,0.03,27,0.27,0.01,62,0.62,0.01,10,0.1,0.02,1,0.01,0.01,16,0.16,0,69,0.69,0.01,15,0.15,0.02,0,0,0,15,0.15,0,73,0.73,0.01,11,0.11,0.01,1,0.01,0.01
CHIHUAHUA,148,0.28,0.04,328,0.62,0.05,47,0.09,0.06,3,0.01,0.07,159,0.3,0.04,333,0.63,0.05,30,0.06,0.04,4,0.01,0.1,171,0.33,0.04,285,0.54,0.05,56,0.11,0.05,14,0.03,0.06,192,0.37,0.04,303,0.58,0.05,25,0.05,0.04,6,0.01,0.09,172,0.33,0.04,311,0.59,0.05,34,0.07,0.04,9,0.02,0.09,198,0.38,0.04,294,0.56,0.05,28,0.05,0.05,6,0.01,0.07,184,0.35,0.04,312,0.59,0.05,27,0.05,0.04,3,0.01,0.05,155,0.3,0.04,322,0.61,0.05,45,0.09,0.05,4,0.01,0.04
CIUDAD DE MÉXICO,223,0.26,0.06,555,0.65,0.08,74,0.09,0.09,3,0,0.07,221,0.26,0.06,549,0.64,0.08,84,0.1,0.12,1,0,0.03,245,0.29,0.06,464,0.54,0.08,119,0.14,0.1,27,0.03,0.12,290,0.34,0.06,472,0.55,0.08,83,0.1,0.12,10,0.01,0.15,271,0.32,0.06,471,0.55,0.08,104,0.12,0.12,9,0.01,0.09,280,0.33,0.06,497,0.58,0.08,67,0.08,0.12,11,0.01,0.13,240,0.28,0.06,541,0.63,0.08,68,0.08,0.1,6,0.01,0.1,211,0.25,0.06,538,0.63,0.08,94,0.11,0.09,12,0.01,0.12
COAHUILA,84,0.43,0.02,104,0.53,0.02,8,0.04,0.01,1,0.01,0.02,79,0.4,0.02,109,0.55,0.02,7,0.04,0.01,2,0.01,0.05,82,0.42,0.02,97,0.49,0.02,16,0.08,0.01,2,0.01,0.01,84,0.43,0.02,105,0.53,0.02,7,0.04,0.01,1,0.01,0.02,91,0.46,0.02,98,0.5,0.02,7,0.04,0.01,1,0.01,0.01,91,0.46,0.02,101,0.51,0.02,3,0.02,0.01,2,0.01,0.02,80,0.41,0.02,109,0.55,0.02,7,0.04,0.01,1,0.01,0.02,78,0.4,0.02,109,0.55,0.02,9,0.05,0.01,1,0.01,0.01
COLIMA,214,0.43,0.06,257,0.51,0.04,28,0.06,0.03,1,0,0.02,219,0.44,0.06,266,0.53,0.04,14,0.03,0.02,1,0,0.03,224,0.45,0.06,225,0.45,0.04,45,0.09,0.04,6,0.01,0.03,233,0.47,0.05,237,0.47,0.04,29,0.06,0.04,1,0,0.02,227,0.45,0.05,240,0.48,0.04,28,0.06,0.03,5,0.01,0.05,243,0.49,0.05,235,0.47,0.04,19,0.04,0.03,3,0.01,0.04,223,0.45,0.05,256,0.51,0.04,20,0.04,0.03,1,0,0.02,193,0.39,0.05,265,0.53,0.04,36,0.07,0.04,6,0.01,0.06
DURANGO,104,0.28,0.03,239,0.64,0.04,26,0.07,0.03,2,0.01,0.05,99,0.27,0.03,243,0.66,0.04,27,0.07,0.04,2,0.01,0.05,139,0.38,0.03,183,0.49,0.03,38,0.1,0.03,11,0.03,0.05,146,0.39,0.03,199,0.54,0.03,23,0.06,0.03,3,0.01,0.05,140,0.38,0.03,198,0.53,0.03,29,0.08,0.03,4,0.01,0.04,160,0.43,0.03,185,0.5,0.03,23,0.06,0.04,3,0.01,0.04,133,0.36,0.03,208,0.56,0.03,29,0.08,0.04,1,0,0.02,120,0.32,0.03,210,0.57,0.03,39,0.11,0.04,2,0.01,0.02
