Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas
AGUASCALIENTES,351,0.62,0.05,220,0.39,0.05,388,0.68,0.05,183,0.32,0.05,403,0.71,0.05,168,0.29,0.05,454,0.8,0.05,117,0.21,0.05,439,0.77,0.05,132,0.23,0.05,432,0.76,0.05,139,0.24,0.05,470,0.82,0.05,101,0.18,0.04
BAJA CALIFORNIA,56,0.57,0.01,42,0.43,0.01,63,0.64,0.01,35,0.36,0.01,62,0.63,0.01,36,0.37,0.01,75,0.77,0.01,23,0.24,0.01,73,0.75,0.01,25,0.26,0.01,70,0.71,0.01,28,0.29,0.01,79,0.81,0.01,19,0.19,0.01
BAJA CALIFORNIA SUR,422,0.61,0.06,268,0.39,0.07,454,0.66,0.06,236,0.34,0.07,516,0.75,0.06,174,0.25,0.06,544,0.79,0.06,146,0.21,0.06,520,0.75,0.06,170,0.25,0.06,507,0.74,0.06,183,0.27,0.06,540,0.78,0.06,150,0.22,0.06
CAMPECHE,222,0.71,0.03,91,0.29,0.02,238,0.76,0.03,75,0.24,0.02,233,0.74,0.03,80,0.26,0.03,266,0.85,0.03,47,0.15,0.02,259,0.83,0.03,54,0.17,0.02,250,0.8,0.03,63,0.2,0.02,268,0.86,0.03,45,0.14,0.02
CHIAPAS,72,0.72,0.01,28,0.28,0.01,80,0.8,0.01,20,0.2,0.01,79,0.79,0.01,21,0.21,0.01,76,0.76,0.01,24,0.24,0.01,80,0.8,0.01,20,0.2,0.01,80,0.8,0.01,20,0.2,0.01,87,0.87,0.01,13,0.13,0.01
CHIHUAHUA,346,0.66,0.05,180,0.34,0.04,386,0.73,0.05,140,0.27,0.04,388,0.74,0.05,138,0.26,0.04,412,0.78,0.05,114,0.22,0.05,418,0.8,0.05,108,0.21,0.04,401,0.76,0.05,125,0.24,0.04,425,0.81,0.05,101,0.19,0.04
CIUDAD DE MÉXICO,538,0.63,0.07,313,0.37,0.08,562,0.66,0.07,289,0.34,0.08,633,0.74,0.08,218,0.26,0.07,668,0.79,0.07,183,0.22,0.08,627,0.74,0.07,224,0.26,0.08,625,0.73,0.07,226,0.27,0.08,646,0.76,0.07,205,0.24,0.09
COAHUILA,118,0.59,0.02,81,0.41,0.02,127,0.64,0.02,72,0.36,0.02,139,0.7,0.02,60,0.3,0.02,157,0.79,0.02,42,0.21,0.02,150,0.75,0.02,49,0.25,0.02,142,0.71,0.02,57,0.29,0.02,151,0.76,0.02,48,0.24,0.02
COLIMA,284,0.57,0.04,217,0.43,0.05,302,0.6,0.04,199,0.4,0.06,349,0.7,0.04,152,0.3,0.05,379,0.76,0.04,122,0.24,0.05,357,0.71,0.04,144,0.29,0.05,336,0.67,0.04,165,0.33,0.06,371,0.74,0.04,130,0.26,0.06
DURANGO,258,0.7,0.04,113,0.31,0.03,283,0.76,0.04,88,0.24,0.03,278,0.75,0.03,93,0.25,0.03,299,0.81,0.03,72,0.19,0.03,301,0.81,0.03,70,0.19,0.03,294,0.79,0.03,77,0.21,0.03,313,0.84,0.03,58,0.16,0.03
ESTADO DE MÉXICO,351,0.71,0.05,146,0.29,0.04,375,0.76,0.05,122,0.25,0.03,377,0.76,0.05,120,0.24,0.04,392,0.79,0.04,105,0.21,0.04,374,0.75,0.04,123,0.25,0.05,381,0.77,0.05,116,0.23,0.04,398,0.8,0.04,99,0.2,0.04
GUANAJUATO,226,0.61,0.03,144,0.39,0.04,235,0.64,0.03,135,0.37,0.04,252,0.68,0.03,118,0.32,0.04,294,0.8,0.03,76,0.21,0.03,276,0.75,0.03,94,0.25,0.04,274,0.74,0.03,96,0.26,0.03,279,0.75,0.03,91,0.25,0.04
GUERRERO,17,0.85,0,3,0.15,0,17,0.85,0,3,0.15,0,14,0.7,0,6,0.3,0,14,0.7,0,6,0.3,0,12,0.6,0,8,0.4,0,17,0.85,0,3,0.15,0,16,0.8,0,4,0.2,0
HIDALGO,213,0.65,0.03,116,0.35,0.03,239,0.73,0.03,90,0.27,0.03,236,0.72,0.03,93,0.28,0.03,262,0.8,0.03,67,0.2,0.03,254,0.77,0.03,75,0.23,0.03,250,0.76,0.03,79,0.24,0.03,258,0.78,0.03,71,0.22,0.03
JALISCO,133,0.56,0.02,106,0.44,0.03,159,0.67,0.02,80,0.34,0.02,164,0.69,0.02,75,0.31,0.02,187,0.78,0.02,52,0.22,0.02,183,0.77,0.02,56,0.23,0.02,171,0.72,0.02,68,0.29,0.02,191,0.8,0.02,48,0.2,0.02
MICHOACÁN,22,0.6,0,15,0.41,0,30,0.81,0,7,0.19,0,25,0.68,0,12,0.32,0,31,0.84,0,6,0.16,0,27,0.73,0,10,0.27,0,26,0.7,0,11,0.3,0,30,0.81,0,7,0.19,0
MORELOS,247,0.69,0.03,113,0.31,0.03,248,0.69,0.03,112,0.31,0.03,251,0.7,0.03,109,0.3,0.04,291,0.81,0.03,69,0.19,0.03,270,0.75,0.03,90,0.25,0.03,262,0.73,0.03,98,0.27,0.03,282,0.78,0.03,78,0.22,0.03
