Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas
AGUASCALIENTES,494,0.87,0.05,77,0.14,0.04,452,0.79,0.05,119,0.21,0.06,435,0.76,0.05,136,0.24,0.06,368,0.64,0.05,203,0.36,0.05,520,0.91,0.05,51,0.09,0.05,519,0.91,0.05,52,0.09,0.06,456,0.8,0.05,115,0.2,0.04,392,0.69,0.05,179,0.31,0.05,490,0.86,0.05,81,0.14,0.05
BAJA CALIFORNIA,93,0.95,0.01,5,0.05,0,86,0.88,0.01,12,0.12,0.01,79,0.81,0.01,19,0.19,0.01,59,0.6,0.01,39,0.4,0.01,89,0.91,0.01,9,0.09,0.01,93,0.95,0.01,5,0.05,0.01,79,0.81,0.01,19,0.19,0.01,77,0.79,0.01,21,0.21,0.01,86,0.88,0.01,12,0.12,0.01
BAJA CALIFORNIA SUR,572,0.83,0.06,118,0.17,0.06,556,0.81,0.06,134,0.19,0.07,537,0.78,0.06,153,0.22,0.07,406,0.59,0.06,284,0.41,0.07,621,0.9,0.06,69,0.1,0.06,623,0.9,0.06,67,0.1,0.07,506,0.73,0.06,184,0.27,0.07,473,0.69,0.06,217,0.31,0.06,595,0.86,0.06,95,0.14,0.06
CAMPECHE,261,0.83,0.03,52,0.17,0.03,264,0.84,0.03,49,0.16,0.03,262,0.84,0.03,51,0.16,0.02,221,0.71,0.03,92,0.29,0.02,290,0.93,0.03,23,0.07,0.02,293,0.94,0.03,20,0.06,0.02,236,0.75,0.03,77,0.25,0.03,227,0.73,0.03,86,0.28,0.03,261,0.83,0.03,52,0.17,0.03
CHIAPAS,51,0.51,0.01,49,0.49,0.03,73,0.73,0.01,27,0.27,0.01,68,0.68,0.01,32,0.32,0.01,60,0.6,0.01,40,0.4,0.01,81,0.81,0.01,19,0.19,0.02,84,0.84,0.01,16,0.16,0.02,68,0.68,0.01,32,0.32,0.01,69,0.69,0.01,31,0.31,0.01,67,0.67,0.01,33,0.33,0.02
CHIHUAHUA,428,0.81,0.05,98,0.19,0.05,429,0.82,0.05,97,0.18,0.05,411,0.78,0.05,115,0.22,0.05,359,0.68,0.05,167,0.32,0.04,475,0.9,0.05,51,0.1,0.05,498,0.95,0.05,28,0.05,0.03,406,0.77,0.05,120,0.23,0.05,354,0.67,0.04,172,0.33,0.05,427,0.81,0.04,99,0.19,0.06
CIUDAD DE MÉXICO,729,0.86,0.08,122,0.14,0.06,752,0.88,0.08,99,0.12,0.05,719,0.85,0.08,132,0.16,0.06,498,0.59,0.07,353,0.42,0.09,733,0.86,0.07,118,0.14,0.1,781,0.92,0.07,70,0.08,0.08,620,0.73,0.07,231,0.27,0.09,548,0.64,0.07,303,0.36,0.09,693,0.81,0.07,158,0.19,0.09
COAHUILA,167,0.84,0.02,32,0.16,0.02,167,0.84,0.02,32,0.16,0.02,166,0.83,0.02,33,0.17,0.01,142,0.71,0.02,57,0.29,0.01,189,0.95,0.02,10,0.05,0.01,186,0.94,0.02,13,0.07,0.01,169,0.85,0.02,30,0.15,0.01,160,0.8,0.02,39,0.2,0.01,179,0.9,0.02,20,0.1,0.01
COLIMA,414,0.83,0.04,87,0.17,0.05,400,0.8,0.04,101,0.2,0.05,389,0.78,0.04,112,0.22,0.05,347,0.69,0.05,154,0.31,0.04,457,0.91,0.04,44,0.09,0.04,463,0.92,0.04,38,0.08,0.04,412,0.82,0.05,89,0.18,0.03,372,0.74,0.05,129,0.26,0.04,445,0.89,0.05,56,0.11,0.03
DURANGO,283,0.76,0.03,88,0.24,0.05,268,0.72,0.03,103,0.28,0.05,269,0.73,0.03,102,0.28,0.04,227,0.61,0.03,144,0.39,0.04,329,0.89,0.03,42,0.11,0.04,316,0.85,0.03,55,0.15,0.06,283,0.76,0.03,88,0.24,0.03,255,0.69,0.03,116,0.31,0.03,311,0.84,0.03,60,0.16,0.04
ESTADO DE MÉXICO,441,0.89,0.05,56,0.11,0.03,437,0.88,0.05,60,0.12,0.03,419,0.84,0.05,78,0.16,0.03,371,0.75,0.05,126,0.25,0.03,447,0.9,0.04,50,0.1,0.04,466,0.94,0.04,31,0.06,0.03,414,0.83,0.05,83,0.17,0.03,387,0.78,0.05,110,0.22,0.03,438,0.88,0.05,59,0.12,0.03
GUANAJUATO,316,0.85,0.03,54,0.15,0.03,321,0.87,0.03,49,0.13,0.03,309,0.84,0.03,61,0.17,0.03,254,0.69,0.03,116,0.31,0.03,342,0.92,0.03,28,0.08,0.02,345,0.93,0.03,25,0.07,0.03,275,0.74,0.03,95,0.26,0.04,253,0.68,0.03,117,0.32,0.03,332,0.9,0.03,38,0.1,0.02
GUERRERO,13,0.65,0,7,0.35,0,15,0.75,0,5,0.25,0,15,0.75,0,5,0.25,0,14,0.7,0,6,0.3,0,19,0.95,0,1,0.05,0,19,0.95,0,1,0.05,0,15,0.75,0,5,0.25,0,15,0.75,0,5,0.25,0,16,0.8,0,4,0.2,0
HIDALGO,281,0.85,0.03,48,0.15,0.03,283,0.86,0.03,46,0.14,0.02,281,0.85,0.03,48,0.15,0.02,208,0.63,0.03,121,0.37,0.03,300,0.91,0.03,29,0.09,0.03,307,0.93,0.03,22,0.07,0.02,264,0.8,0.03,65,0.2,0.03,226,0.69,0.03,103,0.31,0.03,276,0.84,0.03,53,0.16,0.03
JALISCO,190,0.8,0.02,49,0.21,0.03,206,0.86,0.02,33,0.14,0.02,193,0.81,0.02,46,0.19,0.02,133,0.56,0.02,106,0.44,0.03,210,0.88,0.02,29,0.12,0.03,217,0.91,0.02,22,0.09,0.02,207,0.87,0.02,32,0.13,0.01,155,0.65,0.02,84,0.35,0.02,209,0.87,0.02,30,0.13,0.02
MICHOACÁN,31,0.84,0,6,0.16,0,32,0.87,0,5,0.14,0,30,0.81,0,7,0.19,0,24,0.65,0,13,0.35,0,33,0.89,0,4,0.11,0,36,0.97,0,1,0.03,0,28,0.76,0,9,0.24,0,23,0.62,0,14,0.38,0,32,0.87,0,5,0.14,0
MORELOS,288,0.8,0.03,72,0.2,0.04,285,0.79,0.03,75,0.21,0.04,273,0.76,0.03,87,0.24,0.04,237,0.66,0.03,123,0.34,0.03,318,0.88,0.03,42,0.12,0.04,329,0.91,0.03,31,0.09,0.03,259,0.72,0.03,101,0.28,0.04,248,0.69,0.03,112,0.31,0.03,296,0.82,0.03,64,0.18,0.04
NAYARIT,359,0.81,0.04,87,0.2,0.05,352,0.79,0.04,94,0.21,0.05,327,0.73,0.04,119,0.27,0.05,269,0.6,0.04,177,0.4,0.04,397,0.89,0.04,49,0.11,0.04,398,0.89,0.04,48,0.11,0.05,328,0.74,0.04,118,0.27,0.05,280,0.63,0.04,166,0.37,0.05,362,0.81,0.04,84,0.19,0.05
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
