Variable,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
AGUASCALIENTES,312,0.55,0.05,197,0.34,0.06,62,0.11,0.04,2,0,0.03,340,0.59,0.05,199,0.35,0.05,34,0.06,0.04,0,0,0,70,0.12,0.05,77,0.13,0.05,241,0.42,0.05,185,0.32,0.05,265,0.46,0.05,221,0.39,0.05,81,0.14,0.05,6,0.01,0.06,279,0.49,0.05,219,0.38,0.05,71,0.12,0.05,4,0.01,0.04,62,0.11,0.05,94,0.16,0.05,190,0.33,0.04,227,0.4,0.06,262,0.46,0.05,221,0.39,0.05,81,0.14,0.05,9,0.02,0.04,241,0.42,0.05,235,0.41,0.05,93,0.16,0.06,4,0.01,0.03,264,0.46,0.05,251,0.44,0.05,55,0.1,0.05,3,0.01,0.04,289,0.5,0.05,222,0.39,0.05,61,0.11,0.05,1,0,0.01,278,0.49,0.05,226,0.39,0.05,65,0.11,0.05,4,0.01,0.03
BAJA CALIFORNIA,65,0.64,0.01,28,0.28,0.01,8,0.08,0.01,0,0,0,71,0.7,0.01,29,0.29,0.01,1,0.01,0,0,0,0,11,0.11,0.01,7,0.07,0,42,0.42,0.01,41,0.41,0.01,57,0.56,0.01,34,0.34,0.01,10,0.1,0.01,0,0,0,55,0.55,0.01,39,0.39,0.01,7,0.07,0.01,0,0,0,9,0.09,0.01,14,0.14,0.01,39,0.39,0.01,39,0.39,0.01,51,0.51,0.01,39,0.39,0.01,11,0.11,0.01,0,0,0,55,0.55,0.01,37,0.37,0.01,9,0.09,0.01,0,0,0,51,0.51,0.01,42,0.42,0.01,6,0.06,0.01,2,0.02,0.03,60,0.59,0.01,37,0.37,0.01,4,0.04,0,0,0,0,55,0.55,0.01,39,0.39,0.01,7,0.07,0.01,0,0,0
BAJA CALIFORNIA SUR,409,0.59,0.06,222,0.32,0.06,58,0.08,0.04,2,0,0.03,449,0.65,0.07,220,0.32,0.06,21,0.03,0.03,1,0,0.03,82,0.12,0.05,76,0.11,0.05,328,0.48,0.07,205,0.3,0.06,347,0.5,0.06,276,0.4,0.07,66,0.1,0.04,2,0,0.02,302,0.44,0.06,314,0.45,0.07,73,0.11,0.05,2,0,0.02,62,0.09,0.05,108,0.16,0.06,269,0.39,0.06,252,0.37,0.06,312,0.45,0.06,307,0.44,0.07,68,0.1,0.04,4,0.01,0.02,277,0.4,0.06,337,0.49,0.07,73,0.11,0.04,4,0.01,0.03,300,0.43,0.05,332,0.48,0.07,58,0.08,0.05,1,0,0.01,348,0.5,0.06,299,0.43,0.07,42,0.06,0.04,2,0,0.02,339,0.49,0.06,297,0.43,0.07,52,0.08,0.04,3,0,0.02
CAMPECHE,155,0.5,0.02,106,0.34,0.03,51,0.16,0.04,0,0,0,177,0.57,0.03,112,0.36,0.03,23,0.07,0.03,0,0,0,47,0.15,0.03,44,0.14,0.03,136,0.44,0.03,85,0.27,0.03,139,0.45,0.03,114,0.37,0.03,55,0.18,0.03,4,0.01,0.04,121,0.39,0.02,147,0.47,0.03,42,0.14,0.03,2,0.01,0.02,33,0.11,0.03,53,0.17,0.03,118,0.38,0.03,108,0.35,0.03,121,0.39,0.02,132,0.42,0.03,51,0.16,0.03,8,0.03,0.04,115,0.37,0.02,143,0.46,0.03,49,0.16,0.03,5,0.02,0.04,143,0.46,0.03,138,0.44,0.03,30,0.1,0.03,1,0,0.01,145,0.47,0.03,133,0.43,0.03,32,0.1,0.03,2,0.01,0.02,138,0.44,0.03,140,0.45,0.03,30,0.1,0.02,4,0.01,0.03
CHIAPAS,43,0.43,0.01,36,0.36,0.01,22,0.22,0.02,0,0,0,49,0.49,0.01,39,0.39,0.01,13,0.13,0.02,0,0,0,10,0.1,0.01,12,0.12,0.01,53,0.53,0.01,26,0.26,0.01,36,0.36,0.01,32,0.32,0.01,33,0.33,0.02,0,0,0,30,0.3,0.01,46,0.46,0.01,24,0.24,0.02,1,0.01,0.01,3,0.03,0,11,0.11,0.01,50,0.5,0.01,37,0.37,0.01,33,0.33,0.01,47,0.47,0.01,19,0.19,0.01,2,0.02,0.01,37,0.37,0.01,46,0.46,0.01,18,0.18,0.01,0,0,0,46,0.46,0.01,40,0.4,0.01,15,0.15,0.01,0,0,0,48,0.48,0.01,36,0.36,0.01,16,0.16,0.01,1,0.01,0.01,40,0.4,0.01,46,0.46,0.01,14,0.14,0.01,1,0.01,0.01
CHIHUAHUA,303,0.58,0.05,151,0.29,0.04,70,0.13,0.05,2,0,0.03,285,0.54,0.04,198,0.38,0.05,42,0.08,0.05,1,0,0.03,98,0.19,0.06,100,0.19,0.06,200,0.38,0.04,128,0.24,0.04,268,0.51,0.05,180,0.34,0.04,73,0.14,0.04,5,0.01,0.05,243,0.46,0.05,212,0.4,0.05,68,0.13,0.05,3,0.01,0.03,71,0.14,0.06,103,0.2,0.06,200,0.38,0.05,152,0.29,0.04,231,0.44,0.05,218,0.41,0.05,66,0.13,0.04,11,0.02,0.05,211,0.4,0.04,233,0.44,0.05,76,0.14,0.05,6,0.01,0.04,246,0.47,0.04,221,0.42,0.05,55,0.11,0.05,4,0.01,0.06,266,0.51,0.05,203,0.39,0.05,53,0.1,0.05,4,0.01,0.05,262,0.5,0.05,195,0.37,0.04,64,0.12,0.05,5,0.01,0.04
CIUDAD DE MÉXICO,354,0.41,0.06,319,0.37,0.09,168,0.2,0.12,14,0.02,0.21,395,0.46,0.06,361,0.42,0.1,93,0.11,0.12,6,0.01,0.17,129,0.15,0.08,190,0.22,0.11,404,0.47,0.08,132,0.15,0.04,254,0.3,0.05,348,0.41,0.08,238,0.28,0.14,15,0.02,0.14,286,0.34,0.05,387,0.45,0.09,168,0.2,0.12,14,0.02,0.14,78,0.09,0.06,181,0.21,0.1,383,0.45,0.09,213,0.25,0.05,267,0.31,0.05,355,0.42,0.08,214,0.25,0.13,19,0.02,0.09,239,0.28,0.05,392,0.46,0.08,207,0.24,0.13,17,0.02,0.12,298,0.35,0.05,414,0.48,0.09,135,0.16,0.12,8,0.01,0.11,315,0.37,0.05,388,0.45,0.09,140,0.16,0.12,12,0.01,0.15,283,0.33,0.05,350,0.41,0.08,202,0.24,0.15,20,0.02,0.16
COAHUILA,131,0.66,0.02,58,0.29,0.02,8,0.04,0.01,1,0.01,0.02,138,0.7,0.02,50,0.25,0.01,9,0.05,0.01,1,0.01,0.03,31,0.16,0.02,23,0.12,0.01,63,0.32,0.01,81,0.41,0.02,119,0.6,0.02,67,0.34,0.02,10,0.05,0.01,2,0.01,0.02,127,0.64,0.02,61,0.31,0.01,9,0.05,0.01,1,0.01,0.01,30,0.15,0.02,32,0.16,0.02,59,0.3,0.01,77,0.39,0.02,114,0.58,0.02,58,0.29,0.01,23,0.12,0.01,3,0.02,0.01,106,0.54,0.02,78,0.39,0.02,12,0.06,0.01,2,0.01,0.01,114,0.58,0.02,76,0.38,0.02,7,0.04,0.01,1,0.01,0.01,118,0.6,0.02,68,0.34,0.02,10,0.05,0.01,2,0.01,0.02,115,0.58,0.02,70,0.35,0.02,10,0.05,0.01,3,0.02,0.02
COLIMA,363,0.73,0.06,105,0.21,0.03,30,0.06,0.02,2,0,0.03,380,0.76,0.06,97,0.19,0.03,22,0.04,0.03,1,0,0.03,83,0.17,0.05,57,0.11,0.03,159,0.32,0.03,201,0.4,0.06,298,0.6,0.06,163,0.33,0.04,36,0.07,0.02,3,0.01,0.03,316,0.63,0.06,154,0.31,0.03,28,0.06,0.02,2,0,0.02,76,0.15,0.06,63,0.13,0.04,148,0.3,0.03,213,0.43,0.05,303,0.61,0.06,153,0.31,0.04,38,0.08,0.02,6,0.01,0.03,281,0.56,0.06,174,0.35,0.04,42,0.08,0.03,3,0.01,0.02,283,0.57,0.05,182,0.36,0.04,32,0.06,0.03,3,0.01,0.04,322,0.64,0.06,150,0.3,0.03,27,0.05,0.02,1,0,0.01,322,0.64,0.06,148,0.3,0.03,29,0.06,0.02,1,0,0.01
DURANGO,207,0.56,0.03,108,0.29,0.03,55,0.15,0.04,1,0,0.02,197,0.53,0.03,138,0.37,0.04,34,0.09,0.04,2,0.01,0.06,67,0.18,0.04,47,0.13,0.03,152,0.41,0.03,105,0.28,0.03,162,0.44,0.03,137,0.37,0.03,67,0.18,0.04,5,0.01,0.05,169,0.46,0.03,148,0.4,0.03,50,0.14,0.04,4,0.01,0.04,56,0.15,0.05,67,0.18,0.04,140,0.38,0.03,108,0.29,0.03,147,0.4,0.03,137,0.37,0.03,76,0.21,0.05,11,0.03,0.05,136,0.37,0.03,162,0.44,0.03,65,0.18,0.04,8,0.02,0.06,173,0.47,0.03,151,0.41,0.03,45,0.12,0.04,2,0.01,0.03,172,0.46,0.03,142,0.38,0.03,54,0.15,0.05,3,0.01,0.04,159,0.43,0.03,151,0.41,0.03,54,0.15,0.04,7,0.02,0.06
