Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas
AGUASCALIENTES,519,0.91,0.05,54,0.09,0.04,396,0.69,0.05,177,0.31,0.04,266,0.46,0.04,307,0.54,0.06,516,0.9,0.05,57,0.1,0.04,399,0.7,0.06,174,0.3,0.04,310,0.54,0.06,263,0.46,0.04
BAJA CALIFORNIA,92,0.91,0.01,9,0.09,0.01,61,0.6,0.01,40,0.4,0.01,68,0.67,0.01,33,0.33,0.01,92,0.91,0.01,9,0.09,0.01,82,0.81,0.01,19,0.19,0,52,0.52,0.01,49,0.49,0.01
BAJA CALIFORNIA SUR,641,0.93,0.06,50,0.07,0.04,512,0.74,0.07,179,0.26,0.05,422,0.61,0.06,269,0.39,0.06,636,0.92,0.06,55,0.08,0.04,541,0.78,0.08,150,0.22,0.03,431,0.62,0.09,260,0.38,0.04
CAMPECHE,253,0.81,0.03,59,0.19,0.05,207,0.66,0.03,105,0.34,0.03,149,0.48,0.02,163,0.52,0.03,259,0.83,0.03,53,0.17,0.04,144,0.46,0.02,168,0.54,0.04,81,0.26,0.02,231,0.74,0.04
CHIAPAS,73,0.72,0.01,28,0.28,0.02,52,0.52,0.01,49,0.49,0.01,66,0.65,0.01,35,0.35,0.01,82,0.81,0.01,19,0.19,0.01,17,0.17,0,84,0.83,0.02,5,0.05,0,96,0.95,0.02
CHIHUAHUA,477,0.91,0.05,49,0.09,0.04,366,0.7,0.05,160,0.3,0.04,343,0.65,0.05,183,0.35,0.04,471,0.9,0.05,55,0.11,0.04,341,0.65,0.05,185,0.35,0.04,280,0.53,0.06,246,0.47,0.04
CIUDAD DE MÉXICO,728,0.85,0.07,127,0.15,0.1,492,0.58,0.07,363,0.43,0.09,334,0.39,0.05,521,0.61,0.11,702,0.82,0.07,153,0.18,0.11,399,0.47,0.06,456,0.53,0.1,252,0.3,0.05,603,0.71,0.09
COAHUILA,183,0.92,0.02,15,0.08,0.01,159,0.8,0.02,39,0.2,0.01,127,0.64,0.02,71,0.36,0.02,177,0.89,0.02,21,0.11,0.02,134,0.68,0.02,64,0.32,0.01,87,0.44,0.02,111,0.56,0.02
COLIMA,485,0.97,0.05,15,0.03,0.01,393,0.79,0.05,107,0.21,0.03,299,0.6,0.05,201,0.4,0.04,451,0.9,0.05,49,0.1,0.04,327,0.65,0.05,173,0.35,0.04,268,0.54,0.06,232,0.46,0.04
DURANGO,326,0.88,0.03,45,0.12,0.03,236,0.64,0.03,135,0.36,0.03,269,0.73,0.04,102,0.28,0.02,339,0.91,0.03,32,0.09,0.02,215,0.58,0.03,156,0.42,0.04,159,0.43,0.03,212,0.57,0.03
ESTADO DE MÉXICO,433,0.87,0.04,64,0.13,0.05,315,0.63,0.04,182,0.37,0.05,270,0.54,0.04,227,0.46,0.05,419,0.84,0.04,78,0.16,0.06,215,0.43,0.03,282,0.57,0.06,195,0.39,0.04,302,0.61,0.05
GUANAJUATO,332,0.9,0.03,39,0.11,0.03,232,0.63,0.03,139,0.38,0.04,210,0.57,0.03,161,0.43,0.03,337,0.91,0.03,34,0.09,0.03,223,0.6,0.03,148,0.4,0.03,168,0.45,0.03,203,0.55,0.03
GUERRERO,19,0.95,0,1,0.05,0,5,0.25,0,15,0.75,0,16,0.8,0,4,0.2,0,18,0.9,0,2,0.1,0,5,0.25,0,15,0.75,0,3,0.15,0,17,0.85,0
HIDALGO,285,0.87,0.03,43,0.13,0.03,191,0.58,0.03,137,0.42,0.03,231,0.7,0.04,97,0.3,0.02,306,0.93,0.03,22,0.07,0.02,155,0.47,0.02,173,0.53,0.04,117,0.36,0.02,211,0.64,0.03
JALISCO,213,0.9,0.02,25,0.11,0.02,168,0.71,0.02,70,0.29,0.02,131,0.55,0.02,107,0.45,0.02,201,0.85,0.02,37,0.16,0.03,184,0.77,0.03,54,0.23,0.01,98,0.41,0.02,140,0.59,0.02
MICHOACÁN,37,1,0,0,0,0,13,0.35,0,24,0.65,0.01,32,0.87,0.01,5,0.14,0,35,0.95,0,2,0.05,0,13,0.35,0,24,0.65,0.01,7,0.19,0,30,0.81,0.01
MORELOS,309,0.86,0.03,50,0.14,0.04,193,0.54,0.03,166,0.46,0.04,210,0.59,0.03,149,0.42,0.03,312,0.87,0.03,47,0.13,0.03,226,0.63,0.03,133,0.37,0.03,161,0.45,0.03,198,0.55,0.03
NAYARIT,378,0.85,0.04,68,0.15,0.05,273,0.61,0.04,173,0.39,0.04,273,0.61,0.04,173,0.39,0.04,386,0.87,0.04,60,0.14,0.04,269,0.6,0.04,177,0.4,0.04,168,0.38,0.03,278,0.62,0.04
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUEBLA,354,0.9,0.04,39,0.1,0.03,244,0.62,0.03,149,0.38,0.04,294,0.75,0.04,99,0.25,0.02,367,0.93,0.04,26,0.07,0.02,193,0.49,0.03,200,0.51,0.05,150,0.38,0.03,243,0.62,0.04
QUERÉTARO,440,0.86,0.04,73,0.14,0.06,302,0.59,0.04,211,0.41,0.05,212,0.41,0.03,301,0.59,0.06,422,0.82,0.04,91,0.18,0.07,346,0.67,0.05,167,0.33,0.04,168,0.33,0.03,345,0.67,0.05
QUINTANA ROO,406,0.88,0.04,56,0.12,0.04,312,0.68,0.04,150,0.33,0.04,270,0.58,0.04,192,0.42,0.04,409,0.89,0.04,53,0.12,0.04,330,0.71,0.05,132,0.29,0.03,209,0.45,0.04,253,0.55,0.04
SAN LUIS POTOSÍ,317,0.83,0.03,64,0.17,0.05,219,0.58,0.03,162,0.43,0.04,219,0.58,0.03,162,0.43,0.03,331,0.87,0.03,50,0.13,0.04,168,0.44,0.02,213,0.56,0.05,136,0.36,0.03,245,0.64,0.04
SINALOA,534,0.95,0.05,27,0.05,0.02,487,0.87,0.07,74,0.13,0.02,386,0.69,0.06,175,0.31,0.04,524,0.93,0.05,37,0.07,0.03,388,0.69,0.06,173,0.31,0.04,272,0.49,0.06,289,0.52,0.04
SONORA,310,0.95,0.03,18,0.06,0.01,273,0.83,0.04,55,0.17,0.01,206,0.63,0.03,122,0.37,0.03,302,0.92,0.03,26,0.08,0.02,258,0.79,0.04,70,0.21,0.02,171,0.52,0.04,157,0.48,0.02
TABASCO,318,0.81,0.03,75,0.19,0.06,215,0.55,0.03,178,0.45,0.04,246,0.63,0.04,147,0.37,0.03,310,0.79,0.03,83,0.21,0.06,157,0.4,0.02,236,0.6,0.05,81,0.21,0.02,312,0.79,0.05
TAMAULIPAS,389,0.9,0.04,44,0.1,0.03,309,0.71,0.04,124,0.29,0.03,274,0.63,0.04,159,0.37,0.03,390,0.9,0.04,43,0.1,0.03,306,0.71,0.04,127,0.29,0.03,238,0.55,0.05,195,0.45,0.03
TLAXCALA,303,0.91,0.03,29,0.09,0.02,182,0.55,0.02,150,0.45,0.04,184,0.55,0.03,148,0.45,0.03,292,0.88,0.03,40,0.12,0.03,186,0.56,0.03,146,0.44,0.03,153,0.46,0.03,179,0.54,0.03
VERACRUZ,118,0.94,0.01,8,0.06,0.01,80,0.64,0.01,46,0.37,0.01,78,0.62,0.01,48,0.38,0.01,114,0.91,0.01,12,0.1,0.01,62,0.49,0.01,64,0.51,0.01,30,0.24,0.01,96,0.76,0.02
YUCATÁN,235,0.89,0.02,28,0.11,0.02,173,0.66,0.02,90,0.34,0.02,149,0.57,0.02,114,0.43,0.02,225,0.86,0.02,38,0.14,0.03,177,0.67,0.03,86,0.33,0.02,95,0.36,0.02,168,0.64,0.03
ZACATECAS,636,0.86,0.06,104,0.14,0.08,386,0.52,0.05,354,0.48,0.09,422,0.57,0.06,318,0.43,0.07,659,0.89,0.07,81,0.11,0.06,541,0.73,0.08,199,0.27,0.05,359,0.49,0.07,381,0.52,0.06
Hombre,3085,0.89,0.3,364,0.11,0.28,2211,0.64,0.3,1238,0.36,0.31,2173,0.63,0.33,1276,0.37,0.27,3068,0.89,0.3,381,0.11,0.28,2071,0.6,0.3,1378,0.4,0.31,1482,0.43,0.3,1967,0.57,0.3
Mujer,7058,0.88,0.7,942,0.12,0.72,5235,0.65,0.7,2765,0.35,0.69,4483,0.56,0.67,3517,0.44,0.73,7016,0.88,0.7,984,0.12,0.72,4930,0.62,0.7,3070,0.38,0.69,3422,0.43,0.7,4578,0.57,0.7
18 a 20 años,73,0.88,0.01,10,0.12,0.01,53,0.64,0.01,30,0.36,0.01,54,0.65,0.01,29,0.35,0.01,72,0.87,0.01,11,0.13,0.01,46,0.55,0.01,37,0.45,0.01,36,0.43,0.01,47,0.57,0.01
21 a 30 años,2160,0.9,0.21,234,0.1,0.18,1686,0.7,0.23,708,0.3,0.18,1475,0.62,0.22,919,0.38,0.19,2092,0.87,0.21,302,0.13,0.22,1524,0.64,0.22,870,0.36,0.2,1072,0.45,0.22,1322,0.55,0.2
31 a 40 años,3522,0.87,0.35,521,0.13,0.4,2574,0.64,0.35,1469,0.36,0.37,2166,0.54,0.33,1877,0.46,0.39,3488,0.86,0.35,555,0.14,0.41,2470,0.61,0.35,1573,0.39,0.35,1674,0.41,0.34,2369,0.59,0.36
41 a 50 años,2810,0.88,0.28,388,0.12,0.3,1986,0.62,0.27,1212,0.38,0.3,1860,0.58,0.28,1338,0.42,0.28,2849,0.89,0.28,349,0.11,0.26,1887,0.59,0.27,1311,0.41,0.3,1339,0.42,0.27,1859,0.58,0.28
51 a 60 años,1394,0.91,0.14,136,0.09,0.1,1000,0.65,0.13,530,0.35,0.13,948,0.62,0.14,582,0.38,0.12,1397,0.91,0.14,133,0.09,0.1,940,0.61,0.13,590,0.39,0.13,680,0.44,0.14,850,0.56,0.13
61 a 70 años,172,0.92,0.02,16,0.09,0.01,135,0.72,0.02,53,0.28,0.01,142,0.76,0.02,46,0.25,0.01,175,0.93,0.02,13,0.07,0.01,125,0.67,0.02,63,0.34,0.01,96,0.51,0.02,92,0.49,0.01
71 a 80 años,12,0.92,0,1,0.08,0,12,0.92,0,1,0.08,0,11,0.85,0,2,0.15,0,11,0.85,0,2,0.15,0,9,0.69,0,4,0.31,0,7,0.54,0,6,0.46,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",29,0.81,0,7,0.19,0.01,22,0.61,0,14,0.39,0,26,0.72,0,10,0.28,0,34,0.94,0,2,0.06,0,19,0.53,0,17,0.47,0,12,0.33,0,24,0.67,0
Normal básica sin licenciatura,424,0.93,0.04,34,0.07,0.03,317,0.69,0.04,141,0.31,0.04,297,0.65,0.05,161,0.35,0.03,413,0.9,0.04,45,0.1,0.03,289,0.63,0.04,169,0.37,0.04,219,0.48,0.05,239,0.52,0.04
Normal superior,208,0.88,0.02,28,0.12,0.02,156,0.66,0.02,80,0.34,0.02,155,0.66,0.02,81,0.34,0.02,215,0.91,0.02,21,0.09,0.02,148,0.63,0.02,88,0.37,0.02,99,0.42,0.02,137,0.58,0.02
Normal Intercultural Bilingüe,95,0.9,0.01,11,0.1,0.01,64,0.6,0.01,42,0.4,0.01,75,0.71,0.01,31,0.29,0.01,96,0.91,0.01,10,0.09,0.01,49,0.46,0.01,57,0.54,0.01,40,0.38,0.01,66,0.62,0.01
Licenciatura,7636,0.89,0.75,959,0.11,0.73,5608,0.65,0.75,2987,0.35,0.75,5032,0.59,0.76,3563,0.42,0.74,7593,0.88,0.75,1002,0.12,0.73,5253,0.61,0.75,3342,0.39,0.75,3649,0.43,0.74,4946,0.58,0.76
Especialidad,64,0.85,0.01,11,0.15,0.01,53,0.71,0.01,22,0.29,0.01,45,0.6,0.01,30,0.4,0.01,67,0.89,0.01,8,0.11,0.01,51,0.68,0.01,24,0.32,0.01,39,0.52,0.01,36,0.48,0.01
Maestría,1562,0.88,0.15,219,0.12,0.17,1124,0.63,0.15,657,0.37,0.16,941,0.53,0.14,840,0.47,0.18,1534,0.86,0.15,247,0.14,0.18,1105,0.62,0.16,676,0.38,0.15,784,0.44,0.16,997,0.56,0.15
Doctorado,118,0.76,0.01,37,0.24,0.03,95,0.61,0.01,60,0.39,0.02,80,0.52,0.01,75,0.48,0.02,125,0.81,0.01,30,0.19,0.02,83,0.54,0.01,72,0.47,0.02,59,0.38,0.01,96,0.62,0.02
Posdoctorado,7,1,0,0,0,0,7,1,0,0,0,0,5,0.71,0,2,0.29,0,7,1,0,0,0,0,4,0.57,0,3,0.43,0,3,0.43,0,4,0.57,0
Menor o igual a 10,3786,0.89,0.37,450,0.11,0.35,2906,0.69,0.39,1330,0.31,0.33,2516,0.59,0.38,1720,0.41,0.36,3661,0.86,0.36,575,0.14,0.42,2630,0.62,0.38,1606,0.38,0.36,1841,0.44,0.38,2395,0.57,0.37
11 a 20,3375,0.87,0.33,489,0.13,0.37,2417,0.63,0.33,1447,0.37,0.36,2107,0.55,0.32,1757,0.46,0.37,3410,0.88,0.34,454,0.12,0.33,2344,0.61,0.34,1520,0.39,0.34,1602,0.42,0.33,2262,0.59,0.35
21 a 30,2982,0.89,0.29,367,0.11,0.28,2123,0.63,0.29,1226,0.37,0.31,2033,0.61,0.31,1316,0.39,0.28,3013,0.9,0.3,336,0.1,0.25,2027,0.61,0.29,1322,0.4,0.3,1461,0.44,0.3,1888,0.56,0.29
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,9449,0.88,0.93,1244,0.12,0.95,6857,0.64,0.92,3836,0.36,0.96,6097,0.57,0.92,4596,0.43,0.96,9395,0.88,0.93,1298,0.12,0.95,6461,0.6,0.92,4232,0.4,0.95,4472,0.42,0.91,6221,0.58,0.95
Interino,339,0.91,0.03,35,0.09,0.03,291,0.78,0.04,83,0.22,0.02,282,0.75,0.04,92,0.25,0.02,339,0.91,0.03,35,0.09,0.03,269,0.72,0.04,105,0.28,0.02,226,0.6,0.05,148,0.4,0.02
Tiempo fijo,243,0.93,0.02,18,0.07,0.01,209,0.8,0.03,52,0.2,0.01,195,0.75,0.03,66,0.25,0.01,243,0.93,0.02,18,0.07,0.01,197,0.76,0.03,64,0.25,0.01,155,0.59,0.03,106,0.41,0.02
No tengo nombramiento,9,0.75,0,3,0.25,0,5,0.42,0,7,0.58,0,7,0.58,0,5,0.42,0,9,0.75,0,3,0.25,0,9,0.75,0,3,0.25,0,3,0.25,0,9,0.75,0
Otro,103,0.95,0.01,6,0.06,0.01,84,0.77,0.01,25,0.23,0.01,75,0.69,0.01,34,0.31,0.01,98,0.9,0.01,11,0.1,0.01,65,0.6,0.01,44,0.4,0.01,48,0.44,0.01,61,0.56,0.01
GENERAL PÚBLICA,9025,0.89,0.89,1117,0.11,0.86,6703,0.66,0.9,3439,0.34,0.86,5684,0.56,0.85,4458,0.44,0.93,8924,0.88,0.89,1218,0.12,0.89,6465,0.64,0.92,3677,0.36,0.83,4494,0.44,0.92,5648,0.56,0.86
INDÍGENAS,1118,0.86,0.11,189,0.15,0.15,743,0.57,0.1,564,0.43,0.14,972,0.74,0.15,335,0.26,0.07,1160,0.89,0.12,147,0.11,0.11,536,0.41,0.08,771,0.59,0.17,410,0.31,0.08,897,0.69,0.14
Total,10143,0.89,1,1306,0.11,1,7446,0.65,1,4003,0.35,1,6656,0.58,1,4793,0.42,1,10084,0.88,1,1365,0.12,1,7001,0.61,1,4448,0.39,1,4904,0.43,1,6545,0.57,1
