Variable,B4-A-Muy difícil-Recuento,B4-A-Muy difícil-% del N de fila,B4-A-Muy difícil-% de N columnas,B4-A-Difícil-Recuento,B4-A-Difícil-% del N de fila,B4-A-Difícil-% de N columnas,B4-A-Poco difícil-Recuento,B4-A-Poco difícil-% del N de fila,B4-A-Poco difícil-% de N columnas,B4-A-Nada difícil-Recuento,B4-A-Nada difícil-% del N de fila,B4-A-Nada difícil-% de N columnas,B4-B-Muy difícil-Recuento,B4-B-Muy difícil-% del N de fila,B4-B-Muy difícil-% de N columnas,B4-B-Difícil-Recuento,B4-B-Difícil-% del N de fila,B4-B-Difícil-% de N columnas,B4-B-Poco difícil-Recuento,B4-B-Poco difícil-% del N de fila,B4-B-Poco difícil-% de N columnas,B4-B-Nada difícil-Recuento,B4-B-Nada difícil-% del N de fila,B4-B-Nada difícil-% de N columnas,B4-C-Muy difícil-Recuento,B4-C-Muy difícil-% del N de fila,B4-C-Muy difícil-% de N columnas,B4-C-Difícil-Recuento,B4-C-Difícil-% del N de fila,B4-C-Difícil-% de N columnas,B4-C-Poco difícil-Recuento,B4-C-Poco difícil-% del N de fila,B4-C-Poco difícil-% de N columnas,B4-C-Nada difícil-Recuento,B4-C-Nada difícil-% del N de fila,B4-C-Nada difícil-% de N columnas,B4-D-Muy difícil-Recuento,B4-D-Muy difícil-% del N de fila,B4-D-Muy difícil-% de N columnas,B4-D-Difícil-Recuento,B4-D-Difícil-% del N de fila,B4-D-Difícil-% de N columnas,B4-D-Poco difícil-Recuento,B4-D-Poco difícil-% del N de fila,B4-D-Poco difícil-% de N columnas,B4-D-Nada difícil-Recuento,B4-D-Nada difícil-% del N de fila,B4-D-Nada difícil-% de N columnas,B4-E-Muy difícil-Recuento,B4-E-Muy difícil-% del N de fila,B4-E-Muy difícil-% de N columnas,B4-E-Difícil-Recuento,B4-E-Difícil-% del N de fila,B4-E-Difícil-% de N columnas,B4-E-Poco difícil-Recuento,B4-E-Poco difícil-% del N de fila,B4-E-Poco difícil-% de N columnas,B4-E-Nada difícil-Recuento,B4-E-Nada difícil-% del N de fila,B4-E-Nada difícil-% de N columnas,B4-F-Muy difícil-Recuento,B4-F-Muy difícil-% del N de fila,B4-F-Muy difícil-% de N columnas,B4-F-Difícil-Recuento,B4-F-Difícil-% del N de fila,B4-F-Difícil-% de N columnas,B4-F-Poco difícil-Recuento,B4-F-Poco difícil-% del N de fila,B4-F-Poco difícil-% de N columnas,B4-F-Nada difícil-Recuento,B4-F-Nada difícil-% del N de fila,B4-F-Nada difícil-% de N columnas,B4-G-Muy difícil-Recuento,B4-G-Muy difícil-% del N de fila,B4-G-Muy difícil-% de N columnas,B4-G-Difícil-Recuento,B4-G-Difícil-% del N de fila,B4-G-Difícil-% de N columnas,B4-G-Poco difícil-Recuento,B4-G-Poco difícil-% del N de fila,B4-G-Poco difícil-% de N columnas,B4-G-Nada difícil-Recuento,B4-G-Nada difícil-% del N de fila,B4-G-Nada difícil-% de N columnas,B4-H-Muy difícil-Recuento,B4-H-Muy difícil-% del N de fila,B4-H-Muy difícil-% de N columnas,B4-H-Difícil-Recuento,B4-H-Difícil-% del N de fila,B4-H-Difícil-% de N columnas,B4-H-Poco difícil-Recuento,B4-H-Poco difícil-% del N de fila,B4-H-Poco difícil-% de N columnas,B4-H-Nada difícil-Recuento,B4-H-Nada difícil-% del N de fila,B4-H-Nada difícil-% de N columnas,B4-I-Muy difícil-Recuento,B4-I-Muy difícil-% del N de fila,B4-I-Muy difícil-% de N columnas,B4-I-Difícil-Recuento,B4-I-Difícil-% del N de fila,B4-I-Difícil-% de N columnas,B4-I-Poco difícil-Recuento,B4-I-Poco difícil-% del N de fila,B4-I-Poco difícil-% de N columnas,B4-I-Nada difícil-Recuento,B4-I-Nada difícil-% del N de fila,B4-I-Nada difícil-% de N columnas,B4-J-Muy difícil-Recuento,B4-J-Muy difícil-% del N de fila,B4-J-Muy difícil-% de N columnas,B4-J-Difícil-Recuento,B4-J-Difícil-% del N de fila,B4-J-Difícil-% de N columnas,B4-J-Poco difícil-Recuento,B4-J-Poco difícil-% del N de fila,B4-J-Poco difícil-% de N columnas,B4-J-Nada difícil-Recuento,B4-J-Nada difícil-% del N de fila,B4-J-Nada difícil-% de N columnas,B4-K-Muy difícil-Recuento,B4-K-Muy difícil-% del N de fila,B4-K-Muy difícil-% de N columnas,B4-K-Difícil-Recuento,B4-K-Difícil-% del N de fila,B4-K-Difícil-% de N columnas,B4-K-Poco difícil-Recuento,B4-K-Poco difícil-% del N de fila,B4-K-Poco difícil-% de N columnas,B4-K-Nada difícil-Recuento,B4-K-Nada difícil-% del N de fila,B4-K-Nada difícil-% de N columnas
AGUASCALIENTES,58,0.101,0.072,251,0.438,0.055,231,0.403,0.043,33,0.058,0.041,37,0.065,0.046,228,0.398,0.062,240,0.419,0.043,68,0.119,0.048,150,0.262,0.062,267,0.466,0.054,131,0.229,0.037,25,0.044,0.047,19,0.033,0.043,172,0.3,0.063,297,0.518,0.046,85,0.148,0.048,103,0.18,0.05,241,0.421,0.053,195,0.34,0.046,34,0.059,0.055,32,0.056,0.054,188,0.328,0.062,282,0.492,0.045,71,0.124,0.044,36,0.063,0.064,246,0.429,0.06,259,0.452,0.043,32,0.056,0.042,88,0.154,0.067,218,0.38,0.051,229,0.4,0.047,38,0.066,0.038,53,0.092,0.08,221,0.386,0.063,249,0.435,0.042,50,0.087,0.037,33,0.058,0.063,175,0.305,0.057,307,0.536,0.047,58,0.101,0.041,31,0.054,0.052,207,0.361,0.061,289,0.504,0.046,46,0.08,0.037
BAJA CALIFORNIA,4,0.039,0.005,39,0.382,0.009,51,0.5,0.01,8,0.078,0.01,3,0.029,0.004,34,0.333,0.009,51,0.5,0.009,14,0.137,0.01,18,0.176,0.007,43,0.422,0.009,38,0.373,0.011,3,0.029,0.006,4,0.039,0.009,23,0.225,0.008,62,0.608,0.01,13,0.127,0.007,19,0.186,0.009,37,0.363,0.008,41,0.402,0.01,5,0.049,0.008,7,0.069,0.012,26,0.255,0.009,59,0.578,0.009,10,0.098,0.006,4,0.039,0.007,36,0.353,0.009,59,0.578,0.01,3,0.029,0.004,10,0.098,0.008,40,0.392,0.009,45,0.441,0.009,7,0.069,0.007,5,0.049,0.008,28,0.275,0.008,57,0.559,0.01,12,0.118,0.009,4,0.039,0.008,18,0.176,0.006,65,0.637,0.01,15,0.147,0.011,6,0.059,0.01,17,0.167,0.005,65,0.637,0.01,14,0.137,0.011
BAJA CALIFORNIA SUR,38,0.055,0.047,249,0.361,0.055,338,0.49,0.064,65,0.094,0.081,45,0.065,0.056,201,0.291,0.055,352,0.51,0.063,92,0.133,0.065,147,0.213,0.06,316,0.458,0.064,204,0.296,0.058,23,0.033,0.043,28,0.041,0.063,157,0.228,0.057,407,0.59,0.063,98,0.142,0.055,111,0.161,0.054,277,0.401,0.061,258,0.374,0.061,44,0.064,0.072,46,0.067,0.077,183,0.266,0.061,372,0.54,0.06,88,0.128,0.054,33,0.048,0.059,219,0.317,0.053,401,0.581,0.067,37,0.054,0.048,73,0.106,0.056,251,0.364,0.058,311,0.451,0.064,55,0.08,0.055,34,0.049,0.051,190,0.275,0.054,381,0.552,0.064,85,0.123,0.063,32,0.046,0.061,168,0.243,0.055,415,0.601,0.064,75,0.109,0.053,37,0.054,0.063,193,0.28,0.057,398,0.577,0.064,62,0.09,0.05
CAMPECHE,14,0.045,0.017,130,0.417,0.029,152,0.487,0.029,16,0.051,0.02,12,0.038,0.015,108,0.346,0.029,157,0.503,0.028,35,0.112,0.025,45,0.144,0.018,149,0.478,0.03,101,0.324,0.029,17,0.054,0.032,3,0.01,0.007,84,0.269,0.031,173,0.554,0.027,52,0.167,0.029,53,0.17,0.026,124,0.397,0.027,121,0.388,0.029,14,0.045,0.023,12,0.038,0.02,75,0.24,0.025,185,0.593,0.03,40,0.128,0.025,11,0.035,0.02,110,0.353,0.027,170,0.545,0.028,21,0.067,0.027,28,0.09,0.021,110,0.353,0.026,146,0.468,0.03,28,0.09,0.028,14,0.045,0.021,93,0.298,0.026,168,0.538,0.028,37,0.119,0.028,10,0.032,0.019,80,0.256,0.026,179,0.574,0.028,43,0.138,0.031,12,0.038,0.02,89,0.285,0.026,169,0.542,0.027,42,0.135,0.034
CHIAPAS,1,0.01,0.001,44,0.444,0.01,50,0.505,0.009,4,0.04,0.005,4,0.04,0.005,30,0.303,0.008,55,0.556,0.01,10,0.101,0.007,19,0.192,0.008,39,0.394,0.008,37,0.374,0.011,4,0.04,0.007,0,0,0,27,0.273,0.01,54,0.545,0.008,18,0.182,0.01,24,0.242,0.012,32,0.323,0.007,38,0.384,0.009,5,0.051,0.008,3,0.03,0.005,23,0.232,0.008,53,0.535,0.009,20,0.202,0.012,2,0.02,0.004,36,0.364,0.009,48,0.485,0.008,13,0.131,0.017,9,0.091,0.007,32,0.323,0.007,46,0.465,0.01,12,0.121,0.012,2,0.02,0.003,28,0.283,0.008,56,0.566,0.009,13,0.131,0.01,4,0.04,0.008,28,0.283,0.009,60,0.606,0.009,7,0.071,0.005,4,0.04,0.007,36,0.364,0.011,52,0.525,0.008,7,0.071,0.006
CHIHUAHUA,38,0.072,0.047,215,0.409,0.047,238,0.452,0.045,35,0.067,0.044,39,0.074,0.048,174,0.331,0.047,246,0.468,0.044,67,0.127,0.048,147,0.279,0.06,213,0.405,0.043,150,0.285,0.043,16,0.03,0.03,27,0.051,0.061,126,0.24,0.046,289,0.549,0.044,84,0.16,0.047,117,0.222,0.057,179,0.34,0.039,203,0.386,0.048,27,0.051,0.044,30,0.057,0.05,133,0.253,0.044,281,0.534,0.045,82,0.156,0.051,37,0.07,0.066,166,0.316,0.04,277,0.527,0.046,46,0.087,0.06,51,0.097,0.039,192,0.365,0.045,234,0.445,0.048,49,0.093,0.049,32,0.061,0.048,150,0.285,0.042,282,0.536,0.048,62,0.118,0.046,21,0.04,0.04,142,0.27,0.047,301,0.572,0.047,62,0.118,0.044,27,0.051,0.046,162,0.308,0.048,273,0.519,0.044,64,0.122,0.051
CIUDAD DE MÉXICO,83,0.097,0.103,398,0.466,0.088,333,0.39,0.063,40,0.047,0.05,100,0.117,0.124,353,0.413,0.096,343,0.402,0.062,58,0.068,0.041,260,0.304,0.107,391,0.458,0.079,187,0.219,0.053,16,0.019,0.03,54,0.063,0.122,237,0.278,0.087,458,0.536,0.071,105,0.123,0.059,169,0.198,0.083,370,0.433,0.081,281,0.329,0.067,34,0.04,0.055,81,0.095,0.136,284,0.333,0.094,406,0.475,0.065,83,0.097,0.051,53,0.062,0.094,397,0.465,0.096,374,0.438,0.062,30,0.035,0.039,176,0.206,0.135,381,0.446,0.089,259,0.303,0.054,38,0.044,0.038,70,0.082,0.106,325,0.381,0.092,386,0.452,0.065,73,0.085,0.054,54,0.063,0.103,274,0.321,0.09,447,0.523,0.069,79,0.093,0.056,54,0.063,0.091,304,0.356,0.09,425,0.498,0.068,71,0.083,0.057
COAHUILA,17,0.085,0.021,75,0.375,0.017,94,0.47,0.018,14,0.07,0.017,14,0.07,0.017,68,0.34,0.019,93,0.465,0.017,25,0.125,0.018,45,0.225,0.018,86,0.43,0.017,61,0.305,0.017,8,0.04,0.015,9,0.045,0.02,45,0.225,0.016,121,0.605,0.019,25,0.125,0.014,32,0.16,0.016,84,0.42,0.018,74,0.37,0.018,10,0.05,0.016,7,0.035,0.012,50,0.25,0.017,113,0.565,0.018,30,0.15,0.018,10,0.05,0.018,68,0.34,0.017,110,0.55,0.018,12,0.06,0.016,19,0.095,0.015,75,0.375,0.017,88,0.44,0.018,18,0.09,0.018,12,0.06,0.018,67,0.335,0.019,99,0.495,0.017,22,0.11,0.016,11,0.055,0.021,56,0.28,0.018,107,0.535,0.017,26,0.13,0.018,12,0.06,0.02,58,0.29,0.017,109,0.545,0.018,21,0.105,0.017
COLIMA,34,0.068,0.042,201,0.4,0.044,220,0.438,0.041,47,0.094,0.059,33,0.066,0.041,149,0.297,0.041,240,0.478,0.043,80,0.159,0.057,127,0.253,0.052,232,0.462,0.047,121,0.241,0.034,22,0.044,0.041,23,0.046,0.052,123,0.245,0.045,271,0.54,0.042,85,0.169,0.048,111,0.221,0.054,185,0.369,0.04,180,0.359,0.043,26,0.052,0.042,34,0.068,0.057,141,0.281,0.047,250,0.498,0.04,77,0.153,0.047,34,0.068,0.06,186,0.371,0.045,238,0.474,0.04,44,0.088,0.058,74,0.147,0.057,206,0.41,0.048,188,0.375,0.039,34,0.068,0.034,32,0.064,0.048,173,0.345,0.049,240,0.478,0.041,57,0.114,0.043,20,0.04,0.038,121,0.241,0.04,275,0.548,0.043,86,0.171,0.061,28,0.056,0.047,135,0.269,0.04,263,0.524,0.042,76,0.151,0.061
DURANGO,28,0.075,0.035,138,0.372,0.03,172,0.464,0.032,33,0.089,0.041,36,0.097,0.045,120,0.323,0.033,160,0.431,0.029,55,0.148,0.039,73,0.197,0.03,165,0.445,0.033,118,0.318,0.034,15,0.04,0.028,13,0.035,0.029,90,0.243,0.033,201,0.542,0.031,67,0.181,0.038,71,0.191,0.035,144,0.388,0.032,129,0.348,0.031,27,0.073,0.044,19,0.051,0.032,101,0.272,0.034,187,0.504,0.03,64,0.173,0.039,19,0.051,0.034,135,0.364,0.033,195,0.526,0.032,22,0.059,0.029,31,0.084,0.024,132,0.356,0.031,164,0.442,0.034,44,0.119,0.044,20,0.054,0.03,120,0.323,0.034,182,0.491,0.031,49,0.132,0.037,20,0.054,0.038,115,0.31,0.038,189,0.509,0.029,47,0.127,0.033,22,0.059,0.037,127,0.342,0.038,177,0.477,0.028,45,0.121,0.036
