Variable,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
AGUASCALIENTES,323,0.22,0.04,863,0.59,0.05,251,0.17,0.06,24,0.02,0.04,871,0.6,0.05,531,0.36,0.05,56,0.04,0.05,3,0,0.04,643,0.44,0.05,677,0.46,0.05,135,0.09,0.05,6,0,0.03,855,0.59,0.05,538,0.37,0.05,64,0.04,0.06,4,0,0.06,759,0.52,0.05,578,0.4,0.05,116,0.08,0.06,8,0.01,0.05,735,0.5,0.05,623,0.43,0.05,96,0.07,0.06,7,0.01,0.05,968,0.66,0.05,444,0.3,0.05,47,0.03,0.06,2,0,0.03,800,0.55,0.05,572,0.39,0.05,79,0.05,0.05,10,0.01,0.06,830,0.57,0.05,535,0.37,0.05,89,0.06,0.06,7,0.01,0.05
BAJA CALIFORNIA,30,0.27,0,62,0.55,0,17,0.15,0,4,0.04,0.01,83,0.74,0.01,26,0.23,0,4,0.04,0,0,0,0,43,0.38,0,52,0.46,0,17,0.15,0.01,1,0.01,0,73,0.65,0,34,0.3,0,5,0.05,0,0,0,0,60,0.54,0,45,0.4,0,7,0.06,0,0,0,0,69,0.62,0,37,0.33,0,6,0.05,0,0,0,0,86,0.77,0,24,0.21,0,2,0.02,0,0,0,0,69,0.62,0,39,0.35,0,4,0.04,0,0,0,0,64,0.57,0,44,0.39,0,4,0.04,0,0,0,0
BAJA CALIFORNIA SUR,295,0.24,0.04,726,0.58,0.04,202,0.16,0.04,27,0.02,0.05,746,0.6,0.04,467,0.37,0.05,34,0.03,0.03,3,0,0.04,513,0.41,0.04,626,0.5,0.05,98,0.08,0.04,13,0.01,0.06,715,0.57,0.04,488,0.39,0.05,45,0.04,0.04,2,0,0.03,632,0.51,0.04,544,0.44,0.05,71,0.06,0.04,3,0,0.02,637,0.51,0.04,543,0.43,0.05,66,0.05,0.04,4,0,0.03,821,0.66,0.04,396,0.32,0.05,30,0.02,0.04,3,0,0.05,675,0.54,0.04,500,0.4,0.05,66,0.05,0.04,9,0.01,0.05,718,0.57,0.04,473,0.38,0.05,52,0.04,0.03,7,0.01,0.05
CAMPECHE,149,0.28,0.02,296,0.55,0.02,88,0.16,0.02,4,0.01,0.01,336,0.63,0.02,186,0.35,0.02,15,0.03,0.01,0,0,0,228,0.43,0.02,263,0.49,0.02,43,0.08,0.02,3,0.01,0.01,322,0.6,0.02,198,0.37,0.02,17,0.03,0.02,0,0,0,272,0.51,0.02,243,0.45,0.02,19,0.04,0.01,3,0.01,0.02,273,0.51,0.02,241,0.45,0.02,18,0.03,0.01,5,0.01,0.03,358,0.67,0.02,166,0.31,0.02,12,0.02,0.02,1,0,0.02,291,0.54,0.02,221,0.41,0.02,23,0.04,0.02,2,0,0.01,299,0.56,0.02,205,0.38,0.02,27,0.05,0.02,6,0.01,0.04
CHIAPAS,75,0.31,0.01,128,0.53,0.01,36,0.15,0.01,5,0.02,0.01,151,0.62,0.01,85,0.35,0.01,7,0.03,0.01,1,0,0.01,100,0.41,0.01,123,0.5,0.01,20,0.08,0.01,1,0,0,140,0.57,0.01,94,0.39,0.01,9,0.04,0.01,1,0,0.01,138,0.57,0.01,91,0.37,0.01,15,0.06,0.01,0,0,0,134,0.55,0.01,91,0.37,0.01,19,0.08,0.01,0,0,0,175,0.72,0.01,65,0.27,0.01,3,0.01,0,1,0,0.02,155,0.64,0.01,81,0.33,0.01,6,0.03,0,2,0.01,0.01,167,0.68,0.01,67,0.28,0.01,9,0.04,0.01,1,0,0.01
CHIHUAHUA,285,0.2,0.04,893,0.61,0.05,250,0.17,0.06,31,0.02,0.06,825,0.57,0.05,571,0.39,0.06,60,0.04,0.06,4,0,0.06,578,0.4,0.05,743,0.51,0.05,129,0.09,0.05,9,0.01,0.04,823,0.56,0.05,578,0.4,0.05,56,0.04,0.05,2,0,0.03,712,0.49,0.05,627,0.43,0.05,112,0.08,0.06,8,0.01,0.05,717,0.49,0.05,653,0.45,0.05,84,0.06,0.05,5,0,0.03,910,0.62,0.05,505,0.35,0.06,42,0.03,0.05,2,0,0.03,754,0.52,0.05,616,0.42,0.06,83,0.06,0.05,6,0,0.04,767,0.53,0.04,598,0.41,0.06,88,0.06,0.06,6,0,0.04
CIUDAD DE MÉXICO,512,0.29,0.07,941,0.54,0.06,249,0.14,0.06,41,0.02,0.07,1093,0.63,0.06,572,0.33,0.06,70,0.04,0.07,8,0.01,0.11,773,0.44,0.06,759,0.44,0.05,191,0.11,0.07,20,0.01,0.09,1020,0.59,0.06,635,0.36,0.06,81,0.05,0.07,7,0,0.1,973,0.56,0.06,640,0.37,0.06,124,0.07,0.07,6,0,0.04,956,0.55,0.06,662,0.38,0.06,109,0.06,0.07,16,0.01,0.11,1203,0.69,0.06,484,0.28,0.06,52,0.03,0.07,4,0,0.06,982,0.56,0.06,634,0.36,0.06,114,0.07,0.07,13,0.01,0.08,989,0.57,0.06,617,0.35,0.06,126,0.07,0.08,11,0.01,0.07
COAHUILA,73,0.2,0.01,226,0.62,0.01,60,0.16,0.01,7,0.02,0.01,220,0.6,0.01,131,0.36,0.01,14,0.04,0.01,1,0,0.01,145,0.4,0.01,193,0.53,0.01,25,0.07,0.01,3,0.01,0.01,214,0.59,0.01,137,0.37,0.01,13,0.04,0.01,2,0.01,0.03,182,0.5,0.01,156,0.43,0.01,25,0.07,0.01,3,0.01,0.02,185,0.51,0.01,158,0.43,0.01,22,0.06,0.01,1,0,0.01,257,0.7,0.01,100,0.27,0.01,8,0.02,0.01,1,0,0.02,203,0.56,0.01,144,0.39,0.01,15,0.04,0.01,4,0.01,0.02,206,0.56,0.01,142,0.39,0.01,16,0.04,0.01,2,0.01,0.01
COLIMA,282,0.28,0.04,537,0.53,0.03,165,0.16,0.04,30,0.03,0.05,654,0.65,0.04,314,0.31,0.03,42,0.04,0.04,4,0,0.06,470,0.46,0.04,425,0.42,0.03,113,0.11,0.04,6,0.01,0.03,618,0.61,0.04,348,0.34,0.03,47,0.05,0.04,1,0,0.01,543,0.54,0.03,396,0.39,0.03,70,0.07,0.04,5,0.01,0.03,555,0.55,0.04,385,0.38,0.03,72,0.07,0.04,2,0,0.01,717,0.71,0.04,258,0.25,0.03,36,0.04,0.05,3,0,0.05,576,0.57,0.04,369,0.36,0.03,63,0.06,0.04,6,0.01,0.04,592,0.58,0.03,361,0.36,0.03,58,0.06,0.04,3,0,0.02
DURANGO,223,0.23,0.03,569,0.58,0.03,166,0.17,0.04,21,0.02,0.04,553,0.57,0.03,380,0.39,0.04,42,0.04,0.04,4,0,0.06,376,0.38,0.03,503,0.51,0.04,95,0.1,0.04,5,0.01,0.02,533,0.54,0.03,388,0.4,0.04,56,0.06,0.05,2,0,0.03,464,0.47,0.03,428,0.44,0.04,77,0.08,0.04,10,0.01,0.06,465,0.48,0.03,434,0.44,0.04,75,0.08,0.04,5,0.01,0.03,629,0.64,0.03,310,0.32,0.04,38,0.04,0.05,2,0,0.03,511,0.52,0.03,396,0.4,0.04,63,0.06,0.04,9,0.01,0.05,535,0.55,0.03,381,0.39,0.04,59,0.06,0.04,4,0,0.03
