Variable,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
AGUASCALIENTES,910,0.62,0.05,505,0.35,0.05,43,0.03,0.05,3,0,0.03,828,0.57,0.05,569,0.39,0.05,62,0.04,0.06,2,0,0.02,865,0.59,0.05,534,0.37,0.05,60,0.04,0.06,2,0,0.03,689,0.47,0.05,687,0.47,0.05,80,0.06,0.06,5,0,0.05,726,0.5,0.05,648,0.44,0.05,83,0.06,0.06,4,0,0.04,683,0.47,0.05,673,0.46,0.05,101,0.07,0.06,4,0,0.03
BAJA CALIFORNIA,74,0.66,0,35,0.31,0,3,0.03,0,0,0,0,66,0.59,0,42,0.38,0,4,0.04,0,0,0,0,71,0.63,0,37,0.33,0,3,0.03,0,1,0.01,0.01,64,0.57,0,45,0.4,0,3,0.03,0,0,0,0,64,0.57,0,44,0.39,0,4,0.04,0,0,0,0,58,0.52,0,51,0.46,0,3,0.03,0,0,0,0
BAJA CALIFORNIA SUR,742,0.59,0.04,468,0.37,0.05,33,0.03,0.04,7,0.01,0.08,672,0.54,0.04,520,0.42,0.05,51,0.04,0.05,7,0.01,0.07,703,0.56,0.04,501,0.4,0.05,44,0.04,0.05,2,0,0.03,618,0.49,0.04,563,0.45,0.04,64,0.05,0.05,5,0,0.05,621,0.5,0.04,570,0.46,0.05,55,0.04,0.04,4,0,0.04,581,0.47,0.04,589,0.47,0.04,72,0.06,0.04,8,0.01,0.06
CAMPECHE,315,0.59,0.02,201,0.37,0.02,20,0.04,0.03,1,0,0.01,304,0.57,0.02,205,0.38,0.02,25,0.05,0.02,3,0.01,0.03,308,0.57,0.02,211,0.39,0.02,17,0.03,0.02,1,0,0.01,269,0.5,0.02,245,0.46,0.02,22,0.04,0.02,1,0,0.01,274,0.51,0.02,235,0.44,0.02,28,0.05,0.02,0,0,0,248,0.46,0.02,265,0.49,0.02,24,0.05,0.01,0,0,0
CHIAPAS,151,0.62,0.01,86,0.35,0.01,6,0.03,0.01,1,0,0.01,143,0.59,0.01,93,0.38,0.01,8,0.03,0.01,0,0,0,152,0.62,0.01,85,0.35,0.01,7,0.03,0.01,0,0,0,124,0.51,0.01,110,0.45,0.01,10,0.04,0.01,0,0,0,126,0.52,0.01,101,0.41,0.01,17,0.07,0.01,0,0,0,120,0.49,0.01,114,0.47,0.01,9,0.04,0.01,1,0,0.01
CHIHUAHUA,828,0.57,0.05,565,0.39,0.06,62,0.04,0.08,4,0,0.04,766,0.53,0.05,631,0.43,0.06,57,0.04,0.06,5,0,0.05,781,0.54,0.04,616,0.42,0.06,60,0.04,0.06,2,0,0.03,646,0.44,0.04,741,0.51,0.06,71,0.05,0.05,1,0,0.01,698,0.48,0.05,681,0.47,0.05,75,0.05,0.05,5,0,0.05,621,0.43,0.04,747,0.51,0.06,82,0.06,0.05,9,0.01,0.07
CIUDAD DE MÉXICO,1140,0.66,0.06,553,0.32,0.05,44,0.03,0.05,4,0,0.04,1081,0.62,0.06,597,0.34,0.05,55,0.03,0.05,10,0.01,0.1,1107,0.64,0.06,581,0.33,0.05,47,0.03,0.05,7,0,0.1,919,0.53,0.06,745,0.43,0.06,72,0.04,0.05,6,0,0.06,947,0.54,0.06,703,0.4,0.06,86,0.05,0.06,6,0,0.06,879,0.51,0.06,758,0.44,0.06,97,0.06,0.06,7,0,0.05
COAHUILA,221,0.6,0.01,131,0.36,0.01,12,0.03,0.02,2,0.01,0.02,191,0.52,0.01,163,0.45,0.01,10,0.03,0.01,2,0.01,0.02,206,0.56,0.01,148,0.4,0.01,10,0.03,0.01,2,0.01,0.03,175,0.48,0.01,171,0.47,0.01,18,0.05,0.01,2,0.01,0.02,182,0.5,0.01,168,0.46,0.01,15,0.04,0.01,1,0,0.01,185,0.51,0.01,167,0.46,0.01,12,0.03,0.01,2,0.01,0.02
COLIMA,684,0.68,0.04,289,0.29,0.03,36,0.04,0.04,5,0.01,0.05,631,0.62,0.04,338,0.33,0.03,44,0.04,0.04,1,0,0.01,648,0.64,0.04,317,0.31,0.03,47,0.05,0.05,2,0,0.03,549,0.54,0.04,409,0.4,0.03,54,0.05,0.04,2,0,0.02,562,0.55,0.04,397,0.39,0.03,53,0.05,0.04,2,0,0.02,533,0.53,0.04,413,0.41,0.03,63,0.06,0.04,5,0.01,0.04
DURANGO,570,0.58,0.03,372,0.38,0.04,33,0.03,0.04,4,0,0.04,528,0.54,0.03,411,0.42,0.04,37,0.04,0.04,3,0,0.03,553,0.57,0.03,383,0.39,0.04,40,0.04,0.04,3,0,0.04,420,0.43,0.03,510,0.52,0.04,45,0.05,0.03,4,0,0.04,458,0.47,0.03,460,0.47,0.04,57,0.06,0.04,4,0,0.04,435,0.44,0.03,470,0.48,0.04,71,0.07,0.04,3,0,0.02
