Variable,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
AGUASCALIENTES,564,0.386,0.05,842,0.577,0.049,47,0.032,0.05,7,0.005,0.101,576,0.395,0.047,839,0.575,0.052,39,0.027,0.042,6,0.004,0.072,591,0.405,0.047,824,0.564,0.052,40,0.027,0.04,5,0.003,0.063,527,0.361,0.046,866,0.593,0.051,61,0.042,0.061,6,0.004,0.078,480,0.329,0.046,871,0.597,0.051,98,0.067,0.053,11,0.008,0.051
BAJA CALIFORNIA,52,0.464,0.005,53,0.473,0.003,7,0.063,0.007,0,0,0,57,0.509,0.005,50,0.446,0.003,5,0.045,0.005,0,0,0,50,0.446,0.004,56,0.5,0.004,6,0.054,0.006,0,0,0,48,0.429,0.004,60,0.536,0.004,4,0.036,0.004,0,0,0,50,0.446,0.005,57,0.509,0.003,5,0.045,0.003,0,0,0
BAJA CALIFORNIA SUR,474,0.379,0.042,732,0.586,0.043,43,0.034,0.046,1,0.001,0.014,544,0.435,0.044,668,0.534,0.041,37,0.03,0.04,1,0.001,0.012,554,0.443,0.044,648,0.518,0.041,46,0.037,0.046,2,0.002,0.025,510,0.408,0.045,700,0.56,0.041,39,0.031,0.039,1,0.001,0.013,465,0.372,0.044,709,0.567,0.042,75,0.06,0.041,1,0.001,0.005
CAMPECHE,187,0.348,0.016,331,0.616,0.019,18,0.034,0.019,1,0.002,0.014,213,0.397,0.017,309,0.575,0.019,15,0.028,0.016,0,0,0,220,0.41,0.017,294,0.547,0.019,22,0.041,0.022,1,0.002,0.013,201,0.374,0.018,320,0.596,0.019,15,0.028,0.015,1,0.002,0.013,196,0.365,0.019,310,0.577,0.018,29,0.054,0.016,2,0.004,0.009
CHIAPAS,85,0.348,0.007,146,0.598,0.009,13,0.053,0.014,0,0,0,107,0.439,0.009,130,0.533,0.008,7,0.029,0.008,0,0,0,101,0.414,0.008,128,0.525,0.008,15,0.061,0.015,0,0,0,93,0.381,0.008,140,0.574,0.008,11,0.045,0.011,0,0,0,83,0.34,0.008,134,0.549,0.008,26,0.107,0.014,1,0.004,0.005
CHIHUAHUA,559,0.383,0.049,858,0.588,0.05,38,0.026,0.041,4,0.003,0.058,584,0.4,0.047,819,0.561,0.051,50,0.034,0.054,6,0.004,0.072,579,0.397,0.046,821,0.563,0.052,53,0.036,0.053,6,0.004,0.075,546,0.374,0.048,863,0.592,0.051,46,0.032,0.046,4,0.003,0.052,506,0.347,0.048,863,0.592,0.051,83,0.057,0.045,7,0.005,0.032
CIUDAD DE MÉXICO,662,0.38,0.058,1012,0.581,0.059,61,0.035,0.065,7,0.004,0.101,736,0.423,0.059,936,0.537,0.058,64,0.037,0.07,6,0.003,0.072,710,0.408,0.056,936,0.537,0.059,86,0.049,0.086,10,0.006,0.125,668,0.383,0.058,991,0.569,0.058,76,0.044,0.076,7,0.004,0.091,643,0.369,0.061,986,0.566,0.058,94,0.054,0.051,19,0.011,0.088
COAHUILA,140,0.383,0.012,213,0.582,0.012,11,0.03,0.012,2,0.005,0.029,147,0.402,0.012,206,0.563,0.013,11,0.03,0.012,2,0.005,0.024,154,0.421,0.012,201,0.549,0.013,8,0.022,0.008,3,0.008,0.038,139,0.38,0.012,214,0.585,0.013,10,0.027,0.01,3,0.008,0.039,132,0.361,0.013,214,0.585,0.013,17,0.046,0.009,3,0.008,0.014
COLIMA,382,0.377,0.034,594,0.586,0.035,35,0.035,0.037,3,0.003,0.043,409,0.403,0.033,561,0.553,0.035,40,0.039,0.044,4,0.004,0.048,416,0.41,0.033,556,0.548,0.035,39,0.038,0.039,3,0.003,0.038,384,0.379,0.034,573,0.565,0.034,54,0.053,0.054,3,0.003,0.039,365,0.36,0.035,576,0.568,0.034,66,0.065,0.036,7,0.007,0.032
DURANGO,334,0.341,0.029,610,0.623,0.036,32,0.033,0.034,3,0.003,0.043,355,0.363,0.029,584,0.597,0.036,38,0.039,0.041,2,0.002,0.024,358,0.366,0.028,577,0.589,0.037,42,0.043,0.042,2,0.002,0.025,331,0.338,0.029,614,0.627,0.036,31,0.032,0.031,3,0.003,0.039,315,0.322,0.03,580,0.592,0.034,76,0.078,0.041,8,0.008,0.037
