Variable,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
AGUASCALIENTES,501,0.343,0.049,837,0.573,0.049,115,0.079,0.061,7,0.005,0.039,471,0.323,0.049,847,0.58,0.048,135,0.092,0.062,7,0.005,0.039,407,0.279,0.05,893,0.612,0.048,157,0.108,0.06,3,0.002,0.016,333,0.228,0.049,908,0.622,0.047,199,0.136,0.061,20,0.014,0.08,298,0.204,0.049,844,0.578,0.047,283,0.194,0.056,35,0.024,0.065,305,0.209,0.048,885,0.606,0.048,231,0.158,0.053,39,0.027,0.081,310,0.212,0.048,859,0.588,0.048,252,0.173,0.054,39,0.027,0.074
BAJA CALIFORNIA,34,0.304,0.003,70,0.625,0.004,8,0.071,0.004,0,0,0,39,0.348,0.004,65,0.58,0.004,7,0.063,0.003,1,0.009,0.006,31,0.277,0.004,67,0.598,0.004,14,0.125,0.005,0,0,0,28,0.25,0.004,67,0.598,0.003,16,0.143,0.005,1,0.009,0.004,23,0.205,0.004,64,0.571,0.004,21,0.188,0.004,4,0.036,0.007,23,0.205,0.004,68,0.607,0.004,18,0.161,0.004,3,0.027,0.006,23,0.205,0.004,62,0.554,0.003,24,0.214,0.005,3,0.027,0.006
BAJA CALIFORNIA SUR,434,0.347,0.042,721,0.577,0.042,90,0.072,0.048,4,0.003,0.022,421,0.337,0.044,735,0.588,0.042,89,0.071,0.041,4,0.003,0.022,364,0.291,0.044,771,0.617,0.042,106,0.085,0.04,8,0.006,0.043,304,0.243,0.045,802,0.642,0.042,134,0.107,0.041,9,0.007,0.036,284,0.227,0.047,726,0.581,0.041,221,0.177,0.044,18,0.014,0.033,304,0.243,0.048,759,0.608,0.041,167,0.134,0.039,19,0.015,0.039,286,0.229,0.045,727,0.582,0.041,216,0.173,0.046,20,0.016,0.038
CAMPECHE,179,0.333,0.017,320,0.596,0.019,37,0.069,0.02,1,0.002,0.006,164,0.305,0.017,342,0.637,0.02,29,0.054,0.013,2,0.004,0.011,129,0.24,0.016,364,0.678,0.02,42,0.078,0.016,2,0.004,0.011,112,0.209,0.017,380,0.708,0.02,44,0.082,0.013,1,0.002,0.004,96,0.179,0.016,351,0.654,0.02,83,0.155,0.017,7,0.013,0.013,108,0.201,0.017,345,0.642,0.019,78,0.145,0.018,6,0.011,0.012,106,0.197,0.017,337,0.628,0.019,87,0.162,0.019,7,0.013,0.013
CHIAPAS,88,0.361,0.009,137,0.561,0.008,18,0.074,0.01,1,0.004,0.006,86,0.352,0.009,136,0.557,0.008,20,0.082,0.009,2,0.008,0.011,71,0.291,0.009,148,0.607,0.008,23,0.094,0.009,2,0.008,0.011,54,0.221,0.008,154,0.631,0.008,35,0.143,0.011,1,0.004,0.004,49,0.201,0.008,144,0.59,0.008,46,0.189,0.009,5,0.02,0.009,52,0.213,0.008,152,0.623,0.008,38,0.156,0.009,2,0.008,0.004,54,0.221,0.008,152,0.623,0.008,37,0.152,0.008,1,0.004,0.002
CHIHUAHUA,476,0.326,0.046,889,0.609,0.052,89,0.061,0.047,5,0.003,0.028,437,0.3,0.045,900,0.617,0.051,114,0.078,0.053,8,0.005,0.045,380,0.26,0.046,929,0.637,0.05,142,0.097,0.054,8,0.005,0.043,311,0.213,0.046,968,0.663,0.05,168,0.115,0.051,12,0.008,0.048,315,0.216,0.052,893,0.612,0.05,226,0.155,0.045,25,0.017,0.046,310,0.212,0.049,955,0.655,0.052,176,0.121,0.041,18,0.012,0.037,313,0.215,0.049,909,0.623,0.051,217,0.149,0.047,20,0.014,0.038
CIUDAD DE MÉXICO,563,0.323,0.055,1046,0.601,0.061,114,0.065,0.06,18,0.01,0.101,539,0.31,0.056,1048,0.602,0.06,135,0.078,0.062,19,0.011,0.106,465,0.267,0.057,1080,0.62,0.059,180,0.103,0.068,16,0.009,0.086,393,0.226,0.058,1094,0.628,0.057,235,0.135,0.072,19,0.011,0.076,338,0.194,0.055,1006,0.578,0.056,351,0.202,0.07,46,0.026,0.085,343,0.197,0.054,1033,0.593,0.056,323,0.186,0.075,42,0.024,0.087,371,0.213,0.058,1014,0.582,0.057,315,0.181,0.068,41,0.024,0.078
COAHUILA,133,0.363,0.013,205,0.56,0.012,24,0.066,0.013,4,0.011,0.022,132,0.361,0.014,203,0.555,0.012,27,0.074,0.012,4,0.011,0.022,106,0.29,0.013,225,0.615,0.012,33,0.09,0.013,2,0.005,0.011,88,0.24,0.013,233,0.637,0.012,40,0.109,0.012,5,0.014,0.02,77,0.21,0.013,228,0.623,0.013,55,0.15,0.011,6,0.016,0.011,79,0.216,0.012,236,0.645,0.013,47,0.128,0.011,4,0.011,0.008,81,0.221,0.013,220,0.601,0.012,61,0.167,0.013,4,0.011,0.008
COLIMA,353,0.348,0.034,565,0.557,0.033,85,0.084,0.045,11,0.011,0.061,340,0.335,0.035,582,0.574,0.033,83,0.082,0.038,9,0.009,0.05,317,0.313,0.039,585,0.577,0.032,102,0.101,0.039,10,0.01,0.053,249,0.246,0.037,620,0.611,0.032,134,0.132,0.041,11,0.011,0.044,237,0.234,0.039,569,0.561,0.032,190,0.187,0.038,18,0.018,0.033,250,0.247,0.039,579,0.571,0.032,163,0.161,0.038,22,0.022,0.046,226,0.223,0.035,586,0.578,0.033,180,0.178,0.039,22,0.022,0.042
DURANGO,298,0.304,0.029,601,0.614,0.035,74,0.076,0.039,6,0.006,0.034,271,0.277,0.028,621,0.634,0.035,82,0.084,0.038,5,0.005,0.028,230,0.235,0.028,641,0.655,0.035,101,0.103,0.038,7,0.007,0.037,182,0.186,0.027,680,0.695,0.035,111,0.113,0.034,6,0.006,0.024,163,0.166,0.027,612,0.625,0.034,187,0.191,0.037,17,0.017,0.032,171,0.175,0.027,634,0.648,0.035,155,0.158,0.036,19,0.019,0.039,170,0.174,0.026,621,0.634,0.035,174,0.178,0.037,14,0.014,0.027
