Variable,B6-A-Totalmente de acuerdo-Recuento,B6-A-Totalmente de acuerdo-% del N de fila,B6-A-Totalmente de acuerdo-% de N columnas,B6-A-De acuerdo-Recuento,B6-A-De acuerdo-% del N de fila,B6-A-De acuerdo-% de N columnas,B6-A-En desacuerdo-Recuento,B6-A-En desacuerdo-% del N de fila,B6-A-En desacuerdo-% de N columnas,B6-A-Totalmente en desacuerdo-Recuento,B6-A-Totalmente en desacuerdo-% del N de fila,B6-A-Totalmente en desacuerdo-% de N columnas,B6-A-No sé o no estoy seguro-Recuento,B6-A-No sé o no estoy seguro-% del N de fila,B6-A-No sé o no estoy seguro-% de N columnas,B6-B-Totalmente de acuerdo-Recuento,B6-B-Totalmente de acuerdo-% del N de fila,B6-B-Totalmente de acuerdo-% de N columnas,B6-B-De acuerdo-Recuento,B6-B-De acuerdo-% del N de fila,B6-B-De acuerdo-% de N columnas,B6-B-En desacuerdo-Recuento,B6-B-En desacuerdo-% del N de fila,B6-B-En desacuerdo-% de N columnas,B6-B-Totalmente en desacuerdo-Recuento,B6-B-Totalmente en desacuerdo-% del N de fila,B6-B-Totalmente en desacuerdo-% de N columnas,B6-B-No sé o no estoy seguro-Recuento,B6-B-No sé o no estoy seguro-% del N de fila,B6-B-No sé o no estoy seguro-% de N columnas,B6-C-Totalmente de acuerdo-Recuento,B6-C-Totalmente de acuerdo-% del N de fila,B6-C-Totalmente de acuerdo-% de N columnas,B6-C-De acuerdo-Recuento,B6-C-De acuerdo-% del N de fila,B6-C-De acuerdo-% de N columnas,B6-C-En desacuerdo-Recuento,B6-C-En desacuerdo-% del N de fila,B6-C-En desacuerdo-% de N columnas,B6-C-Totalmente en desacuerdo-Recuento,B6-C-Totalmente en desacuerdo-% del N de fila,B6-C-Totalmente en desacuerdo-% de N columnas,B6-C-No sé o no estoy seguro-Recuento,B6-C-No sé o no estoy seguro-% del N de fila,B6-C-No sé o no estoy seguro-% de N columnas,B6-D-Totalmente de acuerdo-Recuento,B6-D-Totalmente de acuerdo-% del N de fila,B6-D-Totalmente de acuerdo-% de N columnas,B6-D-De acuerdo-Recuento,B6-D-De acuerdo-% del N de fila,B6-D-De acuerdo-% de N columnas,B6-D-En desacuerdo-Recuento,B6-D-En desacuerdo-% del N de fila,B6-D-En desacuerdo-% de N columnas,B6-D-Totalmente en desacuerdo-Recuento,B6-D-Totalmente en desacuerdo-% del N de fila,B6-D-Totalmente en desacuerdo-% de N columnas,B6-D-No sé o no estoy seguro-Recuento,B6-D-No sé o no estoy seguro-% del N de fila,B6-D-No sé o no estoy seguro-% de N columnas,B6-E-Totalmente de acuerdo-Recuento,B6-E-Totalmente de acuerdo-% del N de fila,B6-E-Totalmente de acuerdo-% de N columnas,B6-E-De acuerdo-Recuento,B6-E-De acuerdo-% del N de fila,B6-E-De acuerdo-% de N columnas,B6-E-En desacuerdo-Recuento,B6-E-En desacuerdo-% del N de fila,B6-E-En desacuerdo-% de N columnas,B6-E-Totalmente en desacuerdo-Recuento,B6-E-Totalmente en desacuerdo-% del N de fila,B6-E-Totalmente en desacuerdo-% de N columnas,B6-E-No sé o no estoy seguro-Recuento,B6-E-No sé o no estoy seguro-% del N de fila,B6-E-No sé o no estoy seguro-% de N columnas,B6-F-Totalmente de acuerdo-Recuento,B6-F-Totalmente de acuerdo-% del N de fila,B6-F-Totalmente de acuerdo-% de N columnas,B6-F-De acuerdo-Recuento,B6-F-De acuerdo-% del N de fila,B6-F-De acuerdo-% de N columnas,B6-F-En desacuerdo-Recuento,B6-F-En desacuerdo-% del N de fila,B6-F-En desacuerdo-% de N columnas,B6-F-Totalmente en desacuerdo-Recuento,B6-F-Totalmente en desacuerdo-% del N de fila,B6-F-Totalmente en desacuerdo-% de N columnas,B6-F-No sé o no estoy seguro-Recuento,B6-F-No sé o no estoy seguro-% del N de fila,B6-F-No sé o no estoy seguro-% de N columnas,B6-G-Totalmente de acuerdo-Recuento,B6-G-Totalmente de acuerdo-% del N de fila,B6-G-Totalmente de acuerdo-% de N columnas,B6-G-De acuerdo-Recuento,B6-G-De acuerdo-% del N de fila,B6-G-De acuerdo-% de N columnas,B6-G-En desacuerdo-Recuento,B6-G-En desacuerdo-% del N de fila,B6-G-En desacuerdo-% de N columnas,B6-G-Totalmente en desacuerdo-Recuento,B6-G-Totalmente en desacuerdo-% del N de fila,B6-G-Totalmente en desacuerdo-% de N columnas,B6-G-No sé o no estoy seguro-Recuento,B6-G-No sé o no estoy seguro-% del N de fila,B6-G-No sé o no estoy seguro-% de N columnas,B6-H-Totalmente de acuerdo-Recuento,B6-H-Totalmente de acuerdo-% del N de fila,B6-H-Totalmente de acuerdo-% de N columnas,B6-H-De acuerdo-Recuento,B6-H-De acuerdo-% del N de fila,B6-H-De acuerdo-% de N columnas,B6-H-En desacuerdo-Recuento,B6-H-En desacuerdo-% del N de fila,B6-H-En desacuerdo-% de N columnas,B6-H-Totalmente en desacuerdo-Recuento,B6-H-Totalmente en desacuerdo-% del N de fila,B6-H-Totalmente en desacuerdo-% de N columnas,B6-H-No sé o no estoy seguro-Recuento,B6-H-No sé o no estoy seguro-% del N de fila,B6-H-No sé o no estoy seguro-% de N columnas,B6-I-Totalmente de acuerdo-Recuento,B6-I-Totalmente de acuerdo-% del N de fila,B6-I-Totalmente de acuerdo-% de N columnas,B6-I-De acuerdo-Recuento,B6-I-De acuerdo-% del N de fila,B6-I-De acuerdo-% de N columnas,B6-I-En desacuerdo-Recuento,B6-I-En desacuerdo-% del N de fila,B6-I-En desacuerdo-% de N columnas,B6-I-Totalmente en desacuerdo-Recuento,B6-I-Totalmente en desacuerdo-% del N de fila,B6-I-Totalmente en desacuerdo-% de N columnas,B6-I-No sé o no estoy seguro-Recuento,B6-I-No sé o no estoy seguro-% del N de fila,B6-I-No sé o no estoy seguro-% de N columnas
AGUASCALIENTES,259,0.177,0.048,908,0.622,0.05,179,0.123,0.051,24,0.016,0.044,90,0.062,0.051,412,0.282,0.048,874,0.599,0.049,127,0.087,0.065,17,0.012,0.054,30,0.021,0.05,473,0.324,0.047,858,0.588,0.05,99,0.068,0.063,10,0.007,0.039,20,0.014,0.051,485,0.332,0.046,846,0.579,0.05,99,0.068,0.07,10,0.007,0.044,20,0.014,0.048,359,0.246,0.047,931,0.638,0.049,105,0.072,0.06,15,0.01,0.074,50,0.034,0.049,556,0.381,0.048,803,0.55,0.05,72,0.049,0.055,12,0.008,0.053,17,0.012,0.04,650,0.445,0.049,767,0.525,0.05,29,0.02,0.047,5,0.003,0.044,9,0.006,0.056,446,0.305,0.048,858,0.588,0.05,103,0.071,0.056,16,0.011,0.07,37,0.025,0.038,344,0.236,0.049,891,0.61,0.049,133,0.091,0.057,21,0.014,0.056,71,0.049,0.046
BAJA CALIFORNIA,16,0.143,0.003,66,0.589,0.004,20,0.179,0.006,4,0.036,0.007,6,0.054,0.003,29,0.259,0.003,71,0.634,0.004,10,0.089,0.005,0,0,0,2,0.018,0.003,31,0.277,0.003,74,0.661,0.004,7,0.063,0.004,0,0,0,0,0,0,35,0.313,0.003,71,0.634,0.004,3,0.027,0.002,0,0,0,3,0.027,0.007,28,0.25,0.004,73,0.652,0.004,8,0.071,0.005,0,0,0,3,0.027,0.003,44,0.393,0.004,63,0.563,0.004,4,0.036,0.003,0,0,0,1,0.009,0.002,52,0.464,0.004,58,0.518,0.004,2,0.018,0.003,0,0,0,0,0,0,41,0.366,0.004,57,0.509,0.003,8,0.071,0.004,1,0.009,0.004,5,0.045,0.005,27,0.241,0.004,72,0.643,0.004,5,0.045,0.002,0,0,0,8,0.071,0.005
BAJA CALIFORNIA SUR,237,0.19,0.044,782,0.626,0.043,136,0.109,0.039,14,0.011,0.026,80,0.064,0.045,397,0.318,0.046,760,0.608,0.042,58,0.046,0.03,7,0.006,0.022,27,0.022,0.045,431,0.345,0.043,756,0.605,0.044,43,0.034,0.027,4,0.003,0.015,15,0.012,0.038,468,0.375,0.045,708,0.567,0.042,56,0.045,0.04,4,0.003,0.018,13,0.01,0.031,354,0.283,0.046,781,0.625,0.041,61,0.049,0.035,2,0.002,0.01,51,0.041,0.05,499,0.4,0.043,660,0.528,0.041,64,0.051,0.049,6,0.005,0.027,20,0.016,0.048,609,0.488,0.046,608,0.487,0.04,24,0.019,0.039,2,0.002,0.018,6,0.005,0.037,449,0.359,0.048,690,0.552,0.04,60,0.048,0.033,2,0.002,0.009,48,0.038,0.05,341,0.273,0.048,726,0.581,0.04,104,0.083,0.044,9,0.007,0.024,69,0.055,0.044
CAMPECHE,85,0.158,0.016,356,0.663,0.019,66,0.123,0.019,7,0.013,0.013,23,0.043,0.013,126,0.235,0.015,363,0.676,0.02,34,0.063,0.017,3,0.006,0.01,11,0.02,0.018,152,0.283,0.015,350,0.652,0.02,28,0.052,0.018,3,0.006,0.012,4,0.007,0.01,156,0.291,0.015,344,0.641,0.02,28,0.052,0.02,4,0.007,0.018,5,0.009,0.012,113,0.21,0.015,371,0.691,0.02,33,0.061,0.019,5,0.009,0.025,15,0.028,0.015,195,0.363,0.017,314,0.585,0.02,22,0.041,0.017,2,0.004,0.009,4,0.007,0.01,205,0.382,0.015,315,0.587,0.021,14,0.026,0.023,1,0.002,0.009,2,0.004,0.012,143,0.266,0.015,348,0.648,0.02,28,0.052,0.015,2,0.004,0.009,16,0.03,0.017,115,0.215,0.016,360,0.672,0.02,37,0.069,0.016,4,0.007,0.011,20,0.037,0.013
CHIAPAS,53,0.217,0.01,156,0.639,0.009,23,0.094,0.007,1,0.004,0.002,11,0.045,0.006,67,0.275,0.008,155,0.635,0.009,16,0.066,0.008,1,0.004,0.003,5,0.02,0.008,73,0.299,0.007,160,0.656,0.009,9,0.037,0.006,0,0,0,2,0.008,0.005,84,0.344,0.008,149,0.611,0.009,9,0.037,0.006,0,0,0,2,0.008,0.005,67,0.275,0.009,156,0.639,0.008,14,0.057,0.008,0,0,0,7,0.029,0.007,96,0.393,0.008,128,0.525,0.008,16,0.066,0.012,0,0,0,4,0.016,0.01,106,0.434,0.008,129,0.529,0.008,7,0.029,0.011,0,0,0,2,0.008,0.012,85,0.348,0.009,142,0.582,0.008,13,0.053,0.007,0,0,0,4,0.016,0.004,61,0.25,0.009,151,0.619,0.008,17,0.07,0.007,3,0.012,0.008,12,0.049,0.008
CHIHUAHUA,242,0.166,0.045,932,0.639,0.051,176,0.121,0.05,28,0.019,0.051,81,0.056,0.046,398,0.273,0.046,915,0.627,0.051,105,0.072,0.054,15,0.01,0.048,26,0.018,0.043,457,0.313,0.046,901,0.618,0.052,71,0.049,0.045,13,0.009,0.05,17,0.012,0.043,491,0.337,0.047,871,0.597,0.051,71,0.049,0.05,13,0.009,0.057,13,0.009,0.031,372,0.255,0.048,951,0.652,0.05,83,0.057,0.048,9,0.006,0.045,44,0.03,0.043,504,0.345,0.044,855,0.586,0.053,67,0.046,0.051,7,0.005,0.031,26,0.018,0.062,597,0.409,0.045,819,0.561,0.053,35,0.024,0.057,1,0.001,0.009,7,0.005,0.043,445,0.305,0.048,881,0.604,0.051,92,0.063,0.05,11,0.008,0.048,30,0.021,0.031,324,0.222,0.046,924,0.633,0.051,122,0.084,0.052,16,0.011,0.043,73,0.05,0.047
CIUDAD DE MÉXICO,283,0.163,0.052,1039,0.597,0.057,253,0.145,0.072,37,0.021,0.068,129,0.074,0.073,472,0.271,0.055,1056,0.607,0.059,138,0.079,0.071,25,0.014,0.08,50,0.029,0.083,545,0.313,0.055,1015,0.583,0.059,122,0.07,0.078,24,0.014,0.093,35,0.02,0.089,585,0.336,0.056,995,0.572,0.059,109,0.063,0.078,18,0.01,0.079,34,0.02,0.081,415,0.238,0.054,1098,0.631,0.058,142,0.082,0.081,14,0.008,0.069,72,0.041,0.071,681,0.391,0.059,932,0.535,0.058,78,0.045,0.059,19,0.011,0.084,31,0.018,0.074,786,0.451,0.059,893,0.513,0.058,41,0.024,0.067,5,0.003,0.044,16,0.009,0.099,478,0.275,0.051,1008,0.579,0.059,161,0.092,0.088,16,0.009,0.07,78,0.045,0.081,389,0.223,0.055,1027,0.59,0.057,186,0.107,0.079,21,0.012,0.056,118,0.068,0.076
COAHUILA,77,0.21,0.014,225,0.615,0.012,29,0.079,0.008,8,0.022,0.015,27,0.074,0.015,108,0.295,0.013,217,0.593,0.012,23,0.063,0.012,9,0.025,0.029,9,0.025,0.015,133,0.363,0.013,203,0.555,0.012,17,0.046,0.011,8,0.022,0.031,5,0.014,0.013,138,0.377,0.013,203,0.555,0.012,15,0.041,0.011,4,0.011,0.018,6,0.016,0.014,107,0.292,0.014,218,0.596,0.012,22,0.06,0.013,4,0.011,0.02,15,0.041,0.015,153,0.418,0.013,190,0.519,0.012,13,0.036,0.01,6,0.016,0.027,4,0.011,0.01,180,0.492,0.014,172,0.47,0.011,10,0.027,0.016,2,0.005,0.018,2,0.005,0.012,125,0.342,0.013,204,0.557,0.012,27,0.074,0.015,2,0.005,0.009,8,0.022,0.008,93,0.254,0.013,221,0.604,0.012,32,0.087,0.014,3,0.008,0.008,17,0.046,0.011
COLIMA,184,0.181,0.034,601,0.593,0.033,145,0.143,0.041,26,0.026,0.047,58,0.057,0.033,297,0.293,0.035,604,0.596,0.034,75,0.074,0.039,14,0.014,0.045,24,0.024,0.04,349,0.344,0.035,582,0.574,0.034,63,0.062,0.04,9,0.009,0.035,11,0.011,0.028,370,0.365,0.035,564,0.556,0.033,57,0.056,0.041,10,0.01,0.044,13,0.013,0.031,262,0.258,0.034,653,0.644,0.035,53,0.052,0.03,15,0.015,0.074,31,0.031,0.031,377,0.372,0.033,563,0.555,0.035,47,0.046,0.036,12,0.012,0.053,15,0.015,0.036,448,0.442,0.034,529,0.522,0.034,24,0.024,0.039,7,0.007,0.061,6,0.006,0.037,330,0.325,0.035,577,0.569,0.034,59,0.058,0.032,12,0.012,0.052,36,0.036,0.037,245,0.242,0.035,600,0.592,0.033,89,0.088,0.038,18,0.018,0.048,62,0.061,0.04
DURANGO,149,0.152,0.028,616,0.629,0.034,135,0.138,0.039,19,0.019,0.035,60,0.061,0.034,269,0.275,0.031,613,0.626,0.034,61,0.062,0.031,14,0.014,0.045,22,0.022,0.036,318,0.325,0.032,576,0.588,0.033,50,0.051,0.032,18,0.018,0.069,17,0.017,0.043,347,0.354,0.033,556,0.568,0.033,49,0.05,0.035,10,0.01,0.044,17,0.017,0.041,226,0.231,0.029,660,0.674,0.035,58,0.059,0.033,7,0.007,0.035,28,0.029,0.028,384,0.392,0.033,532,0.543,0.033,41,0.042,0.031,7,0.007,0.031,15,0.015,0.036,416,0.425,0.031,537,0.549,0.035,19,0.019,0.031,2,0.002,0.018,5,0.005,0.031,278,0.284,0.03,593,0.606,0.035,62,0.063,0.034,9,0.009,0.039,37,0.038,0.038,204,0.208,0.029,620,0.633,0.034,77,0.079,0.033,15,0.015,0.04,63,0.064,0.041
