Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
AGUASCALIENTES,505,0.35,0.05,833,0.57,0.05,111,0.08,0.05,7,0.01,0.05,501,0.34,0.05,861,0.59,0.05,89,0.06,0.04,5,0,0.03,516,0.35,0.05,766,0.53,0.05,150,0.1,0.05,24,0.02,0.04,585,0.4,0.05,759,0.52,0.05,100,0.07,0.05,12,0.01,0.06,581,0.4,0.05,743,0.51,0.05,113,0.08,0.05,19,0.01,0.05,626,0.43,0.05,713,0.49,0.05,104,0.07,0.05,13,0.01,0.04,565,0.39,0.05,792,0.54,0.05,89,0.06,0.04,10,0.01,0.05,480,0.33,0.05,817,0.56,0.05,139,0.1,0.05,19,0.01,0.05
BAJA CALIFORNIA,42,0.38,0,61,0.55,0,9,0.08,0,0,0,0,44,0.39,0,61,0.55,0,6,0.05,0,1,0.01,0.01,50,0.45,0.01,51,0.46,0,10,0.09,0,1,0.01,0,51,0.46,0,56,0.5,0,4,0.04,0,1,0.01,0.01,54,0.48,0.01,54,0.48,0,4,0.04,0,0,0,0,50,0.45,0,50,0.45,0,9,0.08,0,3,0.03,0.01,52,0.46,0.01,50,0.45,0,10,0.09,0.01,0,0,0,44,0.39,0.01,56,0.5,0,11,0.1,0,1,0.01,0
BAJA CALIFORNIA SUR,451,0.36,0.05,678,0.54,0.04,116,0.09,0.05,7,0.01,0.05,447,0.36,0.05,688,0.55,0.04,110,0.09,0.05,7,0.01,0.05,457,0.37,0.04,615,0.49,0.04,144,0.12,0.05,36,0.03,0.06,498,0.4,0.04,646,0.52,0.04,98,0.08,0.05,10,0.01,0.05,490,0.39,0.04,630,0.5,0.04,113,0.09,0.05,19,0.02,0.05,511,0.41,0.04,632,0.51,0.04,86,0.07,0.04,22,0.02,0.06,496,0.4,0.05,650,0.52,0.04,90,0.07,0.04,16,0.01,0.07,453,0.36,0.05,675,0.54,0.04,100,0.08,0.04,24,0.02,0.06
CAMPECHE,164,0.31,0.02,321,0.6,0.02,47,0.09,0.02,5,0.01,0.03,146,0.27,0.02,347,0.65,0.02,39,0.07,0.02,5,0.01,0.03,184,0.34,0.02,271,0.51,0.02,60,0.11,0.02,22,0.04,0.03,197,0.37,0.02,294,0.55,0.02,41,0.08,0.02,5,0.01,0.03,190,0.35,0.02,290,0.54,0.02,44,0.08,0.02,13,0.02,0.03,190,0.35,0.02,303,0.56,0.02,34,0.06,0.02,10,0.02,0.03,188,0.35,0.02,309,0.58,0.02,34,0.06,0.02,6,0.01,0.03,155,0.29,0.02,331,0.62,0.02,42,0.08,0.02,9,0.02,0.02
CHIAPAS,76,0.32,0.01,143,0.59,0.01,22,0.09,0.01,0,0,0,80,0.33,0.01,151,0.63,0.01,10,0.04,0.01,0,0,0,84,0.35,0.01,119,0.49,0.01,34,0.14,0.01,4,0.02,0.01,96,0.4,0.01,127,0.53,0.01,13,0.05,0.01,5,0.02,0.03,95,0.39,0.01,127,0.53,0.01,15,0.06,0.01,4,0.02,0.01,108,0.45,0.01,112,0.47,0.01,18,0.08,0.01,3,0.01,0.01,98,0.41,0.01,126,0.52,0.01,12,0.05,0.01,5,0.02,0.02,86,0.36,0.01,130,0.54,0.01,20,0.08,0.01,5,0.02,0.01
CHIHUAHUA,490,0.34,0.05,866,0.59,0.05,98,0.07,0.04,5,0,0.03,510,0.35,0.05,856,0.59,0.05,90,0.06,0.04,3,0,0.02,545,0.37,0.05,770,0.53,0.05,127,0.09,0.04,17,0.01,0.03,615,0.42,0.05,769,0.53,0.05,71,0.05,0.04,4,0,0.02,575,0.39,0.05,783,0.54,0.05,94,0.06,0.04,7,0.01,0.02,602,0.41,0.05,753,0.52,0.05,87,0.06,0.04,17,0.01,0.05,560,0.38,0.05,820,0.56,0.05,71,0.05,0.04,8,0.01,0.04,499,0.34,0.05,848,0.58,0.05,101,0.07,0.04,11,0.01,0.03
CIUDAD DE MÉXICO,585,0.34,0.06,975,0.56,0.06,170,0.1,0.08,12,0.01,0.08,562,0.32,0.06,1007,0.58,0.06,163,0.09,0.08,10,0.01,0.06,618,0.36,0.06,845,0.49,0.06,227,0.13,0.07,52,0.03,0.08,665,0.38,0.06,924,0.53,0.06,141,0.08,0.08,12,0.01,0.06,653,0.38,0.06,872,0.5,0.06,189,0.11,0.08,28,0.02,0.07,635,0.37,0.05,934,0.54,0.06,148,0.09,0.07,25,0.01,0.07,626,0.36,0.06,947,0.54,0.06,151,0.09,0.07,18,0.01,0.08,537,0.31,0.06,965,0.55,0.06,206,0.12,0.07,34,0.02,0.09
COAHUILA,129,0.35,0.01,210,0.58,0.01,24,0.07,0.01,1,0,0.01,116,0.32,0.01,230,0.63,0.01,18,0.05,0.01,0,0,0,119,0.33,0.01,211,0.58,0.01,29,0.08,0.01,5,0.01,0.01,137,0.38,0.01,205,0.56,0.01,21,0.06,0.01,1,0,0.01,136,0.37,0.01,207,0.57,0.01,17,0.05,0.01,4,0.01,0.01,143,0.39,0.01,196,0.54,0.01,24,0.07,0.01,1,0,0,138,0.38,0.01,203,0.56,0.01,19,0.05,0.01,4,0.01,0.02,116,0.32,0.01,204,0.56,0.01,38,0.1,0.01,6,0.02,0.02
COLIMA,363,0.36,0.04,554,0.55,0.03,90,0.09,0.04,7,0.01,0.05,353,0.35,0.04,583,0.58,0.03,69,0.07,0.03,9,0.01,0.06,367,0.36,0.03,504,0.5,0.03,118,0.12,0.04,25,0.03,0.04,415,0.41,0.03,509,0.5,0.03,78,0.08,0.04,12,0.01,0.06,406,0.4,0.04,502,0.5,0.03,81,0.08,0.03,25,0.03,0.06,401,0.4,0.03,528,0.52,0.04,69,0.07,0.03,16,0.02,0.05,375,0.37,0.03,550,0.54,0.03,79,0.08,0.04,10,0.01,0.05,328,0.32,0.03,565,0.56,0.03,103,0.1,0.04,18,0.02,0.05
DURANGO,292,0.3,0.03,601,0.61,0.04,79,0.08,0.04,10,0.01,0.07,314,0.32,0.03,593,0.6,0.03,67,0.07,0.03,8,0.01,0.05,323,0.33,0.03,519,0.53,0.04,118,0.12,0.04,22,0.02,0.03,375,0.38,0.03,534,0.54,0.04,59,0.06,0.03,14,0.01,0.07,354,0.36,0.03,537,0.55,0.04,80,0.08,0.03,11,0.01,0.03,359,0.37,0.03,534,0.54,0.04,75,0.08,0.04,14,0.01,0.04,328,0.33,0.03,564,0.57,0.04,81,0.08,0.04,9,0.01,0.04,295,0.3,0.03,590,0.6,0.04,80,0.08,0.03,17,0.02,0.05
ESTADO DE MÉXICO,447,0.38,0.05,649,0.55,0.04,74,0.06,0.03,8,0.01,0.05,416,0.35,0.04,670,0.57,0.04,81,0.07,0.04,11,0.01,0.07,432,0.37,0.04,595,0.51,0.04,116,0.1,0.04,35,0.03,0.05,529,0.45,0.04,571,0.49,0.04,71,0.06,0.04,7,0.01,0.04,487,0.41,0.04,580,0.49,0.04,93,0.08,0.04,18,0.02,0.05,500,0.42,0.04,580,0.49,0.04,82,0.07,0.04,16,0.01,0.05,472,0.4,0.04,615,0.52,0.04,77,0.07,0.04,14,0.01,0.06,398,0.34,0.04,643,0.55,0.04,116,0.1,0.04,21,0.02,0.06
