Variable,B3-A-Formar parte de alguna red de docentes/directores-Recuento,B3-A-Formar parte de alguna red de docentes/directores-% del N de fila,B3-A-Formar parte de alguna red de docentes/directores-% de N columnas,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-B-Formar parte de alguna red de docentes/directores-Recuento,B3-B-Formar parte de alguna red de docentes/directores-% del N de fila,B3-B-Formar parte de alguna red de docentes/directores-% de N columnas,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-C-Formar parte de alguna red de docentes/directores-Recuento,B3-C-Formar parte de alguna red de docentes/directores-% del N de fila,B3-C-Formar parte de alguna red de docentes/directores-% de N columnas,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-D-Formar parte de alguna red de docentes/directores-Recuento,B3-D-Formar parte de alguna red de docentes/directores-% del N de fila,B3-D-Formar parte de alguna red de docentes/directores-% de N columnas,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-E-Formar parte de alguna red de docentes/directores-Recuento,B3-E-Formar parte de alguna red de docentes/directores-% del N de fila,B3-E-Formar parte de alguna red de docentes/directores-% de N columnas,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-F-Formar parte de alguna red de docentes/directores-Recuento,B3-F-Formar parte de alguna red de docentes/directores-% del N de fila,B3-F-Formar parte de alguna red de docentes/directores-% de N columnas,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas
AGUASCALIENTES,249,0.17,0.06,330,0.23,0.05,240,0.17,0.05,184,0.13,0.05,111,0.08,0.05,341,0.23,0.05,157,0.11,0.05,307,0.21,0.05,264,0.18,0.05,264,0.18,0.06,222,0.15,0.05,241,0.17,0.05,209,0.14,0.05,197,0.14,0.05,188,0.13,0.04,303,0.21,0.05,296,0.2,0.05,262,0.18,0.05,259,0.18,0.05,182,0.13,0.05,225,0.16,0.05,276,0.19,0.05,281,0.19,0.05,231,0.16,0.05,224,0.15,0.05,257,0.18,0.06,243,0.17,0.05,256,0.18,0.05,284,0.2,0.05,190,0.13,0.05,357,0.25,0.04,181,0.12,0.05,294,0.2,0.06,172,0.12,0.04,260,0.18,0.05,190,0.13,0.06
BAJA CALIFORNIA,19,0.17,0,28,0.25,0,15,0.13,0,18,0.16,0.01,9,0.08,0,23,0.21,0,10,0.09,0,29,0.26,0.01,20,0.18,0,16,0.14,0,12,0.11,0,25,0.22,0.01,9,0.08,0,20,0.18,0.01,11,0.1,0,29,0.26,0.01,23,0.21,0,20,0.18,0,17,0.15,0,16,0.14,0,16,0.14,0,19,0.17,0,30,0.27,0.01,14,0.13,0,19,0.17,0,5,0.05,0,29,0.26,0.01,20,0.18,0,21,0.19,0,18,0.16,0.01,38,0.34,0.01,14,0.13,0,21,0.19,0,10,0.09,0,17,0.15,0,12,0.11,0
BAJA CALIFORNIA SUR,229,0.18,0.05,241,0.19,0.04,226,0.18,0.04,179,0.14,0.05,107,0.09,0.05,269,0.22,0.04,146,0.12,0.05,279,0.22,0.04,206,0.17,0.04,200,0.16,0.04,199,0.16,0.04,221,0.18,0.04,163,0.13,0.04,189,0.15,0.04,174,0.14,0.04,249,0.2,0.04,234,0.19,0.04,242,0.19,0.04,189,0.15,0.04,180,0.14,0.05,194,0.16,0.04,231,0.19,0.04,263,0.21,0.04,194,0.16,0.04,168,0.13,0.04,220,0.18,0.05,210,0.17,0.04,222,0.18,0.04,248,0.2,0.04,183,0.15,0.05,356,0.29,0.04,142,0.11,0.04,241,0.19,0.05,170,0.14,0.04,200,0.16,0.04,142,0.11,0.04
CAMPECHE,88,0.16,0.02,122,0.23,0.02,91,0.17,0.02,60,0.11,0.02,51,0.1,0.02,124,0.23,0.02,54,0.1,0.02,104,0.19,0.02,115,0.22,0.02,85,0.16,0.02,83,0.16,0.02,95,0.18,0.02,67,0.13,0.02,79,0.15,0.02,85,0.16,0.02,91,0.17,0.02,99,0.19,0.02,115,0.22,0.02,94,0.18,0.02,84,0.16,0.02,81,0.15,0.02,92,0.17,0.02,103,0.19,0.02,82,0.15,0.02,80,0.15,0.02,92,0.17,0.02,75,0.14,0.02,112,0.21,0.02,113,0.21,0.02,64,0.12,0.02,153,0.29,0.02,55,0.1,0.02,89,0.17,0.02,96,0.18,0.02,87,0.16,0.02,56,0.1,0.02
CHIAPAS,39,0.16,0.01,63,0.26,0.01,36,0.15,0.01,24,0.1,0.01,22,0.09,0.01,57,0.24,0.01,27,0.11,0.01,46,0.19,0.01,57,0.24,0.01,34,0.14,0.01,35,0.15,0.01,42,0.17,0.01,45,0.19,0.01,36,0.15,0.01,36,0.15,0.01,49,0.2,0.01,41,0.17,0.01,34,0.14,0.01,35,0.15,0.01,26,0.11,0.01,35,0.15,0.01,61,0.25,0.01,52,0.22,0.01,31,0.13,0.01,28,0.12,0.01,43,0.18,0.01,39,0.16,0.01,40,0.17,0.01,46,0.19,0.01,44,0.18,0.01,67,0.28,0.01,26,0.11,0.01,38,0.16,0.01,32,0.13,0.01,45,0.19,0.01,32,0.13,0.01
CHIHUAHUA,222,0.15,0.05,338,0.23,0.05,198,0.14,0.04,196,0.13,0.06,133,0.09,0.06,371,0.25,0.05,188,0.13,0.06,266,0.18,0.04,245,0.17,0.04,250,0.17,0.05,235,0.16,0.05,274,0.19,0.05,202,0.14,0.05,203,0.14,0.05,254,0.17,0.06,267,0.18,0.05,259,0.18,0.05,273,0.19,0.05,255,0.18,0.05,208,0.14,0.05,218,0.15,0.05,301,0.21,0.05,268,0.18,0.05,207,0.14,0.05,221,0.15,0.05,249,0.17,0.05,268,0.18,0.06,246,0.17,0.04,299,0.21,0.05,174,0.12,0.05,369,0.25,0.04,193,0.13,0.06,275,0.19,0.06,198,0.14,0.05,263,0.18,0.05,159,0.11,0.05
CIUDAD DE MÉXICO,212,0.12,0.05,444,0.26,0.07,348,0.2,0.07,161,0.09,0.05,117,0.07,0.05,459,0.26,0.06,183,0.11,0.06,399,0.23,0.06,368,0.21,0.07,285,0.16,0.06,273,0.16,0.06,233,0.13,0.05,245,0.14,0.06,235,0.14,0.06,272,0.16,0.06,324,0.19,0.06,304,0.18,0.06,359,0.21,0.07,290,0.17,0.06,234,0.14,0.06,238,0.14,0.05,356,0.21,0.06,367,0.21,0.06,253,0.15,0.06,273,0.16,0.06,238,0.14,0.05,267,0.15,0.06,366,0.21,0.07,382,0.22,0.06,212,0.12,0.06,535,0.31,0.06,190,0.11,0.05,245,0.14,0.05,248,0.14,0.06,297,0.17,0.06,223,0.13,0.06
COAHUILA,64,0.18,0.02,67,0.19,0.01,46,0.13,0.01,63,0.17,0.02,29,0.08,0.01,94,0.26,0.01,46,0.13,0.02,61,0.17,0.01,59,0.16,0.01,54,0.15,0.01,63,0.17,0.01,80,0.22,0.02,35,0.1,0.01,59,0.16,0.01,50,0.14,0.01,75,0.21,0.01,86,0.24,0.02,58,0.16,0.01,71,0.2,0.01,55,0.15,0.01,59,0.16,0.01,55,0.15,0.01,74,0.2,0.01,49,0.14,0.01,55,0.15,0.01,70,0.19,0.02,68,0.19,0.01,65,0.18,0.01,59,0.16,0.01,45,0.12,0.01,92,0.25,0.01,51,0.14,0.02,81,0.22,0.02,50,0.14,0.01,51,0.14,0.01,37,0.1,0.01
COLIMA,173,0.17,0.04,239,0.24,0.04,183,0.18,0.04,109,0.11,0.03,96,0.1,0.04,214,0.21,0.03,94,0.09,0.03,251,0.25,0.04,183,0.18,0.03,179,0.18,0.04,138,0.14,0.03,169,0.17,0.03,148,0.15,0.04,127,0.13,0.03,168,0.17,0.04,198,0.2,0.03,190,0.19,0.04,183,0.18,0.03,166,0.16,0.03,132,0.13,0.03,127,0.13,0.03,216,0.21,0.04,198,0.2,0.03,174,0.17,0.04,179,0.18,0.04,152,0.15,0.03,170,0.17,0.04,179,0.18,0.03,209,0.21,0.04,123,0.12,0.03,254,0.25,0.03,111,0.11,0.03,182,0.18,0.04,132,0.13,0.03,183,0.18,0.04,150,0.15,0.04
DURANGO,135,0.14,0.03,207,0.21,0.03,148,0.15,0.03,113,0.12,0.03,95,0.1,0.04,284,0.29,0.04,114,0.12,0.04,202,0.21,0.03,179,0.18,0.03,158,0.16,0.03,157,0.16,0.03,172,0.18,0.03,128,0.13,0.03,160,0.16,0.04,151,0.15,0.03,189,0.19,0.03,190,0.19,0.04,163,0.17,0.03,184,0.19,0.04,116,0.12,0.03,162,0.17,0.04,184,0.19,0.03,189,0.19,0.03,146,0.15,0.03,156,0.16,0.03,159,0.16,0.03,170,0.17,0.04,183,0.19,0.03,193,0.2,0.03,119,0.12,0.03,264,0.27,0.03,137,0.14,0.04,171,0.17,0.03,154,0.16,0.04,157,0.16,0.03,97,0.1,0.03
ESTADO DE MÉXICO,167,0.14,0.04,274,0.23,0.04,215,0.18,0.04,131,0.11,0.04,108,0.09,0.05,283,0.24,0.04,122,0.1,0.04,262,0.22,0.04,224,0.19,0.04,187,0.16,0.04,197,0.17,0.04,186,0.16,0.04,146,0.12,0.04,173,0.15,0.04,164,0.14,0.04,247,0.21,0.04,231,0.2,0.04,217,0.18,0.04,229,0.19,0.05,139,0.12,0.04,146,0.12,0.03,216,0.18,0.04,236,0.2,0.04,212,0.18,0.05,183,0.16,0.04,190,0.16,0.04,208,0.18,0.04,248,0.21,0.04,219,0.19,0.04,130,0.11,0.04,331,0.28,0.04,140,0.12,0.04,221,0.19,0.04,149,0.13,0.04,187,0.16,0.04,150,0.13,0.04
GUANAJUATO,235,0.14,0.05,391,0.23,0.06,278,0.16,0.05,195,0.11,0.06,163,0.1,0.07,443,0.26,0.06,152,0.09,0.05,372,0.22,0.06,309,0.18,0.06,277,0.16,0.06,302,0.18,0.07,293,0.17,0.06,236,0.14,0.06,259,0.15,0.06,262,0.15,0.06,315,0.19,0.06,310,0.18,0.06,323,0.19,0.06,275,0.16,0.06,224,0.13,0.06,246,0.14,0.06,358,0.21,0.06,349,0.21,0.06,253,0.15,0.06,293,0.17,0.06,255,0.15,0.06,295,0.17,0.06,356,0.21,0.06,304,0.18,0.05,202,0.12,0.06,514,0.3,0.06,204,0.12,0.06,315,0.19,0.06,204,0.12,0.05,277,0.16,0.06,191,0.11,0.06
