Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas
AGUASCALIENTES,926,0.64,0.05,526,0.36,0.05,1039,0.72,0.05,413,0.28,0.05,1074,0.74,0.05,378,0.26,0.05,1137,0.78,0.05,315,0.22,0.05,1144,0.79,0.05,308,0.21,0.05,1117,0.77,0.05,335,0.23,0.05,1149,0.79,0.05,303,0.21,0.05
BAJA CALIFORNIA,56,0.5,0,56,0.5,0.01,72,0.64,0,40,0.36,0.01,81,0.72,0,31,0.28,0,83,0.74,0,29,0.26,0,89,0.8,0,23,0.21,0,79,0.71,0,33,0.3,0.01,83,0.75,0,28,0.25,0
BAJA CALIFORNIA SUR,779,0.62,0.04,470,0.38,0.05,841,0.67,0.04,408,0.33,0.05,919,0.74,0.04,330,0.26,0.04,984,0.79,0.04,265,0.21,0.04,960,0.77,0.04,289,0.23,0.04,947,0.76,0.04,302,0.24,0.04,966,0.77,0.04,283,0.23,0.05
CAMPECHE,359,0.67,0.02,178,0.33,0.02,393,0.73,0.02,144,0.27,0.02,402,0.75,0.02,135,0.25,0.02,414,0.77,0.02,123,0.23,0.02,420,0.78,0.02,117,0.22,0.02,415,0.77,0.02,122,0.23,0.02,433,0.81,0.02,104,0.19,0.02
CHIAPAS,162,0.67,0.01,79,0.33,0.01,186,0.77,0.01,55,0.23,0.01,188,0.78,0.01,53,0.22,0.01,197,0.82,0.01,44,0.18,0.01,200,0.83,0.01,41,0.17,0.01,198,0.82,0.01,43,0.18,0.01,203,0.84,0.01,38,0.16,0.01
CHIHUAHUA,994,0.68,0.05,465,0.32,0.04,1096,0.75,0.05,363,0.25,0.04,1092,0.75,0.05,367,0.25,0.05,1171,0.8,0.05,288,0.2,0.05,1140,0.78,0.05,319,0.22,0.05,1126,0.77,0.05,333,0.23,0.05,1176,0.81,0.05,283,0.19,0.05
CIUDAD DE MÉXICO,1066,0.61,0.06,673,0.39,0.06,1165,0.67,0.06,574,0.33,0.07,1275,0.73,0.06,464,0.27,0.06,1303,0.75,0.06,436,0.25,0.07,1284,0.74,0.06,455,0.26,0.07,1291,0.74,0.06,448,0.26,0.06,1292,0.74,0.06,447,0.26,0.07
COAHUILA,240,0.66,0.01,123,0.34,0.01,263,0.73,0.01,100,0.28,0.01,268,0.74,0.01,95,0.26,0.01,291,0.8,0.01,72,0.2,0.01,279,0.77,0.01,84,0.23,0.01,274,0.76,0.01,89,0.25,0.01,295,0.81,0.01,68,0.19,0.01
COLIMA,579,0.57,0.03,430,0.43,0.04,677,0.67,0.03,332,0.33,0.04,706,0.7,0.03,303,0.3,0.04,756,0.75,0.03,253,0.25,0.04,725,0.72,0.03,284,0.28,0.04,693,0.69,0.03,316,0.31,0.05,749,0.74,0.03,260,0.26,0.04
DURANGO,601,0.61,0.03,384,0.39,0.04,678,0.69,0.03,307,0.31,0.04,702,0.71,0.03,283,0.29,0.04,772,0.78,0.03,213,0.22,0.03,756,0.77,0.03,229,0.23,0.03,735,0.75,0.03,250,0.25,0.04,773,0.79,0.03,212,0.22,0.03
