Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas
AGUASCALIENTES,1193,0.82,0.05,259,0.18,0.05,1239,0.85,0.05,213,0.15,0.05,1206,0.83,0.05,246,0.17,0.05,904,0.62,0.05,548,0.38,0.05,1350,0.93,0.05,102,0.07,0.04,1346,0.93,0.05,106,0.07,0.04,1111,0.77,0.05,341,0.24,0.05,1011,0.7,0.05,441,0.3,0.05,1263,0.87,0.05,189,0.13,0.04
BAJA CALIFORNIA,103,0.93,0,8,0.07,0,100,0.9,0,11,0.1,0,93,0.84,0,18,0.16,0,63,0.57,0,48,0.43,0,102,0.92,0,9,0.08,0,101,0.91,0,10,0.09,0,78,0.7,0,33,0.3,0,76,0.69,0,35,0.32,0,99,0.89,0,12,0.11,0
BAJA CALIFORNIA SUR,952,0.76,0.04,297,0.24,0.05,1051,0.84,0.04,198,0.16,0.05,1012,0.81,0.04,237,0.19,0.05,752,0.6,0.04,497,0.4,0.04,1142,0.91,0.04,107,0.09,0.04,1114,0.89,0.04,135,0.11,0.05,901,0.72,0.04,348,0.28,0.05,825,0.66,0.04,424,0.34,0.05,1040,0.83,0.04,209,0.17,0.05
CAMPECHE,453,0.84,0.02,84,0.16,0.02,462,0.86,0.02,75,0.14,0.02,465,0.87,0.02,72,0.13,0.02,357,0.67,0.02,180,0.34,0.02,497,0.93,0.02,40,0.07,0.02,492,0.92,0.02,44,0.08,0.02,415,0.77,0.02,121,0.23,0.02,376,0.7,0.02,160,0.3,0.02,454,0.85,0.02,82,0.15,0.02
CHIAPAS,180,0.75,0.01,61,0.25,0.01,209,0.87,0.01,32,0.13,0.01,205,0.85,0.01,36,0.15,0.01,145,0.6,0.01,96,0.4,0.01,206,0.86,0.01,35,0.15,0.01,214,0.89,0.01,27,0.11,0.01,169,0.7,0.01,72,0.3,0.01,168,0.7,0.01,73,0.3,0.01,189,0.78,0.01,52,0.22,0.01
CHIHUAHUA,1183,0.81,0.05,276,0.19,0.05,1216,0.83,0.05,243,0.17,0.06,1175,0.81,0.05,284,0.2,0.06,853,0.59,0.05,606,0.42,0.05,1313,0.9,0.05,146,0.1,0.06,1298,0.89,0.05,161,0.11,0.06,1080,0.74,0.05,379,0.26,0.05,1014,0.7,0.05,445,0.31,0.05,1253,0.86,0.05,206,0.14,0.05
CIUDAD DE MÉXICO,1475,0.85,0.06,263,0.15,0.05,1543,0.89,0.06,195,0.11,0.05,1508,0.87,0.06,230,0.13,0.05,1043,0.6,0.06,695,0.4,0.06,1585,0.91,0.06,153,0.09,0.06,1626,0.94,0.06,112,0.06,0.04,1288,0.74,0.06,450,0.26,0.06,1130,0.65,0.06,608,0.35,0.06,1499,0.86,0.06,239,0.14,0.05
COAHUILA,304,0.84,0.01,58,0.16,0.01,282,0.78,0.01,80,0.22,0.02,282,0.78,0.01,80,0.22,0.02,217,0.6,0.01,145,0.4,0.01,320,0.88,0.01,42,0.12,0.02,326,0.9,0.01,36,0.1,0.01,283,0.78,0.01,79,0.22,0.01,243,0.67,0.01,119,0.33,0.01,304,0.84,0.01,58,0.16,0.01
COLIMA,804,0.8,0.03,205,0.2,0.04,860,0.85,0.03,149,0.15,0.04,849,0.84,0.04,160,0.16,0.03,635,0.63,0.04,374,0.37,0.03,918,0.91,0.03,91,0.09,0.04,926,0.92,0.03,83,0.08,0.03,802,0.8,0.04,207,0.21,0.03,708,0.7,0.04,301,0.3,0.03,850,0.84,0.03,159,0.16,0.04
DURANGO,772,0.78,0.03,213,0.22,0.04,772,0.78,0.03,213,0.22,0.05,756,0.77,0.03,229,0.23,0.05,565,0.57,0.03,420,0.43,0.04,877,0.89,0.03,108,0.11,0.04,861,0.88,0.03,123,0.13,0.05,737,0.75,0.03,248,0.25,0.03,653,0.66,0.03,332,0.34,0.04,824,0.84,0.03,161,0.16,0.04
