Variable,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
AGUASCALIENTES,722,0.5,0.05,511,0.35,0.05,215,0.15,0.04,9,0.01,0.04,831,0.57,0.05,531,0.36,0.05,90,0.06,0.04,5,0,0.05,188,0.13,0.04,290,0.2,0.05,720,0.49,0.05,259,0.18,0.05,545,0.37,0.05,623,0.43,0.05,264,0.18,0.05,25,0.02,0.07,567,0.39,0.05,644,0.44,0.05,233,0.16,0.05,13,0.01,0.04,147,0.1,0.05,311,0.21,0.05,630,0.43,0.05,369,0.25,0.05,538,0.37,0.05,642,0.44,0.05,252,0.17,0.05,25,0.02,0.04,529,0.36,0.05,668,0.46,0.05,241,0.17,0.05,19,0.01,0.05,630,0.43,0.05,644,0.44,0.05,168,0.12,0.05,15,0.01,0.06,662,0.45,0.05,616,0.42,0.05,164,0.11,0.04,15,0.01,0.06,587,0.4,0.05,664,0.46,0.05,180,0.12,0.04,26,0.02,0.07
BAJA CALIFORNIA,68,0.61,0.01,27,0.24,0,16,0.14,0,1,0.01,0,82,0.73,0.01,27,0.24,0,3,0.03,0,0,0,0,5,0.05,0,15,0.13,0,55,0.49,0,37,0.33,0.01,57,0.51,0.01,45,0.4,0,9,0.08,0,1,0.01,0,59,0.53,0.01,42,0.38,0,10,0.09,0,1,0.01,0,4,0.04,0,13,0.12,0,52,0.46,0,43,0.38,0.01,53,0.47,0.01,48,0.43,0,10,0.09,0,1,0.01,0,50,0.45,0.01,50,0.45,0,12,0.11,0,0,0,0,57,0.51,0.01,39,0.35,0,15,0.13,0,1,0.01,0,70,0.63,0.01,33,0.3,0,9,0.08,0,0,0,0,67,0.6,0.01,41,0.37,0,3,0.03,0,1,0.01,0
BAJA CALIFORNIA SUR,570,0.46,0.04,469,0.38,0.04,204,0.16,0.04,8,0.01,0.03,709,0.57,0.04,468,0.37,0.04,68,0.05,0.03,6,0.01,0.07,171,0.14,0.04,239,0.19,0.04,605,0.48,0.04,236,0.19,0.05,493,0.39,0.04,534,0.43,0.04,208,0.17,0.04,16,0.01,0.04,431,0.35,0.04,588,0.47,0.05,219,0.18,0.04,13,0.01,0.04,137,0.11,0.04,268,0.21,0.04,515,0.41,0.04,331,0.27,0.04,429,0.34,0.04,571,0.46,0.04,226,0.18,0.04,25,0.02,0.04,404,0.32,0.04,609,0.49,0.05,223,0.18,0.04,15,0.01,0.04,501,0.4,0.04,593,0.47,0.04,151,0.12,0.04,6,0.01,0.03,554,0.44,0.04,540,0.43,0.04,149,0.12,0.04,8,0.01,0.03,511,0.41,0.04,565,0.45,0.04,162,0.13,0.04,13,0.01,0.03
CAMPECHE,263,0.49,0.02,178,0.33,0.02,89,0.17,0.02,7,0.01,0.03,310,0.58,0.02,187,0.35,0.02,37,0.07,0.02,3,0.01,0.03,99,0.18,0.02,110,0.21,0.02,243,0.45,0.02,85,0.16,0.02,232,0.43,0.02,209,0.39,0.02,87,0.16,0.02,9,0.02,0.02,223,0.42,0.02,220,0.41,0.02,83,0.16,0.02,11,0.02,0.03,75,0.14,0.02,113,0.21,0.02,216,0.4,0.02,133,0.25,0.02,214,0.4,0.02,213,0.4,0.02,96,0.18,0.02,14,0.03,0.02,204,0.38,0.02,233,0.43,0.02,89,0.17,0.02,11,0.02,0.03,248,0.46,0.02,213,0.4,0.02,71,0.13,0.02,5,0.01,0.02,255,0.48,0.02,201,0.37,0.02,71,0.13,0.02,10,0.02,0.04,242,0.45,0.02,225,0.42,0.02,62,0.12,0.02,8,0.02,0.02
CHIAPAS,133,0.55,0.01,76,0.31,0.01,34,0.14,0.01,0,0,0,143,0.59,0.01,88,0.36,0.01,12,0.05,0.01,0,0,0,33,0.14,0.01,35,0.14,0.01,126,0.52,0.01,49,0.2,0.01,119,0.49,0.01,79,0.33,0.01,42,0.17,0.01,3,0.01,0.01,94,0.39,0.01,98,0.4,0.01,49,0.2,0.01,2,0.01,0.01,25,0.1,0.01,40,0.17,0.01,103,0.42,0.01,75,0.31,0.01,105,0.43,0.01,95,0.39,0.01,39,0.16,0.01,4,0.02,0.01,97,0.4,0.01,106,0.44,0.01,38,0.16,0.01,2,0.01,0.01,121,0.5,0.01,99,0.41,0.01,23,0.1,0.01,0,0,0,127,0.52,0.01,97,0.4,0.01,17,0.07,0.01,2,0.01,0.01,117,0.48,0.01,97,0.4,0.01,29,0.12,0.01,0,0,0
CHIHUAHUA,631,0.43,0.05,570,0.39,0.05,245,0.17,0.05,14,0.01,0.06,761,0.52,0.05,591,0.41,0.05,102,0.07,0.05,6,0,0.07,230,0.16,0.05,321,0.22,0.06,702,0.48,0.05,207,0.14,0.04,542,0.37,0.05,633,0.43,0.05,263,0.18,0.05,22,0.02,0.06,545,0.37,0.05,641,0.44,0.05,260,0.18,0.05,14,0.01,0.04,182,0.13,0.06,319,0.22,0.05,628,0.43,0.05,331,0.23,0.04,488,0.33,0.05,660,0.45,0.05,278,0.19,0.05,34,0.02,0.06,452,0.31,0.05,725,0.5,0.05,261,0.18,0.05,22,0.02,0.06,569,0.39,0.05,695,0.48,0.05,182,0.13,0.05,14,0.01,0.06,621,0.43,0.05,664,0.46,0.05,165,0.11,0.04,10,0.01,0.04,550,0.38,0.05,667,0.46,0.05,226,0.16,0.05,17,0.01,0.04
CIUDAD DE MÉXICO,718,0.41,0.05,640,0.37,0.06,375,0.21,0.07,17,0.01,0.07,960,0.55,0.06,620,0.35,0.06,169,0.1,0.08,1,0,0.01,258,0.15,0.06,368,0.21,0.06,870,0.5,0.06,254,0.15,0.05,645,0.37,0.06,693,0.4,0.06,392,0.22,0.07,20,0.01,0.05,661,0.38,0.06,752,0.43,0.06,311,0.18,0.06,26,0.02,0.08,173,0.1,0.05,342,0.2,0.06,772,0.44,0.06,463,0.27,0.06,612,0.35,0.06,771,0.44,0.06,324,0.19,0.06,43,0.03,0.07,549,0.31,0.05,815,0.47,0.06,353,0.2,0.07,33,0.02,0.09,701,0.4,0.06,779,0.45,0.06,255,0.15,0.07,15,0.01,0.06,743,0.43,0.06,730,0.42,0.06,265,0.15,0.07,12,0.01,0.05,652,0.37,0.06,799,0.46,0.06,274,0.16,0.07,25,0.01,0.06
COAHUILA,167,0.46,0.01,145,0.4,0.01,52,0.14,0.01,3,0.01,0.01,195,0.53,0.01,146,0.4,0.01,26,0.07,0.01,0,0,0,38,0.1,0.01,69,0.19,0.01,194,0.53,0.01,66,0.18,0.01,147,0.4,0.01,157,0.43,0.01,62,0.17,0.01,1,0,0,154,0.42,0.01,156,0.43,0.01,56,0.15,0.01,1,0,0,38,0.1,0.01,76,0.21,0.01,147,0.4,0.01,106,0.29,0.01,135,0.37,0.01,172,0.47,0.01,56,0.15,0.01,4,0.01,0.01,129,0.35,0.01,181,0.49,0.01,54,0.15,0.01,3,0.01,0.01,162,0.44,0.01,157,0.43,0.01,45,0.12,0.01,3,0.01,0.01,167,0.46,0.01,153,0.42,0.01,44,0.12,0.01,3,0.01,0.01,164,0.45,0.01,159,0.43,0.01,39,0.11,0.01,5,0.01,0.01
COLIMA,568,0.56,0.04,324,0.32,0.03,120,0.12,0.02,3,0,0.01,670,0.66,0.04,302,0.3,0.03,40,0.04,0.02,3,0,0.03,156,0.15,0.04,171,0.17,0.03,447,0.44,0.03,241,0.24,0.05,459,0.45,0.04,391,0.39,0.03,156,0.15,0.03,9,0.01,0.02,465,0.46,0.04,407,0.4,0.03,137,0.14,0.03,6,0.01,0.02,127,0.13,0.04,167,0.17,0.03,403,0.4,0.03,318,0.31,0.04,430,0.42,0.04,422,0.42,0.03,144,0.14,0.03,19,0.02,0.03,423,0.42,0.04,411,0.41,0.03,170,0.17,0.03,11,0.01,0.03,486,0.48,0.04,404,0.4,0.03,113,0.11,0.03,12,0.01,0.05,526,0.52,0.04,393,0.39,0.03,91,0.09,0.02,5,0.01,0.02,495,0.49,0.04,396,0.39,0.03,114,0.11,0.03,10,0.01,0.03
DURANGO,422,0.43,0.03,374,0.38,0.04,181,0.18,0.04,6,0.01,0.03,510,0.52,0.03,408,0.42,0.04,63,0.06,0.03,2,0,0.02,137,0.14,0.03,185,0.19,0.03,500,0.51,0.04,161,0.16,0.03,330,0.34,0.03,433,0.44,0.04,208,0.21,0.04,12,0.01,0.03,317,0.32,0.03,483,0.49,0.04,170,0.17,0.03,13,0.01,0.04,98,0.1,0.03,201,0.2,0.03,453,0.46,0.04,231,0.24,0.03,285,0.29,0.03,465,0.47,0.04,207,0.21,0.04,26,0.03,0.04,275,0.28,0.03,498,0.51,0.04,199,0.2,0.04,11,0.01,0.03,366,0.37,0.03,490,0.5,0.04,122,0.12,0.03,5,0.01,0.02,392,0.4,0.03,446,0.45,0.04,138,0.14,0.04,7,0.01,0.03,322,0.33,0.03,495,0.5,0.04,155,0.16,0.04,11,0.01,0.03
