Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas
AGUASCALIENTES,1292,0.89,0.05,165,0.11,0.04,960,0.66,0.05,497,0.34,0.04,719,0.49,0.05,738,0.51,0.06,1323,0.91,0.05,134,0.09,0.04,939,0.64,0.06,518,0.36,0.04,868,0.6,0.06,589,0.4,0.04
BAJA CALIFORNIA,103,0.92,0,9,0.08,0,74,0.66,0,38,0.34,0,69,0.62,0,43,0.38,0,95,0.85,0,17,0.15,0.01,68,0.61,0.01,44,0.39,0,53,0.47,0,59,0.53,0
BAJA CALIFORNIA SUR,1094,0.88,0.04,157,0.13,0.04,831,0.66,0.05,420,0.34,0.04,696,0.56,0.04,555,0.44,0.04,1092,0.87,0.04,159,0.13,0.05,705,0.56,0.05,546,0.44,0.04,600,0.48,0.04,651,0.52,0.04
CAMPECHE,411,0.77,0.02,126,0.24,0.03,306,0.57,0.02,231,0.43,0.02,235,0.44,0.02,302,0.56,0.02,414,0.77,0.02,123,0.23,0.04,162,0.3,0.01,375,0.7,0.03,139,0.26,0.01,398,0.74,0.03
CHIAPAS,202,0.83,0.01,41,0.17,0.01,124,0.51,0.01,119,0.49,0.01,194,0.8,0.01,49,0.2,0,210,0.86,0.01,33,0.14,0.01,58,0.24,0,185,0.76,0.01,76,0.31,0.01,167,0.69,0.01
CHIHUAHUA,1349,0.92,0.05,111,0.08,0.03,1008,0.69,0.06,452,0.31,0.04,906,0.62,0.06,554,0.38,0.04,1336,0.92,0.05,124,0.09,0.04,770,0.53,0.05,690,0.47,0.05,754,0.52,0.06,706,0.48,0.04
CIUDAD DE MÉXICO,1534,0.88,0.06,216,0.12,0.06,1000,0.57,0.06,750,0.43,0.07,839,0.48,0.05,911,0.52,0.07,1541,0.88,0.06,209,0.12,0.06,723,0.41,0.05,1027,0.59,0.07,812,0.46,0.06,938,0.54,0.06
COAHUILA,322,0.88,0.01,45,0.12,0.01,294,0.8,0.02,73,0.2,0.01,231,0.63,0.01,136,0.37,0.01,332,0.91,0.01,35,0.1,0.01,188,0.51,0.01,179,0.49,0.01,163,0.44,0.01,204,0.56,0.01
COLIMA,903,0.89,0.04,112,0.11,0.03,670,0.66,0.04,345,0.34,0.03,546,0.54,0.03,469,0.46,0.04,904,0.89,0.04,111,0.11,0.03,552,0.54,0.04,463,0.46,0.03,480,0.47,0.04,535,0.53,0.03
DURANGO,871,0.89,0.03,112,0.11,0.03,584,0.59,0.03,399,0.41,0.04,615,0.63,0.04,368,0.37,0.03,905,0.92,0.04,78,0.08,0.02,527,0.54,0.04,456,0.46,0.03,529,0.54,0.04,454,0.46,0.03
ESTADO DE MÉXICO,1015,0.86,0.04,163,0.14,0.04,665,0.57,0.04,513,0.44,0.05,609,0.52,0.04,569,0.48,0.04,1015,0.86,0.04,163,0.14,0.05,546,0.46,0.04,632,0.54,0.04,560,0.48,0.04,618,0.53,0.04
GUANAJUATO,1503,0.88,0.06,209,0.12,0.05,1017,0.59,0.06,695,0.41,0.06,906,0.53,0.06,806,0.47,0.06,1516,0.89,0.06,196,0.11,0.06,837,0.49,0.06,875,0.51,0.06,794,0.46,0.06,918,0.54,0.06
GUERRERO,226,0.91,0.01,23,0.09,0.01,134,0.54,0.01,115,0.46,0.01,191,0.77,0.01,58,0.23,0,228,0.92,0.01,21,0.08,0.01,100,0.4,0.01,149,0.6,0.01,115,0.46,0.01,134,0.54,0.01
HIDALGO,932,0.89,0.04,112,0.11,0.03,693,0.66,0.04,351,0.34,0.03,621,0.6,0.04,423,0.41,0.03,959,0.92,0.04,85,0.08,0.03,567,0.54,0.04,477,0.46,0.03,552,0.53,0.04,492,0.47,0.03
JALISCO,1111,0.88,0.04,146,0.12,0.04,715,0.57,0.04,542,0.43,0.05,716,0.57,0.04,541,0.43,0.04,1161,0.92,0.05,96,0.08,0.03,810,0.64,0.06,447,0.36,0.03,775,0.62,0.06,482,0.38,0.03
MICHOACÁN,12,1,0,0,0,0,10,0.83,0,2,0.17,0,6,0.5,0,6,0.5,0,12,1,0,0,0,0,9,0.75,0,3,0.25,0,5,0.42,0,7,0.58,0
MORELOS,1350,0.89,0.05,162,0.11,0.04,1049,0.69,0.06,463,0.31,0.04,711,0.47,0.04,801,0.53,0.06,1286,0.85,0.05,226,0.15,0.07,586,0.39,0.04,926,0.61,0.06,548,0.36,0.04,963,0.64,0.06
