Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
AGUASCALIENTES,1437,0.985,0.049,16,0.011,0.047,6,0.004,0.067,1418,0.972,0.05,28,0.019,0.035,13,0.009,0.061,1279,0.877,0.05,140,0.096,0.046,40,0.027,0.048,1344,0.921,0.05,53,0.036,0.043,62,0.042,0.054,1285,0.881,0.05,123,0.084,0.053,51,0.035,0.039,1146,0.785,0.051,214,0.147,0.044,99,0.068,0.046,1071,0.734,0.052,265,0.182,0.043,123,0.084,0.044,1049,0.719,0.052,272,0.186,0.044,138,0.095,0.045,946,0.648,0.051,299,0.205,0.045,214,0.147,0.049
BAJA CALIFORNIA,110,0.982,0.004,1,0.009,0.003,1,0.009,0.011,112,1,0.004,0,0,0,0,0,0,99,0.884,0.004,10,0.089,0.003,3,0.027,0.004,93,0.83,0.003,4,0.036,0.003,15,0.134,0.013,99,0.884,0.004,9,0.08,0.004,4,0.036,0.003,82,0.732,0.004,17,0.152,0.003,13,0.116,0.006,82,0.732,0.004,19,0.17,0.003,11,0.098,0.004,82,0.732,0.004,18,0.161,0.003,12,0.107,0.004,67,0.598,0.004,26,0.232,0.004,19,0.17,0.004
BAJA CALIFORNIA SUR,1232,0.986,0.042,14,0.011,0.041,3,0.002,0.033,1205,0.965,0.042,33,0.026,0.041,11,0.009,0.052,1092,0.874,0.043,122,0.098,0.04,35,0.028,0.042,1174,0.94,0.043,42,0.034,0.034,33,0.026,0.029,1094,0.876,0.042,109,0.087,0.047,46,0.037,0.035,953,0.763,0.042,198,0.159,0.041,98,0.078,0.046,870,0.697,0.042,262,0.21,0.042,117,0.094,0.042,887,0.71,0.044,250,0.2,0.04,112,0.09,0.037,784,0.628,0.042,271,0.217,0.04,194,0.155,0.045
CAMPECHE,531,0.989,0.018,4,0.007,0.012,2,0.004,0.022,522,0.972,0.018,10,0.019,0.012,5,0.009,0.023,477,0.888,0.019,45,0.084,0.015,15,0.028,0.018,484,0.901,0.018,27,0.05,0.022,26,0.048,0.023,441,0.821,0.017,51,0.095,0.022,45,0.084,0.034,424,0.79,0.019,70,0.13,0.014,43,0.08,0.02,387,0.721,0.019,100,0.186,0.016,50,0.093,0.018,370,0.689,0.018,108,0.201,0.017,59,0.11,0.019,361,0.672,0.02,108,0.201,0.016,68,0.127,0.016
CHIAPAS,239,0.98,0.008,3,0.012,0.009,2,0.008,0.022,232,0.951,0.008,11,0.045,0.014,1,0.004,0.005,205,0.84,0.008,31,0.127,0.01,8,0.033,0.01,208,0.852,0.008,14,0.057,0.011,22,0.09,0.019,206,0.844,0.008,19,0.078,0.008,19,0.078,0.014,175,0.717,0.008,44,0.18,0.009,25,0.102,0.012,168,0.689,0.008,56,0.23,0.009,20,0.082,0.007,151,0.619,0.007,63,0.258,0.01,30,0.123,0.01,142,0.582,0.008,69,0.283,0.01,33,0.135,0.008
CHIHUAHUA,1437,0.989,0.049,12,0.008,0.035,4,0.003,0.044,1401,0.964,0.049,42,0.029,0.052,10,0.007,0.047,1239,0.853,0.048,164,0.113,0.054,50,0.034,0.061,1361,0.937,0.05,51,0.035,0.041,41,0.028,0.036,1276,0.878,0.049,111,0.076,0.048,66,0.045,0.05,1123,0.773,0.05,240,0.165,0.049,90,0.062,0.042,980,0.674,0.048,326,0.224,0.053,147,0.101,0.053,998,0.687,0.049,299,0.206,0.048,156,0.107,0.051,895,0.616,0.048,317,0.218,0.047,241,0.166,0.055
CIUDAD DE MÉXICO,1724,0.992,0.059,9,0.005,0.026,5,0.003,0.056,1659,0.955,0.058,59,0.034,0.074,20,0.012,0.094,1493,0.859,0.058,188,0.108,0.062,57,0.033,0.069,1657,0.953,0.061,44,0.025,0.036,37,0.021,0.032,1552,0.893,0.06,119,0.068,0.051,67,0.039,0.051,1247,0.717,0.055,330,0.19,0.068,161,0.093,0.075,1069,0.615,0.052,412,0.237,0.067,257,0.148,0.092,1175,0.676,0.058,355,0.204,0.057,208,0.12,0.068,1038,0.597,0.056,401,0.231,0.06,299,0.172,0.069
COAHUILA,363,0.986,0.012,5,0.014,0.015,0,0,0,355,0.965,0.012,12,0.033,0.015,1,0.003,0.005,321,0.872,0.013,34,0.092,0.011,13,0.035,0.016,335,0.91,0.012,17,0.046,0.014,16,0.043,0.014,312,0.848,0.012,32,0.087,0.014,24,0.065,0.018,268,0.728,0.012,67,0.182,0.014,33,0.09,0.015,238,0.647,0.012,92,0.25,0.015,38,0.103,0.014,234,0.636,0.012,93,0.253,0.015,41,0.111,0.013,204,0.554,0.011,103,0.28,0.015,61,0.166,0.014
COLIMA,1001,0.986,0.034,13,0.013,0.038,1,0.001,0.011,987,0.972,0.035,25,0.025,0.031,3,0.003,0.014,899,0.886,0.035,98,0.097,0.032,18,0.018,0.022,925,0.911,0.034,56,0.055,0.045,34,0.033,0.029,922,0.908,0.036,71,0.07,0.031,22,0.022,0.017,747,0.736,0.033,200,0.197,0.041,68,0.067,0.032,721,0.71,0.035,218,0.215,0.035,76,0.075,0.027,714,0.703,0.035,222,0.219,0.036,79,0.078,0.026,626,0.617,0.034,240,0.236,0.036,149,0.147,0.034
DURANGO,971,0.986,0.033,12,0.012,0.035,2,0.002,0.022,951,0.965,0.033,28,0.028,0.035,6,0.006,0.028,863,0.876,0.034,97,0.098,0.032,25,0.025,0.03,936,0.95,0.035,35,0.036,0.028,14,0.014,0.012,887,0.901,0.034,71,0.072,0.031,27,0.027,0.02,776,0.788,0.035,140,0.142,0.029,69,0.07,0.032,705,0.716,0.034,193,0.196,0.031,87,0.088,0.031,702,0.713,0.035,194,0.197,0.031,89,0.09,0.029,643,0.653,0.035,208,0.211,0.031,134,0.136,0.031
