Variable,B4-A-Muy difícil-Recuento,B4-A-Muy difícil-% del N de fila,B4-A-Muy difícil-% de N columnas,B4-A-Difícil-Recuento,B4-A-Difícil-% del N de fila,B4-A-Difícil-% de N columnas,B4-A-Poco difícil-Recuento,B4-A-Poco difícil-% del N de fila,B4-A-Poco difícil-% de N columnas,B4-A-Nada difícil-Recuento,B4-A-Nada difícil-% del N de fila,B4-A-Nada difícil-% de N columnas,B4-B-Muy difícil-Recuento,B4-B-Muy difícil-% del N de fila,B4-B-Muy difícil-% de N columnas,B4-B-Difícil-Recuento,B4-B-Difícil-% del N de fila,B4-B-Difícil-% de N columnas,B4-B-Poco difícil-Recuento,B4-B-Poco difícil-% del N de fila,B4-B-Poco difícil-% de N columnas,B4-B-Nada difícil-Recuento,B4-B-Nada difícil-% del N de fila,B4-B-Nada difícil-% de N columnas,B4-C-Muy difícil-Recuento,B4-C-Muy difícil-% del N de fila,B4-C-Muy difícil-% de N columnas,B4-C-Difícil-Recuento,B4-C-Difícil-% del N de fila,B4-C-Difícil-% de N columnas,B4-C-Poco difícil-Recuento,B4-C-Poco difícil-% del N de fila,B4-C-Poco difícil-% de N columnas,B4-C-Nada difícil-Recuento,B4-C-Nada difícil-% del N de fila,B4-C-Nada difícil-% de N columnas,B4-D-Muy difícil-Recuento,B4-D-Muy difícil-% del N de fila,B4-D-Muy difícil-% de N columnas,B4-D-Difícil-Recuento,B4-D-Difícil-% del N de fila,B4-D-Difícil-% de N columnas,B4-D-Poco difícil-Recuento,B4-D-Poco difícil-% del N de fila,B4-D-Poco difícil-% de N columnas,B4-D-Nada difícil-Recuento,B4-D-Nada difícil-% del N de fila,B4-D-Nada difícil-% de N columnas,B4-E-Muy difícil-Recuento,B4-E-Muy difícil-% del N de fila,B4-E-Muy difícil-% de N columnas,B4-E-Difícil-Recuento,B4-E-Difícil-% del N de fila,B4-E-Difícil-% de N columnas,B4-E-Poco difícil-Recuento,B4-E-Poco difícil-% del N de fila,B4-E-Poco difícil-% de N columnas,B4-E-Nada difícil-Recuento,B4-E-Nada difícil-% del N de fila,B4-E-Nada difícil-% de N columnas,B4-F-Muy difícil-Recuento,B4-F-Muy difícil-% del N de fila,B4-F-Muy difícil-% de N columnas,B4-F-Difícil-Recuento,B4-F-Difícil-% del N de fila,B4-F-Difícil-% de N columnas,B4-F-Poco difícil-Recuento,B4-F-Poco difícil-% del N de fila,B4-F-Poco difícil-% de N columnas,B4-F-Nada difícil-Recuento,B4-F-Nada difícil-% del N de fila,B4-F-Nada difícil-% de N columnas,B4-G-Muy difícil-Recuento,B4-G-Muy difícil-% del N de fila,B4-G-Muy difícil-% de N columnas,B4-G-Difícil-Recuento,B4-G-Difícil-% del N de fila,B4-G-Difícil-% de N columnas,B4-G-Poco difícil-Recuento,B4-G-Poco difícil-% del N de fila,B4-G-Poco difícil-% de N columnas,B4-G-Nada difícil-Recuento,B4-G-Nada difícil-% del N de fila,B4-G-Nada difícil-% de N columnas,B4-H-Muy difícil-Recuento,B4-H-Muy difícil-% del N de fila,B4-H-Muy difícil-% de N columnas,B4-H-Difícil-Recuento,B4-H-Difícil-% del N de fila,B4-H-Difícil-% de N columnas,B4-H-Poco difícil-Recuento,B4-H-Poco difícil-% del N de fila,B4-H-Poco difícil-% de N columnas,B4-H-Nada difícil-Recuento,B4-H-Nada difícil-% del N de fila,B4-H-Nada difícil-% de N columnas,B4-I-Muy difícil-Recuento,B4-I-Muy difícil-% del N de fila,B4-I-Muy difícil-% de N columnas,B4-I-Difícil-Recuento,B4-I-Difícil-% del N de fila,B4-I-Difícil-% de N columnas,B4-I-Poco difícil-Recuento,B4-I-Poco difícil-% del N de fila,B4-I-Poco difícil-% de N columnas,B4-I-Nada difícil-Recuento,B4-I-Nada difícil-% del N de fila,B4-I-Nada difícil-% de N columnas,B4-J-Muy difícil-Recuento,B4-J-Muy difícil-% del N de fila,B4-J-Muy difícil-% de N columnas,B4-J-Difícil-Recuento,B4-J-Difícil-% del N de fila,B4-J-Difícil-% de N columnas,B4-J-Poco difícil-Recuento,B4-J-Poco difícil-% del N de fila,B4-J-Poco difícil-% de N columnas,B4-J-Nada difícil-Recuento,B4-J-Nada difícil-% del N de fila,B4-J-Nada difícil-% de N columnas,B4-K-Muy difícil-Recuento,B4-K-Muy difícil-% del N de fila,B4-K-Muy difícil-% de N columnas,B4-K-Difícil-Recuento,B4-K-Difícil-% del N de fila,B4-K-Difícil-% de N columnas,B4-K-Poco difícil-Recuento,B4-K-Poco difícil-% del N de fila,B4-K-Poco difícil-% de N columnas,B4-K-Nada difícil-Recuento,B4-K-Nada difícil-% del N de fila,B4-K-Nada difícil-% de N columnas
AGUASCALIENTES,99,0.068,0.055,555,0.381,0.052,652,0.447,0.047,152,0.104,0.047,222,0.152,0.065,559,0.383,0.052,547,0.375,0.045,130,0.089,0.042,616,0.422,0.06,573,0.393,0.045,232,0.159,0.04,37,0.025,0.045,120,0.082,0.055,526,0.361,0.054,681,0.467,0.047,131,0.09,0.042,255,0.175,0.044,608,0.417,0.051,515,0.353,0.051,80,0.055,0.048,80,0.055,0.05,430,0.295,0.053,757,0.519,0.049,191,0.131,0.044,89,0.061,0.055,517,0.355,0.05,759,0.521,0.05,93,0.064,0.041,208,0.143,0.052,559,0.383,0.051,570,0.391,0.048,121,0.083,0.044,133,0.091,0.061,474,0.325,0.051,703,0.482,0.05,148,0.102,0.039,67,0.046,0.053,370,0.254,0.055,794,0.545,0.048,227,0.156,0.044,69,0.047,0.049,431,0.296,0.055,765,0.525,0.048,193,0.132,0.044
BAJA CALIFORNIA,2,0.018,0.001,44,0.396,0.004,51,0.459,0.004,14,0.126,0.004,12,0.108,0.004,35,0.315,0.003,41,0.369,0.003,23,0.207,0.007,34,0.306,0.003,53,0.477,0.004,21,0.189,0.004,3,0.027,0.004,4,0.036,0.002,39,0.351,0.004,54,0.486,0.004,14,0.126,0.004,18,0.162,0.003,45,0.405,0.004,38,0.342,0.004,10,0.09,0.006,8,0.072,0.005,34,0.306,0.004,51,0.459,0.003,18,0.162,0.004,2,0.018,0.001,46,0.414,0.004,55,0.495,0.004,8,0.072,0.004,19,0.171,0.005,41,0.369,0.004,43,0.387,0.004,8,0.072,0.003,4,0.036,0.002,40,0.36,0.004,51,0.459,0.004,16,0.144,0.004,3,0.027,0.002,27,0.243,0.004,65,0.586,0.004,16,0.144,0.003,2,0.018,0.001,29,0.261,0.004,66,0.595,0.004,14,0.126,0.003
BAJA CALIFORNIA SUR,74,0.059,0.041,403,0.323,0.038,617,0.494,0.045,155,0.124,0.048,139,0.111,0.041,413,0.331,0.038,542,0.434,0.044,155,0.124,0.05,424,0.339,0.041,503,0.403,0.04,282,0.226,0.049,40,0.032,0.048,72,0.058,0.033,375,0.3,0.039,661,0.529,0.046,141,0.113,0.045,306,0.245,0.053,462,0.37,0.039,402,0.322,0.04,79,0.063,0.047,76,0.061,0.047,340,0.272,0.042,643,0.515,0.041,190,0.152,0.044,65,0.052,0.04,413,0.331,0.04,662,0.53,0.043,109,0.087,0.048,170,0.136,0.043,454,0.363,0.041,495,0.396,0.042,130,0.104,0.048,86,0.069,0.039,359,0.287,0.038,627,0.502,0.044,177,0.142,0.047,61,0.049,0.048,280,0.224,0.041,669,0.536,0.041,239,0.191,0.047,70,0.056,0.05,306,0.245,0.039,663,0.531,0.042,210,0.168,0.048
CAMPECHE,31,0.058,0.017,191,0.356,0.018,266,0.495,0.019,49,0.091,0.015,53,0.099,0.015,185,0.345,0.017,238,0.443,0.019,61,0.114,0.02,168,0.313,0.016,234,0.436,0.018,116,0.216,0.02,19,0.035,0.023,37,0.069,0.017,167,0.311,0.017,274,0.51,0.019,59,0.11,0.019,119,0.222,0.021,222,0.413,0.019,167,0.311,0.017,29,0.054,0.017,25,0.047,0.016,152,0.283,0.019,265,0.493,0.017,95,0.177,0.022,30,0.056,0.019,179,0.333,0.017,277,0.516,0.018,51,0.095,0.022,70,0.13,0.018,198,0.369,0.018,218,0.406,0.019,51,0.095,0.019,40,0.074,0.018,141,0.263,0.015,291,0.542,0.021,65,0.121,0.017,22,0.041,0.017,122,0.227,0.018,293,0.546,0.018,100,0.186,0.02,19,0.035,0.014,139,0.259,0.018,297,0.553,0.019,82,0.153,0.019
CHIAPAS,13,0.053,0.007,82,0.336,0.008,125,0.512,0.009,24,0.098,0.007,13,0.053,0.004,72,0.295,0.007,122,0.5,0.01,37,0.152,0.012,60,0.246,0.006,103,0.422,0.008,72,0.295,0.012,9,0.037,0.011,15,0.061,0.007,69,0.283,0.007,123,0.504,0.009,37,0.152,0.012,43,0.176,0.007,91,0.373,0.008,99,0.406,0.01,11,0.045,0.007,9,0.037,0.006,53,0.217,0.007,131,0.537,0.008,51,0.209,0.012,10,0.041,0.006,65,0.266,0.006,152,0.623,0.01,17,0.07,0.007,19,0.078,0.005,79,0.324,0.007,100,0.41,0.009,46,0.189,0.017,11,0.045,0.005,67,0.275,0.007,120,0.492,0.008,46,0.189,0.012,10,0.041,0.008,62,0.254,0.009,124,0.508,0.008,48,0.197,0.009,9,0.037,0.006,66,0.27,0.008,123,0.504,0.008,46,0.189,0.01
CHIHUAHUA,88,0.061,0.049,510,0.351,0.048,675,0.465,0.049,180,0.124,0.055,166,0.114,0.049,528,0.363,0.049,615,0.423,0.05,144,0.099,0.047,568,0.391,0.056,582,0.401,0.046,273,0.188,0.047,30,0.021,0.036,119,0.082,0.054,505,0.348,0.052,683,0.47,0.047,146,0.1,0.047,309,0.213,0.053,544,0.374,0.046,508,0.35,0.05,92,0.063,0.055,80,0.055,0.05,377,0.259,0.047,758,0.522,0.049,238,0.164,0.055,83,0.057,0.051,500,0.344,0.048,741,0.51,0.049,129,0.089,0.057,179,0.123,0.045,524,0.361,0.048,616,0.424,0.052,134,0.092,0.049,107,0.074,0.049,436,0.3,0.047,727,0.5,0.051,183,0.126,0.048,54,0.037,0.043,336,0.231,0.05,818,0.563,0.05,245,0.169,0.048,57,0.039,0.041,412,0.284,0.052,770,0.53,0.049,214,0.147,0.049
CIUDAD DE MÉXICO,131,0.075,0.073,705,0.406,0.066,707,0.407,0.051,195,0.112,0.06,256,0.147,0.075,714,0.411,0.066,625,0.36,0.051,143,0.082,0.046,781,0.449,0.076,711,0.409,0.056,214,0.123,0.037,32,0.018,0.039,185,0.106,0.084,656,0.377,0.067,754,0.434,0.052,143,0.082,0.046,449,0.258,0.077,727,0.418,0.061,482,0.277,0.048,80,0.046,0.048,119,0.068,0.074,533,0.307,0.066,858,0.494,0.055,228,0.131,0.053,125,0.072,0.077,676,0.389,0.065,829,0.477,0.054,108,0.062,0.047,344,0.198,0.086,696,0.401,0.063,581,0.334,0.049,116,0.067,0.042,175,0.101,0.08,607,0.349,0.065,752,0.433,0.053,203,0.117,0.054,80,0.046,0.063,467,0.269,0.069,925,0.533,0.056,265,0.153,0.052,93,0.054,0.066,532,0.306,0.068,877,0.505,0.055,235,0.135,0.053
COAHUILA,22,0.06,0.012,135,0.367,0.013,172,0.467,0.012,39,0.106,0.012,35,0.095,0.01,124,0.337,0.011,165,0.448,0.014,44,0.12,0.014,123,0.334,0.012,160,0.435,0.013,77,0.209,0.013,8,0.022,0.01,29,0.079,0.013,112,0.304,0.012,184,0.5,0.013,43,0.117,0.014,73,0.198,0.013,150,0.408,0.013,125,0.34,0.012,20,0.054,0.012,21,0.057,0.013,110,0.299,0.014,175,0.476,0.011,62,0.168,0.014,19,0.052,0.012,128,0.348,0.012,198,0.538,0.013,23,0.063,0.01,38,0.103,0.01,127,0.345,0.012,167,0.454,0.014,36,0.098,0.013,24,0.065,0.011,106,0.288,0.011,185,0.503,0.013,53,0.144,0.014,18,0.049,0.014,95,0.258,0.014,188,0.511,0.011,67,0.182,0.013,19,0.052,0.014,114,0.31,0.014,176,0.478,0.011,59,0.16,0.013
COLIMA,58,0.057,0.032,309,0.304,0.029,507,0.5,0.037,141,0.139,0.043,111,0.109,0.032,351,0.346,0.033,410,0.404,0.034,142,0.14,0.046,344,0.339,0.034,438,0.432,0.035,202,0.199,0.035,30,0.03,0.036,74,0.073,0.034,319,0.315,0.033,509,0.502,0.035,112,0.11,0.036,213,0.21,0.037,413,0.407,0.035,322,0.318,0.032,66,0.065,0.039,64,0.063,0.04,250,0.247,0.031,528,0.521,0.034,172,0.17,0.04,61,0.06,0.038,327,0.322,0.032,536,0.529,0.035,90,0.089,0.04,160,0.158,0.04,388,0.383,0.035,368,0.363,0.031,98,0.097,0.036,80,0.079,0.037,298,0.294,0.032,487,0.48,0.034,149,0.147,0.039,49,0.048,0.039,189,0.186,0.028,545,0.537,0.033,231,0.228,0.045,57,0.056,0.041,220,0.217,0.028,538,0.531,0.034,199,0.196,0.045
DURANGO,48,0.049,0.027,340,0.345,0.032,494,0.502,0.036,103,0.105,0.032,102,0.104,0.03,411,0.417,0.038,374,0.38,0.031,98,0.099,0.032,389,0.395,0.038,403,0.409,0.032,172,0.175,0.03,21,0.021,0.025,81,0.082,0.037,346,0.351,0.036,473,0.48,0.033,85,0.086,0.027,240,0.244,0.041,387,0.393,0.032,315,0.32,0.031,43,0.044,0.026,63,0.064,0.039,284,0.288,0.035,519,0.527,0.033,119,0.121,0.028,48,0.049,0.03,349,0.354,0.034,527,0.535,0.035,61,0.062,0.027,136,0.138,0.034,345,0.35,0.031,413,0.419,0.035,91,0.092,0.033,63,0.064,0.029,323,0.328,0.035,489,0.496,0.034,110,0.112,0.029,43,0.044,0.034,227,0.23,0.034,560,0.569,0.034,155,0.157,0.03,46,0.047,0.033,274,0.278,0.035,530,0.538,0.034,135,0.137,0.031
